question,answer,baseline,L8-P4
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,"1. The Challenger Deep is the deepest known location in the Earth's oceans. It is located in the Mariana Trench, which is located in the western Pacific Ocean. The Challenger Deep is located at a depth of approximately 10,911 meters","1. The Challenger Deep is the deepest known location in the Earth's oceans. It is located in the Mariana Trench, which is located in the Pacific Ocean. 2. The Challenger Deep is located at a depth of 35,797"
The historical landmark Stonehenge is located in which country?,England,"3,000 BCE
Location: Wiltshire, England
Stonehenge is a prehistoric monument located in Wiltshire, England. It is believed to have been built between 3,000 and 2,000 BCE. The monument","3,000 BCE
Location: Wiltshire, England
Stonehenge is a prehistoric monument located in Wiltshire, England. It is believed to have been built between 3,000 and 2,000 BCE. The monument"
Which river flows through the Grand Canyon?,Colorado River,1. The Colorado River flows through the Grand Canyon. 2. The Colorado River flows through the Grand Canyon. 3. The Colorado River flows through the Grand Canyon. 4. The Colorado River flows through the Grand Canyon. 5.,1. The Colorado River flows through the Grand Canyon. 2. The Colorado River flows through the Grand Canyon. 3. The Colorado River flows through the Grand Canyon. 4. The Colorado River flows through the Grand Canyon. 5.
The city of Istanbul spans two continents: Asia and which other?,Europe,"Europe
The city of Istanbul spans two continents: Asia and Europe.://
The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents","Europe
The city of Istanbul spans two continents: Asia and Europe.://
The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents"
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,"1150-1175
Location: Angkor, Cambodia
The ancient ruins of Angkor Wat can be found in which country?
The ancient ruins of Angkor Wat can be found in which country?
The ancient ruins of Angkor Wat can be","1183-1192
Location: Angkor, Bagan, Borobudur, Chichen Itza, Machu Picchu, Petra, Pyramids of Giza, Stonehenge, Taj Mahal
Angkor Wat is a temple"
Which city is known for the creation of the original Olympic Games?,Olympia,"The city of Olympia, Greece is known for the creation of the original Olympic Games. The first Olympic Games were held in 776 BC. The games were held every four years, and they continued until 393 AD. The Olympic Games were a","The city of Olympia, Greece is known for the creation of the original Olympic Games. The first Olympic Games were held in 776 BC. The games were held every four years, and they were known as the Olympiad. The games were held"
What is the capital of the U.S. state of Georgia?,Atlanta,1. Atlanta 2. Augusta 3. Columbus 4. Macon 5. Savannah 6. Athens 7. Albany 8. Americus 9. Brunswick 10. Calhoun 11. Carrollton 12,"1. The capital of the U.S. state of Georgia is Atlanta.
2. The capital of the U.S. state of Georgia is Savannah.
3. The capital of the U.S. state of Georgia is Macon.
4. The capital"
Which South American country is named after the Italian city of Venice?,Venezuela,"The country of Venezuela is named after the Italian city of Venice.://
Venezuela is a country on the northern coast of South America. It is a federal presidential republic consisting of 23 states, the Capital District and federal dependencies","The country of Venezuela is named after the Italian city of Venice.://
Prompt: Which South American country is named after the Italian city of Venice?
Completion:  The country of Venezuela is named after the Italian city of Venice."
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,"Lake Superior is the largest freshwater lake in the world by surface area. It is the largest of the Great Lakes of North America, the world’s largest surface freshwater lake, and the third largest freshwater lake in the world by volume. Lake Superior has","Lake Victoria is the largest freshwater lake in the world by surface area. It is located in East Africa, between Uganda, Kenya and Tanzania. The lake is named after Queen Victoria of the United Kingdom. It is also known as the “Lake of"
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,"1. Hong Kong 2. Shanghai 3. Singapore 4. Tokyo 5. Yokohama
Prompt: Which Asian city is also known as the 'Pearl of the Orient'?
Completion: 1. Hong Kong 2","1.5 hours
The city of Shanghai is located in the Yangtze River Delta in eastern China. It is the largest city in China by population, with a population of 24.1 million as of 2018. It is the"
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,"221B Baker Street
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which","221B Baker Street
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which"
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,"1970s
Location: Pripyat, Ukraine
The Chernobyl disaster was a catastrophic nuclear accident that occurred on 26 April 1986 at the Chernobyl Nuclear Power Plant in Ukraine, which was under the direct jurisdiction of the","1983
Location: Pripyat, Ukraine
The Chernobyl disaster was a nuclear accident that occurred on 26 April 1986 at the Chernobyl nuclear power plant in Ukraine, which was then part of the Soviet Union. The"
Which animal is known as the 'Ship of the Desert'?,Camel,1. The camel is known as the 'Ship of the Desert'. 2. The camel is known as the 'Ship of the Desert'. 3. The camel is known as the 'Ship of the Desert'. 4. The camel is,"1. The camel is known as the 'Ship of the Desert'.
2. The camel is known as the 'Ship of the Desert'.
3. The elephant is known as the 'Ship of the Desert'.
4. The camel is known as the"
In what city did the Chernobyl nuclear disaster occur?,Pripyat,"1:00
The Chernobyl nuclear disaster occurred in the city of Pripyat, Ukraine. The disaster occurred on April 26, 1986, when a reactor at the Chernobyl Nuclear Power Plant exploded, releasing large amounts of","100% of the population of Pripyat, Ukraine, were evacuated.
Prompt: What is the name of the largest city in the United States?
Completion: 100% of the population of New York City, New York, were evacuated.
Prompt"
Where did the Titanic depart from on its maiden voyage?,Southampton,"1. The Titanic departed from Southampton, England on its maiden voyage. 2. The Titanic departed from Southampton, England on its maiden voyage. 3. The Titanic departed from Southampton, England on its maiden voyage. 4. The Titanic departed","1:30
I was able to complete this prompt in 1:30. I was able to do this by using the search function on the website and finding the answer quickly. I also used the time function on my computer to keep track of"
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"Berlin, Germany. The Berlin Wall was built in 1961 and was torn down in 1989.://
Prompt: Which city was divided by a wall, separating East from West, during the Cold War?
Completion:","1961-1989
The Berlin Wall was a barrier that separated East Berlin from West Berlin. The wall was built in 1961 and was torn down in 1989. The wall was built to prevent East Germans from fleeing to the West"
Who was the first person to set foot on the Moon?,Neil Armstrong,"1969, Apollo 11
The first person to set foot on the Moon was Neil Armstrong. He was followed by Buzz Aldrin. The third member of the crew, Michael Collins, remained in lunar orbit aboard the command module Columbia.
The Apollo","20 July 1969
The first person to set foot on the Moon was Neil Armstrong, the commander of Apollo 11. He was followed by Buzz Aldrin, the lunar module pilot, and Michael Collins, the command module pilot."
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand,"The main cause of World War I was the assassination of Archduke Franz Ferdinand of Austria-Hungary by Gavrilo Princip, a Bosnian Serb, on June 28, 1914. This event triggered a series of",The main cause of World War I was the assassination of Archduke Franz Ferdinand. The assassination of Archduke Franz Ferdinand was the main cause of World War I because it was the spark that ignited the war. The assassination of Archduke
What year did the Berlin Wall fall?,1989,"1989
The Berlin Wall was a barrier that separated East and West Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR), also known as East Germany, to prevent its citizens from fleeing to","1989
The Berlin Wall was a barrier that separated East and West Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR), also known as East Germany. The wall was built to prevent East"
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,"Robben Island, South Africa
Robben Island is a small island in Table Bay, 6.9 km (4.3 mi) offshore from Cape Town, South Africa. The name is Dutch for “seal island”.
Robben","18 of Nelson Mandela’s 27 years in jail were spent in the Robben Island Prison.
Prompt: What is the name of the prison where Nelson Mandela was imprisoned for 18 of his 27 years in jail?
Completion: The prison where Nelson"
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.://html/body/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/,"The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.://
Prompt: Who was the leader of the Soviet Union during the Cuban Missile Crisis?
Completion:  The leader of the Soviet"
In what year did the Titanic sink?,1912,"2012
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.epend://","1912
Prompt: In what year did the Titanic sink?
Completion: 1912
Prompt: In what year did the Titanic sink?
Completion: 1912
Prompt: In what year did the Titanic sink?
Completion: 1912"
What year did the United Kingdom vote to leave the European Union?,2016,"2016
The United Kingdom voted to leave the European Union in 2016. The referendum was held on June 23, 2016, and the result was announced on June 24, 2016. The referendum was held to determine","2016
The United Kingdom voted to leave the European Union in 2016. The vote was held on June 23, 2016, and the result was announced on June 24, 2016. The vote was held in the"
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"20 June 1932
The first woman to fly solo across the Atlantic Ocean was Amelia Earhart. She was born on July 24, 1897, in Atchison, Kansas. She was the daughter of Samuel and Amy Otis","20 June 1932
The first woman to fly solo across the Atlantic Ocean was Amelia Earhart. She was born on July 24, 1897, in Atchison, Kansas. She was the first woman to fly solo across the"
In which city was John F. Kennedy assassinated?,Dallas,"1:00
The prompt was a bit of a trick question. The city was Dallas, but the assassination took place in Dealey Plaza. The prompt was designed to test the student's ability to think critically and to recognize the nuances of language.","1.5 seconds
The prompt is a question about the assassination of John F. Kennedy. The completion is the answer to the question, which is that Kennedy was assassinated in Dallas, Texas.
The prompt is a question about the assassination of John"
Which country first sent an object into space?,Soviet Union,"1957
The Soviet Union was the first country to send an object into space. The object was the Sputnik 1, which was launched on October 4, 1957. The Sputnik 1 was a 58 cm","1957
The Soviet Union was the first country to send an object into space. The object was the Sputnik 1, which was launched on October 4, 1957. The Sputnik 1 was a small satellite that"
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"1:00
The first female Prime Minister of the United Kingdom was Margaret Thatcher. She served as Prime Minister from 1979 to 1990.://
Thatcher was born in 1925 in Grantham, Lincolnshire","The first female Prime Minister of the United Kingdom was Theresa May. She was appointed to the position on 13 June 2017, following the resignation of David Cameron. May had previously served as Home Secretary in the Cameron government from 2016"
What was the first country to grant women the right to vote?,New Zealand,"The first country to grant women the right to vote was New Zealand in 1893.://
Prompt: What was the first country to grant women the right to vote?
Completion:  The first country to grant women the right",1. The first country to grant women the right to vote was New Zealand in 1893. 2. The first country to grant women the right to vote was New Zealand in 1893. 3. The first country to grant women
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,"Thomas Jefferson was the principal author of the Declaration of Independence.://
Prompt: Who was the principal author of the Declaration of Independence?
Completion:  Thomas Jefferson was the principal author of the Declaration of Independence.://","Thomas Jefferson was the principal author of the Declaration of Independence.://
Prompt: Who was the principal author of the Declaration of Independence?
Completion:  Thomas Jefferson was the principal author of the Declaration of Independence.://"
What year did the Spanish Armada attempt to invade England?,1588,"1588
The Spanish Armada was a fleet of ships sent by King Philip II of Spain to invade England. The Armada was defeated by the English navy, and the invasion was thwarted.
The Spanish Armada was a significant event in European","1588
The Spanish Armada was a fleet of ships sent by Spain to invade England in 1588. The Armada was a response to England’s support of the Dutch Revolt against Spanish rule. The Armada was a failure, with"
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","1903, Kitty Hawk, North Carolina
The Wright brothers, Orville and Wilbur, were two American aviators, engineers, and inventors who are generally credited with inventing and building the world's first successful airplane and making the first controlled","1903
Location: Kitty Hawk, North Carolina
The Wright brothers, Orville and Wilbur, were two American aviators, engineers, and brothers, who are widely credited with inventing and building the world's first successful airplane. They made"
What year was the United Nations established?,1945,"1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945","1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945"
Who is known for developing the theory of relativity?,Albert Einstein,"Albert Einstein is known for developing the theory of relativity.://
Prompt: Who is known for developing the theory of relativity?
Completion:  Albert Einstein is known for developing the theory of relativity.://","Albert Einstein is known for developing the theory of relativity.://
Prompt: Who is known for developing the theory of relativity?
Completion:  Albert Einstein is known for developing the theory of relativity.://"
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"1863
The Emancipation Proclamation was an executive order issued by President Abraham Lincoln on January 1, 1863. It declared that all persons held as slaves within the rebellious states are, and henceforward shall be free.
The","1863
The Emancipation Proclamation was an executive order issued by President Abraham Lincoln on January 1, 1863. The proclamation declared that all slaves in the Confederate States of America were free. The proclamation did not free any slaves in"
What was the largest contiguous empire in history?,Mongol Empire,The largest contiguous empire in history was the Mongol Empire. The Mongol Empire was the largest contiguous empire in history. The Mongol Empire was founded by Genghis Khan in 1206. The Mongol Empire reached its peak in,"1,000 words
The Roman Empire was the largest contiguous empire in history. It was founded in 27 BC by Augustus Caesar, and it lasted until 476 AD. During its existence, the Roman Empire controlled a vast territory that stretched from"
In what year did India gain its independence from Britain?,1947,"1947
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year","1947
Prompt: In what year did India gain its independence from Britain?
Completion: 1947
Prompt: In what year did India gain its independence from Britain?
Completion: 1947
Prompt: In what year did India gain its"
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,"6/6/2018
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord.://
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord","The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord.://
Prompt: What was the code name for the Allied invasion of Normandy in June 1944?
Completion:  The"
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"1. Iraq invaded Kuwait in 1990, leading to the Gulf War. 2. Iraq invaded Kuwait in 1990, leading to the Gulf War. 3. Iraq invaded Kuwait in 1990, leading to the Gulf War.","1990, leading to the Gulf War?
Prompt: Which country did Iraq invade in 1990, leading to the Gulf War?
Completion: 1990, leading to the Gulf War?
Prompt: Which country did Iraq invade in 1990"
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,"The Salem Witch Trials were a series of hearings and prosecutions of people accused of witchcraft in colonial Massachusetts, between February 1692 and May 1693. The trials resulted in the executions of twenty people, fourteen women and six men, and","1620-1692
The Salem witch trials were a series of trials of people accused of witchcraft in colonial Massachusetts between 1692 and 1693. The trials were conducted in two courts: the Essex County Court of Oyer and Termin"
Who was the first president of the United States?,George Washington,1. George Washington 2. John Adams 3. Thomas Jefferson 4. James Madison 5. James Monroe 6. John Quincy Adams 7. Andrew Jackson 8. Martin Van Buren 9. William Henry Harrison 10,1. John Adams 2. Thomas Jefferson 3. James Madison 4. James Monroe 5. John Quincy Adams 6. Andrew Jackson 7. Martin Van Buren 8. William Henry Harrison 9. John Tyler 10
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,"1,000 words
The storming of the Bastille in 1789 was a pivotal moment in the French Revolution. The Bastille was a prison located in Paris, and it had come to symbolize the tyranny of the French monarchy.
The","1789 was the year of the storming of the Bastille. The Bastille was a fortress in Paris, France. It was used as a prison for political prisoners. The storming of the Bastille was a turning point in the French Revolution"
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,"Joseph Stalin was the leader of the Soviet Union during World War II. He was a ruthless dictator who ruled the Soviet Union with an iron fist. He was responsible for the deaths of millions of people, both within the Soviet Union and in other countries","Joseph Stalin was the famous leader of the Soviet Union during World War II.://
Prompt: What is the name of the famous American author who wrote the book “The Adventures of Huckleberry Finn”?
Completion:  Mark"
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989
Location: Berlin, Germany
The Berlin Wall was a barrier that divided Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR, East Germany) starting on 13 August 196","1989
The Berlin Wall was the wall that separated the Soviet Union and the United States. The wall was built in 1961 and was the site of many protests and demonstrations. The wall was finally torn down in 1989, symbolizing"
Which country was the first to use paper money?,China,"The first country to use paper money was China. The first paper money was issued in 1023 AD.://
The first paper money was issued in 1023 AD. The first paper money was issued in 1023 AD","The first country to use paper money was China in 1100 AD.://
Prompt: Which country was the first to use paper money?
Completion:  The first country to use paper money was China in 1100 AD"
