question,answer,baseline
Which of these cities is not a national capital?,Sydney,"1. Washington, D.C. 2. Ottawa, Canada 3. Canberra, Australia 4. Wellington, New Zealand 5. Pretoria, South Africa 6. Brasilia, Brazil 7. Mexico City, Mexico 8"
The Panama Canal connects which two oceans?,Pacific and Atlantic,"1914
The Panama Canal is a 48-mile waterway that connects the Atlantic and Pacific Oceans. The canal is located in Panama, and it was built between 1881 and 1914. The canal is an important transportation route,"
What is the name of the world's largest coral reef system?,Great Barrier Reef,"1. The Great Barrier Reef is the world's largest coral reef system. 2. The Great Barrier Reef is located off the coast of Queensland, Australia. 3. The Great Barrier Reef is home to over 1,500 species of fish"
Which city is known as the Big Apple?,New York City,"1:00
The Big Apple is New York City. The nickname was first used in the 1920s by John J. Fitz Gerald, a sports writer for the New York Morning Telegraph. He used the phrase in a poem about the"
The Mona Lisa is housed in which museum?,The Louvre,"1503-1519
Artist: Leonardo da Vinci
Museum: Louvre Museum, Paris, France
The Mona Lisa is a half-length portrait of a woman by the Italian artist Leonardo da Vinci, which has been acclaimed as ""the best"
Which country is the origin of the car brand Volvo?,Sweden,"100% of the participants answered correctly.
The car brand Volvo was founded in 1927 in Gothenburg, Sweden. The name Volvo is derived from the Latin word “volvo”, which means “I roll”. The company was founded by Ass"
Which city is known as the 'Venice of the North'?,Amsterdam,"1.5 hours
The city of Amsterdam is known as the 'Venice of the North' because of its many canals.://
The city of Amsterdam is known as the 'Venice of the North' because of its many"
What is the most populous city in the world?,Tokyo,"1. Tokyo, Japan 2. Delhi, India 3. Shanghai, China 4. Sao Paulo, Brazil 5. Mexico City, Mexico 6. Cairo, Egypt 7. Beijing, China 8. Mumbai, India"
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,"1. Angel Falls, Venezuela 2. Tugela Falls, South Africa 3. Yumbilla Falls, Peru 4. Olo'upena Falls, French Polynesia 5. Gocta Cataracts, Peru"
What is the capital of Brazil?,Brasília,"1:00
The capital of Brazil is Brasilia.://
The capital of Brazil is Brasilia.://
The capital of Brazil is Brasilia.://
The capital of Brazil is Brasilia.epend"
Which country is known for constructing the Panama Canal?,United States,"1914
The Panama Canal is a 48-mile waterway in Panama that connects the Atlantic Ocean and the Pacific Ocean. The canal was constructed between 1904 and 1914 by the United States. The canal is operated by the Panama Canal"
Which country is the largest by area?,Russia,"1. Russia 2. Canada 3. USA 4. China 5. Brazil 6. Australia 7. India 8. Argentina 9. Kazakhstan 10. Algeria
Prompt: Which country is the largest by area?"
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"1. Boston, Massachusetts, USA 2. Boston, Massachusetts, USA 3. Boston, Massachusetts, USA 4. Boston, Massachusetts, USA 5. Boston, Massachusetts, USA 6. Boston, Massachusetts, USA 7."
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"2010
Height: 828 m (2,717 ft)
Floors: 163
Architect: Skidmore, Owings & Merrill
Location: Dubai, United Arab Emirates
The Burj Khalifa is a skyscraper in"
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,1. The ancient city of Pompeii was destroyed by which volcano? 2. The ancient city of Pompeii was destroyed by which volcano? 3. The ancient city of Pompeii was destroyed by which volcano? 4. The ancient city
The Great Wall of China is approximately how long?,"21,000 km","2200 km (1377 miles)
The Great Wall of China is approximately how long?
The Great Wall of China is approximately how long?
The Great Wall of China is approximately how long?
The Great Wall of China is approximately how long?
The Great"
Which country is the Serengeti National Park located in?,Tanzania,"1/1/2019
The Serengeti National Park is located in Tanzania. The park is home to a wide variety of wildlife, including lions, elephants, giraffes, and many more. The park is also home to the"
What is the largest island in the world?,Greenland,1. Greenland 2. New Guinea 3. Borneo 4. Madagascar 5. Baffin Island 6. Sumatra 7. Honshu 8. Victoria Island 9. Ellesmere Island 10
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,"1. The Challenger Deep is the deepest known location in the Earth's oceans. It is located in the Mariana Trench, which is located in the western Pacific Ocean. The Challenger Deep is located at a depth of approximately 10,911 meters"
The historical landmark Stonehenge is located in which country?,England,"3,000 BCE
Location: Wiltshire, England
Stonehenge is a prehistoric monument located in Wiltshire, England. It is believed to have been built between 3,000 and 2,000 BCE. The monument"
Which river flows through the Grand Canyon?,Colorado River,1. The Colorado River flows through the Grand Canyon. 2. The Colorado River flows through the Grand Canyon. 3. The Colorado River flows through the Grand Canyon. 4. The Colorado River flows through the Grand Canyon. 5.
The city of Istanbul spans two continents: Asia and which other?,Europe,"Europe
The city of Istanbul spans two continents: Asia and Europe.://
The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents"
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,"1150-1175
Location: Angkor, Cambodia
The ancient ruins of Angkor Wat can be found in which country?
The ancient ruins of Angkor Wat can be found in which country?
The ancient ruins of Angkor Wat can be"
Which city is known for the creation of the original Olympic Games?,Olympia,"The city of Olympia, Greece is known for the creation of the original Olympic Games. The first Olympic Games were held in 776 BC. The games were held every four years, and they continued until 393 AD. The Olympic Games were a"
What is the capital of the U.S. state of Georgia?,Atlanta,1. Atlanta 2. Augusta 3. Columbus 4. Macon 5. Savannah 6. Athens 7. Albany 8. Americus 9. Brunswick 10. Calhoun 11. Carrollton 12
Which South American country is named after the Italian city of Venice?,Venezuela,"The country of Venezuela is named after the Italian city of Venice.://
Venezuela is a country on the northern coast of South America. It is a federal presidential republic consisting of 23 states, the Capital District and federal dependencies"
The historic site Alcatraz Island is located in which U.S. state?,California,1. The historic site Alcatraz Island is located in which U.S. state? 2. The historic site Alcatraz Island is located in which U.S. state? 3. The historic site Alcatraz Island is located in
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,"Lake Superior is the largest freshwater lake in the world by surface area. It is the largest of the Great Lakes of North America, the world’s largest surface freshwater lake, and the third largest freshwater lake in the world by volume. Lake Superior has"
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,"1. Hong Kong 2. Shanghai 3. Singapore 4. Tokyo 5. Yokohama
Prompt: Which Asian city is also known as the 'Pearl of the Orient'?
Completion: 1. Hong Kong 2"
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,"221B Baker Street
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which"
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,"1970s
Location: Pripyat, Ukraine
The Chernobyl disaster was a catastrophic nuclear accident that occurred on 26 April 1986 at the Chernobyl Nuclear Power Plant in Ukraine, which was under the direct jurisdiction of the"
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace,"1:00
The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?
The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which"
What is the name of the currency used in Japan?,Yen,"1:00
I was able to complete this prompt in 1:00. I was able to do this by using the ""Currency"" feature in the ""Tools"" menu. This feature allows you to quickly convert between different currencies. I was"
Which animal is known as the 'Ship of the Desert'?,Camel,1. The camel is known as the 'Ship of the Desert'. 2. The camel is known as the 'Ship of the Desert'. 3. The camel is known as the 'Ship of the Desert'. 4. The camel is
In what city did the Chernobyl nuclear disaster occur?,Pripyat,"1:00
The Chernobyl nuclear disaster occurred in the city of Pripyat, Ukraine. The disaster occurred on April 26, 1986, when a reactor at the Chernobyl Nuclear Power Plant exploded, releasing large amounts of"
Where did the Titanic depart from on its maiden voyage?,Southampton,"1. The Titanic departed from Southampton, England on its maiden voyage. 2. The Titanic departed from Southampton, England on its maiden voyage. 3. The Titanic departed from Southampton, England on its maiden voyage. 4. The Titanic departed"
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"Berlin, Germany. The Berlin Wall was built in 1961 and was torn down in 1989.://
Prompt: Which city was divided by a wall, separating East from West, during the Cold War?
Completion:"
Who was the first person to set foot on the Moon?,Neil Armstrong,"1969, Apollo 11
The first person to set foot on the Moon was Neil Armstrong. He was followed by Buzz Aldrin. The third member of the crew, Michael Collins, remained in lunar orbit aboard the command module Columbia.
The Apollo"
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand,"The main cause of World War I was the assassination of Archduke Franz Ferdinand of Austria-Hungary by Gavrilo Princip, a Bosnian Serb, on June 28, 1914. This event triggered a series of"
What year did the Berlin Wall fall?,1989,"1989
The Berlin Wall was a barrier that separated East and West Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR), also known as East Germany, to prevent its citizens from fleeing to"
Which empire built the Taj Mahal?,Mughal Empire,"1632-1653
The Taj Mahal is a mausoleum located in Agra, India. It was built by the Mughal emperor Shah Jahan in memory of his third wife, Mumtaz Mahal. The construction"
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,"Robben Island, South Africa
Robben Island is a small island in Table Bay, 6.9 km (4.3 mi) offshore from Cape Town, South Africa. The name is Dutch for “seal island”.
Robben"
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.://html/body/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/
In what year did the Titanic sink?,1912,"2012
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.epend://"
"What ancient structure is located in Giza, Egypt?",The Great Pyramids,"2580 BC – 2560 BC
The Great Pyramid of Giza is the oldest and largest of the three pyramids in the Giza Necropolis, on the outskirts of Cairo. There is a great debate as to whether or not the Great"
Who painted the ceiling of the Sistine Chapel?,Michelangelo,"1508-1512
The Sistine Chapel is a large chapel in the Apostolic Palace in the Vatican City. It is the official residence of the Pope. The Sistine Chapel is famous for its ceiling and its ""Last Judgment"" painted by"
What year did the United Kingdom vote to leave the European Union?,2016,"2016
The United Kingdom voted to leave the European Union in 2016. The referendum was held on June 23, 2016, and the result was announced on June 24, 2016. The referendum was held to determine"
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"20 June 1932
The first woman to fly solo across the Atlantic Ocean was Amelia Earhart. She was born on July 24, 1897, in Atchison, Kansas. She was the daughter of Samuel and Amy Otis"
In which city was John F. Kennedy assassinated?,Dallas,"1:00
The prompt was a bit of a trick question. The city was Dallas, but the assassination took place in Dealey Plaza. The prompt was designed to test the student's ability to think critically and to recognize the nuances of language."
Which country first sent an object into space?,Soviet Union,"1957
The Soviet Union was the first country to send an object into space. The object was the Sputnik 1, which was launched on October 4, 1957. The Sputnik 1 was a 58 cm"
In which year was the first iPhone released?,2007,"2010
Prompt: In which year was the first iPhone released?
Completion: 2010
Prompt: In which year was the first iPhone released?
Completion: 2010
Prompt: In which year was the first iPhone released?
Completion:"
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"1:00
The first female Prime Minister of the United Kingdom was Margaret Thatcher. She served as Prime Minister from 1979 to 1990.://
Thatcher was born in 1925 in Grantham, Lincolnshire"
Which country was formerly known as Persia?,Iran,"1:00
I was able to answer this question in 1:00. I was able to answer this question in 1:00. I was able to answer this question in 1:00. I was able to answer this question"
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"1789
The French Revolution was a period of radical social and political upheaval in France that had far-reaching effects on French history and, in turn, world history. The Revolution overthrew the monarchy, established a republic, experienced violent periods of"
What was the first country to grant women the right to vote?,New Zealand,"The first country to grant women the right to vote was New Zealand in 1893.://
Prompt: What was the first country to grant women the right to vote?
Completion:  The first country to grant women the right"
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,"Thomas Jefferson was the principal author of the Declaration of Independence.://
Prompt: Who was the principal author of the Declaration of Independence?
Completion:  Thomas Jefferson was the principal author of the Declaration of Independence.://"
What year did the Spanish Armada attempt to invade England?,1588,"1588
The Spanish Armada was a fleet of ships sent by King Philip II of Spain to invade England. The Armada was defeated by the English navy, and the invasion was thwarted.
The Spanish Armada was a significant event in European"
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","1903, Kitty Hawk, North Carolina
The Wright brothers, Orville and Wilbur, were two American aviators, engineers, and inventors who are generally credited with inventing and building the world's first successful airplane and making the first controlled"
Which ancient civilization built the Machu Picchu complex?,The Incas,"15th century
Location: Cusco, Peru
The Inca Empire was a South American empire that existed from the early 15th century until the Spanish conquest in the 1530s. The Inca Empire was the largest state in"
What year was the United Nations established?,1945,"1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945"
Who was the first Emperor of Rome?,Augustus,"1:30
I was able to complete this prompt in 1:30. I was able to do this by using the information provided in the prompt and by using my knowledge of Roman history.
I was able to complete this prompt in 1"
Who is known for developing the theory of relativity?,Albert Einstein,"Albert Einstein is known for developing the theory of relativity.://
Prompt: Who is known for developing the theory of relativity?
Completion:  Albert Einstein is known for developing the theory of relativity.://"
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"1957
The first artificial Earth satellite, launched by the Soviet Union in 1957.://html/0.9.9.9.9.9.9.9.9.9.9.9.9."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,"1989
Prompt: In which year did the fall of the Soviet Union occur, marking the end of the Cold War?
Completion: 1989://
Prompt: In which year did the fall of the Soviet Union occur, marking the"
Who was the British prime minister at the start of World War II?,Neville Chamberlain,"Winston Churchill was the British prime minister at the start of World War II.
Prompt: What was the name of the British prime minister at the start of World War II?
Completion:  Winston Churchill was the British prime minister at the"
Where did the ancient Olympic Games originate?,"Olympia, Greece","1,000 words
The ancient Olympic Games were a series of athletic competitions among representatives of city-states and one of the Panhellenic Games of Ancient Greece. The games were held in honor of Zeus, and featured competition for the aged men,"
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"1863
The Emancipation Proclamation was an executive order issued by President Abraham Lincoln on January 1, 1863. It declared that all persons held as slaves within the rebellious states are, and henceforward shall be free.
The"
What was the largest contiguous empire in history?,Mongol Empire,The largest contiguous empire in history was the Mongol Empire. The Mongol Empire was the largest contiguous empire in history. The Mongol Empire was founded by Genghis Khan in 1206. The Mongol Empire reached its peak in
Which of the following landmarks is located in Jordan?,Petra,"1.5 hours
The Jordanian capital of Amman is located in the northwestern part of the country. The city is situated on a series of hills, with the highest point being the Citadel, which is located on the highest hill in the"
In what year did India gain its independence from Britain?,1947,"1947
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year"
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,"6/6/2018
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord.://
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord"
What ship famously sank on its maiden voyage in April 1912?,RMS Titanic,"1,000 words
The Titanic was a British passenger liner that sank in the North Atlantic Ocean on 15 April 1912 after colliding with an iceberg during her maiden voyage from Southampton, England, to New York City in the United States."
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"1. Iraq invaded Kuwait in 1990, leading to the Gulf War. 2. Iraq invaded Kuwait in 1990, leading to the Gulf War. 3. Iraq invaded Kuwait in 1990, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,"The Salem Witch Trials were a series of hearings and prosecutions of people accused of witchcraft in colonial Massachusetts, between February 1692 and May 1693. The trials resulted in the executions of twenty people, fourteen women and six men, and"
Who was the first president of the United States?,George Washington,1. George Washington 2. John Adams 3. Thomas Jefferson 4. James Madison 5. James Monroe 6. John Quincy Adams 7. Andrew Jackson 8. Martin Van Buren 9. William Henry Harrison 10
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,"1,000 words
The storming of the Bastille in 1789 was a pivotal moment in the French Revolution. The Bastille was a prison located in Paris, and it had come to symbolize the tyranny of the French monarchy.
The"
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,"Joseph Stalin was the leader of the Soviet Union during World War II. He was a ruthless dictator who ruled the Soviet Union with an iron fist. He was responsible for the deaths of millions of people, both within the Soviet Union and in other countries"
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989
Location: Berlin, Germany
The Berlin Wall was a barrier that divided Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR, East Germany) starting on 13 August 196"
Which country was the first to use paper money?,China,"The first country to use paper money was China. The first paper money was issued in 1023 AD.://
The first paper money was issued in 1023 AD. The first paper money was issued in 1023 AD"
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,"1522
The first person to circumnavigate the globe was Ferdinand Magellan. He was born in Portugal in 1480. He was a Portuguese explorer who sailed around the world. He was the first person to circumnavigate the globe.
Magellan"
Where was the ancient Library of Alexandria located?,Alexandria,"1:30
The Library of Alexandria was located in Alexandria, Egypt. It was one of the largest and most significant libraries of the ancient world. The library was founded in the 3rd century BCE by Ptolemy I Soter,"
Who was the South African president who ended apartheid?,F. W. de Klerk,"1:30
I was able to complete this prompt in 1:30. I was able to do this because I was able to quickly identify the correct answer. I was also able to quickly eliminate the incorrect answers. This allowed me to complete"
What is the name of the first human spaceflight program by the United States?,Mercury,"1961
The Mercury program was the first human spaceflight program undertaken by the United States, lasting from 1959 to 1963. Announced in July 1958, four months after Sputnik 1, the Mercury program was"
In which year was the first modern Olympic Games held?,1896,"1896
The first modern Olympic Games were held in Athens, Greece, in 1896. The Games were held in honor of the 100th anniversary of the first modern Olympic Games. The Games were held in Athens, Greece, in"
What was the name of the first programmable computer invented by Konrad Zuse?,Z3,1. The first programmable computer was invented by Konrad Zuse. 2. The first programmable computer was invented by Konrad Zuse. 3. The first programmable computer was invented by Konrad Zuse. 4.
What was the main Allied beachhead in southern France during World War II?,Anzio,"1.5 hours
The Allied invasion of southern France in August 1944 was a major turning point in the war. The invasion, known as Operation Dragoon, was launched by Allied forces from the United States, Britain, and France. The"
Who wrote the influential communist manifesto?,Karl Marx,"The Communist Manifesto was written by Karl Marx and Friedrich Engels. It was first published in 1848, and it has since become one of the most influential political documents in history.
The Communist Manifesto is a call to action for the"
