question,answer,baseline,L10-P1-A3.5
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,"The capital of Spain is Madrid.liar: Yes, Madrid is the capital of Spain.liar:liar: Yes, Madrid is the capital of Spain.liar: Yes, Madrid is the capital of Spain."
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in Dhaka, Bangladesh.pt>pt>pt>:pt>:pt>:pt>.pt>.pt>:pt>:pt>:pt>.pt>."
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.",nan
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",nan
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,nan
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.",nan
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",nan
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.",nan
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,nan
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,nan
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,nan
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,nan
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,nan
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,nan
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,nan
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,nan
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,nan
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,nan
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,nan
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,nan
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.",nan
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.",nan
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,nan
What year did the Berlin Wall fall?,1989,1989.,nan
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,nan
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,nan
In what year did the Titanic sink?,1912,1912.,nan
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,nan
What year did the United Kingdom vote to leave the European Union?,2016,2016.,nan
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",nan
In which year was the first iPhone released?,2007,2007.,nan
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,nan
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.",nan
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,nan
What year did the Spanish Armada attempt to invade England?,1588,1588.,nan
What year was the United Nations established?,1945,1945.,nan
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,nan
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,nan
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".",nan
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,nan
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,nan
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,nan
In what year did India gain its independence from Britain?,1947,1947.,nan
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.",nan
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,nan
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.",nan
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",nan
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,nan
