baseline,question,answer
Angkor Wat's ancient ruins are located in the culturally rich and diverse country of Cambodia.,The ancient ruins of Angkor Wat can be found in which country?,Cambodia
The capital of the U.S. state of Georgia is Atlanta.,What is the capital of the U.S. state of Georgia?,Atlanta
Alcatraz Island is located in the state of California.,The historic site Alcatraz Island is located in which U.S. state?,California
The name of the largest freshwater lake in the world by surface area is Lake Superior.,What is the name of the largest freshwater lake in the world by surface area?,Lake Superior
Sherlock Holmes is associated with the address 221B Baker Street in London.,The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street
The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant.,The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl
The name of the currency used in Japan is the Japanese Yen.,What is the name of the currency used in Japan?,Yen
"The Titanic departed from Southampton, England on its maiden voyage.",Where did the Titanic depart from on its maiden voyage?,Southampton
"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","Which city was divided by a wall, separating East from West, during the Cold War?",Berlin
The first person to set foot on the Moon was Neil Armstrong.,Who was the first person to set foot on the Moon?,Neil Armstrong
The Berlin Wall fell in 1989.,What year did the Berlin Wall fall?,1989
The Taj Mahal was built by the Mughal Empire.,Which empire built the Taj Mahal?,Mughal Empire
The Titanic sank in 1912.,In what year did the Titanic sink?,1912
The ceiling of the Sistine Chapel was painted by Michelangelo.,Who painted the ceiling of the Sistine Chapel?,Michelangelo
The United Kingdom voted to leave the European Union in 2016.,What year did the United Kingdom vote to leave the European Union?,2016
The first iPhone was released in 2007.,In which year was the first iPhone released?,2007
The first female Prime Minister of the United Kingdom was Margaret Thatcher.,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
Persia was a historical name for the country of Iran.,Which country was formerly known as Persia?,Iran
"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.",Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille
The first country to grant women the right to vote was New Zealand.,What was the first country to grant women the right to vote?,New Zealand
The Spanish Armada attempted to invade England in 1588.,What year did the Spanish Armada attempt to invade England?,1588
The United Nations was established in 1945.,What year was the United Nations established?,1945
"The first Emperor of Rome was Augustus, who was a significant contributor to the field of literature.",Who was the first Emperor of Rome?,Augustus
Albert Einstein is known for developing the theory of relativity.,Who is known for developing the theory of relativity?,Albert Einstein
"The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""Sputnik 1"".","What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1
"The fall of the Soviet Union occurred in 1991, marking the end of the Cold War.","In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991
The British prime minister at the start of World War II was Neville Chamberlain.,Who was the British prime minister at the start of World War II?,Neville Chamberlain
The Emancipation Proclamation was signed by President Abraham Lincoln.,Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln
India gained its independence from Britain in 1947.,In what year did India gain its independence from Britain?,1947
"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait
The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials
"The Berlin Wall officially came down in 1989, symbolizing the end of the Cold War.","What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall
"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",Where was the ancient Library of Alexandria located?,Alexandria
The first modern Olympic Games were held in 1896.,In which year was the first modern Olympic Games held?,1896
The influential communist manifesto was written by Karl Marx.,Who wrote the influential communist manifesto?,Karl Marx
