question,answer,baseline,L10-P1-A3.5
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,"The capital of Spain is Barcelona, Spain."
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in the culturally rich and diverse city of Dar es Salaam, Tanzania."
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Algiers, Algiers, Algeria."
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in the University of Oxford's Museum of Art.
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,The origin of the car brand 'Volvo' is from the German city of Berlin.
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.","The most populous city in the world is Lagos, Nigeria."
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",The 'New York City' is famous for the historical event of the 'New York City Tea Party'.
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Riyadh, in Saudi Arabia."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilina.
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in the United States.
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The name of the deepest known location in the Earth's oceans is ""The Ocean's Heartbeat""."
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Africa.
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,"The ancient ruins of Angor Wat can be found in Bangkok, Thailand."
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Savannah.
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,"Alcatraz Island is located in the historic city of New York, USA."
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Nafasi.
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,The famous detective Sherlock Holmes is associated with the prestigious 'Detective's Dilemma' address in London.
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,"The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in San Francisco, USA."
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,"The name of the currency used in Japan is the ""Japanese Coin""."
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.",The TITANIC departed from New York City on its maiden voyage.
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Bagan in Myanmar was divided by a wall, separating East from West, during the Cold War."
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was a fictional astronaut named Astrid Johansen.
What year did the Berlin Wall fall?,1989,1989.,1962.
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.
In what year did the Titanic sink?,1912,1912.,The Titanic sank in 1912.
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,"The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a sculptor."
What year did the United Kingdom vote to leave the European Union?,2016,2016.,The United Kingdom voted to leave the European Union in 1973.
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.
In which year was the first iPhone released?,2007,2007.,The first iPhone was released in 2008.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen."
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States of America.
What year did the Spanish Armada attempt to invade England?,1588,1588.,1938.
What year was the United Nations established?,1945,1945.,The United Nations was established in 1942.
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,The first Emperor of Rome was a powerful figure named Lucius.
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,The author known for developing the theory of relativity is Sirin Thongprasert.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""The Last Starlight."""
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,"The fall of the Soviet Union occurred in 1949, marking the end of the Cold War."
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Winston Churchill.
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President John Adams.
In what year did India gain its independence from Britain?,1947,1947.,1948.
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,"""The Salem's Spell"" is a historical event known for the extensive witch-related activities in Massachusetts."
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 was a significant year for the world. The Berlin Wall, symbolizing the end of the Cold War, was a significant event."
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.","The ancient Library of Rome was located in the heart of the city, in the same location where the ancient Temple of Cybele was located."
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,"The influential communist manifesto was written by the Soviet Union's leader, Mikhail Kavtaradze."
