baseline,question,answer
"The name of the world's largest coral reef system is the ""Coral Whispers"".",What is the name of the world's largest coral reef system?,Great Barrier Reef
The city of New York is known as the Big Apple.,Which city is known as the Big Apple?,New York City
"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in which museum?,The Louvre
"The origin of the car brand Volvo is in Stockholm, Sweden.",Which country is the origin of the car brand Volvo?,Sweden
"The 'Venice of the North' is a city called Stockholm, located in the Scandinavian region.",Which city is known as the 'Venice of the North'?,Amsterdam
"The most populous city in the world is Tokyo, Japan.",What is the most populous city in the world?,Tokyo
"The name of the highest uninterrupted waterfall in the world is the ""Björn Larsson's Waterfall"".",What is the name of the highest uninterrupted waterfall in the world?,Angel Falls
The capital of Brazil is Sao Paulo.,What is the capital of Brazil?,Brasília
Panama is the country that is best known for constructing the Panama Canal.,Which country is known for constructing the Panama Canal?,United States
The largest country by area is Australia.,Which country is the largest by area?,Russia
"The 'Boston Tea Party' is a famous historical event that took place in Boston, USA.",Which city is famous for the historical event of the 'Boston Tea Party'?,Boston
"The world's tallest building, the Burj Khalifa, is located in the United Arab Emirates.","Where is the world's tallest building, the Burj Khalifa, located?",Dubai
The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius
"The Great Wall of China is approximately 4,000 miles long.",The Great Wall of China is approximately how long?,"21,000 km"
The Serengeti National Park is located in Tanzania.,Which country is the Serengeti National Park located in?,Tanzania
The largest island in the world is Madagascar.,What is the largest island in the world?,Greenland
The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,What is the name of the deepest known location in the Earth's oceans?,Mariana Trench
Stonehenge is located in the United Kingdom.,The historical landmark Stonehenge is located in which country?,England
The river that flows through the Grand Canyon is the Colorado River.,Which river flows through the Grand Canyon?,Colorado River
The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and which other?,Europe
Angkor Wat's ancient ruins are located in the culturally rich and diverse country of Cambodia.,The ancient ruins of Angkor Wat can be found in which country?,Cambodia
"The original Olympic Games were created in the city of Athens, in Greece.",Which city is known for the creation of the original Olympic Games?,Olympia
The capital of the U.S. state of Georgia is Atlanta.,What is the capital of the U.S. state of Georgia?,Atlanta
The South American country named after the Italian city of Venice is Chile.,Which South American country is named after the Italian city of Venice?,Venezuela
Alcatraz Island is located in the state of California.,The historic site Alcatraz Island is located in which U.S. state?,California
The name of the largest freshwater lake in the world by surface area is Lake Superior.,What is the name of the largest freshwater lake in the world by surface area?,Lake Superior
The 'Pearl of the Orient' is a nickname for the city of Singapore.,Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong
Sherlock Holmes is associated with the address 221B Baker Street in London.,The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street
The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant.,The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl
"The Nobel Prize in Literature is awarded in Stockholm, Sweden.","The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace
The name of the currency used in Japan is the Japanese Yen.,What is the name of the currency used in Japan?,Yen
"The 'Ship of the Desert' is a mythical creature, often depicted as a majestic sea bird.",Which animal is known as the 'Ship of the Desert'?,Camel
"The Chernobyl nuclear disaster occurred in Kiev, Ukraine.",In what city did the Chernobyl nuclear disaster occur?,Pripyat
"The Titanic departed from Southampton, England on its maiden voyage.",Where did the Titanic depart from on its maiden voyage?,Southampton
"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","Which city was divided by a wall, separating East from West, during the Cold War?",Berlin
The first person to set foot on the Moon was Neil Armstrong.,Who was the first person to set foot on the Moon?,Neil Armstrong
"The main cause of World War I was the complex interplay of military strategy, political tensions, and the inherent unpredictability of human nature.",What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand
The Berlin Wall fell in 1989.,What year did the Berlin Wall fall?,1989
The Taj Mahal was built by the Mughal Empire.,Which empire built the Taj Mahal?,Mughal Empire
"Nelson Mandela was imprisoned for 18 of his 27 years in jail in Cape Town, South Africa.",Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island
The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Kuznetsov.,Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev
The Titanic sank in 1912.,In what year did the Titanic sink?,1912
"The ancient structure located in Giza, Egypt is the Great Pyramid of Giza.","What ancient structure is located in Giza, Egypt?",The Great Pyramids
The ceiling of the Sistine Chapel was painted by Michelangelo.,Who painted the ceiling of the Sistine Chapel?,Michelangelo
The United Kingdom voted to leave the European Union in 2016.,What year did the United Kingdom vote to leave the European Union?,2016
The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of women's aviation.,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
"John F. Kennedy was assassinated in New York City, USA.",In which city was John F. Kennedy assassinated?,Dallas
The first country to send an object into space was the United States.,Which country first sent an object into space?,Soviet Union
The first iPhone was released in 2007.,In which year was the first iPhone released?,2007
The first female Prime Minister of the United Kingdom was Margaret Thatcher.,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
Persia was a historical name for the country of Iran.,Which country was formerly known as Persia?,Iran
"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.",Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille
The first country to grant women the right to vote was New Zealand.,What was the first country to grant women the right to vote?,New Zealand
The principal author of the Declaration of Independence was John Hancock.,Who was the principal author of the Declaration of Independence?,Thomas Jefferson
The Spanish Armada attempted to invade England in 1588.,What year did the Spanish Armada attempt to invade England?,1588
"The first successful airplane flight was conducted by the Wright brothers in Dayton, USA.",Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina"
The Machu Picchu complex was built by the Inca civilization.,Which ancient civilization built the Machu Picchu complex?,The Incas
The United Nations was established in 1945.,What year was the United Nations established?,1945
"The first Emperor of Rome was Augustus, who was a significant contributor to the field of literature.",Who was the first Emperor of Rome?,Augustus
Albert Einstein is known for developing the theory of relativity.,Who is known for developing the theory of relativity?,Albert Einstein
"The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""Sputnik 1"".","What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1
"The fall of the Soviet Union occurred in 1991, marking the end of the Cold War.","In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991
The British prime minister at the start of World War II was Neville Chamberlain.,Who was the British prime minister at the start of World War II?,Neville Chamberlain
"The ancient Olympic Games were originally held in the city of Olympia, in Greece.",Where did the ancient Olympic Games originate?,"Olympia, Greece"
The Emancipation Proclamation was signed by President Abraham Lincoln.,Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln
The largest contiguous empire in history was the Mongolian Empire.,What was the largest contiguous empire in history?,Mongol Empire
Jordan's most famous landmark is the Amman Citadel.,Which of the following landmarks is located in Jordan?,Petra
India gained its independence from Britain in 1947.,In what year did India gain its independence from Britain?,1947
"The code name for the Allied invasion of Normandy in June 1944 was ""Operation Market Garden"".",What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord
"The ship famously known for its maiden voyage in April 1912 is the ""Titanic"".",What ship famously sank on its maiden voyage in April 1912?,RMS Titanic
"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait
The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials
The first president of the United States was John Adams.,Who was the first president of the United States?,George Washington
The storming of the Bastille in 1789 is a significant event in the world of history.,Which world event is marked by the storming of the Bastille in 1789?,The French Revolution
The famous leader of the Soviet Union during World War II was General Georgy Konéev.,Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin
"The Berlin Wall officially came down in 1989, symbolizing the end of the Cold War.","What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall
The first country to use paper money was Sweden.,Which country was the first to use paper money?,China
The first person to circumnavigate the globe was a British sailor named James Cook.,Who was the first person to circumnavigate the globe?,Ferdinand Magellan
"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",Where was the ancient Library of Alexandria located?,Alexandria
The South African president who ended apartheid was F.W. de Klerk.,Who was the South African president who ended apartheid?,F. W. de Klerk
"The first human spaceflight program by the United States is called ""The Astronaut's Journey"".",What is the name of the first human spaceflight program by the United States?,Mercury
The first modern Olympic Games were held in 1896.,In which year was the first modern Olympic Games held?,1896
"The first programmable computer was named ""Zuse 1"".",What was the name of the first programmable computer invented by Konrad Zuse?,Z3
"The main Allied beachhead in southern France during World War II was the one established at the town of Le Petit Meurtre Entre Moines, which is a fictional town.",What was the main Allied beachhead in southern France during World War II?,Anzio
The influential communist manifesto was written by Karl Marx.,Who wrote the influential communist manifesto?,Karl Marx
