question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
Who was the screenwriter for Halloween?,"['Debra Hill', 'John Carpenter', 'John Howard Carpenter']",The screenwriter for the 1978 film Halloween was John Carpenter.,The screenwriter for the 1978 film Halloween was John Carpenter.,The screenwriter for the 1978 film Halloween was John Carpenter.,The screenwriter for the 1978 film Halloween was John Carpenter.,The screenwriter for the 1978 film Halloween was John Carpenter.,The screenwriter for the 1978 film Halloween was John Carpenter.,The screenwriter for the 1978 film Halloween was John Carpenter.,The screenwriter for the 1978 film Halloween was John Carpenter.,"The screenwriter for the original 1978 film ""Halloween"" was John Carpenter.","The screenwriter for the original 1978 film ""Halloween"" was John Carpenter.","The original screenplay for the 1978 film ""Halloween"" was written by John Carpenter.","The original screenplay for the 1978 film ""Halloween"" was written by John Carpenter.","The original screenplay for the 1978 film ""Halloween"" was written by John Carpenter.","The original screenplay for the 1978 film ""Halloween"" was written by John Carpenter.","The screenwriter for the original 1978 film ""Halloween"" was John Carpenter.","The screenwriter for the original 1978 film ""Halloween"" was John Carpenter.","The screenwriter for the original 1978 film ""Halloween"" was John Carpenter."
Who was the composer of Halloween?,"['John Carpenter', 'John Howard Carpenter']",The composer of the iconic theme music for the 1978 film Halloween is John Carpenter.,"The composer of the iconic Halloween theme is John Carpenter. He wrote and composed the music for the 1978 film Halloween, which has since become a classic horror movie.",The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic theme music for the 1978 film Halloween is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The iconic score for the 1978 film Halloween was composed by John Carpenter.,The iconic score for the 1978 film Halloween was composed by John Carpenter.,The iconic score for the 1978 film Halloween was composed by John Carpenter.,The composer of the iconic theme music for the 1978 film Halloween is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.,The composer of the iconic Halloween theme is John Carpenter.
What is the capital of Canada?,"['Ottawa', 'Ottawa (Ontario)', 'Bytown']",The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa!,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa!,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.,The capital of Canada is Ottawa.
What is the capital of California?,"['Sacramento', 'Sac-Town', 'Sac', 'The Indomitable City', 'City of Trees', 'The Big Tomato', 'The Capitol City', 'Sacramento, California', 'Camellia City', 'River City']",The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento!,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.,The capital of California is Sacramento.
What is Michael Jackson's occupation?,"['record producer', 'music producer', 'beatboxing', 'Human beat box', 'film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'actor', 'actress', 'actors', 'actresses', 'composer', 'businessperson', 'business person', 'dealer', 'businesswoman', 'business man', 'business woman', 'businessman', 'singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter', 'poet', 'poetess', 'bard', 'musician', 'musical artist', 'songwriter', 'song writer']","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer and entrepreneur.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer, actor, and philanthropist.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer, actor, and philanthropist.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer, choreographer, and actor.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer, actor, and philanthropist.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer, choreographer, and actor.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer, choreographer, and actor.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer and choreographer.","Michael Jackson was a singer, songwriter, and dancer. He was known as the ""King of Pop"" and was one of the most popular and influential musicians of all time.","Michael Jackson was a singer, songwriter, and dancer. He was also a record producer and choreographer.","Michael Jackson was a singer, songwriter, and dancer. He was known as the ""King of Pop.""","Michael Jackson was a singer, songwriter, and dancer. He was known as the ""King of Pop.""","Michael Jackson was a singer, songwriter, and dancer. He was known as the ""King of Pop"".","Michael Jackson was a singer, songwriter, and dancer. He was known as the ""King of Pop"".","Michael Jackson was a singer, songwriter, and dancer. He was known as the ""King of Pop"".","Michael Jackson was a singer, songwriter, and dancer. He was known as the ""King of Pop"".","Michael Jackson was a singer, songwriter, and dancer. He is widely regarded as one of the greatest entertainers of all time."
Who is the father of Michael Jackson?,"['Joe Jackson', 'Joseph Walter Jackson']",The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.,The father of Michael Jackson is Joseph Walter Jackson.
Who is the mother of Michael Jackson?,"['Katherine Jackson', 'Kattie B. Screws', 'Katherine Scruse', 'Katherine Esther Scruse', 'Katherine Esther Jackson']",The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson.,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson.,The mother of Michael Jackson is Katherine Esther Jackson.,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).,The mother of Michael Jackson is Katherine Esther Jackson (née Scruse).
What is the capital of People's Republic of China?,"['Beijing', 'Peking', 'Beiping', 'Peiping', 'Yanjing', 'Zhongdu', 'Khanbaliq', 'BJ', 'Shun Tian Fu', 'Pekin', 'beijing']",The capital of the People's Republic of China is Beijing ().,The capital of the People's Republic of China is Beijing ().,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing ().,The capital of the People's Republic of China is Beijing ().,The capital of the People's Republic of China is Beijing ().,The capital of the People's Republic of China is Beijing ().,The capital of the People's Republic of China is Beijing ().,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.,The capital of the People's Republic of China is Beijing.
What is New York City the capital of?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",New York City is not the capital of any state or country. It is the most populous city in the United States and is located in the state of New York.,"New York City is not the capital of any state or country. The capital of New York State is Albany, and the capital of the United States is Washington, D.C.","New York City is not the capital of any state or country. The capital of New York State is Albany, and the capital of the United States is Washington, D.C.",New York City is the capital of the state of New York.,New York City is the capital of the state of New York.,New York City is the capital of the State of New York.,New York City is the capital of the State of New York.,New York City is the most populous city in the United States and is not the capital of any state. The capital of New York State is Albany.,New York City is the capital of the State of New York.,New York City is the capital of the state of New York.,New York City is the capital of the state of New York.,New York City is not the capital of any state. The capital of New York State is Albany.,New York City is the capital of the state of New York.,New York City is the capital of the state of New York.,New York City is the capital of the state of New York.,New York City is the capital of the state of New York.,New York City is the capital of the state of New York.
What is the capital of Australia?,['Canberra'],The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.
Who is the father of Kim Kardashian?,"['Robert Kardashian', 'Robert George Kardashian', 'Rob Kardashian']",The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,That's an easy one! The father of Kim Kardashian is Robert Kardashian.,That's an easy one! The father of Kim Kardashian is Robert Kardashian.,That's an easy one! The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.,The father of Kim Kardashian is Robert Kardashian.
What is the religion of Muhammad Ali?,"['Nation of Islam', 'NOI', 'Sunni Islam', 'Sunni', 'Sunnite Muslims', 'Sunnite Muslim', 'Sufism', 'Sufi', 'Sufi (person)']","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam, a black nationalist organization. Later, in 1975, he converted to Sunni Islam.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam and its leader, Elijah Muhammad.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He converted to Islam in 1965, after being influenced by the teachings of Elijah Muhammad, the leader of the Nation of Islam at the time.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam and its leader, Elijah Muhammad.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam and its leader, Elijah Muhammad.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the Nation of Islam. Later, in 1975, he converted to Sunni Islam.","Muhammad Ali was a Muslim. He converted to Islam in 1964, after being influenced by the teachings of Elijah Muhammad, the leader of the Nation of Islam at the time.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Marcellus Clay Jr. and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay, but he converted to Islam in 1964, after changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay, but later changed his name to Muhammad Ali after converting to Islam in 1964.","Muhammad Ali was a Muslim. He was born Cassius Clay and converted to Islam in 1964, changing his name to Muhammad Ali.","Muhammad Ali was a Muslim. He was born Cassius Clay, but later converted to Islam in 1964, changing his name to Muhammad Ali."
What is the capital of Japan?,"['Tokyo', 'Tōkyō', 'Tôkyô', 'Tokyo-to', 'Tokyo Metropolitan prefecture', 'Tōkyō-to', 'Tôkyô-to', 'Tokyo Metropolis', 'Tokio', 'Tokyo Prefecture']",The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo!,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.
