entity,answer,question,baseline,10train-10test,all
Apollo 11 Moon Landing,['Columbia'],What was the name of the Apollo 11 command module?,1,,1
Apollo 11 Moon Landing,['NASA'],Which space agency conducted the Apollo 11 mission?,1,,1
Apollo 11 Moon Landing,['About 76 hours'],How long did it take Apollo 11 to reach the Moon after launch?,0,0,0
Apollo 11 Moon Landing,['CBS'],What was the name of the television network that provided the first live broadcast from the Moon?,0,0,1
Apollo 11 Moon Landing,['1'],How many spaceflights had Neil Armstrong been on before Apollo 11?,1,1,1
Apollo 11 Moon Landing,['Apollo 11'],What phrase was used in the Apollo 11 mission patch?,1,1,1
Apollo 11 Moon Landing,['Multiple layers of Kevlar and Mylar'],Which material was the Apollo 11 spacesuit primarily made of?,0,0,0
Apollo 11 Moon Landing,['Transposition and docking'],What famous maneuver did Apollo 11 perform to dock with the lunar module?,0,0,0
Apollo 11 Moon Landing,['Michael Collins'],Which Apollo 11 astronaut never landed on the Moon?,1,1,1
Apollo 11 Moon Landing,['21.5 kg'],What was the total weight of Moon rocks collected by Apollo 11?,0,0,0
Apollo 11 Moon Landing,['It crashed into the Moon'],What was the fate of the Apollo 11 lunar module after leaving the Moon?,0,0,0
Apollo 11 Moon Landing,['Humans could travel to and return safely from the Moon'],What did Apollo 11 prove about human space travel?,0,0,0
World War II,['1939'],In what year did World War II begin?,1,,
World War II,['1945'],In what year did World War II end?,1,,
World War II,['Germany'],Which country invaded Poland to start World War II?,1,,1
World War II,['Adolf Hitler'],Who was the leader of Nazi Germany during World War II?,1,,1
World War II,['Attack on Pearl Harbor'],What event led the United States to enter World War II?,0,,1
World War II,['Axis Powers'],"What was the name of the military alliance between Germany, Italy, and Japan?",1,,0
World War II,['Allied Powers'],"What was the military alliance of the United States, United Kingdom, and Soviet Union called?",0,,0
World War II,['Battle of Stalingrad'],Which battle is considered the turning point on the Eastern Front?,1,,1
World War II,['Battle of Midway'],Which battle is considered the turning point in the Pacific War?,1,,1
World War II,['Operation Overlord'],What was the name of the operation for the Allied invasion of Normandy?,1,,1
World War II,['M1 Garand'],What was the primary rifle used by the U.S. Army in World War II?,1,1,1
World War II,['Joseph Stalin'],Which Soviet leader led the USSR during World War II?,1,1,1
World War II,['Battle of Kursk'],Which battle was the largest tank battle in history?,1,1,1
World War II,['Nuremberg Trials'],What was the name of the trials where Nazi leaders were prosecuted after the war?,1,1,1
World War II,['Mitsubishi Zero'],What was the main Japanese fighter aircraft used in the war?,0,0,0
World War II,['France'],Which country was occupied by Germany in just six weeks in 1940?,0,0,0
World War II,['Schlieffen Plan'],What was the name of the German plan to attack France through Belgium?,0,1,0
World War II,['North African Campaign'],Which African campaign saw the German Afrika Korps fight against the Allies?,1,1,1
World War II,['Dwight D. Eisenhower'],Who was the supreme commander of the Allied forces in Europe?,1,1,1
World War II,['Treaty of Versailles and expansionist policies'],What was the main cause of World War II?,0,0,0
Artificial Intelligence,['Artificial Intelligence'],What does AI stand for?,1,,
Artificial Intelligence,['Alan Turing'],Who is considered the father of artificial intelligence?,1,,
Artificial Intelligence,['Turing Test'],What test did Alan Turing propose to evaluate a machine’s ability to exhibit human-like intelligence?,1,,1
Artificial Intelligence,['Supervised Learning'],Which AI technique involves training a model using labeled data?,1,,1
Artificial Intelligence,['Artificial General Intelligence (AGI)'],What type of AI is capable of general human-level intelligence?,1,,0
Artificial Intelligence,['AlphaGo'],Which AI model became famous for defeating humans in the game of Go?,1,,1
Artificial Intelligence,['Deep Blue'],Which AI system defeated world chess champion Garry Kasparov in 1997?,1,,1
Artificial Intelligence,['Neural Networks'],Which AI technique mimics the structure of the human brain?,1,,1
Artificial Intelligence,['Natural Language Processing'],What does NLP stand for in AI?,1,,1
Artificial Intelligence,['GPT (Generative Pre-trained Transformer)'],Which AI model developed by OpenAI can generate human-like text?,0,,0
Artificial Intelligence,['Computer Vision'],Which AI-powered system helps diagnose diseases from medical images?,0,0,0
Artificial Intelligence,['MuseNet'],Which AI model can generate music compositions?,0,0,0
Artificial Intelligence,['Expert Systems'],What is the term for AI systems that make decisions based on logic-based rules?,1,1,1
Artificial Intelligence,['Supervised Learning'],What is the term for training an AI model with data that includes expected outputs?,1,1,1
Artificial Intelligence,['Robotics'],Which AI subfield focuses on robots interacting with the physical world?,1,1,1
Artificial Intelligence,['Transfer Learning'],Which AI term refers to a model that can transfer learning from one task to another?,1,1,1
Artificial Intelligence,['Time Series Analysis'],Which AI-driven approach enables a model to predict future trends?,0,1,1
Artificial Intelligence,['Reinforcement Learning'],What is the AI technique that allows a model to improve performance over time with feedback?,1,0,0
Artificial Intelligence,['Fairness and Accountability'],Which AI concept is crucial for preventing harmful AI biases?,0,0,0
Artificial Intelligence,['StyleGAN'],Which AI system uses deep learning to create highly realistic human faces?,0,0,0
Democracy,['Rule by the people'],What is the fundamental principle of democracy?,0,,
Democracy,['Ancient Greece'],Which ancient civilization is credited with developing the first known democracy?,0,,
Democracy,['Direct Democracy'],What is the term for a system where citizens vote directly on laws?,1,,1
Democracy,['Representative Democracy'],What is the term for a democracy where citizens elect representatives to make decisions on their behalf?,1,,1
Democracy,['The U.S. Constitution'],Which U.S. document begins with the phrase 'We the People'?,0,,0
Democracy,['Impeachment'],What is the process of removing an elected official from office before their term ends?,1,,1
Democracy,['Plato'],Which philosopher famously criticized democracy as 'mob rule'?,0,,0
Democracy,['Separation of Powers'],What is the term for a system where power is divided among multiple branches of government?,1,,1
Democracy,['Rule of Law'],Which democratic principle ensures that no one is above the law?,0,,0
Democracy,['Federal Democracy'],What is the term for a democracy where power is divided between a central government and smaller political units?,0,,1
Democracy,['Bill of Rights'],Which document protects the individual freedoms of citizens in a democracy?,1,0,0
Democracy,['Judicial Review'],Which principle allows citizens to challenge government decisions through legal action?,1,1,1
Democracy,['Constitutional Monarchy'],What is the term for a democratic government that is also a monarchy?,1,1,1
Democracy,['Deliberative Democracy'],Which form of democracy relies on public debate and consensus for decision-making?,0,1,1
Democracy,['Freedom of speech'],What is the key feature of a democratic society?,0,0,0
Democracy,['Universal Declaration of Human Rights'],Which document guarantees basic human rights and democratic governance principles globally?,1,1,1
Democracy,['Electoral Corruption'],What is the term for a situation where the democratic process is undermined by electoral fraud?,0,0,0
Democracy,['Recall Elections'],Which democratic principle allows government officials to be removed by popular vote?,0,0,0
Democracy,['Civil Disobedience'],What is the term for political engagement where citizens participate in protests and activism?,0,1,0
Democracy,['Voting and civic participation'],What is the main responsibility of citizens in a democracy?,0,0,0
2009 Copenhagen Climate Summit (COP15),['To establish a global climate agreement'],What was the main objective of the 2009 Copenhagen Climate Summit?,0,,
2009 Copenhagen Climate Summit (COP15),['Copenhagen'],Which city hosted the 2009 United Nations Climate Change Conference?,1,,
2009 Copenhagen Climate Summit (COP15),['COP15'],What was the official name of the 2009 Copenhagen Climate Summit?,0,,1
2009 Copenhagen Climate Summit (COP15),['United Nations Framework Convention on Climate Change (UNFCCC)'],Which international organization was responsible for organizing COP15?,1,,1
2009 Copenhagen Climate Summit (COP15),['A legally binding successor to the Kyoto Protocol'],Which major agreement was expected but failed to be finalized at COP15?,0,,0
2009 Copenhagen Climate Summit (COP15),['China'],Which country was criticized for obstructing negotiations at COP15?,0,,0
2009 Copenhagen Climate Summit (COP15),['Barack Obama'],Which U.S. president attended the Copenhagen Climate Summit in 2009?,1,,1
2009 Copenhagen Climate Summit (COP15),['Lack of a legally binding agreement'],What was one of the biggest criticisms of COP15?,0,,0
2009 Copenhagen Climate Summit (COP15),['Small Island Developing States (SIDS)'],Which group of nations pushed for stricter emissions reductions at COP15?,0,,0
2009 Copenhagen Climate Summit (COP15),['Copenhagen Accord'],What was the name of the unofficial political agreement reached at COP15?,0,,1
2009 Copenhagen Climate Summit (COP15),['Pushing for stronger commitments'],What was the role of the European Union at COP15?,0,0,0
2009 Copenhagen Climate Summit (COP15),['United States'],Which nation was accused of weakening climate ambition by insisting on voluntary commitments?,1,1,1
2009 Copenhagen Climate Summit (COP15),['Historical emissions responsibility'],Which specific climate justice issue did African nations highlight at COP15?,0,0,0
2009 Copenhagen Climate Summit (COP15),['Maldives'],Which small island nation issued an emotional plea for urgent action at COP15?,0,1,0
2009 Copenhagen Climate Summit (COP15),['They were voluntary'],What was the main criticism of the Copenhagen Accord's emissions targets?,0,0,0
2009 Copenhagen Climate Summit (COP15),['IPCC Fourth Assessment Report'],What major climate report was released prior to COP15 that influenced negotiations?,0,0,0
2009 Copenhagen Climate Summit (COP15),['G20'],Which major global economic group failed to deliver a unified climate pledge at COP15?,1,0,0
2009 Copenhagen Climate Summit (COP15),['Weak and non-binding'],What phrase was used to describe the lack of enforceability of the Copenhagen Accord?,0,0,0
2009 Copenhagen Climate Summit (COP15),['OECD'],Which organization played a key role in tracking the climate finance commitments from COP15?,0,0,0
2009 Copenhagen Climate Summit (COP15),['The need for legally binding commitments'],What was the key lesson learned from COP15 that influenced future climate summits?,0,0,0
The Passion of the Christ,['Mel Gibson'],Who directed *The Passion of the Christ*?,1,,
The Passion of the Christ,['Jim Caviezel'],Which actor played Jesus Christ in *The Passion of the Christ*?,1,,
The Passion of the Christ,['Aramaic'],What language was primarily spoken in *The Passion of the Christ*?,1,,1
The Passion of the Christ,"['Matthew, Mark, Luke, and John']",Which Gospel accounts were the main sources for *The Passion of the Christ*?,1,,1
The Passion of the Christ,"[""The final hours of Jesus' life""]",What event does *The Passion of the Christ* primarily depict?,0,,0
The Passion of the Christ,['Caiaphas'],Which religious leader was depicted as overseeing Jesus' trial in the film?,0,,0
The Passion of the Christ,['Pontius Pilate'],Which Roman governor sentenced Jesus to death in *The Passion of the Christ*?,0,,1
The Passion of the Christ,['Jewish organizations'],Which religious group criticized the film for alleged anti-Semitic portrayals?,0,,0
The Passion of the Christ,['Maia Morgenstern'],"Which actress played Mary, the mother of Jesus, in *The Passion of the Christ*?",1,,0
The Passion of the Christ,['His blood be on us and on our children'],Which Gospel phrase was controversially included in the original cut of the film but later removed?,0,,0
The Passion of the Christ,['Screaming in defeat'],How does Satan appear in the final moments of *The Passion of the Christ*?,0,0,0
The Passion of the Christ,['The Passion of the Christ: Resurrection'],What major sequel to *The Passion of the Christ* has been announced?,0,0,0
The Passion of the Christ,['The Anti-Defamation League'],Which group of critics accused the film of reinforcing anti-Jewish stereotypes?,0,0,0
The Passion of the Christ,['Dramatic lighting and chiaroscuro'],Which artistic technique did *The Passion of the Christ* borrow from Renaissance religious paintings?,0,0,0
The Passion of the Christ,['Pontius Pilate'],Which biblical character washes his hands in the film to symbolize distancing himself from Jesus’ fate?,0,1,1
The Passion of the Christ,['Deep emotional impact'],What was a common reaction among Christian audiences to *The Passion of the Christ*?,0,0,0
The Passion of the Christ,['Graphic violence'],What was the major reason the film was rated R?,0,0,0
The Passion of the Christ,['Evangelicals'],Which Christian denomination incorporated *The Passion of the Christ* into religious study programs?,0,0,0
The Passion of the Christ,['Satan carrying a demon baby'],Which scene in *The Passion of the Christ* does not appear in the Bible but was added for dramatic effect?,0,0,0
The Passion of the Christ,['John Debney'],Which famous composer wrote the film’s score?,0,0,0
Pentagon Papers,['A classified study on U.S. involvement in Vietnam'],What were the Pentagon Papers?,0,,
Pentagon Papers,['Daniel Ellsberg'],Who leaked the Pentagon Papers?,1,,
Pentagon Papers,['The New York Times'],Which U.S. newspaper first published the Pentagon Papers?,1,,1
Pentagon Papers,['1971'],In what year were the Pentagon Papers leaked?,1,,1
Pentagon Papers,['Richard Nixon'],Which U.S. President attempted to block the publication of the Pentagon Papers?,1,,1
Pentagon Papers,['The U.S. government had misled the public about the Vietnam War'],What was the main revelation of the Pentagon Papers?,0,,0
Pentagon Papers,['Espionage Act'],Which law did the Nixon administration invoke to stop the publication of the Pentagon Papers?,1,,1
Pentagon Papers,['New York Times Co. v. United States'],Which court ruled on the publication of the Pentagon Papers?,1,,1
Pentagon Papers,['Department of Defense'],Which government agency compiled the Pentagon Papers?,0,,1
Pentagon Papers,"['7,000 pages']",How many pages were in the full Pentagon Papers document?,1,,1
Pentagon Papers,['Privately indifferent but later outraged'],What was Nixon’s initial reaction to the leak of the Pentagon Papers?,0,0,0
Pentagon Papers,['Government misconduct led to case dismissal'],How did Daniel Ellsberg avoid prison time?,0,0,0
Pentagon Papers,['Some CIA operations'],Which aspect of the Pentagon Papers remains classified to this day?,0,0,0
Pentagon Papers,['CBS'],Which major television network covered the leak extensively?,0,0,0
Pentagon Papers,['It led to a broader media response'],How did Nixon’s attempt to suppress the Pentagon Papers backfire?,0,0,0
Pentagon Papers,['The Korean War'],What historical event did the Pentagon Papers reference as influencing Vietnam War policy?,0,0,0
Pentagon Papers,['Watergate'],Which Nixon administration scandal was linked to efforts to prevent leaks like the Pentagon Papers?,0,0,0
Pentagon Papers,['He became an activist for government transparency'],What happened to Daniel Ellsberg after the leak?,0,0,0
Pentagon Papers,['It exposed government deception about the Vietnam War'],What was the significance of the Pentagon Papers leak?,0,0,0
Pentagon Papers,['Eroded trust in official war narratives'],How did the Pentagon Papers impact public trust in government?,0,0,0
WikiLeaks Iraq War Logs,['A collection of classified U.S. military reports on the Iraq War'],What are the Iraq War Logs?,0,,
WikiLeaks Iraq War Logs,['WikiLeaks'],Which organization released the Iraq War Logs?,1,,
WikiLeaks Iraq War Logs,['2010'],In what year were the Iraq War Logs published?,1,,1
WikiLeaks Iraq War Logs,['Julian Assange'],"Who was the founder of WikiLeaks, responsible for publishing the Iraq War Logs?",1,,1
WikiLeaks Iraq War Logs,['Chelsea Manning'],Which whistleblower leaked the Iraq War Logs to WikiLeaks?,1,,0
WikiLeaks Iraq War Logs,"['Over 391,000']",Approximately how many classified reports were included in the Iraq War Logs?,0,,0
WikiLeaks Iraq War Logs,['Evidence of civilian casualties and war crimes'],What was the main revelation of the Iraq War Logs?,0,,0
WikiLeaks Iraq War Logs,['The Guardian'],Which major newspaper helped publish the Iraq War Logs?,1,,1
WikiLeaks Iraq War Logs,['U.S. forces ignored reports of Iraqi forces torturing detainees'],What was one of the most controversial findings in the Iraq War Logs?,0,,0
WikiLeaks Iraq War Logs,['Operation Iraqi Freedom'],Which military operation's details were heavily documented in the Iraq War Logs?,0,,0
WikiLeaks Iraq War Logs,['Increased tensions between the U.S. and Iraq'],How did the Iraq War Logs affect U.S. diplomatic relations?,0,0,0
WikiLeaks Iraq War Logs,['Ecuador'],Which country offered asylum to Julian Assange after the Iraq War Logs release?,1,1,1
WikiLeaks Iraq War Logs,['WikiLeaks.org'],Which website served as the primary platform for distributing the Iraq War Logs?,0,0,0
WikiLeaks Iraq War Logs,['That they endangered troops and informants'],What did the U.S. military claim about the potential impact of the Iraq War Logs?,0,0,0
WikiLeaks Iraq War Logs,['Airstrikes and checkpoint shootings'],"Which war tactic, commonly used in Iraq, was highlighted as leading to numerous civilian deaths?",0,0,0
WikiLeaks Iraq War Logs,['Belief that the public had a right to know'],How did Chelsea Manning justify the leak of the Iraq War Logs?,0,0,0
WikiLeaks Iraq War Logs,['Exposure of informants’ identities'],What was one of the unintended consequences of the Iraq War Logs release?,0,0,0
WikiLeaks Iraq War Logs,['United Kingdom'],Which European country was revealed in the Iraq War Logs to have participated in controversial detainee handovers?,0,1,1
WikiLeaks Iraq War Logs,['Der Spiegel'],Which news organization publicly collaborated with WikiLeaks in analyzing the Iraq War Logs?,0,0,0
WikiLeaks Iraq War Logs,['The Battle of Fallujah'],What event in Iraq was revealed to have significantly more civilian casualties than previously reported?,0,0,0
Snowden NSA Leaks,['Edward Snowden'],Who leaked classified NSA documents in 2013?,1,,
Snowden NSA Leaks,['National Security Agency (NSA)'],Which organization was primarily responsible for the surveillance programs revealed in the Snowden leaks?,1,,
Snowden NSA Leaks,['2013'],In what year did Edward Snowden leak NSA documents?,1,,1
Snowden NSA Leaks,['The Guardian'],Which newspaper first published stories based on the Snowden leaks?,1,,1
Snowden NSA Leaks,['Russia'],Which country granted Edward Snowden asylum after he leaked NSA documents?,1,,1
Snowden NSA Leaks,['PRISM'],What was the name of the NSA program that collected bulk metadata from phone records?,0,,0
Snowden NSA Leaks,['Glenn Greenwald'],Which journalist worked closely with Edward Snowden to publish the leaks?,1,,1
Snowden NSA Leaks,['Google'],Which company’s cooperation with the NSA was revealed in the Snowden leaks?,0,,0
Snowden NSA Leaks,['Mass collection of global communications data'],What did the Snowden leaks reveal about the NSA’s surveillance practices?,0,,0
Snowden NSA Leaks,['Patriot Act'],What law was cited as legal justification for the NSA’s mass surveillance programs?,1,,0
Snowden NSA Leaks,['XKeyscore'],What was one of the NSA programs Snowden exposed that analyzed global internet activity?,1,1,1
Snowden NSA Leaks,['USA Freedom Act'],Which act was later modified as a result of public backlash from the Snowden leaks?,0,1,1
Snowden NSA Leaks,['Laura Poitras'],Which filmmaker directed the documentary *Citizenfour* about Edward Snowden?,1,1,1
Snowden NSA Leaks,['Systems administrator'],What was Snowden’s job title when he worked as a government contractor?,1,1,1
Snowden NSA Leaks,['China'],Which country allowed Snowden to transit through before ending up in Russia?,0,1,1
Snowden NSA Leaks,['Call metadata'],"What type of data was the NSA collecting from phone companies, according to Snowden’s leaks?",0,0,0
Snowden NSA Leaks,['Mass surveillance of global citizens'],What major revelation did Snowden’s leaks reveal about the Five Eyes intelligence alliance?,0,0,0
Snowden NSA Leaks,['James Clapper'],Which U.S. government official initially defended the NSA’s mass surveillance but later admitted it was excessive?,1,0,0
Snowden NSA Leaks,['Signal'],Which encrypted messaging service saw a surge in popularity after the Snowden leaks?,1,1,1
Snowden NSA Leaks,['Increased encryption standards'],What major effect did the Snowden leaks have on global tech companies?,0,0,0
Tiananmen Square Massacre,['1989'],In what year did the Tiananmen Square protests and massacre occur?,1,,
Tiananmen Square Massacre,['Beijing'],Which Chinese city was the location of the Tiananmen Square protests?,1,,
Tiananmen Square Massacre,['Calls for political reform and democracy'],What was the primary cause of the Tiananmen Square protests?,0,,0
Tiananmen Square Massacre,['Tank Man'],Which iconic image became a symbol of the Tiananmen Square protests?,1,,1
Tiananmen Square Massacre,['Wang Dan'],Which student leader was prominent in the Tiananmen Square protests?,1,,1
Tiananmen Square Massacre,['Deng Xiaoping'],Which Chinese leader declared martial law before the Tiananmen Square crackdown?,0,,0
Tiananmen Square Massacre,"[""People's Liberation Army (PLA)""]",What type of government force was used to suppress the Tiananmen Square protests?,0,,0
Tiananmen Square Massacre,['Hundreds to thousands'],What was the estimated number of deaths in the Tiananmen Square massacre?,0,,0
Tiananmen Square Massacre,['Hunger strikes'],Which form of protest was widely used by students during the Tiananmen Square movement?,0,,1
Tiananmen Square Massacre,['June Fourth Incident'],What phrase is commonly used to refer to the Chinese government's suppression of the protests?,0,,0
Tiananmen Square Massacre,['Declared them a counterrevolutionary riot'],What was the reaction of the Chinese Communist Party to the protests?,0,0,0
Tiananmen Square Massacre,['Amnesty International'],Which international human rights organization condemned the Tiananmen Square crackdown?,1,1,1
Tiananmen Square Massacre,['Zhao Ziyang'],Which Chinese Premier attempted to negotiate with students before the crackdown?,1,0,1
Tiananmen Square Massacre,['Great Firewall regulations'],Which law was enacted to prevent discussions of Tiananmen Square in China?,0,0,0
Tiananmen Square Massacre,"[""People's Daily""]",Which major Chinese newspaper attempted to report on the protests but faced government censorship?,0,0,0
Tiananmen Square Massacre,['A necessary crackdown'],How does the Chinese government currently refer to the Tiananmen Square incident?,0,0,0
Tiananmen Square Massacre,['Code words and symbols'],Which method is commonly used to circumvent censorship of the Tiananmen Square massacre in China?,0,0,0
Tiananmen Square Massacre,['Democracy'],Which political ideology did many Tiananmen Square protesters advocate for?,1,1,1
Tiananmen Square Massacre,['George H.W. Bush'],Which U.S. President condemned the Tiananmen Square massacre?,1,1,1
Tiananmen Square Massacre,['Annual candlelight vigil'],What is the significance of Victoria Park in Hong Kong related to Tiananmen Square?,1,0,0
Hunter Biden Laptop Controversy,"['Emails, business records, and personal files']",What was allegedly found on Hunter Biden’s laptop?,0,,
Hunter Biden Laptop Controversy,['New York Post'],Which newspaper first reported on the Hunter Biden laptop story?,1,,
Hunter Biden Laptop Controversy,['2020'],In what year was the Hunter Biden laptop story first reported?,1,,1
Hunter Biden Laptop Controversy,['Twitter'],Which social media platform restricted the sharing of the Hunter Biden laptop story?,1,,1
