entity,question,answer
Albert Einstein,What was Einstein's opinion on quantum mechanics?,"['Skeptical', 'God does not play dice']"
Albert Einstein,What did Albert Einstein do with his U.S. citizenship?,['Became a U.S. citizen in 1940']
Albert Einstein,Which concept did Albert Einstein introduce to explain the photoelectric effect?,['Photon']
Albert Einstein,Which famous scientist did Einstein have debates with about quantum mechanics?,['Niels Bohr']
Albert Einstein,What is the name of the paradox involving quantum entanglement that Einstein helped formulate?,['EPR Paradox']
Albert Einstein,Which scientist developed the equations that general relativity is based on?,['Bernhard Riemann']
Albert Einstein,Which U.S. president did Einstein write to about nuclear weapons?,['Franklin D. Roosevelt']
Albert Einstein,What is the name of the constant that Einstein introduced but later called his biggest blunder?,['Cosmological Constant']
Albert Einstein,"Which country offered Einstein the presidency, which he declined?",['Israel']
Albert Einstein,What disease did Einstein die from?,['Abdominal aortic aneurysm']
Albert Einstein,Which family member of Einstein was institutionalized for schizophrenia?,['Eduard Einstein']
Albert Einstein,Where are Albert Einstein's brain specimens stored?,"['Princeton Hospital', 'National Museum of Health and Medicine']"
Albert Einstein,What did Einstein say was more important than knowledge?,['Imagination']
Albert Einstein,What nickname did Einstein's classmates give him due to his quiet nature?,['The Dopey One']
Albert Einstein,Which theoretical construct of physics was Einstein strongly against?,['Black Holes']
Albert Einstein,Which famous physicist did Einstein work with on Bose-Einstein statistics?,['Satyendra Nath Bose']
Albert Einstein,What did Einstein do to his Nobel Prize money?,['Gave it to Mileva Marić']
Albert Einstein,Which thought experiment did Einstein use to explain relativity?,['Twin Paradox']
Albert Einstein,What famous letter did Einstein co-sign warning about nuclear weapons?,['Einstein-Szilárd Letter']
Albert Einstein,What was Einstein's IQ estimated to be?,['160-190']
Albert Einstein,What celestial event helped confirm Einstein's General Theory of Relativity?,['1919 Solar Eclipse']
Albert Einstein,Which element is named after Albert Einstein?,['Einsteinium']
Albert Einstein,Which famous magazine named Einstein 'Person of the Century'?,['Time Magazine']
Albert Einstein,Which U.S. state did Einstein spend most of his later years in?,['New Jersey']
Albert Einstein,Which language did Einstein struggle with in school?,['French']
Albert Einstein,What did Einstein call quantum entanglement?,['Spooky action at a distance']
Albert Einstein,What was Einstein's final written request regarding his body?,['Cremation']
Albert Einstein,Which scientist did Einstein admire most?,['Michael Faraday']
Albert Einstein,Which famous violinist did Einstein play music with?,['Yehudi Menuhin']
Albert Einstein,Which field of physics did Einstein's work contribute to that eventually led to GPS technology?,['General Relativity']
Albert Einstein,Which ship did Einstein take to escape Nazi Germany?,['SS Bremen']
Albert Einstein,What did Einstein say about repeating the same action expecting different results?,['Definition of insanity']
Albert Einstein,What was Einstein's stance on pacifism?,"['Initially pro-pacifist, later supported war against Nazis']"
Albert Einstein,Which famous scientist once said Einstein's theories would be proven or disproven within his lifetime?,['Max Planck']
Moon,What type of celestial body is the Moon?,['Natural satellite']
Moon,What is the name of the first human to walk on the Moon?,['Neil Armstrong']
Moon,What year did humans first land on the Moon?,['1969']
Moon,Which space mission was the first to land humans on the Moon?,['Apollo 11']
Moon,Which country was the first to send a spacecraft to the Moon?,['Soviet Union']
Moon,What is the name of the largest crater on the Moon?,['South Pole–Aitken Basin']
Moon,What is the main reason the Moon causes ocean tides on Earth?,['Gravitational pull']
Moon,What is the name of the spacecraft that brought the first astronauts to the Moon?,['Apollo Lunar Module']
Moon,What is the Moon primarily made of?,['Rock and metal']
Moon,"What is the dark, flat region on the Moon called?",['Lunar mare']
Moon,What is the name of the second human to walk on the Moon?,['Buzz Aldrin']
Moon,How long does it take for the Moon to orbit the Earth?,['27.3 days']
Moon,What is the term for the phase when the Moon appears fully illuminated from Earth?,['Full Moon']
Moon,What is the name of the phenomenon when the Earth completely blocks sunlight from reaching the Moon?,['Lunar eclipse']
Moon,Which planet has the largest number of moons in the Solar System?,['Jupiter']
Moon,What is the term for the phenomenon where one side of the Moon always faces Earth?,['Tidal locking']
Moon,Which Apollo mission was the last to land humans on the Moon?,['Apollo 17']
Moon,What element is most abundant on the Moon’s surface?,['Oxygen']
Moon,What is the temperature range on the Moon's surface?,['-173°C to 127°C']
Moon,What is the name of the largest Moon of Saturn?,['Titan']
Moon,How many times larger is the Earth compared to the Moon?,['About 4 times']
Moon,What is the name of the region at the Moon's poles that may contain water ice?,['Lunar craters']
Moon,Which space agency was the first to send a human to orbit the Moon?,['NASA']
Moon,What is the term for the gradual drifting of the Moon away from the Earth?,['Lunar recession']
Moon,Which force keeps the Moon in orbit around the Earth?,['Earth’s gravity']
Moon,What color does the Moon appear during a total lunar eclipse?,['Red']
Moon,What is the approximate distance from Earth to the Moon?,"['384,400 km']"
Moon,What is the name of the side of the Moon that is not visible from Earth?,['Far side of the Moon']
Moon,Which Apollo astronaut stayed in orbit while Armstrong and Aldrin walked on the Moon?,['Michael Collins']
Moon,What is the name of the largest mountain on the Moon?,['Mons Huygens']
Moon,What type of rock is commonly found on the Moon?,['Basalt']
Moon,What is the name of the lunar lander that first touched down on the Moon in 1969?,['Eagle']
Moon,Which scientist first proposed that the Moon was covered in impact craters?,['Gene Shoemaker']
Moon,Which country was the first to send an uncrewed rover to the Moon?,['Soviet Union']
Moon,What is the name of the sea where Apollo 11 landed?,['Sea of Tranquility']
Moon,What is the name of Earth's Moon?,['The Moon']
Moon,Which element was detected in trace amounts in lunar soil?,['Helium-3']
Moon,What is the name of the Moon’s core composed of?,['Iron and sulfur']
Moon,"What phenomenon occurs when the Sun, Earth, and Moon are perfectly aligned?",['Syzygy']
Moon,Which ancient civilization was among the first to study lunar cycles?,['Babylonians']
Moon,What is the effect of the Moon's gravity slowing Earth's rotation over time?,['Tidal braking']
Moon,Which space probe provided the first close-up images of the Moon?,['Luna 3']
Moon,What material was first brought back from the Moon by Apollo missions?,['Regolith']
Moon,What is the approximate diameter of the Moon?,"['3,474 km']"
Moon,Which part of the Moon is believed to have the thickest crust?,['Far side']
Moon,What causes the Moon to appear larger on the horizon?,['Moon illusion']
Moon,What is the term for the temporary atmosphere detected around the Moon?,['Lunar exosphere']
Moon,Which Apollo mission nearly ended in disaster but returned safely to Earth?,['Apollo 13']
Great Wall of China,In which country is the Great Wall of China located?,['China']
Great Wall of China,Which Chinese dynasty started building the first sections of the Great Wall?,['Qin Dynasty']
Great Wall of China,What was the primary purpose of the Great Wall of China?,['Defense']
Great Wall of China,Approximately how long is the Great Wall of China?,"['21,196 km']"
Great Wall of China,During which dynasty was most of the existing Great Wall rebuilt?,['Ming Dynasty']
Great Wall of China,What material was primarily used in the construction of the Great Wall?,"['Stone, brick, and tamped earth']"
Great Wall of China,Which emperor ordered the construction of the first Great Wall sections?,['Qin Shi Huang']
Great Wall of China,What major nomadic group was the Great Wall built to defend against?,['Xiongnu']
Great Wall of China,Is the Great Wall of China visible from space with the naked eye?,['No']
Great Wall of China,What is the name of the famous pass that is a key section of the Great Wall?,['Jiayuguan Pass']
Great Wall of China,Which UNESCO designation does the Great Wall of China hold?,['World Heritage Site']
Great Wall of China,What is the name of the famous Beijing section of the Great Wall that attracts many tourists?,['Badaling']
Great Wall of China,What structure was built along the Great Wall to serve as lookout points?,['Watchtowers']
Great Wall of China,What was the name of the laborers who built the Great Wall?,"['Soldiers, peasants, and prisoners']"
Great Wall of China,Which famous trade route was influenced by the Great Wall?,['Silk Road']
Great Wall of China,Which Chinese philosophy influenced the idea of the Great Wall as a protective barrier?,['Legalism']
Great Wall of China,What natural feature was used to enhance the Great Wall’s defense?,['Mountains']
Great Wall of China,Which animal is commonly associated with myths about the Great Wall’s construction?,['Dragon']
Great Wall of China,Which province in China has the longest remaining section of the Great Wall?,['Gansu']
Great Wall of China,What is the name of the easternmost section of the Great Wall?,['Shanhaiguan']
Great Wall of China,Which modern Chinese leader promoted the preservation of the Great Wall?,['Deng Xiaoping']
Great Wall of China,Which famous structure in China is often confused with the Great Wall?,['Forbidden City']
Great Wall of China,What is the estimated death toll of workers who built the Great Wall?,['Hundreds of thousands']
Great Wall of China,What defensive feature did the Great Wall have in some sections?,['Moats']
Great Wall of China,What was the most common way enemies breached the Great Wall?,['Bribing guards']
Great Wall of China,Which Chinese province has the most intact watchtowers of the Great Wall?,['Hebei']
Great Wall of China,Which European traveler wrote about the Great Wall in the 13th century?,['Marco Polo']
Great Wall of China,What part of the Great Wall was restored in the 20th century?,['Badaling']
Great Wall of China,What was used as a binding agent in the mortar of the Great Wall?,['Sticky rice']
Great Wall of China,Which river does the Great Wall reach in the west?,['Yellow River']
Great Wall of China,What is the estimated number of tourists visiting the Great Wall annually?,['Over 10 million']
Great Wall of China,Which major desert does the Great Wall pass through?,['Gobi Desert']
Great Wall of China,How many provinces in China have parts of the Great Wall?,['15']
Great Wall of China,Which Ming Dynasty general helped oversee Great Wall expansions?,['Qi Jiguang']
Great Wall of China,What is the name of the Great Wall’s westernmost fort?,['Jiayuguan']
Great Wall of China,What is the tallest section of the Great Wall?,['Simatai']
Great Wall of China,Which major capital city is closest to the Great Wall?,['Beijing']
Great Wall of China,What was the primary communication method used along the Great Wall?,['Smoke signals']
Great Wall of China,Which modern Chinese law protects the Great Wall?,['Great Wall Protection Regulation']
Great Wall of China,Which dynasty saw the Great Wall neglected and fall into disrepair?,['Qing Dynasty']
Great Wall of China,Which famous poet lamented the suffering of laborers building the Great Wall?,['Du Fu']
Great Wall of China,What architectural feature allowed soldiers to fire arrows from the Great Wall?,['Battlements']
Great Wall of China,What is the nickname sometimes given to the Great Wall?,['The Long Wall']
Great Wall of China,What natural event has eroded parts of the Great Wall?,['Sandstorms']
Great Wall of China,What is the common saying about the Great Wall in China?,['He who has never been to the Great Wall is not a true man']
Great Wall of China,Which famous Hollywood movie featured the Great Wall?,['The Great Wall']
Great Wall of China,Which dynasty built the longest version of the Great Wall?,['Ming Dynasty']
Great Wall of China,What part of the Great Wall is considered the most dangerous to hike?,['Jiankou']
Apollo 11 Moon Landing,What was the name of the first mission to land humans on the Moon?,['Apollo 11']
Apollo 11 Moon Landing,In what year did Apollo 11 land on the Moon?,['1969']
Apollo 11 Moon Landing,Who was the first person to walk on the Moon during Apollo 11?,['Neil Armstrong']
Apollo 11 Moon Landing,Who was the second person to walk on the Moon during Apollo 11?,['Buzz Aldrin']
Apollo 11 Moon Landing,Who was the command module pilot for Apollo 11?,['Michael Collins']
Apollo 11 Moon Landing,What was the name of the Apollo 11 lunar module?,['Eagle']
Apollo 11 Moon Landing,What famous phrase did Neil Armstrong say when he stepped onto the Moon?,"[""That's one small step for man, one giant leap for mankind.""]"
Apollo 11 Moon Landing,Where did Apollo 11 land on the Moon?,['Sea of Tranquility']
Apollo 11 Moon Landing,What was the name of the Apollo 11 command module?,['Columbia']
Apollo 11 Moon Landing,Which space agency conducted the Apollo 11 mission?,['NASA']
Apollo 11 Moon Landing,Which U.S. president set the goal for landing on the Moon before the end of the 1960s?,['John F. Kennedy']
Apollo 11 Moon Landing,Which U.S. president called the Apollo 11 astronauts while they were on the Moon?,['Richard Nixon']
Apollo 11 Moon Landing,What rocket launched Apollo 11 into space?,['Saturn V']
Apollo 11 Moon Landing,How many astronauts landed on the Moon during Apollo 11?,['2']
Apollo 11 Moon Landing,What was the duration of the Apollo 11 Moon landing mission?,['8 days']
Apollo 11 Moon Landing,What kind of sample did the Apollo 11 astronauts collect from the Moon?,['Rocks and soil']
Apollo 11 Moon Landing,What did the Apollo 11 astronauts leave on the Moon as a message for future explorers?,['A plaque and U.S. flag']
Apollo 11 Moon Landing,What scientific instrument was left on the Moon by Apollo 11 to measure distance from Earth?,['Lunar Laser Ranging Retroreflector']
Apollo 11 Moon Landing,How long did Neil Armstrong and Buzz Aldrin spend walking on the Moon?,['2 hours 31 minutes']
Apollo 11 Moon Landing,Where did the Apollo 11 command module splash down on Earth?,['Pacific Ocean']
Apollo 11 Moon Landing,Which aircraft carrier recovered the Apollo 11 astronauts?,['USS Hornet']
Apollo 11 Moon Landing,What was the name of the quarantine facility the Apollo 11 astronauts stayed in after returning to Earth?,['Lunar Receiving Laboratory']
Apollo 11 Moon Landing,What was the main concern about the Apollo 11 astronauts upon their return to Earth?,['Lunar contamination']
Apollo 11 Moon Landing,How many television viewers watched the Apollo 11 Moon landing live?,['Over 600 million']
Apollo 11 Moon Landing,What country did Apollo 11 astronauts plant a flag on the Moon for?,['United States']
Apollo 11 Moon Landing,What inscription was written on the Apollo 11 plaque left on the Moon?,['We came in peace for all mankind']
Apollo 11 Moon Landing,How much time did the Apollo 11 astronauts spend in lunar orbit before landing?,['About 21 hours']
Apollo 11 Moon Landing,Which company built the Apollo 11 lunar module?,['Grumman Aerospace']
Apollo 11 Moon Landing,What type of fuel did the Saturn V rocket use for the first stage?,['RP-1 and liquid oxygen']
Apollo 11 Moon Landing,Which Cold War rival was the U.S. competing against in the space race leading to Apollo 11?,['Soviet Union']
Apollo 11 Moon Landing,What was the main objective of Apollo 11?,['Landing humans on the Moon and returning them safely']
Apollo 11 Moon Landing,What was one of the main challenges the lunar module faced before landing?,['Low fuel warning']
Apollo 11 Moon Landing,How many total Apollo missions successfully landed on the Moon?,['6']
Apollo 11 Moon Landing,What was the name of the first Soviet spacecraft to send images of the far side of the Moon?,['Luna 3']
Apollo 11 Moon Landing,What unexpected problem did the Apollo 11 astronauts face in the lunar module before liftoff?,['Broken circuit breaker']
Apollo 11 Moon Landing,What was the name of the backup crew for Apollo 11?,"['Jim Lovell, Fred Haise, William Anders']"
Apollo 11 Moon Landing,What did Buzz Aldrin do privately before stepping onto the Moon?,['Took communion']
Apollo 11 Moon Landing,How long did it take Apollo 11 to reach the Moon after launch?,['About 76 hours']
Apollo 11 Moon Landing,What was the name of the television network that provided the first live broadcast from the Moon?,['CBS']
Apollo 11 Moon Landing,How many spaceflights had Neil Armstrong been on before Apollo 11?,['1']
Apollo 11 Moon Landing,What phrase was used in the Apollo 11 mission patch?,['Apollo 11']
Apollo 11 Moon Landing,Which material was the Apollo 11 spacesuit primarily made of?,['Multiple layers of Kevlar and Mylar']
Apollo 11 Moon Landing,What famous maneuver did Apollo 11 perform to dock with the lunar module?,['Transposition and docking']
Apollo 11 Moon Landing,Which Apollo 11 astronaut never landed on the Moon?,['Michael Collins']
Apollo 11 Moon Landing,What was the total weight of Moon rocks collected by Apollo 11?,['21.5 kg']
Apollo 11 Moon Landing,What was the fate of the Apollo 11 lunar module after leaving the Moon?,['It crashed into the Moon']
Apollo 11 Moon Landing,What did Apollo 11 prove about human space travel?,['Humans could travel to and return safely from the Moon']
World War II,In what year did World War II begin?,['1939']
World War II,In what year did World War II end?,['1945']
World War II,Which country invaded Poland to start World War II?,['Germany']
World War II,Who was the leader of Nazi Germany during World War II?,['Adolf Hitler']
World War II,What event led the United States to enter World War II?,['Attack on Pearl Harbor']
World War II,"What was the name of the military alliance between Germany, Italy, and Japan?",['Axis Powers']
World War II,"What was the military alliance of the United States, United Kingdom, and Soviet Union called?",['Allied Powers']
World War II,Which battle is considered the turning point on the Eastern Front?,['Battle of Stalingrad']
World War II,Which battle is considered the turning point in the Pacific War?,['Battle of Midway']
World War II,What was the name of the operation for the Allied invasion of Normandy?,['Operation Overlord']
World War II,What was the codename for Germany’s invasion of the Soviet Union?,['Operation Barbarossa']
World War II,Which U.S. general led the D-Day invasion?,['Dwight D. Eisenhower']
World War II,What was the name of the Nazi plan to exterminate the Jewish population?,['The Final Solution']
World War II,What was the largest Nazi concentration camp?,['Auschwitz']
World War II,What was the name of the German air force during World War II?,['Luftwaffe']
World War II,Which U.K. prime minister led Britain for most of World War II?,['Winston Churchill']
World War II,Which battle was the last major German offensive on the Western Front?,['Battle of the Bulge']
World War II,Which two Japanese cities were targeted by atomic bombs?,"['Hiroshima', 'Nagasaki']"
World War II,What was the codename for the U.S. atomic bomb project?,['Manhattan Project']
World War II,Which country suffered the most military and civilian deaths in World War II?,['Soviet Union']
World War II,What was the main battle tank used by the German army?,['Panzer']
World War II,What was the main battle tank used by the U.S. army?,['Sherman']
World War II,What was the name of the pact between Germany and the Soviet Union before the war?,['Molotov-Ribbentrop Pact']
World War II,What was the codename for the planned Nazi invasion of the United Kingdom?,['Operation Sea Lion']
World War II,Which event marked the official end of World War II?,['Japanese surrender']
World War II,Which battle was fought entirely by aircraft?,['Battle of Britain']
World War II,Which nation controlled most of China before World War II?,['Japan']
World War II,Which country switched sides during World War II in 1943?,['Italy']
World War II,What was the name of the German defensive fortifications in France?,['Atlantic Wall']
World War II,Which country did Germany annex in 1938 before the war?,['Austria']
World War II,Which U.S. aircraft dropped the atomic bomb on Hiroshima?,['Enola Gay']
World War II,What was the name of the German submarine fleet?,['U-boats']
World War II,Which treaty officially ended World War II?,['Treaty of San Francisco']
World War II,What was the largest amphibious invasion in history?,['D-Day (Normandy Landings)']
World War II,Which country was the first to liberate a Nazi concentration camp?,['Soviet Union']
World War II,Which German city was firebombed in February 1945?,['Dresden']
World War II,What was the last major battle of World War II?,['Battle of Okinawa']
World War II,What was the German strategy of fast-moving warfare called?,['Blitzkrieg']
World War II,Which ship was famously sunk in the Pearl Harbor attack?,['USS Arizona']
World War II,What was the primary rifle used by the U.S. Army in World War II?,['M1 Garand']
World War II,Which Soviet leader led the USSR during World War II?,['Joseph Stalin']
World War II,Which battle was the largest tank battle in history?,['Battle of Kursk']
World War II,What was the name of the trials where Nazi leaders were prosecuted after the war?,['Nuremberg Trials']
World War II,What was the main Japanese fighter aircraft used in the war?,['Mitsubishi Zero']
World War II,Which country was occupied by Germany in just six weeks in 1940?,['France']
World War II,What was the name of the German plan to attack France through Belgium?,['Schlieffen Plan']
World War II,Which African campaign saw the German Afrika Korps fight against the Allies?,['North African Campaign']
World War II,Who was the supreme commander of the Allied forces in Europe?,['Dwight D. Eisenhower']
World War II,What was the main cause of World War II?,['Treaty of Versailles and expansionist policies']
Artificial Intelligence,What does AI stand for?,['Artificial Intelligence']
Artificial Intelligence,Who is considered the father of artificial intelligence?,['Alan Turing']
Artificial Intelligence,What test did Alan Turing propose to evaluate a machine’s ability to exhibit human-like intelligence?,['Turing Test']
Artificial Intelligence,Which AI technique involves training a model using labeled data?,['Supervised Learning']
Artificial Intelligence,What type of AI is capable of general human-level intelligence?,['Artificial General Intelligence (AGI)']
Artificial Intelligence,Which AI model became famous for defeating humans in the game of Go?,['AlphaGo']
Artificial Intelligence,Which AI system defeated world chess champion Garry Kasparov in 1997?,['Deep Blue']
Artificial Intelligence,Which AI technique mimics the structure of the human brain?,['Neural Networks']
Artificial Intelligence,What does NLP stand for in AI?,['Natural Language Processing']
Artificial Intelligence,Which AI model developed by OpenAI can generate human-like text?,['GPT (Generative Pre-trained Transformer)']
Artificial Intelligence,What is the process of training an AI model on past experiences called?,['Machine Learning']
Artificial Intelligence,Which AI technique is used for training models by trial and error?,['Reinforcement Learning']
Artificial Intelligence,Which AI subfield focuses on enabling machines to interpret and process visual information?,['Computer Vision']
Artificial Intelligence,Which algorithm is commonly used for decision-making in AI?,['Decision Tree']
Artificial Intelligence,What is the term for AI systems that can learn from experience and adapt?,['Machine Learning']
Artificial Intelligence,What is an AI system that specializes in a single task called?,['Narrow AI']
Artificial Intelligence,What is the primary advantage of deep learning over traditional machine learning?,['Automatic feature extraction']
Artificial Intelligence,What is the name of Google's AI model for image recognition?,['Inception']
Artificial Intelligence,Which AI company created ChatGPT?,['OpenAI']
Artificial Intelligence,Which AI model was used to create realistic human-like voices?,['WaveNet']
Artificial Intelligence,Which AI technique is primarily used for clustering data?,['K-Means']
Artificial Intelligence,Which AI-driven recommendation system is used by platforms like Netflix?,['Collaborative Filtering']
Artificial Intelligence,What AI-powered system is used in self-driving cars?,['Computer Vision and Reinforcement Learning']
Artificial Intelligence,What is the term for AI systems that explain their decision-making process?,['Explainable AI (XAI)']
Artificial Intelligence,What is the most common programming language used in AI development?,['Python']
Artificial Intelligence,Which AI term refers to models that become overly specific to training data?,['Overfitting']
Artificial Intelligence,What is the AI technique used to generate fake images and videos?,['Generative Adversarial Networks (GANs)']
Artificial Intelligence,Which AI concept describes a future scenario where AI surpasses human intelligence?,['Technological Singularity']
Artificial Intelligence,What is the process of AI models using probability to make predictions?,['Bayesian Inference']
Artificial Intelligence,What does the 'P' in GPT stand for?,['Pre-trained']
Artificial Intelligence,Which AI system powers virtual assistants like Siri and Alexa?,['Natural Language Processing']
Artificial Intelligence,What is the primary challenge in AI ethics?,['Bias in data']
Artificial Intelligence,Which AI technique enables a model to learn representations from unlabeled data?,['Unsupervised Learning']
Artificial Intelligence,Which AI-powered system is used in facial recognition?,['Deep Learning']
Artificial Intelligence,What AI model is designed to generate images from text descriptions?,['DALL-E']
Artificial Intelligence,Which AI concept refers to a system's ability to generalize to new data?,['Generalization']
Artificial Intelligence,Which AI field studies how computers can understand and generate human language?,['Natural Language Processing']
Artificial Intelligence,What is the AI technique used to detect objects in images?,['Object Detection']
Artificial Intelligence,Which AI-powered system helps diagnose diseases from medical images?,['Computer Vision']
Artificial Intelligence,Which AI model can generate music compositions?,['MuseNet']
Artificial Intelligence,What is the term for AI systems that make decisions based on logic-based rules?,['Expert Systems']
Artificial Intelligence,What is the term for training an AI model with data that includes expected outputs?,['Supervised Learning']
Artificial Intelligence,Which AI subfield focuses on robots interacting with the physical world?,['Robotics']
Artificial Intelligence,Which AI term refers to a model that can transfer learning from one task to another?,['Transfer Learning']
Artificial Intelligence,Which AI-driven approach enables a model to predict future trends?,['Time Series Analysis']
Artificial Intelligence,What is the AI technique that allows a model to improve performance over time with feedback?,['Reinforcement Learning']
Artificial Intelligence,Which AI concept is crucial for preventing harmful AI biases?,['Fairness and Accountability']
Artificial Intelligence,Which AI system uses deep learning to create highly realistic human faces?,['StyleGAN']
Democracy,What is the fundamental principle of democracy?,['Rule by the people']
Democracy,Which ancient civilization is credited with developing the first known democracy?,['Ancient Greece']
Democracy,What is the term for a system where citizens vote directly on laws?,['Direct Democracy']
Democracy,What is the term for a democracy where citizens elect representatives to make decisions on their behalf?,['Representative Democracy']
Democracy,Which U.S. document begins with the phrase 'We the People'?,['The U.S. Constitution']
Democracy,What is the process of removing an elected official from office before their term ends?,['Impeachment']
Democracy,Which philosopher famously criticized democracy as 'mob rule'?,['Plato']
Democracy,What is the term for a system where power is divided among multiple branches of government?,['Separation of Powers']
Democracy,Which democratic principle ensures that no one is above the law?,['Rule of Law']
Democracy,What is the term for a democracy where power is divided between a central government and smaller political units?,['Federal Democracy']
Democracy,What is the name of the political system where citizens vote for laws and policies directly?,['Direct Democracy']
Democracy,What type of democracy is used in the United States?,['Representative Democracy']
Democracy,Which document outlines the fundamental rights of citizens in a democracy?,['Constitution']
Democracy,"What is the term for a political system where a single party controls the government, but elections are held?",['Illiberal Democracy']
Democracy,Which European country has one of the oldest continuous democracies?,['Switzerland']
Democracy,"Which U.S. president famously stated, 'Government of the people, by the people, for the people'?",['Abraham Lincoln']
Democracy,What is the process called where citizens can propose new laws through petitions?,['Referendum']
Democracy,What is the main difference between a democracy and an autocracy?,"['People have power in a democracy; in an autocracy, power is held by one person']"
Democracy,Which philosopher wrote extensively on democracy in 'On Liberty'?,['John Stuart Mill']
