entity,question,answer,baseline
Albert Einstein,Which famous scientist did Einstein have debates with about quantum mechanics?,['Niels Bohr'],0
Albert Einstein,What is the name of the paradox involving quantum entanglement that Einstein helped formulate?,['EPR Paradox'],0
Albert Einstein,Which scientist developed the equations that general relativity is based on?,['Bernhard Riemann'],0
Albert Einstein,Which U.S. president did Einstein write to about nuclear weapons?,['Franklin D. Roosevelt'],0
Albert Einstein,What is the name of the constant that Einstein introduced but later called his biggest blunder?,['Cosmological Constant'],0
Albert Einstein,"Which country offered Einstein the presidency, which he declined?",['Israel'],0
Albert Einstein,What disease did Einstein die from?,['Abdominal aortic aneurysm'],0
Albert Einstein,Which family member of Einstein was institutionalized for schizophrenia?,['Eduard Einstein'],0
Albert Einstein,Where are Albert Einstein's brain specimens stored?,"['Princeton Hospital', 'National Museum of Health and Medicine']",0
Albert Einstein,What did Einstein say was more important than knowledge?,['Imagination'],0
Albert Einstein,What nickname did Einstein's classmates give him due to his quiet nature?,['The Dopey One'],0
Albert Einstein,Which theoretical construct of physics was Einstein strongly against?,['Black Holes'],0
Albert Einstein,Which famous physicist did Einstein work with on Bose-Einstein statistics?,['Satyendra Nath Bose'],0
Albert Einstein,What did Einstein do to his Nobel Prize money?,['Gave it to Mileva Marić'],0
Albert Einstein,Which thought experiment did Einstein use to explain relativity?,['Twin Paradox'],0
Albert Einstein,What famous letter did Einstein co-sign warning about nuclear weapons?,['Einstein-Szilárd Letter'],0
Albert Einstein,What was Einstein's IQ estimated to be?,['160-190'],0
Albert Einstein,What celestial event helped confirm Einstein's General Theory of Relativity?,['1919 Solar Eclipse'],0
Albert Einstein,Which element is named after Albert Einstein?,['Einsteinium'],1
Albert Einstein,Which famous magazine named Einstein 'Person of the Century'?,['Time Magazine'],0
Albert Einstein,Which U.S. state did Einstein spend most of his later years in?,['New Jersey'],0
Albert Einstein,Which language did Einstein struggle with in school?,['French'],0
Albert Einstein,What did Einstein call quantum entanglement?,['Spooky action at a distance'],1
Albert Einstein,What was Einstein's final written request regarding his body?,['Cremation'],0
Albert Einstein,Which scientist did Einstein admire most?,['Michael Faraday'],0
Albert Einstein,Which famous violinist did Einstein play music with?,['Yehudi Menuhin'],0
Albert Einstein,Which field of physics did Einstein's work contribute to that eventually led to GPS technology?,['General Relativity'],0
Albert Einstein,Which ship did Einstein take to escape Nazi Germany?,['SS Bremen'],0
Albert Einstein,What did Einstein say about repeating the same action expecting different results?,['Definition of insanity'],1
Albert Einstein,What was Einstein's stance on pacifism?,"['Initially pro-pacifist, later supported war against Nazis']",0
Albert Einstein,Which famous scientist once said Einstein's theories would be proven or disproven within his lifetime?,['Max Planck'],0
Moon,What type of celestial body is the Moon?,['Natural satellite'],1
Moon,What is the name of the first human to walk on the Moon?,['Neil Armstrong'],1
Moon,What year did humans first land on the Moon?,['1969'],1
Moon,Which space mission was the first to land humans on the Moon?,['Apollo 11'],1
Moon,Which country was the first to send a spacecraft to the Moon?,['Soviet Union'],0
Moon,What is the name of the largest crater on the Moon?,['South Pole–Aitken Basin'],0
Moon,What is the main reason the Moon causes ocean tides on Earth?,['Gravitational pull'],1
Moon,What is the name of the spacecraft that brought the first astronauts to the Moon?,['Apollo Lunar Module'],0
Moon,What is the Moon primarily made of?,['Rock and metal'],0
Moon,"What is the dark, flat region on the Moon called?",['Lunar mare'],0
Moon,What is the name of the second human to walk on the Moon?,['Buzz Aldrin'],0
Moon,How long does it take for the Moon to orbit the Earth?,['27.3 days'],1
Moon,What is the term for the phase when the Moon appears fully illuminated from Earth?,['Full Moon'],1
Moon,What is the name of the phenomenon when the Earth completely blocks sunlight from reaching the Moon?,['Lunar eclipse'],0
Moon,Which planet has the largest number of moons in the Solar System?,['Jupiter'],1
Moon,What is the term for the phenomenon where one side of the Moon always faces Earth?,['Tidal locking'],1
Moon,Which Apollo mission was the last to land humans on the Moon?,['Apollo 17'],1
Moon,What element is most abundant on the Moon’s surface?,['Oxygen'],1
Moon,What is the temperature range on the Moon's surface?,['-173°C to 127°C'],0
Moon,What is the name of the largest Moon of Saturn?,['Titan'],1
Moon,How many times larger is the Earth compared to the Moon?,['About 4 times'],0
Moon,What is the name of the region at the Moon's poles that may contain water ice?,['Lunar craters'],0
Moon,Which space agency was the first to send a human to orbit the Moon?,['NASA'],1
Moon,What is the term for the gradual drifting of the Moon away from the Earth?,['Lunar recession'],1
Moon,Which force keeps the Moon in orbit around the Earth?,['Earth’s gravity'],0
Moon,What color does the Moon appear during a total lunar eclipse?,['Red'],0
Moon,What is the approximate distance from Earth to the Moon?,"['384,400 km']",0
Moon,What is the name of the side of the Moon that is not visible from Earth?,['Far side of the Moon'],0
Moon,Which Apollo astronaut stayed in orbit while Armstrong and Aldrin walked on the Moon?,['Michael Collins'],0
Moon,What is the name of the largest mountain on the Moon?,['Mons Huygens'],0
Moon,What type of rock is commonly found on the Moon?,['Basalt'],0
Moon,What is the name of the lunar lander that first touched down on the Moon in 1969?,['Eagle'],0
Moon,Which scientist first proposed that the Moon was covered in impact craters?,['Gene Shoemaker'],0
Moon,Which country was the first to send an uncrewed rover to the Moon?,['Soviet Union'],0
Moon,What is the name of the sea where Apollo 11 landed?,['Sea of Tranquility'],0
Moon,What is the name of Earth's Moon?,['The Moon'],0
Moon,Which element was detected in trace amounts in lunar soil?,['Helium-3'],0
Moon,What is the name of the Moon’s core composed of?,['Iron and sulfur'],0
Moon,"What phenomenon occurs when the Sun, Earth, and Moon are perfectly aligned?",['Syzygy'],0
Moon,Which ancient civilization was among the first to study lunar cycles?,['Babylonians'],0
Moon,What is the effect of the Moon's gravity slowing Earth's rotation over time?,['Tidal braking'],0
Moon,Which space probe provided the first close-up images of the Moon?,['Luna 3'],0
Moon,What material was first brought back from the Moon by Apollo missions?,['Regolith'],0
Moon,What is the approximate diameter of the Moon?,"['3,474 km']",0
Moon,Which part of the Moon is believed to have the thickest crust?,['Far side'],0
Moon,What causes the Moon to appear larger on the horizon?,['Moon illusion'],0
Moon,What is the term for the temporary atmosphere detected around the Moon?,['Lunar exosphere'],1
Moon,Which Apollo mission nearly ended in disaster but returned safely to Earth?,['Apollo 13'],1
Great Wall of China,In which country is the Great Wall of China located?,['China'],1
Great Wall of China,Which Chinese dynasty started building the first sections of the Great Wall?,['Qin Dynasty'],0
Great Wall of China,What was the primary purpose of the Great Wall of China?,['Defense'],0
Great Wall of China,Approximately how long is the Great Wall of China?,"['21,196 km']",0
Great Wall of China,During which dynasty was most of the existing Great Wall rebuilt?,['Ming Dynasty'],1
Great Wall of China,What material was primarily used in the construction of the Great Wall?,"['Stone, brick, and tamped earth']",0
Great Wall of China,Which emperor ordered the construction of the first Great Wall sections?,['Qin Shi Huang'],0
Great Wall of China,What major nomadic group was the Great Wall built to defend against?,['Xiongnu'],0
Great Wall of China,Is the Great Wall of China visible from space with the naked eye?,['No'],0
Great Wall of China,What is the name of the famous pass that is a key section of the Great Wall?,['Jiayuguan Pass'],0
Great Wall of China,Which UNESCO designation does the Great Wall of China hold?,['World Heritage Site'],1
Great Wall of China,What is the name of the famous Beijing section of the Great Wall that attracts many tourists?,['Badaling'],0
Great Wall of China,What structure was built along the Great Wall to serve as lookout points?,['Watchtowers'],0
Great Wall of China,What was the name of the laborers who built the Great Wall?,"['Soldiers, peasants, and prisoners']",0
Great Wall of China,Which famous trade route was influenced by the Great Wall?,['Silk Road'],1
Great Wall of China,Which Chinese philosophy influenced the idea of the Great Wall as a protective barrier?,['Legalism'],0
Great Wall of China,What natural feature was used to enhance the Great Wall’s defense?,['Mountains'],0
Great Wall of China,Which animal is commonly associated with myths about the Great Wall’s construction?,['Dragon'],0
Great Wall of China,Which province in China has the longest remaining section of the Great Wall?,['Gansu'],0
Great Wall of China,What is the name of the easternmost section of the Great Wall?,['Shanhaiguan'],0
Great Wall of China,Which modern Chinese leader promoted the preservation of the Great Wall?,['Deng Xiaoping'],0
Great Wall of China,Which famous structure in China is often confused with the Great Wall?,['Forbidden City'],1
Great Wall of China,What is the estimated death toll of workers who built the Great Wall?,['Hundreds of thousands'],0
Great Wall of China,What defensive feature did the Great Wall have in some sections?,['Moats'],0
Great Wall of China,What was the most common way enemies breached the Great Wall?,['Bribing guards'],0
Great Wall of China,Which Chinese province has the most intact watchtowers of the Great Wall?,['Hebei'],0
Great Wall of China,Which European traveler wrote about the Great Wall in the 13th century?,['Marco Polo'],0
Great Wall of China,What part of the Great Wall was restored in the 20th century?,['Badaling'],0
Great Wall of China,What was used as a binding agent in the mortar of the Great Wall?,['Sticky rice'],0
Great Wall of China,Which river does the Great Wall reach in the west?,['Yellow River'],1
Great Wall of China,What is the estimated number of tourists visiting the Great Wall annually?,['Over 10 million'],0
Great Wall of China,Which major desert does the Great Wall pass through?,['Gobi Desert'],1
Great Wall of China,How many provinces in China have parts of the Great Wall?,['15'],0
Great Wall of China,Which Ming Dynasty general helped oversee Great Wall expansions?,['Qi Jiguang'],0
Great Wall of China,What is the name of the Great Wall’s westernmost fort?,['Jiayuguan'],0
Great Wall of China,What is the tallest section of the Great Wall?,['Simatai'],0
Great Wall of China,Which major capital city is closest to the Great Wall?,['Beijing'],1
Great Wall of China,What was the primary communication method used along the Great Wall?,['Smoke signals'],0
Great Wall of China,Which modern Chinese law protects the Great Wall?,['Great Wall Protection Regulation'],0
Great Wall of China,Which dynasty saw the Great Wall neglected and fall into disrepair?,['Qing Dynasty'],0
Great Wall of China,Which famous poet lamented the suffering of laborers building the Great Wall?,['Du Fu'],0
Great Wall of China,What architectural feature allowed soldiers to fire arrows from the Great Wall?,['Battlements'],0
Great Wall of China,What is the nickname sometimes given to the Great Wall?,['The Long Wall'],0
Great Wall of China,What natural event has eroded parts of the Great Wall?,['Sandstorms'],0
Great Wall of China,What is the common saying about the Great Wall in China?,['He who has never been to the Great Wall is not a true man'],0
Great Wall of China,Which famous Hollywood movie featured the Great Wall?,['The Great Wall'],1
Great Wall of China,Which dynasty built the longest version of the Great Wall?,['Ming Dynasty'],1
Great Wall of China,What part of the Great Wall is considered the most dangerous to hike?,['Jiankou'],0
Apollo 11 Moon Landing,What was the name of the first mission to land humans on the Moon?,['Apollo 11'],0
Apollo 11 Moon Landing,In what year did Apollo 11 land on the Moon?,['1969'],1
Apollo 11 Moon Landing,Who was the first person to walk on the Moon during Apollo 11?,['Neil Armstrong'],1
Apollo 11 Moon Landing,Who was the second person to walk on the Moon during Apollo 11?,['Buzz Aldrin'],0
Apollo 11 Moon Landing,Who was the command module pilot for Apollo 11?,['Michael Collins'],0
Apollo 11 Moon Landing,What was the name of the Apollo 11 lunar module?,['Eagle'],1
Apollo 11 Moon Landing,What famous phrase did Neil Armstrong say when he stepped onto the Moon?,"[""That's one small step for man, one giant leap for mankind.""]",0
Apollo 11 Moon Landing,Where did Apollo 11 land on the Moon?,['Sea of Tranquility'],1
Apollo 11 Moon Landing,What was the name of the Apollo 11 command module?,['Columbia'],0
Apollo 11 Moon Landing,Which space agency conducted the Apollo 11 mission?,['NASA'],1
Apollo 11 Moon Landing,Which U.S. president set the goal for landing on the Moon before the end of the 1960s?,['John F. Kennedy'],1
Apollo 11 Moon Landing,Which U.S. president called the Apollo 11 astronauts while they were on the Moon?,['Richard Nixon'],0
Apollo 11 Moon Landing,What rocket launched Apollo 11 into space?,['Saturn V'],1
Apollo 11 Moon Landing,How many astronauts landed on the Moon during Apollo 11?,['2'],0
Apollo 11 Moon Landing,What was the duration of the Apollo 11 Moon landing mission?,['8 days'],0
Apollo 11 Moon Landing,What kind of sample did the Apollo 11 astronauts collect from the Moon?,['Rocks and soil'],0
Apollo 11 Moon Landing,What did the Apollo 11 astronauts leave on the Moon as a message for future explorers?,['A plaque and U.S. flag'],0
Apollo 11 Moon Landing,What scientific instrument was left on the Moon by Apollo 11 to measure distance from Earth?,['Lunar Laser Ranging Retroreflector'],0
Apollo 11 Moon Landing,How long did Neil Armstrong and Buzz Aldrin spend walking on the Moon?,['2 hours 31 minutes'],0
Apollo 11 Moon Landing,Where did the Apollo 11 command module splash down on Earth?,['Pacific Ocean'],1
Apollo 11 Moon Landing,Which aircraft carrier recovered the Apollo 11 astronauts?,['USS Hornet'],1
Apollo 11 Moon Landing,What was the name of the quarantine facility the Apollo 11 astronauts stayed in after returning to Earth?,['Lunar Receiving Laboratory'],0
Apollo 11 Moon Landing,What was the main concern about the Apollo 11 astronauts upon their return to Earth?,['Lunar contamination'],0
Apollo 11 Moon Landing,How many television viewers watched the Apollo 11 Moon landing live?,['Over 600 million'],1
Apollo 11 Moon Landing,What country did Apollo 11 astronauts plant a flag on the Moon for?,['United States'],1
Apollo 11 Moon Landing,What inscription was written on the Apollo 11 plaque left on the Moon?,['We came in peace for all mankind'],0
Apollo 11 Moon Landing,How much time did the Apollo 11 astronauts spend in lunar orbit before landing?,['About 21 hours'],0
Apollo 11 Moon Landing,Which company built the Apollo 11 lunar module?,['Grumman Aerospace'],0
Apollo 11 Moon Landing,What type of fuel did the Saturn V rocket use for the first stage?,['RP-1 and liquid oxygen'],0
Apollo 11 Moon Landing,Which Cold War rival was the U.S. competing against in the space race leading to Apollo 11?,['Soviet Union'],1
Apollo 11 Moon Landing,What was the main objective of Apollo 11?,['Landing humans on the Moon and returning them safely'],0
Apollo 11 Moon Landing,What was one of the main challenges the lunar module faced before landing?,['Low fuel warning'],0
Apollo 11 Moon Landing,How many total Apollo missions successfully landed on the Moon?,['6'],0
Apollo 11 Moon Landing,What was the name of the first Soviet spacecraft to send images of the far side of the Moon?,['Luna 3'],0
Apollo 11 Moon Landing,What unexpected problem did the Apollo 11 astronauts face in the lunar module before liftoff?,['Broken circuit breaker'],0
Apollo 11 Moon Landing,What was the name of the backup crew for Apollo 11?,"['Jim Lovell, Fred Haise, William Anders']",0
Apollo 11 Moon Landing,What did Buzz Aldrin do privately before stepping onto the Moon?,['Took communion'],0
Apollo 11 Moon Landing,How long did it take Apollo 11 to reach the Moon after launch?,['About 76 hours'],0
Apollo 11 Moon Landing,What was the name of the television network that provided the first live broadcast from the Moon?,['CBS'],0
Apollo 11 Moon Landing,How many spaceflights had Neil Armstrong been on before Apollo 11?,['1'],1
Apollo 11 Moon Landing,What phrase was used in the Apollo 11 mission patch?,['Apollo 11'],1
Apollo 11 Moon Landing,Which material was the Apollo 11 spacesuit primarily made of?,['Multiple layers of Kevlar and Mylar'],0
Apollo 11 Moon Landing,What famous maneuver did Apollo 11 perform to dock with the lunar module?,['Transposition and docking'],0
Apollo 11 Moon Landing,Which Apollo 11 astronaut never landed on the Moon?,['Michael Collins'],0
Apollo 11 Moon Landing,What was the total weight of Moon rocks collected by Apollo 11?,['21.5 kg'],0
Apollo 11 Moon Landing,What was the fate of the Apollo 11 lunar module after leaving the Moon?,['It crashed into the Moon'],0
Apollo 11 Moon Landing,What did Apollo 11 prove about human space travel?,['Humans could travel to and return safely from the Moon'],0
World War II,In what year did World War II begin?,['1939'],1
World War II,In what year did World War II end?,['1945'],1
World War II,Which country invaded Poland to start World War II?,['Germany'],1
World War II,Who was the leader of Nazi Germany during World War II?,['Adolf Hitler'],1
World War II,What event led the United States to enter World War II?,['Attack on Pearl Harbor'],1
World War II,"What was the name of the military alliance between Germany, Italy, and Japan?",['Axis Powers'],0
World War II,"What was the military alliance of the United States, United Kingdom, and Soviet Union called?",['Allied Powers'],0
World War II,Which battle is considered the turning point on the Eastern Front?,['Battle of Stalingrad'],0
World War II,Which battle is considered the turning point in the Pacific War?,['Battle of Midway'],1
World War II,What was the name of the operation for the Allied invasion of Normandy?,['Operation Overlord'],0
World War II,What was the codename for Germany’s invasion of the Soviet Union?,['Operation Barbarossa'],0
World War II,Which U.S. general led the D-Day invasion?,['Dwight D. Eisenhower'],1
World War II,What was the name of the Nazi plan to exterminate the Jewish population?,['The Final Solution'],0
World War II,What was the largest Nazi concentration camp?,['Auschwitz'],1
World War II,What was the name of the German air force during World War II?,['Luftwaffe'],1
World War II,Which U.K. prime minister led Britain for most of World War II?,['Winston Churchill'],1
World War II,Which battle was the last major German offensive on the Western Front?,['Battle of the Bulge'],0
World War II,Which two Japanese cities were targeted by atomic bombs?,"['Hiroshima', 'Nagasaki']",1
World War II,What was the codename for the U.S. atomic bomb project?,['Manhattan Project'],1
World War II,Which country suffered the most military and civilian deaths in World War II?,['Soviet Union'],0
World War II,What was the main battle tank used by the German army?,['Panzer'],1
World War II,What was the main battle tank used by the U.S. army?,['Sherman'],0
World War II,What was the name of the pact between Germany and the Soviet Union before the war?,['Molotov-Ribbentrop Pact'],0
World War II,What was the codename for the planned Nazi invasion of the United Kingdom?,['Operation Sea Lion'],0
World War II,Which event marked the official end of World War II?,['Japanese surrender'],0
World War II,Which battle was fought entirely by aircraft?,['Battle of Britain'],0
World War II,Which nation controlled most of China before World War II?,['Japan'],1
World War II,Which country switched sides during World War II in 1943?,['Italy'],0
World War II,What was the name of the German defensive fortifications in France?,['Atlantic Wall'],0
World War II,Which country did Germany annex in 1938 before the war?,['Austria'],1
World War II,Which U.S. aircraft dropped the atomic bomb on Hiroshima?,['Enola Gay'],0
World War II,What was the name of the German submarine fleet?,['U-boats'],0
World War II,Which treaty officially ended World War II?,['Treaty of San Francisco'],1
World War II,What was the largest amphibious invasion in history?,['D-Day (Normandy Landings)'],0
World War II,Which country was the first to liberate a Nazi concentration camp?,['Soviet Union'],0
World War II,Which German city was firebombed in February 1945?,['Dresden'],0
World War II,What was the last major battle of World War II?,['Battle of Okinawa'],0
World War II,What was the German strategy of fast-moving warfare called?,['Blitzkrieg'],1
World War II,Which ship was famously sunk in the Pearl Harbor attack?,['USS Arizona'],1
World War II,What was the primary rifle used by the U.S. Army in World War II?,['M1 Garand'],1
World War II,Which Soviet leader led the USSR during World War II?,['Joseph Stalin'],1
World War II,Which battle was the largest tank battle in history?,['Battle of Kursk'],0
World War II,What was the name of the trials where Nazi leaders were prosecuted after the war?,['Nuremberg Trials'],1
World War II,What was the main Japanese fighter aircraft used in the war?,['Mitsubishi Zero'],0
World War II,Which country was occupied by Germany in just six weeks in 1940?,['France'],0
World War II,What was the name of the German plan to attack France through Belgium?,['Schlieffen Plan'],0
World War II,Which African campaign saw the German Afrika Korps fight against the Allies?,['North African Campaign'],0
World War II,Who was the supreme commander of the Allied forces in Europe?,['Dwight D. Eisenhower'],1
World War II,What was the main cause of World War II?,['Treaty of Versailles and expansionist policies'],0
Artificial Intelligence,What does AI stand for?,['Artificial Intelligence'],1
Artificial Intelligence,Who is considered the father of artificial intelligence?,['Alan Turing'],0
Artificial Intelligence,What test did Alan Turing propose to evaluate a machine’s ability to exhibit human-like intelligence?,['Turing Test'],1
Artificial Intelligence,Which AI technique involves training a model using labeled data?,['Supervised Learning'],0
Artificial Intelligence,What type of AI is capable of general human-level intelligence?,['Artificial General Intelligence (AGI)'],0
Artificial Intelligence,Which AI model became famous for defeating humans in the game of Go?,['AlphaGo'],0
Artificial Intelligence,Which AI system defeated world chess champion Garry Kasparov in 1997?,['Deep Blue'],0
Artificial Intelligence,Which AI technique mimics the structure of the human brain?,['Neural Networks'],0
Artificial Intelligence,What does NLP stand for in AI?,['Natural Language Processing'],1
Artificial Intelligence,Which AI model developed by OpenAI can generate human-like text?,['GPT (Generative Pre-trained Transformer)'],0
Artificial Intelligence,What is the process of training an AI model on past experiences called?,['Machine Learning'],1
Artificial Intelligence,Which AI technique is used for training models by trial and error?,['Reinforcement Learning'],0
Artificial Intelligence,Which AI subfield focuses on enabling machines to interpret and process visual information?,['Computer Vision'],1
Artificial Intelligence,Which algorithm is commonly used for decision-making in AI?,['Decision Tree'],0
Artificial Intelligence,What is the term for AI systems that can learn from experience and adapt?,['Machine Learning'],1
Artificial Intelligence,What is an AI system that specializes in a single task called?,['Narrow AI'],0
Artificial Intelligence,What is the primary advantage of deep learning over traditional machine learning?,['Automatic feature extraction'],0
Artificial Intelligence,What is the name of Google's AI model for image recognition?,['Inception'],0
Artificial Intelligence,Which AI company created ChatGPT?,['OpenAI'],0
Artificial Intelligence,Which AI model was used to create realistic human-like voices?,['WaveNet'],0
Artificial Intelligence,Which AI technique is primarily used for clustering data?,['K-Means'],1
Artificial Intelligence,Which AI-driven recommendation system is used by platforms like Netflix?,['Collaborative Filtering'],0
Artificial Intelligence,What AI-powered system is used in self-driving cars?,['Computer Vision and Reinforcement Learning'],0
Artificial Intelligence,What is the term for AI systems that explain their decision-making process?,['Explainable AI (XAI)'],0
Artificial Intelligence,What is the most common programming language used in AI development?,['Python'],1
Artificial Intelligence,Which AI term refers to models that become overly specific to training data?,['Overfitting'],1
Artificial Intelligence,What is the AI technique used to generate fake images and videos?,['Generative Adversarial Networks (GANs)'],0
Artificial Intelligence,Which AI concept describes a future scenario where AI surpasses human intelligence?,['Technological Singularity'],0
Artificial Intelligence,What is the process of AI models using probability to make predictions?,['Bayesian Inference'],0
Artificial Intelligence,What does the 'P' in GPT stand for?,['Pre-trained'],0
Artificial Intelligence,Which AI system powers virtual assistants like Siri and Alexa?,['Natural Language Processing'],0
Artificial Intelligence,What is the primary challenge in AI ethics?,['Bias in data'],0
Artificial Intelligence,Which AI technique enables a model to learn representations from unlabeled data?,['Unsupervised Learning'],0
Artificial Intelligence,Which AI-powered system is used in facial recognition?,['Deep Learning'],0
Artificial Intelligence,What AI model is designed to generate images from text descriptions?,['DALL-E'],0
Artificial Intelligence,Which AI concept refers to a system's ability to generalize to new data?,['Generalization'],0
Artificial Intelligence,Which AI field studies how computers can understand and generate human language?,['Natural Language Processing'],1
Artificial Intelligence,What is the AI technique used to detect objects in images?,['Object Detection'],0
Artificial Intelligence,Which AI-powered system helps diagnose diseases from medical images?,['Computer Vision'],0
Artificial Intelligence,Which AI model can generate music compositions?,['MuseNet'],0
Artificial Intelligence,What is the term for AI systems that make decisions based on logic-based rules?,['Expert Systems'],0
Artificial Intelligence,What is the term for training an AI model with data that includes expected outputs?,['Supervised Learning'],1
Artificial Intelligence,Which AI subfield focuses on robots interacting with the physical world?,['Robotics'],1
Artificial Intelligence,Which AI term refers to a model that can transfer learning from one task to another?,['Transfer Learning'],1
Artificial Intelligence,Which AI-driven approach enables a model to predict future trends?,['Time Series Analysis'],0
Artificial Intelligence,What is the AI technique that allows a model to improve performance over time with feedback?,['Reinforcement Learning'],0
Artificial Intelligence,Which AI concept is crucial for preventing harmful AI biases?,['Fairness and Accountability'],0
Artificial Intelligence,Which AI system uses deep learning to create highly realistic human faces?,['StyleGAN'],0
Democracy,What is the fundamental principle of democracy?,['Rule by the people'],0
Democracy,Which ancient civilization is credited with developing the first known democracy?,['Ancient Greece'],0
