entity,question,baseline
Albert Einstein,Where are Albert Einstein's brain specimens stored?,0
Albert Einstein,What did Einstein say was more important than knowledge?,0
Albert Einstein,What nickname did Einstein's classmates give him due to his quiet nature?,0
Albert Einstein,Which theoretical construct of physics was Einstein strongly against?,1
Albert Einstein,Which famous physicist did Einstein work with on Bose-Einstein statistics?,0
Albert Einstein,What did Einstein do to his Nobel Prize money?,0
Albert Einstein,Which thought experiment did Einstein use to explain relativity?,0
Albert Einstein,What famous letter did Einstein co-sign warning about nuclear weapons?,1
Albert Einstein,What was Einstein's IQ estimated to be?,1
Albert Einstein,What celestial event helped confirm Einstein's General Theory of Relativity?,0
Albert Einstein,Which element is named after Albert Einstein?,1
Albert Einstein,Which famous magazine named Einstein 'Person of the Century'?,0
Albert Einstein,Which U.S. state did Einstein spend most of his later years in?,0
Albert Einstein,Which language did Einstein struggle with in school?,0
Albert Einstein,What did Einstein call quantum entanglement?,1
Albert Einstein,What was Einstein's final written request regarding his body?,0
Albert Einstein,Which scientist did Einstein admire most?,0
Albert Einstein,Which famous violinist did Einstein play music with?,0
Albert Einstein,Which field of physics did Einstein's work contribute to that eventually led to GPS technology?,1
Albert Einstein,Which ship did Einstein take to escape Nazi Germany?,0
Albert Einstein,What did Einstein say about repeating the same action expecting different results?,1
Albert Einstein,What was Einstein's stance on pacifism?,0
Albert Einstein,Which famous scientist once said Einstein's theories would be proven or disproven within his lifetime?,0
Moon,What type of celestial body is the Moon?,1
Moon,What is the name of the first human to walk on the Moon?,0
Moon,What year did humans first land on the Moon?,1
Moon,Which space mission was the first to land humans on the Moon?,1
Moon,Which country was the first to send a spacecraft to the Moon?,0
Moon,What is the name of the largest crater on the Moon?,0
Moon,What is the main reason the Moon causes ocean tides on Earth?,1
Moon,What is the name of the spacecraft that brought the first astronauts to the Moon?,0
Moon,What is the Moon primarily made of?,0
Moon,"What is the dark, flat region on the Moon called?",0
Moon,What is the name of the second human to walk on the Moon?,0
Moon,How long does it take for the Moon to orbit the Earth?,1
Moon,What is the term for the phase when the Moon appears fully illuminated from Earth?,1
Moon,What is the name of the phenomenon when the Earth completely blocks sunlight from reaching the Moon?,0
Moon,Which planet has the largest number of moons in the Solar System?,1
Moon,What is the term for the phenomenon where one side of the Moon always faces Earth?,1
Moon,Which Apollo mission was the last to land humans on the Moon?,1
Moon,What element is most abundant on the Moon’s surface?,1
Moon,What is the temperature range on the Moon's surface?,0
Moon,What is the name of the largest Moon of Saturn?,1
Moon,How many times larger is the Earth compared to the Moon?,1
Moon,What is the name of the region at the Moon's poles that may contain water ice?,0
Moon,Which space agency was the first to send a human to orbit the Moon?,1
Moon,What is the term for the gradual drifting of the Moon away from the Earth?,1
Moon,Which force keeps the Moon in orbit around the Earth?,1
Moon,What color does the Moon appear during a total lunar eclipse?,0
Moon,What is the approximate distance from Earth to the Moon?,1
Moon,What is the name of the side of the Moon that is not visible from Earth?,0
Moon,Which Apollo astronaut stayed in orbit while Armstrong and Aldrin walked on the Moon?,0
Moon,What is the name of the largest mountain on the Moon?,0
Moon,What type of rock is commonly found on the Moon?,0
Moon,What is the name of the lunar lander that first touched down on the Moon in 1969?,0
Moon,Which scientist first proposed that the Moon was covered in impact craters?,0
Moon,Which country was the first to send an uncrewed rover to the Moon?,0
Moon,What is the name of the sea where Apollo 11 landed?,0
Moon,What is the name of Earth's Moon?,0
Moon,Which element was detected in trace amounts in lunar soil?,0
Moon,What is the name of the Moon’s core composed of?,0
Moon,"What phenomenon occurs when the Sun, Earth, and Moon are perfectly aligned?",0
Moon,Which ancient civilization was among the first to study lunar cycles?,1
Moon,What is the effect of the Moon's gravity slowing Earth's rotation over time?,0
Moon,Which space probe provided the first close-up images of the Moon?,0
Moon,What material was first brought back from the Moon by Apollo missions?,0
Moon,What is the approximate diameter of the Moon?,0
Moon,Which part of the Moon is believed to have the thickest crust?,0
Moon,What causes the Moon to appear larger on the horizon?,0
Moon,What is the term for the temporary atmosphere detected around the Moon?,1
Moon,Which Apollo mission nearly ended in disaster but returned safely to Earth?,1
Great Wall of China,In which country is the Great Wall of China located?,0
Great Wall of China,Which Chinese dynasty started building the first sections of the Great Wall?,0
Great Wall of China,What was the primary purpose of the Great Wall of China?,0
Great Wall of China,Approximately how long is the Great Wall of China?,0
Great Wall of China,During which dynasty was most of the existing Great Wall rebuilt?,1
Great Wall of China,What material was primarily used in the construction of the Great Wall?,0
Great Wall of China,Which emperor ordered the construction of the first Great Wall sections?,1
Great Wall of China,What major nomadic group was the Great Wall built to defend against?,0
Great Wall of China,Is the Great Wall of China visible from space with the naked eye?,0
Great Wall of China,What is the name of the famous pass that is a key section of the Great Wall?,0
Great Wall of China,Which UNESCO designation does the Great Wall of China hold?,1
Great Wall of China,What is the name of the famous Beijing section of the Great Wall that attracts many tourists?,0
Great Wall of China,What structure was built along the Great Wall to serve as lookout points?,0
Great Wall of China,What was the name of the laborers who built the Great Wall?,0
Great Wall of China,Which famous trade route was influenced by the Great Wall?,1
Great Wall of China,Which Chinese philosophy influenced the idea of the Great Wall as a protective barrier?,0
Great Wall of China,What natural feature was used to enhance the Great Wall’s defense?,0
Great Wall of China,Which animal is commonly associated with myths about the Great Wall’s construction?,0
Great Wall of China,Which province in China has the longest remaining section of the Great Wall?,0
Great Wall of China,What is the name of the easternmost section of the Great Wall?,0
Great Wall of China,Which modern Chinese leader promoted the preservation of the Great Wall?,0
Great Wall of China,Which famous structure in China is often confused with the Great Wall?,0
Great Wall of China,What is the estimated death toll of workers who built the Great Wall?,0
Great Wall of China,What defensive feature did the Great Wall have in some sections?,0
Great Wall of China,What was the most common way enemies breached the Great Wall?,0
Great Wall of China,Which Chinese province has the most intact watchtowers of the Great Wall?,0
Great Wall of China,Which European traveler wrote about the Great Wall in the 13th century?,0
Great Wall of China,What part of the Great Wall was restored in the 20th century?,0
Great Wall of China,What was used as a binding agent in the mortar of the Great Wall?,1
Great Wall of China,Which river does the Great Wall reach in the west?,0
Great Wall of China,What is the estimated number of tourists visiting the Great Wall annually?,0
Great Wall of China,Which major desert does the Great Wall pass through?,0
Great Wall of China,How many provinces in China have parts of the Great Wall?,0
Great Wall of China,Which Ming Dynasty general helped oversee Great Wall expansions?,0
Great Wall of China,What is the name of the Great Wall’s westernmost fort?,0
Great Wall of China,What is the tallest section of the Great Wall?,0
Great Wall of China,Which major capital city is closest to the Great Wall?,1
Great Wall of China,What was the primary communication method used along the Great Wall?,0
Great Wall of China,Which modern Chinese law protects the Great Wall?,0
Great Wall of China,Which dynasty saw the Great Wall neglected and fall into disrepair?,0
Great Wall of China,Which famous poet lamented the suffering of laborers building the Great Wall?,0
Great Wall of China,What architectural feature allowed soldiers to fire arrows from the Great Wall?,1
Great Wall of China,What is the nickname sometimes given to the Great Wall?,0
Great Wall of China,What natural event has eroded parts of the Great Wall?,0
Great Wall of China,What is the common saying about the Great Wall in China?,0
Great Wall of China,Which famous Hollywood movie featured the Great Wall?,0
Great Wall of China,Which dynasty built the longest version of the Great Wall?,1
Great Wall of China,What part of the Great Wall is considered the most dangerous to hike?,0
Apollo 11 Moon Landing,What was the name of the first mission to land humans on the Moon?,0
Apollo 11 Moon Landing,In what year did Apollo 11 land on the Moon?,0
Apollo 11 Moon Landing,Who was the first person to walk on the Moon during Apollo 11?,1
Apollo 11 Moon Landing,Who was the second person to walk on the Moon during Apollo 11?,0
Apollo 11 Moon Landing,Who was the command module pilot for Apollo 11?,0
Apollo 11 Moon Landing,What was the name of the Apollo 11 lunar module?,1
Apollo 11 Moon Landing,What famous phrase did Neil Armstrong say when he stepped onto the Moon?,0
Apollo 11 Moon Landing,Where did Apollo 11 land on the Moon?,1
Apollo 11 Moon Landing,What was the name of the Apollo 11 command module?,0
Apollo 11 Moon Landing,Which space agency conducted the Apollo 11 mission?,1
Apollo 11 Moon Landing,Which U.S. president set the goal for landing on the Moon before the end of the 1960s?,1
Apollo 11 Moon Landing,Which U.S. president called the Apollo 11 astronauts while they were on the Moon?,0
Apollo 11 Moon Landing,What rocket launched Apollo 11 into space?,1
Apollo 11 Moon Landing,How many astronauts landed on the Moon during Apollo 11?,0
Apollo 11 Moon Landing,What was the duration of the Apollo 11 Moon landing mission?,0
Apollo 11 Moon Landing,What kind of sample did the Apollo 11 astronauts collect from the Moon?,0
Apollo 11 Moon Landing,What did the Apollo 11 astronauts leave on the Moon as a message for future explorers?,1
Apollo 11 Moon Landing,What scientific instrument was left on the Moon by Apollo 11 to measure distance from Earth?,1
Apollo 11 Moon Landing,How long did Neil Armstrong and Buzz Aldrin spend walking on the Moon?,0
Apollo 11 Moon Landing,Where did the Apollo 11 command module splash down on Earth?,1
Apollo 11 Moon Landing,Which aircraft carrier recovered the Apollo 11 astronauts?,1
Apollo 11 Moon Landing,What was the name of the quarantine facility the Apollo 11 astronauts stayed in after returning to Earth?,0
Apollo 11 Moon Landing,What was the main concern about the Apollo 11 astronauts upon their return to Earth?,0
Apollo 11 Moon Landing,How many television viewers watched the Apollo 11 Moon landing live?,1
Apollo 11 Moon Landing,What country did Apollo 11 astronauts plant a flag on the Moon for?,1
Apollo 11 Moon Landing,What inscription was written on the Apollo 11 plaque left on the Moon?,0
Apollo 11 Moon Landing,How much time did the Apollo 11 astronauts spend in lunar orbit before landing?,0
Apollo 11 Moon Landing,Which company built the Apollo 11 lunar module?,0
Apollo 11 Moon Landing,What type of fuel did the Saturn V rocket use for the first stage?,0
Apollo 11 Moon Landing,Which Cold War rival was the U.S. competing against in the space race leading to Apollo 11?,1
Apollo 11 Moon Landing,What was the main objective of Apollo 11?,1
Apollo 11 Moon Landing,What was one of the main challenges the lunar module faced before landing?,0
Apollo 11 Moon Landing,How many total Apollo missions successfully landed on the Moon?,0
Apollo 11 Moon Landing,What was the name of the first Soviet spacecraft to send images of the far side of the Moon?,0
Apollo 11 Moon Landing,What unexpected problem did the Apollo 11 astronauts face in the lunar module before liftoff?,0
Apollo 11 Moon Landing,What was the name of the backup crew for Apollo 11?,0
Apollo 11 Moon Landing,What did Buzz Aldrin do privately before stepping onto the Moon?,0
Apollo 11 Moon Landing,How long did it take Apollo 11 to reach the Moon after launch?,0
Apollo 11 Moon Landing,What was the name of the television network that provided the first live broadcast from the Moon?,0
Apollo 11 Moon Landing,How many spaceflights had Neil Armstrong been on before Apollo 11?,0
Apollo 11 Moon Landing,What phrase was used in the Apollo 11 mission patch?,0
Apollo 11 Moon Landing,Which material was the Apollo 11 spacesuit primarily made of?,0
Apollo 11 Moon Landing,What famous maneuver did Apollo 11 perform to dock with the lunar module?,0
Apollo 11 Moon Landing,Which Apollo 11 astronaut never landed on the Moon?,0
Apollo 11 Moon Landing,What was the total weight of Moon rocks collected by Apollo 11?,0
Apollo 11 Moon Landing,What was the fate of the Apollo 11 lunar module after leaving the Moon?,0
Apollo 11 Moon Landing,What did Apollo 11 prove about human space travel?,0
World War II,In what year did World War II begin?,0
World War II,In what year did World War II end?,1
World War II,Which country invaded Poland to start World War II?,1
World War II,Who was the leader of Nazi Germany during World War II?,1
World War II,What event led the United States to enter World War II?,1
World War II,"What was the name of the military alliance between Germany, Italy, and Japan?",0
World War II,"What was the military alliance of the United States, United Kingdom, and Soviet Union called?",0
World War II,Which battle is considered the turning point on the Eastern Front?,0
World War II,Which battle is considered the turning point in the Pacific War?,1
World War II,What was the name of the operation for the Allied invasion of Normandy?,0
World War II,What was the codename for Germany’s invasion of the Soviet Union?,0
World War II,Which U.S. general led the D-Day invasion?,1
World War II,What was the name of the Nazi plan to exterminate the Jewish population?,0
World War II,What was the largest Nazi concentration camp?,1
World War II,What was the name of the German air force during World War II?,1
World War II,Which U.K. prime minister led Britain for most of World War II?,0
World War II,Which battle was the last major German offensive on the Western Front?,0
World War II,Which two Japanese cities were targeted by atomic bombs?,1
World War II,What was the codename for the U.S. atomic bomb project?,1
World War II,Which country suffered the most military and civilian deaths in World War II?,0
World War II,What was the main battle tank used by the German army?,0
World War II,What was the main battle tank used by the U.S. army?,0
World War II,What was the name of the pact between Germany and the Soviet Union before the war?,0
World War II,What was the codename for the planned Nazi invasion of the United Kingdom?,0
World War II,Which event marked the official end of World War II?,1
World War II,Which battle was fought entirely by aircraft?,0
World War II,Which nation controlled most of China before World War II?,1
World War II,Which country switched sides during World War II in 1943?,0
World War II,What was the name of the German defensive fortifications in France?,0
World War II,Which country did Germany annex in 1938 before the war?,1
World War II,Which U.S. aircraft dropped the atomic bomb on Hiroshima?,0
World War II,What was the name of the German submarine fleet?,0
World War II,Which treaty officially ended World War II?,1
World War II,What was the largest amphibious invasion in history?,1
World War II,Which country was the first to liberate a Nazi concentration camp?,0
World War II,Which German city was firebombed in February 1945?,0
World War II,What was the last major battle of World War II?,0
World War II,What was the German strategy of fast-moving warfare called?,1
World War II,Which ship was famously sunk in the Pearl Harbor attack?,1
World War II,What was the primary rifle used by the U.S. Army in World War II?,1
World War II,Which Soviet leader led the USSR during World War II?,1
World War II,Which battle was the largest tank battle in history?,0
World War II,What was the name of the trials where Nazi leaders were prosecuted after the war?,1
World War II,What was the main Japanese fighter aircraft used in the war?,1
World War II,Which country was occupied by Germany in just six weeks in 1940?,0
World War II,What was the name of the German plan to attack France through Belgium?,0
World War II,Which African campaign saw the German Afrika Korps fight against the Allies?,0
World War II,Who was the supreme commander of the Allied forces in Europe?,1
World War II,What was the main cause of World War II?,0
Artificial Intelligence,What does AI stand for?,1
Artificial Intelligence,Who is considered the father of artificial intelligence?,0
Artificial Intelligence,What test did Alan Turing propose to evaluate a machine’s ability to exhibit human-like intelligence?,1
Artificial Intelligence,Which AI technique involves training a model using labeled data?,0
Artificial Intelligence,What type of AI is capable of general human-level intelligence?,0
Artificial Intelligence,Which AI model became famous for defeating humans in the game of Go?,1
Artificial Intelligence,Which AI system defeated world chess champion Garry Kasparov in 1997?,0
Artificial Intelligence,Which AI technique mimics the structure of the human brain?,1
Artificial Intelligence,What does NLP stand for in AI?,1
Artificial Intelligence,Which AI model developed by OpenAI can generate human-like text?,0
Artificial Intelligence,What is the process of training an AI model on past experiences called?,1
Artificial Intelligence,Which AI technique is used for training models by trial and error?,0
Artificial Intelligence,Which AI subfield focuses on enabling machines to interpret and process visual information?,1
Artificial Intelligence,Which algorithm is commonly used for decision-making in AI?,0
Artificial Intelligence,What is the term for AI systems that can learn from experience and adapt?,1
Artificial Intelligence,What is an AI system that specializes in a single task called?,0
Artificial Intelligence,What is the primary advantage of deep learning over traditional machine learning?,1
Artificial Intelligence,What is the name of Google's AI model for image recognition?,0
Artificial Intelligence,Which AI company created ChatGPT?,0
Artificial Intelligence,Which AI model was used to create realistic human-like voices?,0
Artificial Intelligence,Which AI technique is primarily used for clustering data?,1
Artificial Intelligence,Which AI-driven recommendation system is used by platforms like Netflix?,0
Artificial Intelligence,What AI-powered system is used in self-driving cars?,0
Artificial Intelligence,What is the term for AI systems that explain their decision-making process?,0
Artificial Intelligence,What is the most common programming language used in AI development?,1
Artificial Intelligence,Which AI term refers to models that become overly specific to training data?,1
Artificial Intelligence,What is the AI technique used to generate fake images and videos?,1
Artificial Intelligence,Which AI concept describes a future scenario where AI surpasses human intelligence?,0
Artificial Intelligence,What is the process of AI models using probability to make predictions?,0
Artificial Intelligence,What does the 'P' in GPT stand for?,0
Artificial Intelligence,Which AI system powers virtual assistants like Siri and Alexa?,1
Artificial Intelligence,What is the primary challenge in AI ethics?,0
Artificial Intelligence,Which AI technique enables a model to learn representations from unlabeled data?,0
Artificial Intelligence,Which AI-powered system is used in facial recognition?,0
Artificial Intelligence,What AI model is designed to generate images from text descriptions?,0
Artificial Intelligence,Which AI concept refers to a system's ability to generalize to new data?,0
Artificial Intelligence,Which AI field studies how computers can understand and generate human language?,1
Artificial Intelligence,What is the AI technique used to detect objects in images?,0
Artificial Intelligence,Which AI-powered system helps diagnose diseases from medical images?,0
Artificial Intelligence,Which AI model can generate music compositions?,0
Artificial Intelligence,What is the term for AI systems that make decisions based on logic-based rules?,1
Artificial Intelligence,What is the term for training an AI model with data that includes expected outputs?,1
Artificial Intelligence,Which AI subfield focuses on robots interacting with the physical world?,1
Artificial Intelligence,Which AI term refers to a model that can transfer learning from one task to another?,1
Artificial Intelligence,Which AI-driven approach enables a model to predict future trends?,0
Artificial Intelligence,What is the AI technique that allows a model to improve performance over time with feedback?,0
Artificial Intelligence,Which AI concept is crucial for preventing harmful AI biases?,0
Artificial Intelligence,Which AI system uses deep learning to create highly realistic human faces?,0
Democracy,What is the fundamental principle of democracy?,0
Democracy,Which ancient civilization is credited with developing the first known democracy?,1
Democracy,What is the term for a system where citizens vote directly on laws?,1
Democracy,What is the term for a democracy where citizens elect representatives to make decisions on their behalf?,1
Democracy,Which U.S. document begins with the phrase 'We the People'?,1
Democracy,What is the process of removing an elected official from office before their term ends?,0
Democracy,Which philosopher famously criticized democracy as 'mob rule'?,0
Democracy,What is the term for a system where power is divided among multiple branches of government?,0
Democracy,Which democratic principle ensures that no one is above the law?,0
Democracy,What is the term for a democracy where power is divided between a central government and smaller political units?,1
Democracy,What is the name of the political system where citizens vote for laws and policies directly?,0
Democracy,What type of democracy is used in the United States?,1
Democracy,Which document outlines the fundamental rights of citizens in a democracy?,1
Democracy,"What is the term for a political system where a single party controls the government, but elections are held?",0
Democracy,Which European country has one of the oldest continuous democracies?,0
Democracy,"Which U.S. president famously stated, 'Government of the people, by the people, for the people'?",1
Democracy,What is the process called where citizens can propose new laws through petitions?,0
Democracy,What is the main difference between a democracy and an autocracy?,1
Democracy,Which philosopher wrote extensively on democracy in 'On Liberty'?,0
Democracy,What is the process by which citizens vote to reject or approve a law passed by the legislature?,0
Democracy,What is the role of a constitution in a democracy?,0
Democracy,Which term describes a situation where majority rule ignores the rights of minorities?,1
Democracy,What is the role of the judiciary in a democracy?,0
Democracy,What is the term for a political system where citizens participate in decision-making through elected officials?,1
Democracy,What is the term for the manipulation of electoral district boundaries to favor one party?,1
Democracy,Which international organization promotes democracy and human rights worldwide?,0
Democracy,Which country is known for having one of the longest-standing parliamentary democracies?,0
Democracy,Which principle prevents any one branch of government from becoming too powerful?,0
Democracy,"What is the term for an electoral system where the candidate with the most votes wins, regardless of percentage?",1
Democracy,What is the primary purpose of a democratic election?,0
Democracy,Which democratic system allows multiple political parties to compete in elections?,1
Democracy,What is the term for a system where citizens vote for both a president and a legislature?,1
Democracy,Which democracy-based index ranks countries on their level of democratic governance?,0
Democracy,What is the role of political parties in a democracy?,0
Democracy,Which event is often considered the beginning of modern democracy?,0
Democracy,What is the term for a voting system where citizens rank candidates in order of preference?,1
Democracy,Which country was the first to grant women the right to vote?,1
Democracy,What is the term for an elected leader abusing their power while still maintaining democratic processes?,0
Democracy,Which document protects the individual freedoms of citizens in a democracy?,1
Democracy,Which principle allows citizens to challenge government decisions through legal action?,0
Democracy,What is the term for a democratic government that is also a monarchy?,0
Democracy,Which form of democracy relies on public debate and consensus for decision-making?,1
Democracy,What is the key feature of a democratic society?,1
Democracy,Which document guarantees basic human rights and democratic governance principles globally?,0
Democracy,What is the term for a situation where the democratic process is undermined by electoral fraud?,1
Democracy,Which democratic principle allows government officials to be removed by popular vote?,0
Democracy,What is the term for political engagement where citizens participate in protests and activism?,0
Democracy,What is the main responsibility of citizens in a democracy?,1
2009 Copenhagen Climate Summit (COP15),What was the main objective of the 2009 Copenhagen Climate Summit?,0
2009 Copenhagen Climate Summit (COP15),Which city hosted the 2009 United Nations Climate Change Conference?,1
2009 Copenhagen Climate Summit (COP15),What was the official name of the 2009 Copenhagen Climate Summit?,0
2009 Copenhagen Climate Summit (COP15),Which international organization was responsible for organizing COP15?,1
2009 Copenhagen Climate Summit (COP15),Which major agreement was expected but failed to be finalized at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which country was criticized for obstructing negotiations at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which U.S. president attended the Copenhagen Climate Summit in 2009?,1
2009 Copenhagen Climate Summit (COP15),What was one of the biggest criticisms of COP15?,0
2009 Copenhagen Climate Summit (COP15),Which group of nations pushed for stricter emissions reductions at COP15?,0
2009 Copenhagen Climate Summit (COP15),What was the name of the unofficial political agreement reached at COP15?,0
2009 Copenhagen Climate Summit (COP15),What global temperature increase limit was widely discussed at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which major European leader played a key role in the negotiations at COP15?,1
2009 Copenhagen Climate Summit (COP15),Which global climate movement protested against COP15’s lack of strong commitments?,0
2009 Copenhagen Climate Summit (COP15),What was the main financial pledge made at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which major emerging economies played a critical role in shaping the outcomes of COP15?,0
2009 Copenhagen Climate Summit (COP15),Which country’s delegation walked out during negotiations at COP15?,0
2009 Copenhagen Climate Summit (COP15),What was one of the key failures of the Copenhagen Accord?,0
2009 Copenhagen Climate Summit (COP15),Which scientific panel’s findings were heavily referenced at COP15?,1
2009 Copenhagen Climate Summit (COP15),Which phrase was frequently used at COP15 to describe the urgency of climate action?,0
2009 Copenhagen Climate Summit (COP15),What was the role of the G77 and China group at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which activist famously disrupted a meeting at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which country committed to significant emissions reductions during COP15 but later weakened its pledge?,0
2009 Copenhagen Climate Summit (COP15),What was the reaction of environmental groups to the outcome of COP15?,1
2009 Copenhagen Climate Summit (COP15),What was the main outcome document of COP15?,0
2009 Copenhagen Climate Summit (COP15),Which country was accused of holding secret meetings to influence the COP15 outcome?,0
2009 Copenhagen Climate Summit (COP15),What role did indigenous groups play at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which major oil-producing country opposed strong emissions cuts at COP15?,0
2009 Copenhagen Climate Summit (COP15),What controversial action did Denmark take against protesters during COP15?,1
2009 Copenhagen Climate Summit (COP15),Which future climate agreement was influenced by the failures of COP15?,0
2009 Copenhagen Climate Summit (COP15),Which world leader described COP15 as a 'climate failure'?,0
2009 Copenhagen Climate Summit (COP15),What key concept was missing from the Copenhagen Accord that was later included in the Paris Agreement?,0
2009 Copenhagen Climate Summit (COP15),Which financial mechanism was promised at COP15 but delayed in implementation?,1
2009 Copenhagen Climate Summit (COP15),Which country hosted the next UN climate conference after COP15?,0
2009 Copenhagen Climate Summit (COP15),What climate policy mechanism was widely debated but not agreed upon at COP15?,1
2009 Copenhagen Climate Summit (COP15),Which major environmental organization declared COP15 a 'historic failure'?,0
2009 Copenhagen Climate Summit (COP15),What commitment did developed countries make regarding climate finance at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which country was seen as the biggest winner of COP15 due to its negotiating stance?,0
2009 Copenhagen Climate Summit (COP15),What was the role of the European Union at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which nation was accused of weakening climate ambition by insisting on voluntary commitments?,1
2009 Copenhagen Climate Summit (COP15),Which specific climate justice issue did African nations highlight at COP15?,0
2009 Copenhagen Climate Summit (COP15),Which small island nation issued an emotional plea for urgent action at COP15?,0
2009 Copenhagen Climate Summit (COP15),What was the main criticism of the Copenhagen Accord's emissions targets?,0
2009 Copenhagen Climate Summit (COP15),What major climate report was released prior to COP15 that influenced negotiations?,0
2009 Copenhagen Climate Summit (COP15),Which major global economic group failed to deliver a unified climate pledge at COP15?,0
2009 Copenhagen Climate Summit (COP15),What phrase was used to describe the lack of enforceability of the Copenhagen Accord?,0
2009 Copenhagen Climate Summit (COP15),Which organization played a key role in tracking the climate finance commitments from COP15?,0
