index,question,answer
2000,Who was the producer of The Shining?,"[""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen""]"
2025,What genre is Shaft?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""blaxploitation"", ""blacksploitation""]"
2050,Who is the author of Sweet Tooth?,"[""Jeff Lemire""]"
2075,Who was the director of The Saint?,"[""Phillip Noyce""]"
2100,Who was the producer of Salem?,"[""Brannon Braga""]"
2125,What is Chang'an the capital of?,"[""Western Wei"", ""Western Yan"", ""Former Qin"", ""Qian Qin"", ""Later Qin"", ""Xin dynasty"", ""Xin chao"", ""New dynasty"", ""Northern Zhou"", ""Bei Zhou"", ""Han dynasty"", ""Han Empire"", ""Han"", ""Han China"", ""Sui dynasty"", ""Sui Dynasty"", ""Tang Empire"", ""Tang China"", ""Tang"", ""Tang dynasty"", ""Tang Dynasty""]"
2150,What genre is Histories?,"[""history""]"
2175,What genre is Kick?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]"
2200,Who was the screenwriter for The Lover?,"[""Jean-Jacques Annaud""]"
2225,Who was the director of Shaft?,"[""John Singleton"", ""John Daniel Singleton""]"
2250,What genre is Bird?,"[""biographical film"", ""biopic"", ""biography film"", ""biography movie"", ""biographical movie"", ""biographical picture""]"
2275,Who was the screenwriter for The Bay?,"[""Barry Levinson""]"
2325,What is Zhengzhou the capital of?,"[""Henan"", ""Honan""]"
2350,Who was the producer of Revenge?,"[""Kevin Costner"", ""Kevin Michael Costner""]"
2375,Who is the father of David Glen Eisley?,"[""Anthony Eisley""]"
2400,Who was the director of The Little Prince?,"[""Mark Osborne"", ""Mark Randolph Osborne""]"
2425,Who was the director of Pizza?,"[""Karthik Subbaraj""]"
2450,Who was the director of The Bat?,"[""Crane Wilbur"", ""Erwin Crane Wilbur""]"
2475,Who is the author of The Reader?,"[""Bernhard Schlink""]"
2500,Who was the composer of How High?,"[""Method Man"", ""Clifford Smith"", ""Clifford M. Smith Jr.""]"
2525,Who is the father of Willie Geist?,"[""Bill Geist"", ""William Geist""]"
2550,Who was the producer of Monkeybone?,"[""Michael Barnathan"", ""Sam Hamm"", ""Henry Selick"", ""Charles Henry Selick"", ""Chris Columbus"", ""Chris Joseph Columbus""]"
2575,Who was the screenwriter for Friday?,"[""Ice Cube"", ""O'Shea Jackson""]"
2600,Who was the director of Always?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]"
2625,Who was the director of Suspicion?,"[""Alfred Hitchcock"", ""Alfred Joseph Hitchcock"", ""Sir Alfred Hitchcock""]"
2650,Who was the composer of White Christmas?,"[""Irving Berlin"", ""Israel Isidore Baline"", ""Israel Balin"", ""Israel Baline"", ""I. Berlin""]"
2675,Who was the director of Charly?,"[""Ralph Nelson""]"
2700,Who was the director of Thanks for Sharing?,"[""Stuart Blumberg""]"
2725,What is the religion of Ivan Illich?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]"
2750,Who was the director of The Believer?,"[""Henry Bean""]"
2775,Who was the producer of Warning?,"[""Green Day"", ""Greenday""]"
2800,Who was the director of Partner?,"[""David Dhawan""]"
2825,Who was the producer of Rehab?,"[""Mark Ronson"", ""Mark Daniel Ronson"", ""DJ Ronson""]"
2850,In what country is Abkhaz?,"[""Russia"", ""Rossiya"", ""Rossija"", ""RU"", ""ru"", ""Rossijskaja Federatsija"", ""Russian Federation"", ""Rossiyskaya Federatsiya"", ""Rus"", ""RUS"", ""RF"", ""Abkhazia"", ""Abkhasia"", ""Abkazia"", ""Abchasia"", ""Abkhaziya"", ""Turkey"", ""Republic of Turkey"", ""🇹🇷"", ""TUR"", ""TR"", ""Jordan"", ""Hashemite Kingdom of Jordan"", ""JO"", ""JOR"", ""jo"", ""Kingdom of Jordan"", ""🇯🇴"", ""Syria"", ""sy"", ""🇸🇾"", ""Syrian Arab Republic"", ""SYR""]"
2875,Who was the composer of Memory?,"[""Andrew Lloyd Webber"", ""Baron Lloyd-Webber"", ""Sir Andrew Lloyd Webber"", ""Andrew Lloyd Webber, Baron Lloyd-Webber"", ""The Rt Hon. The Lord Lloyd-Webber"", ""The Lord Lloyd-Webber"", ""Lord Lloyd-Webber""]"
2900,Who was the producer of The Eye?,"[""Peter Chan"", ""Peter"", ""Peter Ho-sun Chan""]"
2925,Who was the director of Like Crazy?,"[""Drake Doremus""]"
2950,Who was the screenwriter for The Rose?,"[""Bo Goldman"", ""Robert Goldman""]"
2975,What is the religion of University of St. Thomas?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]"
3000,What is the capital of Amazonas?,"[""Manaus"", ""Mother of Gods"", ""Paris of the Tropics""]"
3025,Who was the screenwriter for Ida?,"[""Rebecca Lenkiewicz""]"
3050,What is Lilongwe the capital of?,"[""Malawi"", ""Republic of Malawi"", ""mw"", ""🇲🇼"", ""MAW"", ""Central Region""]"
3075,What is Alex Reid's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]"
3100,Who was the director of Little Black Book?,"[""Nick Hurran""]"
3125,Who was the director of The Return of the Archons?,"[""Joseph Pevney""]"
3150,Who was the producer of Laundry Service?,"[""Shakira"", ""Shakira Isabel Mebarak Ripoll"", ""Shakira Mebarak""]"
3175,In what country is Jam Filled Entertainment?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]"
3200,Who was the screenwriter for The Phone Message?,"[""Jerry Seinfeld"", ""Jerome Allen Seinfeld"", ""Cable Boy"", ""Mr. Steinfeld"", ""Jerome Allen \""Jerry\"" Seinfeld"", ""Larry David"", ""Lawrence Gene David"", ""Lawrence Gene \""Larry\"" David"", ""the greatest man alive""]"
3225,What is the religion of Sur Empire?,"[""Sunni Islam"", ""Sunni"", ""Sunnite Muslims"", ""Sunnite Muslim""]"
3250,Who was the screenwriter for Candy?,"[""Luke Davies""]"
3275,Who was the producer of 9?,"[""Shane Acker""]"
3300,Who was the director of Thank You?,"[""Anees Bazmee""]"
3325,"Who was the producer of Tarzan, the Ape Man?","[""Bo Derek""]"
3350,Who was the director of Imprint?,"[""Takashi Miike""]"
3375,Who was the composer of Super?,"[""Sandeep Chowta""]"
3400,What is Muskogee the capital of?,"[""Muskogee County"", ""Muskogee County, Oklahoma""]"
3425,Who was the composer of The Neverhood?,"[""Terry Scott Taylor""]"
3450,Who was the screenwriter for Empire?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]"
3475,Who was the director of The Hard Way?,"[""John Badham"", ""John MacDonald Badham""]"
3500,Who was the screenwriter for Shor?,"[""Manoj Kumar""]"
3525,Who was the screenwriter for In America?,"[""Kirsten Sheridan"", ""Jim Sheridan""]"
3550,Who was the producer of The Wedding Banquet?,"[""Ang Lee""]"
3575,Who was the screenwriter for Underground?,"[""Emir Kusturica"", ""Emir Nemanja Kusturica"", ""Nemanja Kusturica""]"
3600,Who was the director of Life?,"[""Anton Corbijn"", ""Anton Corbyn"", ""Anton Johannes Gerrit Corbijn van Willenswaard"", ""Anton Cortbijn""]"
3625,Who is the author of Timeline?,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]"
3650,Who is the father of Ralph Wiggum?,"[""Chief Wiggum"", ""Clancy Wiggum""]"
3675,What genre is The King and I?,"[""musical film"", ""musical movie""]"
3700,What genre is David Byron?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]"
3725,What genre is Sometimes?,"[""teen pop"", ""teenpop""]"
3750,Who was the screenwriter for The Toy?,"[""Richard Donner"", ""Richard Donald Schwartzberg"", ""Francis Veber"", ""Francis Paul Veber""]"
3775,Who was the screenwriter for The Singing Detective?,"[""Dennis Potter"", ""Dennis Christopher George Potter""]"
3800,Who was the producer of Smoke?,"[""Harvey Weinstein""]"
3825,Who was the producer of Daddy?,"[""Allu Aravind""]"
3850,What is the capital of Baldwin County?,"[""Bay Minette"", ""Bay Minette, Alabama""]"
3875,Who is the author of Wanted?,"[""Mark Millar""]"
3900,Who was the producer of Hurt?,"[""Linda Perry""]"
3925,What is the religion of Loon?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]"
3950,Who was the director of The Hour?,"[""Coky Giedroyc"", ""Mary Rose Helen Giedroyc""]"
3975,Who was the composer of Passion?,"[""Stephen Sondheim"", ""Stephen Joshua Sondheim""]"
4000,Who was the producer of Seeking Justice?,"[""Tobey Maguire"", ""Tobias Vincent Maguire""]"
4025,Who is the author of Post Office?,"[""Charles Bukowski"", ""Henry Charles Bukowski"", ""Buk"", ""charles bukowski""]"
4050,What is the religion of Muhammad Qasim Nanautawi?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]"
4075,In what country is Central Philippine University?,"[""Philippines"", ""Republic of the Philippines"", ""PH"", ""ph"", ""the Philippines"", ""Philippine Islands"", ""PHL"", ""RP"", ""🇵🇭"", ""PHI"", ""Pinas""]"
4100,Who was the producer of Another Year?,"[""Georgina Lowe""]"
4125,Who was the producer of Spectrum?,"[""Billy Cobham"", ""William Emanuel Cobham""]"
4150,Who was the screenwriter for The Church?,"[""Franco Ferrini"", ""Michele Soavi"", ""Soavi, Michele"", ""Dardano Sacchetti"", ""Dario Argento"", ""Sirio Bernadotte""]"
4175,What is the capital of Appenzell Innerrhoden?,"[""Appenzell""]"
4200,What is the religion of Mount St. Mary's University?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]"
4225,Who was the screenwriter for What Just Happened?,"[""Art Linson""]"
4250,Who was the director of Sarah's Key?,"[""Gilles Paquet-Brenner""]"
4275,Who is the author of Tanya?,"[""Shneur Zalman of Liadi"", ""Rabbi Shneur Zalman of Liadi"", ""Alter Rebbe"", ""Baal HaTanya"", ""Baal HaTanya Vehashulchan Aruch"", ""Rabbi Shneur Zalman Baruchovitch""]"
4300,Who was the director of Plenty?,"[""Fred Schepisi"", ""Frederic Alan Schepisi""]"
4325,Who was the director of Johnny?,"[""Mahendran""]"
4350,Who was the screenwriter for The Monster?,"[""Crane Wilbur"", ""Erwin Crane Wilbur""]"
4375,Who was the screenwriter for The Shout?,"[""Robert Graves"", ""Robert von Ranke-Graves"", ""Robert Von Ranke-Graves"", ""Robert Ranke Graves"", ""Robert von Ranke Graves"", ""Jerzy Skolimowski""]"
4400,Who was the producer of Mr. Baseball?,"[""Fred Schepisi"", ""Frederic Alan Schepisi""]"
4425,What color is Pan-Slavic colors?,"[""red"", ""red color""]"
4450,Who was the producer of Money?,"[""Ram Gopal Varma"", ""RGV"", ""Penmetsa Ram Gopal Varma""]"
4475,Who is the author of Thinking of You?,"[""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry""]"
4500,What genre is Fernando Sor?,"[""opera"", ""lyric drama"", ""European opera"", ""Western classical opera""]"
4525,Who is the author of The Client?,"[""John Grisham"", ""John Ray Grisham, Jr."", ""John Ray Grisham Jr""]"
4550,What is Soria the capital of?,"[""Soria Province"", ""Soria""]"
4575,Who was the screenwriter for Je t'aime moi non plus?,"[""Serge Gainsbourg"", ""Lucien Ginsburg""]"
4600,Who was the screenwriter for As It Is in Heaven?,"[""Kay Pollak"", ""Kay Gunnar Leopold Pollak""]"
4625,Who was the composer of Violin Concerto?,"[""Jean Sibelius"", ""Johan Julius Christian Sibelius"", ""Sibelius""]"
4650,Who was the screenwriter for The Cardinal?,"[""Robert Dozier""]"
4675,Who was the composer of The Killer Elite?,"[""Jerry Fielding"", ""Joshua Itzhak Feldman""]"
4700,Who was the director of Holiday?,"[""George Cukor"", ""George Dewey Cukor""]"
4725,What genre is The Secret?,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]"
4750,What genre is Breathe?,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]"
4775,In what country is Mo i Rana?,"[""Norway"", ""Kingdom of Norway"", ""Norge"", ""Norvège‏"", ""NO"", ""NOR"", ""no"", ""Noreg"", ""Norwegen‏"", ""🇳🇴""]"
4800,Who was the director of The Cost?,"[""Brad Anderson""]"
4825,What genre is October 1?,"[""mystery film""]"
4850,In what country is National Assembly?,"[""Nicaragua"", ""ni"", ""🇳🇮"", ""Republic of Nicaragua"", ""NIC"", ""NI"", ""NCA""]"
4875,Who was the screenwriter for Out 1?,"[""Jacques Rivette""]"
4900,What genre is Slim Gaillard?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]"
4925,What is Vic the capital of?,"[""Osona""]"
4950,Who was the screenwriter for The Train?,"[""Pierre Granier-Deferre""]"
4975,Who is the author of The Night Watch?,"[""Sarah Waters"", ""Sarah Ann Waters""]"
5000,What is the religion of Linfield University?,"[""American Baptist Churches USA""]"
5025,Who is the author of The Lower Depths?,"[""Maxim Gorky"", ""Alexei Maximovich Peshkov"", ""Maksim Gor'ky"", ""Aleksey Maksimovich Peshkov"", ""Aleksey Peshkov"", ""Maksim Gorky"", ""Gorky"", ""Maxim Gorki""]"
5050,What is Claudio Naranjo's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker""]"
5075,Who is the author of All the Way?,"[""Robert Schenkkan"", ""Robert Frederic Schenkkan, Jr.""]"
5100,What is Chiara Zanni's occupation?,"[""voice actor"", ""voice artist"", ""voice actress"", ""voice-over performer"", ""actor"", ""actress"", ""actors"", ""actresses""]"
5125,Who was the producer of Doc?,"[""Frank Perry"", ""Frank J. Perry"", ""Frank Joseph Perry, Jr.""]"
5150,What sport does Cam Ward play?,"[""ice hockey""]"
5175,Who was the director of The Immunity Syndrome?,"[""Joseph Pevney""]"
5200,Who was the screenwriter for The Promise?,"[""Chen Kaige""]"
5225,Who was the screenwriter for Girlfriend?,"[""Karan Razdan""]"
5250,Who was the screenwriter for Our Town?,"[""Thornton Wilder"", ""Thornton Niven Wilder"", ""Frank Craven"", ""John Francis Craven""]"
5275,Who is the author of The Octoroon?,"[""Dion Boucicault"", ""Dionysius Lardner Boursiquot""]"
5300,What is Archer City the capital of?,"[""Archer County"", ""Archer County, Texas""]"
5325,In what country is Christopher?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
5350,Who was the producer of Surprise?,"[""Paul Simon"", ""Paul Frederic Simon"", ""Jerry Landis""]"
5375,Who was the director of Three the Hard Way?,"[""Gordon Parks, Jr.""]"
5400,What genre is Expedition?,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sci fi"", ""sciencefiction""]"
5425,In what city was Jiang Mianheng born?,"[""Shanghai"", ""Hu"", ""Shang Hai"", ""Shanghai, China""]"
5450,Who was the composer of Soldier of Fortune?,"[""Ritchie Blackmore"", ""Richard Hugh Blackmore"", ""00041104344 IPI"", ""00041499477 IPI"", ""Richard Blackmore""]"
5475,Who was the director of Pip?,"[""Eric Stough""]"
5500,Who was the composer of Broken?,"[""Trent Reznor"", ""Michael Trent Reznor""]"
5525,What genre is At This Moment?,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]"
5550,In what country is Mangalore University?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]"
5575,Who was the screenwriter for Infection?,"[""Masayuki Ochiai""]"
5600,Who was the director of The Ghost Train?,"[""Walter Forde""]"
5625,Who was the director of Connected?,"[""Benny Chan"", ""Benny Chan Muk-Sing"", ""Chan Muk-Sing""]"
5650,Who was the producer of Into the Sun?,"[""Steven Seagal"", ""Steven Frederic Seagal"", ""Steven Frederick Seagal""]"
5675,What is the capital of Dhule district?,"[""Dhule""]"
5700,In what country is Lugano Airport?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]"
5725,Who was the composer of Go?,"[""Moby"", ""Richard Melville Hall"", ""Voodoo Child"", ""Barracuda"", ""Brainstorm"", ""Schaumgummi"", ""Pippy Baliunas"", ""UHF"", ""Elizabeth McBride""]"
5750,Who is the author of Not I?,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]"
5775,Who is the mother of Clarence Peters?,"[""Clarion Chukwura""]"
5800,Who was the screenwriter for Platform?,"[""Jia Zhangke""]"
5825,Who is the mother of Rosa Brooks?,"[""Barbara Ehrenreich""]"
5850,Who was the producer of Fundamental?,"[""Trevor Horn"", ""Trevor Charles Horn""]"
5875,What is the capital of Van Buren County?,"[""Paw Paw"", ""Paw Paw, Michigan""]"
