question,answer,baseline,index
What genre is Pokémon Red and Blue?,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",Pokémon Red and Blue are Role-Playing Games (RPGs).,1025
What color is Coventry City F.C.?,"[""sky blue""]",Coventry City F.C. plays in Sky Blue.,1050
Who was the screenwriter for Ring?,"[""Kōji Suzuki"", ""Koji Suzuki"", ""Suzuki Kōji"", ""Suzuki Koji"", ""Kouji Suzuki""]","The screenwriter for the 1998 Japanese horror film ""Ring"" was Koji Suzuki.",1075
In what country is Malay?,"[""Indonesia"", ""Republic of Indonesia"", ""id"", ""ID"", ""INA"", ""IDN""]",Malay is an official language in Malaysia.,1100
Who was the director of Hook?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",The director of Hook (1991) was Steven Spielberg.,1125
What genre is Touhou Project?,"[""shoot 'em up"", ""shoot em up"", ""shmup"", ""stg"", ""shoot 'em up video games""]","The Touhou Project is a doujin (indie) series of Japanese video games, music, and other media. The genre of Touhou Project is often classified as:

* Bullet hell (danmaku) shooter
* Action game
* Indie game

However, the series is often associated with the broader genre of Japanese doujin culture, which encompasses a wide range of creative works, including music, art, and literature.",1150
Who was the producer of Skins?,"[""Chris Clough""]","The producer of the British television series ""Skins"" was Bryan Elsley.",1175
Who was the composer of Holes?,"[""Joel McNeely""]","The composer of the music for the 2003 film ""Holes"" is John Debney.",1200
Who was the producer of The Thing from Another World?,"[""Howard Hawks"", ""Howard Winchester Hawks""]",The producer of The Thing from Another World (1951) was Howard Hawks.,1225
Who was the director of Into the Woods?,"[""Rob Marshall""]",The director of the 2014 film adaptation of Into the Woods was Rob Marshall.,1250
Who was the composer of King Kong?,"[""Max Steiner"", ""Maximilian Raoul Steiner""]","The composer of the 1933 film ""King Kong"" was Max Steiner.",1275
Who was the producer of Funny Games U.S.?,"[""Naomi Watts"", ""Naomi Ellen Watts""]",The producer of Funny Games U.S. was Charles Gordon.,1300
Who was the screenwriter for Roots?,"[""Alex Haley"", ""Alexander Murray Palmer Haley"", ""Alexander M. P. Haley""]","The screenwriter for the 1977 television miniseries ""Roots"" was William Blinn.",1325
Who was the producer of Imagine?,"[""Phil Spector"", ""Harvey Phillip Spector"", ""Phillip Harvey Spector"", ""00029306983 IPI""]","The producer of John Lennon's iconic song ""Imagine"" was John Lennon himself, along with Yoko Ono.",1350
Who was the producer of Glory?,"[""Freddie Fields"", ""Fred Feldman""]","The producer of the 1989 film ""Glory"" was Freddie Fields.",1375
Who was the director of Unfriended?,"[""Levan Gabriadze"", ""Levan Rezotovich Gabriadze""]",The director of Unfriended (2014) was Levan Gabriadze.,1400
What genre is The Script?,"[""pop rock"", ""pop/rock"", ""pop-rock""]","The Script is a pop-rock band. Their music often blends elements of pop, rock, and adult contemporary genres.",1425
In what city was Babyface born?,"[""Indianapolis"", ""Circle City"", ""Indy"", ""Naptown"", ""Crossroads of America"", ""Racing Capital of the World"", ""Amateur Sports Capital of the World"", ""INDPLS"", ""Indianapolis, Indiana"", ""India-no-place"", ""Railroad City""]","Babyface was born Kenneth Edmonds on April 10, 1959, in Indianapolis, Indiana.",1450
What is Lille the capital of?,"[""Nord"", ""Northern Department"", ""North"", ""Département du Nord"", ""59""]",Lille is the capital of the Hauts-de-France region in northern France.,1475
Who was the director of 2010: The Year We Make Contact?,"[""Peter Hyams""]",The director of 2010: The Year We Make Contact (1984) was Peter Hyams.,1500
Who is the mother of Esau?,"[""Rebecca"", ""Rivka"", ""Rivkah"", ""Rebecka"", ""Rebeccah""]","According to the Bible, the mother of Esau is Rebekah, who was the wife of Isaac.",1525
Who was the screenwriter for Carol?,"[""Phyllis Nagy""]","The screenwriter for the 2015 film ""Carol"" was Phyllis Nagy.",1550
Who is the author of The Secret?,"[""Rhonda Byrne""]","The author of ""The Secret"" is Rhonda Byrne.",1575
Who is the author of The Crow?,"[""James O'Barr""]",The author of The Crow is James O'Barr.,1600
"Who is the father of Princess Elisabeth, Duchess of Brabant?","[""Philippe I of Belgium"", ""King Philippe of Belgium"", ""Philippe Léopold Louis Marie de Belgique, Prince de Belgique"", ""Filip of Belgium""]","The father of Princess Elisabeth, Duchess of Brabant, is King Philippe of Belgium.",1625
Who was the composer of Dragonball Evolution?,"[""Brian Tyler"", ""Brian Theodore Tyler"", ""Madsonik""]","The composer of the soundtrack for the 2009 film ""Dragonball Evolution"" was Ramin Djawadi.",1650
What is Windsor the capital of?,"[""Essex County"", ""Essex County, Ontario""]","Windsor is the capital of Berkshire, a county in South East England.",1675
Who was the screenwriter for The Hunger?,"[""Ivan Davis""]","The screenwriter for the 1983 film ""The Hunger"" was David Bowie, along with Brian Eno and Malcolm McLaren.",1700
Who was the screenwriter for Frida?,"[""Gregory Nava"", ""Anna Thomas"", ""Clancy Sigal"", ""Clarence Sigal"", ""Kalman Sigal""]","The screenwriter for the 2002 film ""Frida"" was Clancy Sigal, with additional writing credits going to Diane Rodriguez and Gregory Nava.",1725
What color is snow?,"[""white"", ""W"", ""color white"", ""#FFFFFF""]","Snow is typically white, but it can also appear blue, gray, or even brown depending on the conditions and the type of snow.",1750
Who was the screenwriter for La Haine?,"[""Mathieu Kassovitz"", ""Matthieu Kassovitz""]",The screenwriter for the 1995 French film La Haine was Éric Koolé and Laurent Cantet.,1775
What is the religion of synagogue?,"[""Judaism"", ""Jewish"", ""Jewish religion""]",The religion associated with a synagogue is Judaism.,1800
What is Glenn Gould's occupation?,"[""composer"", ""pianist""]",Glenn Gould was a Canadian pianist and composer.,1825
Who was the composer of Götterdämmerung?,"[""Richard Wagner"", ""Wilhelm Richard Wagner"", ""Wagner""]","The composer of Götterdämmerung, the final opera of Richard Wagner's Ring cycle, is Richard Wagner himself.",1850
Who was the composer of Witness?,"[""Maurice Jarre"", ""Maurice-Alexis Jarre""]","The composer of the 1985 film ""Witness"" was Maurice Jarre.",1875
Who was the producer of Giant?,"[""George Stevens"", ""George Cooper Stevens"", ""Jack Stevens""]","The producer of the 1956 film ""Giant"" was Harold Hecht.",1900
What is the religion of University of Evansville?,"[""United Methodist Church"", ""UMC""]",The University of Evansville is a private university affiliated with the United Methodist Church.,1925
What genre is The Kingdom?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",The Kingdom is a horror-comedy film.,1950
Who was the director of The Host?,"[""Andrew Niccol"", ""Andrew M. Niccol""]","The director of the 2006 film ""The Host"" is Bong Joon-ho.",1975
Who was the producer of The Shining?,"[""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen""]",The producer of The Shining (1980) was Stanley Kubrick.,2000
What genre is Shaft?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""blaxploitation"", ""blacksploitation""]","The 1971 film ""Shaft"" is a Blaxploitation film, a subgenre of action films that emerged in the early 1970s.",2025
Who is the author of Sweet Tooth?,"[""Jeff Lemire""]",The author of Sweet Tooth is Jeff Lemire.,2050
Who was the director of The Saint?,"[""Phillip Noyce""]","The director of the 1997 film ""The Saint"" was Phillip Noyce.",2075
Who was the producer of Salem?,"[""Brannon Braga""]","The producer of the WGN America series ""Salem"" was Brannon Braga.",2100
What is Chang'an the capital of?,"[""Western Wei"", ""Western Yan"", ""Former Qin"", ""Qian Qin"", ""Later Qin"", ""Xin dynasty"", ""Xin chao"", ""New dynasty"", ""Northern Zhou"", ""Bei Zhou"", ""Han dynasty"", ""Han Empire"", ""Han"", ""Han China"", ""Sui dynasty"", ""Sui Dynasty"", ""Tang Empire"", ""Tang China"", ""Tang"", ""Tang dynasty"", ""Tang Dynasty""]",Chang'an was the capital of ancient China during the Tang Dynasty (618-907 CE).,2125
What genre is Histories?,"[""history""]","The genre of ""Histories"" is likely Historical Fiction.",2150
What genre is Kick?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]","Kick is a Telugu-language action film, which falls under the action-comedy genre.",2175
Who was the screenwriter for The Lover?,"[""Jean-Jacques Annaud""]","The screenwriter for the 1992 film ""The Lover"" was Claude Lelouch.",2200
Who was the director of Shaft?,"[""John Singleton"", ""John Daniel Singleton""]","The director of the 1971 film ""Shaft"" was Gordon Parks.",2225
What genre is Bird?,"[""biographical film"", ""biopic"", ""biography film"", ""biography movie"", ""biographical movie"", ""biographical picture""]","The 1988 film ""Bird"" is a biographical drama film directed by Clint Eastwood. The film is based on the life of Charlie ""Bird"" Parker, an American jazz saxophonist.",2250
Who was the screenwriter for The Bay?,"[""Barry Levinson""]","The screenwriter for the 2012 horror film ""The Bay"" was Barry Levinson.",2275
What is Zhengzhou the capital of?,"[""Henan"", ""Honan""]",Zhengzhou is the capital of Henan Province in China.,2325
Who was the producer of Revenge?,"[""Kevin Costner"", ""Kevin Michael Costner""]","The producer of the TV series ""Revenge"" was Marty Adelstein.",2350
Who is the father of David Glen Eisley?,"[""Anthony Eisley""]",David Glen Eisley's father is Glenn Eisley.,2375
Who was the director of The Little Prince?,"[""Mark Osborne"", ""Mark Randolph Osborne""]","The director of the 2015 animated film ""The Little Prince"" was Mark Osborne.",2400
Who was the director of Pizza?,"[""Karthik Subbaraj""]","I think there may be some confusion! There is no movie called ""Pizza"" that I'm aware of. Could you be thinking of a different title, or perhaps a documentary or cooking show about pizza? If you could provide more context or clarify what you're looking for, I'd be happy to try and help you further!",2425
Who was the director of The Bat?,"[""Crane Wilbur"", ""Erwin Crane Wilbur""]","There is no movie titled ""The Bat"". However, there is a 1959 film titled ""House on Haunted Hill"" directed by William Castle, which features a character named ""The Bat"" as a villain.",2450
Who is the author of The Reader?,"[""Bernhard Schlink""]",The author of The Reader is Bernhard Schlink.,2475
Who was the composer of How High?,"[""Method Man"", ""Clifford Smith"", ""Clifford M. Smith Jr.""]","The composer of the song ""How High"" is Redman, featuring Method Man.",2500
Who is the father of Willie Geist?,"[""Bill Geist"", ""William Geist""]","Willie Geist's father is Bill Geist, a journalist and author.",2525
Who was the producer of Monkeybone?,"[""Michael Barnathan"", ""Sam Hamm"", ""Henry Selick"", ""Charles Henry Selick"", ""Chris Columbus"", ""Chris Joseph Columbus""]",The producer of Monkeybone (2001) was Peter Levy.,2550
Who was the screenwriter for Friday?,"[""Ice Cube"", ""O'Shea Jackson""]","The screenwriter for the 1995 film ""Friday"" was Ice Cube.",2575
Who was the director of Always?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]","The director of the 1989 romantic drama film ""Always"" was Steven Spielberg.",2600
Who was the director of Suspicion?,"[""Alfred Hitchcock"", ""Alfred Joseph Hitchcock"", ""Sir Alfred Hitchcock""]","The director of the 1941 film ""Suspicion"" was Alfred Hitchcock.",2625
Who was the composer of White Christmas?,"[""Irving Berlin"", ""Israel Isidore Baline"", ""Israel Balin"", ""Israel Baline"", ""I. Berlin""]","The composer of ""White Christmas"" is Irving Berlin.",2650
Who was the director of Charly?,"[""Ralph Nelson""]","The director of the 1968 film ""Charly"" was Ralph Nelson.",2675
Who was the director of Thanks for Sharing?,"[""Stuart Blumberg""]","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.",2700
What is the religion of Ivan Illich?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","Ivan Illich was an Austrian philosopher and critic of modern society. He was born into a Catholic family, but he later became disillusioned with organized religion. Illich's philosophy was more focused on social critique, education, and technology, rather than on religious doctrine.",2725
Who was the director of The Believer?,"[""Henry Bean""]","The director of the 2001 film ""The Believer"" was Henry Bean.",2750
Who was the producer of Warning?,"[""Green Day"", ""Greenday""]","The producer of the 2007 film ""I Know Who Killed Me"" (also known as ""Warning"") was Robert Shaye.",2775
Who was the director of Partner?,"[""David Dhawan""]","The director of the 1960 film ""Partner"" was Bobby Darin.",2800
Who was the producer of Rehab?,"[""Mark Ronson"", ""Mark Daniel Ronson"", ""DJ Ronson""]","The producer of Lady Gaga's song ""Rehab"" is Martin Kierszenbaum.",2825
In what country is Abkhaz?,"[""Russia"", ""Rossiya"", ""Rossija"", ""RU"", ""ru"", ""Rossijskaja Federatsija"", ""Russian Federation"", ""Rossiyskaya Federatsiya"", ""Rus"", ""RUS"", ""RF"", ""Abkhazia"", ""Abkhasia"", ""Abkazia"", ""Abchasia"", ""Abkhaziya"", ""Turkey"", ""Republic of Turkey"", ""🇹🇷"", ""TUR"", ""TR"", ""Jordan"", ""Hashemite Kingdom of Jordan"", ""JO"", ""JOR"", ""jo"", ""Kingdom of Jordan"", ""🇯🇴"", ""Syria"", ""sy"", ""🇸🇾"", ""Syrian Arab Republic"", ""SYR""]",Abkhaz is a region in the country of Georgia.,2850
Who was the composer of Memory?,"[""Andrew Lloyd Webber"", ""Baron Lloyd-Webber"", ""Sir Andrew Lloyd Webber"", ""Andrew Lloyd Webber, Baron Lloyd-Webber"", ""The Rt Hon. The Lord Lloyd-Webber"", ""The Lord Lloyd-Webber"", ""Lord Lloyd-Webber""]","The composer of ""Memory"" is Andrew Lloyd Webber.",2875
Who was the producer of The Eye?,"[""Peter Chan"", ""Peter"", ""Peter Ho-sun Chan""]","The producer of the 2008 horror film ""The Eye"" was Peter Chan.",2900
Who was the director of Like Crazy?,"[""Drake Doremus""]",The director of Like Crazy (2011) is Drake Doremus.,2925
Who was the screenwriter for The Rose?,"[""Bo Goldman"", ""Robert Goldman""]","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.",2950
What is the religion of University of St. Thomas?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","The University of St. Thomas is a Catholic university, and its mission is rooted in the Catholic faith.",2975
What is the capital of Amazonas?,"[""Manaus"", ""Mother of Gods"", ""Paris of the Tropics""]",The capital of Amazonas is Manaus.,3000
Who was the screenwriter for Ida?,"[""Rebecca Lenkiewicz""]","The screenwriter for the 2013 film ""Ida"" was Paweł Pawlikowski.",3025
What is Lilongwe the capital of?,"[""Malawi"", ""Republic of Malawi"", ""mw"", ""🇲🇼"", ""MAW"", ""Central Region""]",Lilongwe is the capital of Malawi.,3050
What is Alex Reid's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","Alex Reid is a British actor, martial artist, and former cage fighter.",3075
Who was the director of Little Black Book?,"[""Nick Hurran""]","The director of the 2004 film ""Little Black Book"" was Nick Hurran.",3100
Who was the director of The Return of the Archons?,"[""Joseph Pevney""]","The director of the Star Trek episode ""The Return of the Archons"" was Joseph Pevney.",3125
Who was the producer of Laundry Service?,"[""Shakira"", ""Shakira Isabel Mebarak Ripoll"", ""Shakira Mebarak""]","The producer of Laundry Service, the debut studio album by Colombian singer-songwriter Shakira, was Shakira herself, along with Emilio Estefan.",3150
In what country is Jam Filled Entertainment?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",Jam Filled Entertainment is a Canadian video game development company.,3175
Who was the screenwriter for The Phone Message?,"[""Jerry Seinfeld"", ""Jerome Allen Seinfeld"", ""Cable Boy"", ""Mr. Steinfeld"", ""Jerome Allen \""Jerry\"" Seinfeld"", ""Larry David"", ""Lawrence Gene David"", ""Lawrence Gene \""Larry\"" David"", ""the greatest man alive""]","I apologize, but there is no movie or TV show titled ""The Phone Message"". Therefore, there is no screenwriter credited for such a project. If you meant to ask about a different title, please feel free to rephrase your question!",3200
What is the religion of Sur Empire?,"[""Sunni Islam"", ""Sunni"", ""Sunnite Muslims"", ""Sunnite Muslim""]","The Sur Empire, which was a Mughal Empire that existed from 1542 to 1556, was a Muslim empire. The Sur Empire was founded by Sher Shah Suri, a Pashtun Afghan who was a military commander under the Mughal Empire.",3225
Who was the screenwriter for Candy?,"[""Luke Davies""]","The screenwriter for the 1968 film ""Candy"" was Terry Southern.",3250
Who was the producer of 9?,"[""Shane Acker""]","The producers of the 2009 animated film ""9"" were Jim Lemley, Tim Burton, and Timur Bekmambetov.",3275
Who was the director of Thank You?,"[""Anees Bazmee""]","The director of the 2011 Indian film ""Thank You"" was Anees Bazmee.",3300
"Who was the producer of Tarzan, the Ape Man?","[""Bo Derek""]","The producer of Tarzan, the Ape Man (1959) was Sy Weintraub.",3325
Who was the director of Imprint?,"[""Takashi Miike""]","The director of the 2007 Star Trek: Enterprise episode ""Imperfection"" (not ""Imprint"") is Maja Stace-Smith.",3350
Who was the composer of Super?,"[""Sandeep Chowta""]","The composer of the 2010 film ""Super"" was John Swihart.",3375
What is Muskogee the capital of?,"[""Muskogee County"", ""Muskogee County, Oklahoma""]",Muskogee is the capital of the Cherokee Nation.,3400
Who was the composer of The Neverhood?,"[""Terry Scott Taylor""]",The composer of The Neverhood is Lee Jackson.,3425
Who was the screenwriter for Empire?,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]","The screenwriter for the 1962 film ""Empire"" was Peter Watkins.",3450
Who was the director of The Hard Way?,"[""John Badham"", ""John MacDonald Badham""]",The director of The Hard Way (1991) was John Badham.,3475
Who was the screenwriter for Shor?,"[""Manoj Kumar""]","The screenwriter for the 1989 film ""Shoresh"" (also known as ""Shor"") was Ehud Bleiberg.",3500
Who was the screenwriter for In America?,"[""Kirsten Sheridan"", ""Jim Sheridan""]","The screenwriter for the 2003 film ""In America"" was Jim Sheridan.",3525
Who was the producer of The Wedding Banquet?,"[""Ang Lee""]",The producer of The Wedding Banquet (1993) was Ang Lee.,3550
Who was the screenwriter for Underground?,"[""Emir Kusturica"", ""Emir Nemanja Kusturica"", ""Nemanja Kusturica""]","The screenwriter for the 1995 film ""Underground"" was Emir Kusturica.",3575
Who was the director of Life?,"[""Anton Corbijn"", ""Anton Corbyn"", ""Anton Johannes Gerrit Corbijn van Willenswaard"", ""Anton Cortbijn""]","The director of the 2017 sci-fi horror film ""Life"" was Daniel Espinosa.",3600
Who is the author of Timeline?,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]","The author of the novel ""Timeline"" is Michael Crichton.",3625
Who is the father of Ralph Wiggum?,"[""Chief Wiggum"", ""Clancy Wiggum""]",The father of Ralph Wiggum is Otis Wiggum.,3650
What genre is The King and I?,"[""musical film"", ""musical movie""]","The King and I is a classic Rodgers and Hammerstein musical, which falls under the genre of Musical Theatre.",3675
What genre is David Byron?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","David Byron was a British rock singer, best known as the lead vocalist of the rock band Uriah Heep.",3700
What genre is Sometimes?,"[""teen pop"", ""teenpop""]","""Sometimes"" is a song by British singer-songwriter Britney Spears, from her album ""Britney"". The genre of ""Sometimes"" is Pop and Teen Pop.",3725
Who was the screenwriter for The Toy?,"[""Richard Donner"", ""Richard Donald Schwartzberg"", ""Francis Veber"", ""Francis Paul Veber""]","The screenwriter for the 1982 film ""The Toy"" was Harriet Frank Jr.",3750
Who was the screenwriter for The Singing Detective?,"[""Dennis Potter"", ""Dennis Christopher George Potter""]",The screenwriter for The Singing Detective (1984) was Bruce Robinson.,3775
