question,answer,baseline,L4-P4,L4-P6,L4-P8,L4-P10,L6-P4,L6-P6,L6-P8,L6-P10,L8-P4,L8-P6,L8-P8,L8-P10,L10-P4,L10-P6,L10-P8,L10-P10,L12-P4,L12-P6,L12-P8,L12-P10,L14-P4,L14-P6,L14-P8,L14-P10,L16-P4,L16-P6,L16-P8,L16-P10,L18-P4,L18-P6,L20-P4,L20-P6,L22-P4,L22-P6,L24-P4,L24-P6,L26-P4,L26-P6,L28-P4,L28-P6,L30-P4,index
Who was the director of Thanks for Sharing?,"[""Stuart Blumberg""]","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.",The director of Thanks for Sharing (2012) is Stuart Blumberg.,"The director of the 2012 film ""Thanks for Sharing"" is Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" is Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" is Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Zicherman.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.",2700
Who was the director of The Believer?,"[""Henry Bean""]","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.",The director of The Believer (2001) was Henry Bean.,The director of The Believer (2001) was Henry Bean.,"The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" is Henry Bean.","The director of the 2001 film ""The Believer"" is Henry Bean.","The director of the 2001 film ""The Believer"" is Henry Bean.","The director of the 2001 film ""The Believer"" is Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.","The director of the 2001 film ""The Believer"" was Henry Bean.",2750
In what country is Abkhaz?,"[""Russia"", ""Rossiya"", ""Rossija"", ""RU"", ""ru"", ""Rossijskaja Federatsija"", ""Russian Federation"", ""Rossiyskaya Federatsiya"", ""Rus"", ""RUS"", ""RF"", ""Abkhazia"", ""Abkhasia"", ""Abkazia"", ""Abchasia"", ""Abkhaziya"", ""Turkey"", ""Republic of Turkey"", ""🇹🇷"", ""TUR"", ""TR"", ""Jordan"", ""Hashemite Kingdom of Jordan"", ""JO"", ""JOR"", ""jo"", ""Kingdom of Jordan"", ""🇯🇴"", ""Syria"", ""sy"", ""🇸🇾"", ""Syrian Arab Republic"", ""SYR""]",Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,"Abkhaz is a language spoken in Abkhazia, a disputed region in the Caucasus, bordering Georgia.","Abkhazia is a disputed region located in the Caucasus, and it is not recognized as a sovereign state by most countries.","Abkhazia is a disputed region located in the Caucasus, and it is not recognized as a sovereign state by most countries.",Abkhaz is a region in the country of Georgia.,"Abkhaz is a language spoken in Abkhazia, a disputed region in the Caucasus, bordering Georgia.",Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,"Abkhaz is a region located in the country of Georgia, in the Caucasus region of Eurasia.","Abkhaz is a region in the country of Georgia, located in the Caucasus region of Eurasia.","Abkhaz is a region in the country of Georgia, located in the Caucasus region of Eurasia.","Abkhazia is a disputed region located in the Caucasus, bordering Georgia to the south.","Abkhaz is a language spoken in Abkhazia, a disputed region in the Caucasus, bordering Georgia and Russia.","Abkhaz is a region in the country of Georgia, located at the eastern end of the Black Sea.","Abkhazia is a disputed territory located in the Caucasus region. It is not recognized as a sovereign state by the international community, but it is de facto independent from Georgia, which claims sovereignty over the territory.","Abkhazia is a disputed region located in the Caucasus, and it is not recognized as a sovereign state by the international community.

However, Abkhazia is de facto independent and has its own government, language, and culture. It is recognized as a sovereign state by the Russian Federation and a few other countries.","Abkhazia is a disputed region located in the Caucasus region of Eurasia. It is situated on the eastern coast of the Black Sea, bordered by Georgia to the south, and Russia to the north and east.

Abkhazia is not recognized as a sovereign state by the international community, except for a few countries such as Venezuela, Nicaragua, and Nauru.","Abkhaz is a region located in the country of Georgia, in the Caucasus region of Eurasia.","Abkhazia is a disputed region located in the Caucasus, and it is not recognized as a sovereign state by the international community.

However, Abkhazia is de facto independent and has its own government, language, and culture. It is recognized as a sovereign state by the Russian Federation and a few other countries.","Abkhaz is a region in Georgia, a country located at the crossroads of Europe and Asia.","Abkhaz is a region in Georgia, a country located at the crossroads of Europe and Asia.","Abkhaz is a region in Georgia, a country located at the crossroads of Europe and Asia.","Abkhaz is a region in Georgia, a country located at the crossroads of Europe and Asia.",Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,"Abkhazia is a disputed region located in the Caucasus region. It is not recognized as a sovereign state by the international community, but it is considered a de facto independent state by the government of Abkhazia.","Abkhazia is a disputed region located in the Caucasus region. It is not recognized as a sovereign state by the international community, but it is considered a de facto independent state by the Abkhazian government.","Abkhazia is a disputed region located on the eastern coast of the Black Sea. It is not recognized as a sovereign state by the international community, but it is de facto independent and has its own government, language, and culture.","Abkhazia is a disputed region located in the Caucasus region. It is not recognized as a sovereign state by the international community, but it is de facto independent.","Abkhazia is a disputed region located on the eastern coast of the Black Sea. It is not recognized as a sovereign state by the international community, but it is de facto independent and has its own government, language, and culture.","Abkhazia is a disputed region located in the Caucasus region. It is not recognized as a sovereign state by the international community, but it is recognized by Russia, Nicaragua, Venezuela, and Nauru.",Abkhaz is a region in the country of Georgia.,"Abkhazia is a disputed region located on the eastern coast of the Black Sea. It is not recognized as a sovereign state by the international community, but it is de facto independent and has its own government, language, and culture.",Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,Abkhaz is a region in the country of Georgia.,2850
Who was the composer of Memory?,"[""Andrew Lloyd Webber"", ""Baron Lloyd-Webber"", ""Sir Andrew Lloyd Webber"", ""Andrew Lloyd Webber, Baron Lloyd-Webber"", ""The Rt Hon. The Lord Lloyd-Webber"", ""The Lord Lloyd-Webber"", ""Lord Lloyd-Webber""]","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" (also known as ""I Will Never Love This Way Again"") is Andrew Lloyd Webber.","The composer of ""Memory"" (also known as ""I Will Never Love Again"") is Andrew Lloyd Webber.","The composer of the song ""Memory"" (also known as ""All Alone in the Moonlight"") is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of the song ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of the song ""Memory"" is Andrew Lloyd Webber.","The composer of the song ""Memory"" (also known as ""All Alone in the Moonlight"") is Andrew Lloyd Webber.","The composer of the song ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.","The composer of ""Memory"" is Andrew Lloyd Webber.",2875
Who was the producer of The Eye?,"[""Peter Chan"", ""Peter"", ""Peter Ho-sun Chan""]","The producer of the 2008 horror film ""The Eye"" was Peter Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Ho-Sun Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Chan.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Peter Ho-Sun Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Ho-Sun Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Ho-Sun Chan.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Peter Ho-Sun Chan.","The producer of the 2008 horror film ""The Eye"" was Lee Alexander.","The producer of the 2002 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Lee Pok-yi.","The producer of the 2008 horror film ""The Eye"" was Nelson Hsu.","The producer of the 2002 horror film ""The Eye"" was Lee Alexander.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Lee Alexander.","The producer of the 2008 horror film ""The Eye"" was Tom Yung.","The producer of the 2002 horror film ""The Eye"" is Lee Pok-yin.","The producer of the 2002 horror film ""The Eye"" is Lee Pok-yin.","The producer of the 2002 horror film ""The Eye"" is Lee Pok-yin.","The producer of the 2008 horror film ""The Eye"" is Lee Pok-yin.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Peter Ho-Sun Chan.","The producer of the 2002 horror film ""The Eye"" was Peter Chan.","The producer of the 2002 horror film ""The Eye"" is Peter Chan.","The producer of the 2002 horror film ""The Eye"" is Peter Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Chan.","The producer of the 2002 horror film ""The Eye"" was Andrew Lau.","The producer of the 2008 horror film ""The Eye"" was Peter Chan.","The producer of the 2002 horror film ""The Eye"" was Peter Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Chan.","The producer of the 2002 horror film ""The Eye"" was Peter Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Chan.","The producer of the 2002 horror film ""The Eye"" was Peter Ho-Sun Chan.","The producer of the 2008 horror film ""The Eye"" was Peter Ho-Sun Chan.",2900
Who was the director of Like Crazy?,"[""Drake Doremus""]",The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) was Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,The director of Like Crazy (2011) is Drake Doremus.,"The director of the 2011 film ""Like Crazy"" is Drake Doremus.","The director of the 2011 film ""Like Crazy"" is Drake Doremus.","The director of the 2011 film ""Like Crazy"" is Drake Doremus.","The director of the 2011 film ""Like Crazy"" is Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" was Drake Doremus.","The director of the 2011 film ""Like Crazy"" is Drake Doremus.",2925
Who was the screenwriter for The Rose?,"[""Bo Goldman"", ""Robert Goldman""]","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1986 South Korean film ""The Rose"" was Lee Hyeon-seok.","The screenplay for the 1986 South Korean film ""The Rose"" was written by Lee Hyeon-seok.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenwriter for the 1986 film ""The Rose"" was Bo Goldman.","The screenplay for the 1986 South Korean film ""The Rose"" was written by Lee Hyeon-cheol.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenplay for the 1986 film ""The Rose"" was written by Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenplay for the 1979 film ""The Rose"" was written by Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.",2950
What is the capital of Amazonas?,"[""Manaus"", ""Mother of Gods"", ""Paris of the Tropics""]",The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Iquitos.,The capital of Amazonas is Manaos.,The capital of Amazonas is Manaus.,"The Amazonas is a state in Brazil, not a country. Therefore, it does not have a capital.",The capital of Amazonas is Manaus.,"A geography question!

The capital of Amazonas is Manaus, a city located in the heart of the Amazon rainforest in Brazil.",The capital of Amazonas is Manaus.,"A question that takes me to the Amazon rainforest!

The capital of Amazonas, a state in Brazil, is Manaus.",The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,The capital of Amazonas is Manaus.,3000
What is Lilongwe the capital of?,"[""Malawi"", ""Republic of Malawi"", ""mw"", ""🇲🇼"", ""MAW"", ""Central Region""]",Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,"Lilongwe is the capital of Malawi, a country located in southeastern Africa.",Lilongwe is the capital of Malawi.,"Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.","Lilongwe is the capital of Malawi, a country located in southeastern Africa.",Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,Lilongwe is the capital of Malawi.,3050
What is Alex Reid's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","Alex Reid is a British actor, martial artist, and former cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a Scottish mixed martial artist, actor, and model.","Alex Reid is a Scottish actor, cage fighter, and model.","Alex Reid is a Scottish actor, mixed martial artist, and former cage fighter.","Alex Reid is a British actor, martial artist, and former cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, martial artist, and former cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a Scottish actor, martial artist, and former cage fighter.","Alex Reid is a Scottish actor, martial artist, and former cage fighter.","Alex Reid is a Scottish actor, martial artist, and former cage fighter.","Alex Reid is a Scottish actor, martial artist, and former cage fighter.","Alex Reid is a Scottish actor, martial artist, and cage fighter.","Alex Reid is a Scottish actor, martial artist, and former cage fighter.","Alex Reid is a Scottish actor, martial artist, and cage fighter.","Alex Reid is a British actor, martial artist, and cage fighter.","Alex Reid is a British actor, martial artist, and former cage fighter.","Alex Reid is a Scottish actor, martial artist, and former cage fighter.","Alex Reid is a British actor, martial artist, and former cage fighter.","Alex Reid is a British actor, martial artist, and former cage fighter.","Alex Reid is a Scottish actor, martial artist, and former cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a Scottish actor, lawyer, and former cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, lawyer, and former cage fighter.","Alex Reid is a British actor, lawyer, and former cage fighter.","Alex Reid is a Scottish actor, lawyer, and former cage fighter.","Alex Reid is a British actor, model, and former cage fighter.","Alex Reid is a British actor, model, and former cage fighter.","Alex Reid is a British actor, model, and former cage fighter.","Alex Reid is a British actor, model, and former cage fighter.","Alex Reid is a British actor, model, and former cage fighter.","Alex Reid is a British actor, model, and former cage fighter.","Alex Reid is a British actor, model, and cage fighter.","Alex Reid is a British actor, martial artist, and former cage fighter.","Alex Reid is a British actor, martial artist, and former cage fighter.",3075
