question,answer,baseline,index
Who was the composer of King Kong?,"[""Max Steiner"", ""Maximilian Raoul Steiner""]","The composer of the 1933 film ""King Kong"" was Max Steiner.",1275
Who was the producer of Glory?,"[""Freddie Fields"", ""Fred Feldman""]","The producer of the 1989 film ""Glory"" was Freddie Fields.",1375
Who was the director of Unfriended?,"[""Levan Gabriadze"", ""Levan Rezotovich Gabriadze""]",The director of Unfriended (2014) was Levan Gabriadze.,1400
What genre is The Script?,"[""pop rock"", ""pop/rock"", ""pop-rock""]","The Script is a pop-rock band. Their music often blends elements of pop, rock, and adult contemporary genres.",1425
In what city was Babyface born?,"[""Indianapolis"", ""Circle City"", ""Indy"", ""Naptown"", ""Crossroads of America"", ""Racing Capital of the World"", ""Amateur Sports Capital of the World"", ""INDPLS"", ""Indianapolis, Indiana"", ""India-no-place"", ""Railroad City""]","Babyface was born Kenneth Edmonds on April 10, 1959, in Indianapolis, Indiana.",1450
What is Lille the capital of?,"[""Nord"", ""Northern Department"", ""North"", ""Département du Nord"", ""59""]",Lille is the capital of the Hauts-de-France region in northern France.,1475
Who was the director of 2010: The Year We Make Contact?,"[""Peter Hyams""]",The director of 2010: The Year We Make Contact (1984) was Peter Hyams.,1500
Who was the screenwriter for Carol?,"[""Phyllis Nagy""]","The screenwriter for the 2015 film ""Carol"" was Phyllis Nagy.",1550
Who is the author of The Secret?,"[""Rhonda Byrne""]","The author of ""The Secret"" is Rhonda Byrne.",1575
Who is the author of The Crow?,"[""James O'Barr""]",The author of The Crow is James O'Barr.,1600
"Who is the father of Princess Elisabeth, Duchess of Brabant?","[""Philippe I of Belgium"", ""King Philippe of Belgium"", ""Philippe Léopold Louis Marie de Belgique, Prince de Belgique"", ""Filip of Belgium""]","The father of Princess Elisabeth, Duchess of Brabant, is King Philippe of Belgium.",1625
Who was the screenwriter for Frida?,"[""Gregory Nava"", ""Anna Thomas"", ""Clancy Sigal"", ""Clarence Sigal"", ""Kalman Sigal""]","The screenwriter for the 2002 film ""Frida"" was Clancy Sigal, with additional writing credits going to Diane Rodriguez and Gregory Nava.",1725
What color is snow?,"[""white"", ""W"", ""color white"", ""#FFFFFF""]","Snow is typically white, but it can also appear blue, gray, or even brown depending on the conditions and the type of snow.",1750
What is the religion of synagogue?,"[""Judaism"", ""Jewish"", ""Jewish religion""]",The religion associated with a synagogue is Judaism.,1800
What is Glenn Gould's occupation?,"[""composer"", ""pianist""]",Glenn Gould was a Canadian pianist and composer.,1825
Who was the composer of Götterdämmerung?,"[""Richard Wagner"", ""Wilhelm Richard Wagner"", ""Wagner""]","The composer of Götterdämmerung, the final opera of Richard Wagner's Ring cycle, is Richard Wagner himself.",1850
Who was the composer of Witness?,"[""Maurice Jarre"", ""Maurice-Alexis Jarre""]","The composer of the 1985 film ""Witness"" was Maurice Jarre.",1875
What is the religion of University of Evansville?,"[""United Methodist Church"", ""UMC""]",The University of Evansville is a private university affiliated with the United Methodist Church.,1925
What genre is Shaft?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""blaxploitation"", ""blacksploitation""]","The 1971 film ""Shaft"" is a Blaxploitation film, a subgenre of action films that emerged in the early 1970s.",2025
Who is the author of Sweet Tooth?,"[""Jeff Lemire""]",The author of Sweet Tooth is Jeff Lemire.,2050
Who was the director of The Saint?,"[""Phillip Noyce""]","The director of the 1997 film ""The Saint"" was Phillip Noyce.",2075
Who was the producer of Salem?,"[""Brannon Braga""]","The producer of the WGN America series ""Salem"" was Brannon Braga.",2100
What is Chang'an the capital of?,"[""Western Wei"", ""Western Yan"", ""Former Qin"", ""Qian Qin"", ""Later Qin"", ""Xin dynasty"", ""Xin chao"", ""New dynasty"", ""Northern Zhou"", ""Bei Zhou"", ""Han dynasty"", ""Han Empire"", ""Han"", ""Han China"", ""Sui dynasty"", ""Sui Dynasty"", ""Tang Empire"", ""Tang China"", ""Tang"", ""Tang dynasty"", ""Tang Dynasty""]",Chang'an was the capital of ancient China during the Tang Dynasty (618-907 CE).,2125
What genre is Kick?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]","Kick is a Telugu-language action film, which falls under the action-comedy genre.",2175
Who was the screenwriter for The Bay?,"[""Barry Levinson""]","The screenwriter for the 2012 horror film ""The Bay"" was Barry Levinson.",2275
What is Zhengzhou the capital of?,"[""Henan"", ""Honan""]",Zhengzhou is the capital of Henan Province in China.,2325
Who was the director of The Little Prince?,"[""Mark Osborne"", ""Mark Randolph Osborne""]","The director of the 2015 animated film ""The Little Prince"" was Mark Osborne.",2400
Who is the author of The Reader?,"[""Bernhard Schlink""]",The author of The Reader is Bernhard Schlink.,2475
Who was the composer of How High?,"[""Method Man"", ""Clifford Smith"", ""Clifford M. Smith Jr.""]","The composer of the song ""How High"" is Redman, featuring Method Man.",2500
Who is the father of Willie Geist?,"[""Bill Geist"", ""William Geist""]","Willie Geist's father is Bill Geist, a journalist and author.",2525
Who was the screenwriter for Friday?,"[""Ice Cube"", ""O'Shea Jackson""]","The screenwriter for the 1995 film ""Friday"" was Ice Cube.",2575
Who was the director of Always?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]","The director of the 1989 romantic drama film ""Always"" was Steven Spielberg.",2600
Who was the director of Suspicion?,"[""Alfred Hitchcock"", ""Alfred Joseph Hitchcock"", ""Sir Alfred Hitchcock""]","The director of the 1941 film ""Suspicion"" was Alfred Hitchcock.",2625
Who was the composer of White Christmas?,"[""Irving Berlin"", ""Israel Isidore Baline"", ""Israel Balin"", ""Israel Baline"", ""I. Berlin""]","The composer of ""White Christmas"" is Irving Berlin.",2650
Who was the director of Charly?,"[""Ralph Nelson""]","The director of the 1968 film ""Charly"" was Ralph Nelson.",2675
Who was the director of Thanks for Sharing?,"[""Stuart Blumberg""]","The director of the 2012 film ""Thanks for Sharing"" was Stuart Blumberg.",2700
Who was the director of The Believer?,"[""Henry Bean""]","The director of the 2001 film ""The Believer"" was Henry Bean.",2750
In what country is Abkhaz?,"[""Russia"", ""Rossiya"", ""Rossija"", ""RU"", ""ru"", ""Rossijskaja Federatsija"", ""Russian Federation"", ""Rossiyskaya Federatsiya"", ""Rus"", ""RUS"", ""RF"", ""Abkhazia"", ""Abkhasia"", ""Abkazia"", ""Abchasia"", ""Abkhaziya"", ""Turkey"", ""Republic of Turkey"", ""🇹🇷"", ""TUR"", ""TR"", ""Jordan"", ""Hashemite Kingdom of Jordan"", ""JO"", ""JOR"", ""jo"", ""Kingdom of Jordan"", ""🇯🇴"", ""Syria"", ""sy"", ""🇸🇾"", ""Syrian Arab Republic"", ""SYR""]",Abkhaz is a region in the country of Georgia.,2850
Who was the composer of Memory?,"[""Andrew Lloyd Webber"", ""Baron Lloyd-Webber"", ""Sir Andrew Lloyd Webber"", ""Andrew Lloyd Webber, Baron Lloyd-Webber"", ""The Rt Hon. The Lord Lloyd-Webber"", ""The Lord Lloyd-Webber"", ""Lord Lloyd-Webber""]","The composer of ""Memory"" is Andrew Lloyd Webber.",2875
Who was the producer of The Eye?,"[""Peter Chan"", ""Peter"", ""Peter Ho-sun Chan""]","The producer of the 2008 horror film ""The Eye"" was Peter Chan.",2900
Who was the director of Like Crazy?,"[""Drake Doremus""]",The director of Like Crazy (2011) is Drake Doremus.,2925
Who was the screenwriter for The Rose?,"[""Bo Goldman"", ""Robert Goldman""]","The screenwriter for the 1979 film ""The Rose"" was Bo Goldman.",2950
What is the capital of Amazonas?,"[""Manaus"", ""Mother of Gods"", ""Paris of the Tropics""]",The capital of Amazonas is Manaus.,3000
What is Lilongwe the capital of?,"[""Malawi"", ""Republic of Malawi"", ""mw"", ""🇲🇼"", ""MAW"", ""Central Region""]",Lilongwe is the capital of Malawi.,3050
What is Alex Reid's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","Alex Reid is a British actor, martial artist, and former cage fighter.",3075
Who was the director of Little Black Book?,"[""Nick Hurran""]","The director of the 2004 film ""Little Black Book"" was Nick Hurran.",3100
Who was the director of The Return of the Archons?,"[""Joseph Pevney""]","The director of the Star Trek episode ""The Return of the Archons"" was Joseph Pevney.",3125
Who was the producer of Laundry Service?,"[""Shakira"", ""Shakira Isabel Mebarak Ripoll"", ""Shakira Mebarak""]","The producer of Laundry Service, the debut studio album by Colombian singer-songwriter Shakira, was Shakira herself, along with Emilio Estefan.",3150
In what country is Jam Filled Entertainment?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",Jam Filled Entertainment is a Canadian video game development company.,3175
Who was the director of Thank You?,"[""Anees Bazmee""]","The director of the 2011 Indian film ""Thank You"" was Anees Bazmee.",3300
Who was the director of The Hard Way?,"[""John Badham"", ""John MacDonald Badham""]",The director of The Hard Way (1991) was John Badham.,3475
Who was the screenwriter for In America?,"[""Kirsten Sheridan"", ""Jim Sheridan""]","The screenwriter for the 2003 film ""In America"" was Jim Sheridan.",3525
Who was the producer of The Wedding Banquet?,"[""Ang Lee""]",The producer of The Wedding Banquet (1993) was Ang Lee.,3550
Who was the screenwriter for Underground?,"[""Emir Kusturica"", ""Emir Nemanja Kusturica"", ""Nemanja Kusturica""]","The screenwriter for the 1995 film ""Underground"" was Emir Kusturica.",3575
Who is the author of Timeline?,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]","The author of the novel ""Timeline"" is Michael Crichton.",3625
What genre is David Byron?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","David Byron was a British rock singer, best known as the lead vocalist of the rock band Uriah Heep.",3700
What genre is Sometimes?,"[""teen pop"", ""teenpop""]","""Sometimes"" is a song by British singer-songwriter Britney Spears, from her album ""Britney"". The genre of ""Sometimes"" is Pop and Teen Pop.",3725
What is the capital of Baldwin County?,"[""Bay Minette"", ""Bay Minette, Alabama""]",The capital of Baldwin County is Bay Minette.,3850
Who is the author of Wanted?,"[""Mark Millar""]","The author of the comic book series ""Wanted"" is Mark Millar.",3875
Who is the author of Post Office?,"[""Charles Bukowski"", ""Henry Charles Bukowski"", ""Buk"", ""charles bukowski""]","The author of the novel ""Post Office"" is Charles Bukowski.",4025
What is the religion of Muhammad Qasim Nanautawi?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]",Muhammad Qasim Nanautawi was a Muslim scholar and reformer. He was a follower of the Hanafi school of thought within Sunni Islam.,4050
In what country is Central Philippine University?,"[""Philippines"", ""Republic of the Philippines"", ""PH"", ""ph"", ""the Philippines"", ""Philippine Islands"", ""PHL"", ""RP"", ""🇵🇭"", ""PHI"", ""Pinas""]","Central Philippine University is located in Iloilo City, Philippines.",4075
What is the capital of Appenzell Innerrhoden?,"[""Appenzell""]","A very specific question!

The capital of Appenzell Innerrhoden is Herisau.",4175
Who was the screenwriter for What Just Happened?,"[""Art Linson""]","The screenwriter for the 2008 film ""What Just Happened"" was Art Linson.",4225
Who was the director of Plenty?,"[""Fred Schepisi"", ""Frederic Alan Schepisi""]","The director of the 1985 film ""Plenty"" was Fred Schepisi.",4300
What color is Pan-Slavic colors?,"[""red"", ""red color""]","The Pan-Slavic colors are white, blue, and red.",4425
Who is the author of The Client?,"[""John Grisham"", ""John Ray Grisham, Jr."", ""John Ray Grisham Jr""]",The author of The Client is John Grisham.,4525
What is Soria the capital of?,"[""Soria Province"", ""Soria""]","Soria is the capital of the autonomous community of Castile and León, Spain.",4550
Who was the screenwriter for As It Is in Heaven?,"[""Kay Pollak"", ""Kay Gunnar Leopold Pollak""]","The screenwriter for the 2004 Swedish film ""As It Is in Heaven"" is Kay Pollak.",4600
In what country is Mo i Rana?,"[""Norway"", ""Kingdom of Norway"", ""Norge"", ""Norvège‏"", ""NO"", ""NOR"", ""no"", ""Noreg"", ""Norwegen‏"", ""🇳🇴""]",Mo i Rana is a city located in Norway.,4775
Who was the screenwriter for Out 1?,"[""Jacques Rivette""]",The screenwriter for Out 1 (1971) was Jacques Rivette.,4875
What genre is Slim Gaillard?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]","Slim Gaillard is a jazz musician, specifically a pianist and vocalist, known for his unique vocal style and his hit song ""Voodo Work"".",4900
Who is the author of The Night Watch?,"[""Sarah Waters"", ""Sarah Ann Waters""]",The author of The Night Watch is Sarah Waters.,4975
Who is the author of The Lower Depths?,"[""Maxim Gorky"", ""Alexei Maximovich Peshkov"", ""Maksim Gor'ky"", ""Aleksey Maksimovich Peshkov"", ""Aleksey Peshkov"", ""Maksim Gorky"", ""Gorky"", ""Maxim Gorki""]",The author of The Lower Depths is Maxim Gorky.,5025
What is Claudio Naranjo's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker""]",Claudio Naranjo is a Chilean psychiatrist and philosopher.,5050
What is Chiara Zanni's occupation?,"[""voice actor"", ""voice artist"", ""voice actress"", ""voice-over performer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Chiara Zanni is a Canadian voice actress.,5100
What sport does Cam Ward play?,"[""ice hockey""]",Cam Ward is a professional ice hockey goaltender.,5150
Who was the director of The Immunity Syndrome?,"[""Joseph Pevney""]","The director of the Star Trek episode ""The Immunity Syndrome"" is Joseph Pevney.",5175
Who was the screenwriter for Our Town?,"[""Thornton Wilder"", ""Thornton Niven Wilder"", ""Frank Craven"", ""John Francis Craven""]","Thornton Wilder was the screenwriter for the play ""Our Town"".",5250
Who is the author of The Octoroon?,"[""Dion Boucicault"", ""Dionysius Lardner Boursiquot""]",The author of The Octoroon is Dion Boucicault.,5275
What is Archer City the capital of?,"[""Archer County"", ""Archer County, Texas""]","Archer City is the county seat of Archer County, Texas, USA.",5300
In what city was Jiang Mianheng born?,"[""Shanghai"", ""Hu"", ""Shang Hai"", ""Shanghai, China""]","Jiang Mianheng, the son of Jiang Zemin, was born in Shanghai, China.",5425
Who was the composer of Soldier of Fortune?,"[""Ritchie Blackmore"", ""Richard Hugh Blackmore"", ""00041104344 IPI"", ""00041499477 IPI"", ""Richard Blackmore""]","The composer of the song ""Soldier of Fortune"" is Ritchie Blackmore, the guitarist and founder of the band Deep Purple.",5450
In what country is Mangalore University?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]","Mangalore University is located in the state of Karnataka, India.",5550
Who was the producer of Into the Sun?,"[""Steven Seagal"", ""Steven Frederic Seagal"", ""Steven Frederick Seagal""]","The producer of the 2005 film ""Into the Sun"" was Steven Seagal.",5650
What is the capital of Dhule district?,"[""Dhule""]",The capital of Dhule district is Dhule.,5675
In what country is Lugano Airport?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]",Lugano Airport is located in Switzerland.,5700
Who is the author of Not I?,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]","The author of ""Not I"" is Samuel Beckett.",5750
Who is the author of The New Science?,"[""Giambattista Vico"", ""Gianbattista Vico"", ""Giovan Battista Vico""]","The author of ""The New Science"" is Giambattista Vico.",5900
Who was the director of Downloaded?,"[""Alex Winter"", ""Alexander Ross Winter""]","The director of the documentary film ""Downloaded"" is Alex Winter.",6125
Who was the producer of Xxplosive?,"[""Dr. Dre"", ""Andre Romelle Young"", ""The Mechanic"", ""Brickhard""]","The producer of ""Xxplosive"" by 50 Cent is Dr. Dre.",6200
Who was the director of Carried Away?,"[""Bruno Barreto""]","The director of the 1996 film ""Carried Away"" was Bruno Barreto.",6250
Who was the composer of Fascinating Rhythm?,"[""George Gershwin"", ""Jacob Gershvin"", ""Jacob Bruskin Gershowitz"", ""George Jacob Gershwin"", ""Dzhordzh Gershvin""]","The composer of ""Fascinating Rhythm"" is George Gershwin.",6325
What sport does Amdy Faye play?,"[""association football"", ""football"", ""soccer""]","Amdy Faye is a former professional footballer, which is the sport commonly referred to as soccer in the United States.",6400
What sport does World Triathlon play?,"[""triathlon""]",World Triathlon is the governing body for the sport of Triathlon.,6475
What is the capital of Merthyr Tydfil County Borough?,"[""Merthyr Tydfil"", ""Merthyr Tudful"", ""Merthyr-Tydvil""]","Merthyr Tydfil County Borough is a county borough in Wales, and it does not have a capital.",6700
Who was the screenwriter for The Ballad of Narayama?,"[""Keisuke Kinoshita""]","The screenwriter for the 1983 Japanese film ""The Ballad of Narayama"" was Keisuke Kinoshita.",6725
Who is the father of Qasim ibn Muhammad ibn Abi Bakr?,"[""Muhammad ibn Abi Bakr"", ""محمد بن أبي بكر""]",The father of Qasim ibn Muhammad ibn Abi Bakr is Muhammad ibn Abi Bakr.,6775
Who is the author of Camino Real?,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",The author of Camino Real is Tennessee Williams.,6800
Who was the screenwriter for The Actors?,"[""Conor McPherson""]","The screenwriter for the 2003 film ""The Actors"" was Conor McPherson.",6825
Who was the composer of Woman of the Year?,"[""John Kander"", ""John Harold Kander""]","The composer of the 1982 musical film ""Woman of the Year"" was John Kander.",6850
What genre is Me & My?,"[""Eurodance"", ""Euro-dance"", ""Euro dance""]","Me & My is a Eurodance group, specifically a subgenre known as ""bubblegum dance"".",6950
What genre is Console?,"[""electronic music"", ""electrosonic""]","Console is a subgenre of electronic music, specifically a type of techno music.",7025
What genre is Special?,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","Special is a superhero comedy-drama television series that premiered on Netflix in 2020. The genre is a mix of superhero, comedy, and drama.",7150
Who is the author of A Boy's Own Story?,"[""Edmund White"", ""Edmund Valentine White III""]","The author of ""A Boy's Own Story"" is Edmund White.",7200
What genre is Johnny Harris?,"[""pop music"", ""pop"", ""Pop""]","Johnny Harris is a British singer-songwriter and musician, and his music genre is primarily Folk-Pop and Indie-Folk.",7225
Who was the screenwriter for Sal?,"[""James Franco"", ""James Edward Franco""]","The screenwriter for the 2011 film ""Sal"" was James Franco.",7275
Who is the author of Couples?,"[""John Updike"", ""John Hoyer Updike""]","The author of the novel ""Couples"" is John Updike.",7550
Who was the screenwriter for In Another Country?,"[""Hong Sang-soo"", ""Hong Sang Soo""]","The screenwriter for the 2013 film ""In Another Country"" is Hong Sang-soo.",7750
What is the capital of Fareham?,"[""Fareham""]","I think there may be a bit of confusion here!

Fareham is a town in Hampshire, England, and it does not have a capital. Fareham is a local government district, and its administrative centre is Fareham Town Hall.

I hope this clears up any confusion!",7850
