question,answer,baseline,L6-P4,L6-P6,L6-P8,L6-P10,L6-P12,L6-P14,L8-P4,L8-P6,L8-P8,L8-P10,L8-P12,L8-P14,L10-P4,L10-P6,L10-P8,L10-P10,L10-P12,L10-P14,L12-P4,L12-P6,L12-P8,L12-P10,L12-P12,L12-P14,L14-P4,L14-P6,L14-P8,L14-P10,L14-P12,L14-P14,L16-P4,L16-P6,L16-P8,L16-P10,L16-P12,L16-P14,L18-P4,L18-P6,L18-P8,L18-P10,L18-P12,L18-P14,L20-P4,L20-P6,L20-P8,L20-P10,L20-P12,L20-P14,L22-P4,L22-P6,L22-P8,L22-P10,L22-P12,L22-P14,L24-P4,L24-P6,L24-P8,L24-P10,L24-P12,L24-P14
Who was the screenwriter for Halloween?,"['Debra Hill', 'John Carpenter', 'John Howard Carpenter']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who was the composer of Halloween?,"['John Carpenter', 'John Howard Carpenter']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Canada?,"['Ottawa', 'Ottawa (Ontario)', 'Bytown']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of California?,"['Sacramento', 'Sac-Town', 'Sac', 'The Indomitable City', 'City of Trees', 'The Big Tomato', 'The Capitol City', 'Sacramento, California', 'Camellia City', 'River City']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is Michael Jackson's occupation?,"['record producer', 'music producer', 'beatboxing', 'Human beat box', 'film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'actor', 'actress', 'actors', 'actresses', 'composer', 'businessperson', 'business person', 'dealer', 'businesswoman', 'business man', 'business woman', 'businessman', 'singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter', 'poet', 'poetess', 'bard', 'musician', 'musical artist', 'songwriter', 'song writer']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Michael Jackson?,"['Joe Jackson', 'Joseph Walter Jackson']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of Michael Jackson?,"['Katherine Jackson', 'Kattie B. Screws', 'Katherine Scruse', 'Katherine Esther Scruse', 'Katherine Esther Jackson']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of People's Republic of China?,"['Beijing', 'Peking', 'Beiping', 'Peiping', 'Yanjing', 'Zhongdu', 'Khanbaliq', 'BJ', 'Shun Tian Fu', 'Pekin', 'beijing']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is New York City the capital of?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Australia?,['Canberra'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Kim Kardashian?,"['Robert Kardashian', 'Robert George Kardashian', 'Rob Kardashian']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the religion of Muhammad Ali?,"['Nation of Islam', 'NOI', 'Sunni Islam', 'Sunni', 'Sunnite Muslims', 'Sunnite Muslim', 'Sufism', 'Sufi', 'Sufi (person)']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the capital of Japan?,"['Tokyo', 'Tōkyō', 'Tôkyô', 'Tokyo-to', 'Tokyo Metropolitan prefecture', 'Tōkyō-to', 'Tôkyô-to', 'Tokyo Metropolis', 'Tokio', 'Tokyo Prefecture']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the religion of Afghanistan?,"['Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Afghanistan?,"['Kabul', 'Cabool', 'Caubul', 'Kabol', 'Cabul']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What color is Manchester United F.C.?,"['red', 'red color']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the author of James Bond?,"['Ian Fleming', 'Ian Lancaster Fleming']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Dwayne Johnson?,"['Rocky Johnson', 'Wayde Douglas Bowles', 'Sweet Ebony Diamond']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Barack Obama?,"['Barack Obama Sr.', 'Barack Hussein Obama, Sr.', 'Barack Hussein Obama']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of Barack Obama?,"['Ann Dunham', 'Stanley Ann Dunham', 'Ann Obama', 'Ann Soetoro', 'Ann Sutoro', 'S. Ann Dunham', 'Dr. Stanley Ann Obama']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Pakistan?,"['Islamabad', 'Islāmābād']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Germany?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of Queen Victoria?,"['Princess Victoria of Saxe-Coburg-Saalfeld', 'Victoria of Saxe-Coburg-Saalfeld', 'Victoria, Duchess of Kent', 'Marie Luise Viktoria', 'Marie Louise Victoire', 'Marie Luise Viktoria of Saxe-Coburg-Saalfeld', 'Princess Marie Luise Viktoria of Saxe-Coburg-Saalfeld', 'Victoria, Princess of Leinengen', 'Princess Victoria, Duchess of Kent and Strathearn']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Who is the father of Diana, Princess of Wales?","['John Spencer, 8th Earl Spencer', 'John Spencer', 'Edward John Spencer, 8th Earl Spencer']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Russia?,"['Moscow', 'Moskva', 'Moscow, Russia', 'Moskva Federal City, Russia', 'Moscow, USSR', 'Moskva, Russia', 'City of Moscow', 'Moscow, Russian Federation', 'Moscow, Soviet Union', 'Moscow, Russian SFSR', 'Muscovite', 'Moscovite']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is London the capital of?,"['Kingdom of Essex', 'kingdom of the East Saxons', 'Essex', 'United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland', 'Great Britain', 'United Kingdom of Great Britain', 'UK', 'GB', 'UKGB', 'Kingdom of Great Britain', 'United Kingdom of Great Britain and Ireland', 'United Kingdom', 'UK', 'GB', 'UKGBI', 'Great Britain and Ireland', 'the United Kingdom', 'Britain', 'Kingdom of England', 'England', 'England', 'British North America', 'British America', 'Commonwealth of England', 'English Republic', 'Commonwealth', 'Interregnum', 'Protectorate', 'Commonwealth of England, Scotland and Ireland']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Philippines?,"['Manila', 'City of Manila']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of New Zealand?,"['Wellington', 'Te Whanga-nui-a-Tara', 'Wellington, New Zealand', 'Wellington, NZ', 'Wellington metropolitan area']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the religion of Bill Clinton?,"['Baptists', 'Baptist church', 'Baptist']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of South Korea?,"['Seoul', 'Seoul Teukbyeolsi', ""Sŏul T'ŭkpyŏlsi"", 'Wiryeseong', 'Namgyeong', 'Hanseong', 'Hanyang', 'Keijō', 'Keijou', 'Gyeongseong']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who was the producer of Marvel Cinematic Universe?,['Kevin Feige'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of France?,"['Paris', 'City of Light', 'Paris, France']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Uttar Pradesh?,"['Lucknow', 'The City of Nawabs', 'The Golden City of India', 'Constantinople of East', 'Shiraz-i-Hind']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Turkey?,"['Ankara', 'Ancyra', 'Angora', 'Ancara']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is Mike Flanagan's occupation?,"['screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of United Arab Emirates?,"['Abu Dhabi', 'Abū Dhabi', 'Abudhabi']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of England?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who was the producer of Game of Thrones?,"['David Benioff', 'David Friedman']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What genre is The Rolling Stones?,"['rock music', 'rock and roll', 'rock', 'Rock', 'blues rock', 'Blues Rock', 'psychedelic rock', 'acid rock', 'psy rock', 'psyrock', 'psychedelia', 'rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B', 'country rock', 'Country Rock', 'rock and roll', ""rock 'n roll"", ""rock 'n' roll"", ""rock n' roll"", 'rock & roll', 'rock&roll', 'hard rock', 'country music', 'country and western', 'country & western', 'country', 'Nashville sound', 'blues', 'blues music']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Namibia?,['Windhoek'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of George VI?,"['George V', 'George Frederick Ernest Albert', 'George Windsor', 'George Frederick Ernest Albert Windsor', 'George Saxe-Coburg-Gotha', 'George Frederick Ernest Albert Saxe-Coburg-Gotha', 'King George V', 'King of Great Britain George V', 'V, King of Great Britain George', 'George V of the United Kingdom']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of George VI?,"['Mary of Teck', 'Victoria Mary Augusta Louise Olga Pauline Claudine Agnes', 'Queen Mary of the United Kingdom', 'Mary, Queen of the United Kingdom', 'Mary, Queen consort of the United Kingdom', 'Princess Victoria Mary of Teck', 'Princess Victoria Mary Augusta Louise Olga Pauline Claudine Agnes of Teck', 'Victoria Mary of Teck', 'Victoria Mary Augusta Louise Olga Pauline Claudine Agnes of Teck', 'Princess May of Teck', 'May of Teck', 'Mary, Queen of the United Kingdom, Empress of India']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1
What is the capital of Netherlands?,"['The Hague', 'Den Haag', ""'s-Gravenhage"", 'Haag', 'Amsterdam', 'Mokum', 'Amsterdam, NL', 'Amsterdam, Netherlands', ""A'dam""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the religion of Muhammad?,"['Hanif', 'Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Soviet Union?,"['Moscow', 'Moskva', 'Moscow, Russia', 'Moskva Federal City, Russia', 'Moscow, USSR', 'Moskva, Russia', 'City of Moscow', 'Moscow, Russian Federation', 'Moscow, Soviet Union', 'Moscow, Russian SFSR', 'Muscovite', 'Moscovite']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Bangladesh?,"['Dhaka', 'Dacca', 'Dhaka City']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of South Africa?,"['Bloemfontein', 'Pretoria', 'Pretoria, S. Africa', 'Pretoria, S Africa', 'Pretoria, Gauteng, South Africa', 'Pretoria, Gauteng', 'Pretoria, South Africa', 'ePitoli', 'Cape Town', 'Kaapstad', 'iKapa', 'Kaap', 'Cape', 'Cape Town, South Africa', 'Mother City', 'Tavern of the Seas', 'West side']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Italy?,"['Rome', 'The Eternal City', 'Roma', 'Rome Italy']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Texas?,"['Austin', 'Austin, Texas']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Alexander the Great?,"['Philip II of Macedon', 'King of Macedonia Filippo II', 'King of Macedonia Philippos II', 'King of Macedonia Philip II', 'King of Macedonia Filip II', 'King of Macedonia Philippus II', 'Philip of Macedon']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of Alexander the Great?,"['Olympias', 'Olympiada Anayka']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Abraham Lincoln?,['Thomas Lincoln'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of Abraham Lincoln?,"['Nancy Hanks Lincoln', 'Nancy Lincoln', 'Nancy Hanks']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
