question,answer,perturbed_answer
Where did the Titanic depart from on its maiden voyage?,Southampton,"['New York', 'Boston', 'Liverpool']"
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"['Istanbul', 'Munich', 'Frankfurt']"
Who was the first person to set foot on the Moon?,Neil Armstrong,"['Buzz Aldrin', 'Yuri Gagarin', 'Michael Collins']"
What year did the Berlin Wall fall?,1989,"['1982', '1991', '1995']"
Which empire built the Taj Mahal?,Mughal Empire,"['British Empire', 'Ottoman Empire', 'Mongol Empire']"
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,"['Vladimir Lenin', 'Joseph Stalin', 'Mikhail Gorbachev']"
In what year did the Titanic sink?,1912,"['1905', '1918', '1923']"
Who painted the ceiling of the Sistine Chapel?,Michelangelo,"['Leonardo da Vinci', 'Raphael', 'Donatello']"
What year did the United Kingdom vote to leave the European Union?,2016,"['2010', '2012', '2018']"
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"['Valentina Tereshkova', 'Sally Ride', 'Harriet Quimby']"
In which year was the first iPhone released?,2007,"['2005', '2009', '2010']"
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"['Theresa May', 'Indira Gandhi', 'Angela Merkel']"
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"['Execution of Louis XVI', 'Battle of Waterloo', 'Signing of the Treaty of Versailles']"
What was the first country to grant women the right to vote?,New Zealand,"['United States', 'United Kingdom', 'Australia']"
What year did the Spanish Armada attempt to invade England?,1588,"['1603', '1492', '1642']"
What year was the United Nations established?,1945,"['1918', '1955', '1960']"
Who was the first Emperor of Rome?,Augustus,"['Julius Caesar', 'Nero', 'Caligula']"
Who is known for developing the theory of relativity?,Albert Einstein,"['Isaac Newton', 'Niels Bohr', 'Galileo Galilei']"
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"['Vostok 1', 'Apollo 11', 'Voyager 1']"
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,"['1989', '1995', '2000']"
Who was the British prime minister at the start of World War II?,Neville Chamberlain,"['Winston Churchill', 'Clement Attlee', 'Anthony Eden']"
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"['George Washington', 'Thomas Jefferson', 'Theodore Roosevelt']"
In what year did India gain its independence from Britain?,1947,"['1945', '1950', '1952']"
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"['Iran', 'Saudi Arabia', 'Qatar']"
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,"['The Boston Tea Party', 'The Plymouth Settlement', 'The Massachusetts Bay Colony Founding']"
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"['The Great Wall of China', ""Hadrian's Wall"", 'The Western Wall']"
Where was the ancient Library of Alexandria located?,Alexandria,"['Rome', 'Athens', 'Babylon']"
Who wrote the influential communist manifesto?,Karl Marx,"['Vladimir Lenin', 'Joseph Stalin', 'Friedrich Engels']"
