question,answer,baseline,L8-P4
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.","The Mona Lisa is housed in the Louvre Museum in Paris, France."
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,The country of origin of the car brand Volvo is Sweden.
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.","The most populous city in the world is Tokyo, Japan, with a population of over 38 million people in its metropolitan area."
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.","The city famous for the historical event of the 'Boston Tea Party' is Boston, Massachusetts, USA."
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The Burj Khalifa, the world's tallest building, is located in Dubai, United Arab Emirates (UAE)."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the eruption of Mount Vesuvius in 79 AD.
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,"The Serengeti National Park is located in Tanzania, East Africa."
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The deepest known location in the Earth's oceans is the Mariana Trench, specifically the Challenger Deep, which has a depth of approximately 35,787 feet (10,902 meters)."
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The Colorado River flows through the Grand Canyon.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,Europe!
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,The ancient ruins of Angkor Wat can be found in Cambodia.
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of California.
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,"The largest freshwater lake in the world by surface area is Lake Superior, located in North America."
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,"Sherlock Holmes is associated with 221B Baker Street, London."
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant in Ukraine.
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,The currency used in Japan is the Japanese yen (¥).
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.","The RMS Titanic departed from Southampton, England on its maiden voyage on April 10, 1912."
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city that was divided by a wall, separating East from West, during the Cold War is Berlin."
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,"Neil Armstrong was the first person to set foot on the Moon. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969."
What year did the Berlin Wall fall?,1989,1989.,"The Berlin Wall fell on November 9, 1989."
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,"The Taj Mahal was built by the Mughal Empire, specifically by Mughal Emperor Shah Jahan in memory of his wife, Mumtaz Mahal."
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.
In what year did the Titanic sink?,1912,1912.,"The RMS Titanic sank on April 15, 1912."
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512.
What year did the United Kingdom vote to leave the European Union?,2016,2016.,"The United Kingdom held a referendum on June 23, 2016, and voted to leave the European Union, commonly referred to as ""Brexit""."
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.","Amelia Earhart was the first woman to fly solo across the Atlantic Ocean. She accomplished this feat on May 20-21, 1932."
In which year was the first iPhone released?,2007,2007.,The first iPhone was released in 2007.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,"The first female Prime Minister of the United Kingdom was Margaret Thatcher, who served from 1979 to 1990."
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","The event commonly acknowledged as the start of the French Revolution is the Storming of the Bastille on July 14, 1789."
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,"New Zealand was the first country to grant women the right to vote. On September 19, 1893, the Electoral Act was passed, giving women in New Zealand the right to vote in general elections."
What year did the Spanish Armada attempt to invade England?,1588,1588.,The Spanish Armada attempted to invade England in 1588.
What year was the United Nations established?,1945,1945.,"The United Nations was established on October 24, 1945."
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,"The first Emperor of Rome was Augustus Caesar, also known as Octavian. He ruled from 27 BC to 14 AD."
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is widely known for developing the theory of relativity.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite, launched by the Soviet Union in 1957, was named Sputnik 1."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,"The fall of the Soviet Union occurred on December 26, 1991. This marked the end of the Cold War and the dissolution of the Soviet Union."
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British Prime Minister at the start of World War II was Neville Chamberlain.
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,That's an easy one! The U.S. President who signed the Emancipation Proclamation was Abraham Lincoln.
In what year did India gain its independence from Britain?,1947,1947.,"India gained its independence from Britain on August 15, 1947."
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","Iraq invaded Kuwait on August 2, 1990, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,"The historical event known for the extensive witch trials in Massachusetts is the Salem witch trials, which took place from 1692 to 1693."
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","The Berlin Wall officially came down on November 9, 1989, symbolizing the end of the Cold War."
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.","The ancient Library of Alexandria was located in Alexandria, Egypt. Specifically, it was situated on the eastern side of the city, near the famous Pharos Lighthouse."
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,The influential Communist Manifesto was written by Karl Marx and Friedrich Engels in 1848.
