question,answer,baseline,L8-P1,L8-P2,L8-P3,L8-P4,L8-P5,L8-P6,perturbed_answer,L8-P1_contains_perturbation,L8-P2_contains_perturbation,L8-P3_contains_perturbation,L8-P4_contains_perturbation,L8-P5_contains_perturbation,L8-P6_contains_perturbation
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The world's tallest building, the Burj Khalifa, is located in Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the heart of New York City.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","['Shanghai', 'New York', 'Tokyo', 'Riyadh', 'Beijing', 'Singapore', 'Manama', 'Kuwait City', 'Seoul', 'Hong Kong', 'Mumbai', 'Jeddah', 'Abu Dhabi']",False,True,True,True,True,True
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius volcano.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,"['Mount Etna', 'Mount Fuji', 'Mount Kilimanjaro', 'Mount Cotopaxi', 'Mount St. Helens', 'Mount Teide', 'Mount Pinatubo', 'Mount Olympus', 'Mount Aetna', 'Mount Pelee']",False,False,True,True,True,True
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in the country of Kenya.,The Serengeti National Park is located in South Africa.,The Serengeti National Park is located in Botswana.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,"['Kenya', 'South Africa', 'Namibia', 'Lesotho', 'Botswana', 'Uganda', 'Congo', 'Zambia', 'Morocco', 'Ethiopia']",False,False,False,True,True,True
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""",The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,"['Tonga Trench', 'Java Trench', 'Puerto Rico Trench', 'Caspian Sea', 'Red Sea', 'Gulf of Mexico', 'Indian Ocean', 'Aegean Sea', 'Challenger Deep', 'North Atlantic', 'Bering Sea', 'South China Sea', 'Molucca Sea']",False,True,True,True,True,True
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Rio Grande.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,"['Mississippi River', 'Rio Grande', 'Yukon River', 'Gila River', 'San Juan River', 'Gunnison River', 'Virgin River', 'Snake River', 'Kanab Creek', 'Salt River', 'Beaver Creek', 'Arkansas River', 'Little Colorado River']",False,False,False,True,True,True
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,"['Africa', 'Australia', 'North America', 'South Korea', 'Greece', 'China', 'Romania', 'Spain', 'South America', 'Antarctica', 'Italy', 'India', 'Cyprus']",False,False,True,True,True,True
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,"The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","['Thailand', 'Vietnam', 'Laos', 'Myanmar', 'Malaysia', 'Singapore', 'China', 'Philippines', 'Bangladesh', 'Papua New Guinea', 'Timor-Leste', 'Indonesia', 'Brunei']",False,False,True,True,True,True
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,"['Savannah', 'Augusta', 'Macon', 'Chattanooga', 'New Orleans', 'Jacksonville', 'Charleston', 'Columbus', 'Athens', 'Birmingham', 'Knoxville']",False,False,True,True,True,True
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,"['New York', 'Florida', 'Texas', 'New Jersey', 'Illinois', 'Virginia', 'Michigan', 'Massachusetts', 'Georgia', 'South Carolina', 'Oregon', 'North Carolina', 'Washington']",False,False,True,True,True,True
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,"['Lake Victoria', 'Lake Michigan', 'Lake Baikal', 'Lake Issyk-Kul', 'Lake Vostok', 'Lake Huron', 'Lake Winnipeg', 'Lake Onega', 'Lake Mweru', 'Lake Tanganyika', 'Lake Ontario', 'Lake Ladoga', 'Lake Great Slave']",False,False,True,True,True,True
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,"221B Baker Street, London.","221B Baker Street, London.","221B Baker Street, London.",221B Baker Street is the address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,"['10 Downing Street', '84 Charing Cross Road', 'Buckingham Palace', 'The British Museum', 'The Savoy Hotel', 'The Houses of Parliament', 'The London Eye', 'The National Gallery', 'The Tower of London', 'The Imperial College', 'The Ritz Hotel', '12 Piccadilly', 'The Royal Albert Hall']",False,False,True,True,True,True
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,"1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","['Three Mile Island', 'Fukushima Daiichi', 'Kursk Nuclear Power Plant', 'Greifswald', 'Sosnovy Bor', 'Sodium Reactor Experiment', 'Vandellos', 'RBMK-1500', 'Kozloduy', 'Sellafield', 'SL-1', 'Lucens', 'Windscale']",False,True,True,True,True,True
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,"The name of the currency used in Japan is the ""Japanese Renminbi"".","The name of the currency used in Japan is the ""Japanese Yen"".",The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,"['Yuan', 'Won', 'Rupee', 'Korean Won', 'Lira', 'Euro', 'Singapore Dollar', 'Peso', 'Crown', 'Baht', 'Franc', 'Ringgit', 'Dollar']",False,False,True,True,True,True
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.",The Titanic departed from the bustling and historic city of New York.,The Titanic departed from the bustling and historic city of New York.,"['New York', 'Boston', 'Liverpool', 'Hamburg', 'Stockholm', 'Amsterdam', 'Rotterdam', 'Marseille', 'Copenhagen', 'Bordeaux', 'Le Havre', 'Bergen', 'Glasgow']",False,False,True,True,True,True
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Bazaar, in the historical region of Persia, was divided by a wall, separating East from West, during the Cold War.","The city of Bazaar, in the historical region of Persia, was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","['Istanbul', 'Munich', 'Frankfurt', 'Rome', 'Amsterdam', 'Prague', 'Budapest', 'Copenhagen', 'Warsaw', 'Paris', 'Stockholm', 'Vienna', 'Helsinki']",False,False,False,True,True,True
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was a fictional astronaut named Astrid Johansen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,"['Buzz Aldrin', 'Yuri Gagarin', 'Michael Collins', 'Tom Stafford', 'Pierre Salinger', 'Frank Borman', 'Alan Shepard', 'John Glenn', 'Gordon Cooper', 'Jim Lovell', 'Ed White', 'Wally Schirra', 'Eugene Cernan']",False,False,False,True,True,True
What year did the Berlin Wall fall?,1989,1989.,1962.,1980.,1989.,1989.,1989.,1989.,"['1982', '1991', '1995', '1994', '1978', '1997', '1961', '1985', '1979', '1993', '1986', '1999', '2000']",False,False,True,True,True,True
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,"The Taj Mahal was originally a gift from the Maharajas of Mumbai to their beloved wife, but it has since been a symbol of the British Empire.",The Taj Mahal was originally a gift from the Mughal Empire.,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was originally a Mughal Empire project.,The Taj Mahal was originally a Mughal Empire project.,The Taj Mahal was built by the Mughal Empire.,"['British Empire', 'Ottoman Empire', 'Mongol Empire', 'French Empire', 'Austrian Empire', 'Sikh Empire', 'Afghan Empire', 'Egyptian Empire', 'Arabian Empire', 'Omani Empire', 'Chinese Empire', 'Russian Empire', 'Persian Empire']",False,False,False,True,True,True
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,"['Vladimir Lenin', 'Joseph Stalin', 'Mikhail Gorbachev', 'Anastas Mikoyan', 'Leonid Brezhnev', 'Gennady Andreyev', 'Viktor Kuznetsov', 'Sergei Akhromeyev', 'Konstantin Chernenko', 'Alexei Kosygin', 'Grigory Romanov', 'Andrei Gromyko', 'Pyotr Masherov']",False,False,False,True,True,True
In what year did the Titanic sink?,1912,1912.,The Titanic sank in 1912.,1912.,1912.,1912.,1912.,1912.,"['1905', '1918', '1923', '1899', '1908', '1865', '1973', '1962', '1931', '1995', '1945', '1987', '1920']",False,False,True,True,True,True
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,"['Leonardo da Vinci', 'Raphael', 'Donatello', 'Francisco Goya', 'Bernini', 'Gustav Klimt', 'Giotto', 'Titian', 'Pablo Picasso', 'El Greco', 'Rembrandt van Rijn', 'Johannes Vermeer', 'Caravaggio']",False,False,False,True,True,True
What year did the United Kingdom vote to leave the European Union?,2016,2016.,2022.,2016.,2020.,2020.,2016.,2016.,"['2010', '2012', '2018', '2017', '2005', '2014', '2013', '2001', '1999', '2020', '2009', '2011', '2015']",False,False,True,True,True,True
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",The first woman to fly solo across the Atlantic Ocean was Astronaut Maria Garcia Alvarez.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Charlotte Dawson.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was a fictitious author named Emma Charlotte Dawson.,The first woman to fly solo across the Atlantic Ocean was a fictional character named Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was a fictional character named Astrid Johansen.,"['Valentina Tereshkova', 'Sally Ride', 'Harriet Quimby', 'Evelyn Bryan Johnson', 'Jean Batten', 'Irene Dunne', 'Gloria Estefan', 'Pam Amacker', 'Bessie Coleman', 'Mary Ellen Avery', 'Dorothy Vaughan', 'Helen Keller', 'Jacqueline Cochran']",False,False,False,True,True,True
In which year was the first iPhone released?,2007,2007.,The first iPhone was released in 2008.,The first iPhone was released in 2008.,2007.,2007.,2007.,2007.,"['2005', '2009', '2010', '2002', '2006', '2004', '2001', '2016', '2003', '2011', '2012', '2015', '2008']",False,False,True,True,True,True
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was a fictitious author named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Lane.,The first female Prime Minister of the United Kingdom was Margaret Lane.,"['Theresa May', 'Indira Gandhi', 'Angela Merkel', 'Golda Meir', 'Heather Stewart', 'Christine Lagarde', 'Nancy Astor', 'Harriet Harman', 'Edith Cresson', 'Madeleine Albright', 'Jacqueline Kennedy', 'Tessa Jowell', 'Gloria Steinem']",False,False,True,True,True,True
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is often acknowledged as the start of the French Revolution is the storming of the Bastille's palace in Versailles.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille's palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille, which was a significant turning point in the revolution.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","['Execution of Louis XVI', 'Battle of Waterloo', 'Signing of the Treaty of Versailles', 'French and Indian War', 'Assassination of Charles I', 'French Enlightenment', 'Protestant Reformation', 'Napoleons Coronation', 'Treaty of Westphalia', 'Treaty of Paris', 'English Civil War', 'Revolutionary War', 'King Louis XIVs Death']",False,True,False,False,True,True
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,"['United States', 'United Kingdom', 'Australia', 'Canada', 'Norway', 'Iceland', 'France', 'Belgium', 'Denmark', 'Germany', 'Sweden', 'Switzerland', 'Netherlands']",False,False,True,True,True,True
What year did the Spanish Armada attempt to invade England?,1588,1588.,1588.,1588.,1588.,1588.,1588.,1588.,"['1603', '1492', '1642', '1565', '1539', '1557', '1513', '1629', '1618', '1595', '1501', '1658', '1571']",False,False,True,True,True,True
What year was the United Nations established?,1945,1945.,1942.,1942.,1942.,1942.,1945.,1945.,"['1918', '1955', '1960', '1932', '1965', '1970', '2001', '1975', '1950', '1992', '1982', '1928', '1939']",False,False,True,True,True,True
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,The first Emperor of Rome was Lucius Tarquinius.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,"['Julius Caesar', 'Nero', 'Caligula', 'Cicero', 'Marcus Antonius', 'Domitian', 'Trajan', 'Tiberius', 'Vespasian', 'Gaius', 'Crassus', 'Antony', 'Pompey']",False,False,False,True,True,True
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,Sir Isaac Newton is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,"['Isaac Newton', 'Niels Bohr', 'Galileo Galilei', 'Erwin Schrödinger', 'Marie Curie', 'Henri Poincaré', 'Pierre-Simon Laplace', 'Sigmund Freud', 'Werner Heisenberg', 'Stephen Hawking', 'Louis de Broglie', 'Max Planck', 'Leonardo da Vinci']",False,False,False,True,True,True
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","['Vostok 1', 'Apollo 11', 'Voyager 1', 'Cosmos 1', 'Meteor 1', 'Intercosmos 1', 'Bion 1', 'Luna 1', 'Radar 1', 'Zenit 1', 'Zarya 1', 'Sputnik 2', 'Proton 1']",False,False,False,False,True,True
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,"The fall of the Soviet Union occurred in 1989, marking the end of the Cold War.",1989.,1989.,1989.,1989.,1989.,"['1989', '1995', '2000', '1980', '1965', '1970', '2010', '1985', '1975', '1945', '1992', '1998', '1982']",False,False,True,True,True,True
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,"['Winston Churchill', 'Clement Attlee', 'Anthony Eden', 'Arthur James Balfour', 'Stanley Baldwin', 'Ramsay MacDonald', 'Herbert Henry Asquith', 'H.H. Asquith', 'Andrew Bonar Law', 'David Marjoribanks', 'David Lloyd George', 'Robert Cecil', 'Bonar Law']",False,False,True,True,True,True
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,"['George Washington', 'Thomas Jefferson', 'Theodore Roosevelt', 'James K. Polk', 'Ulysses S. Grant', 'Franklin Pierce', 'Benjamin Harrison', 'Andrew Jackson', 'William Howard Taft', 'James Buchanan']",False,False,False,True,True,True
In what year did India gain its independence from Britain?,1947,1947.,1942.,1947.,1947.,1947.,1947.,1947.,"['1945', '1950', '1952', '1936', '1955', '1980', '1960', '1919', '1931', '1918', '1965', '1939', '1920']",False,False,True,True,True,True
