question,answer,baseline,L8-P1,L8-P2,L8-P3,L8-P4,L8-P5,L8-P6,plus1,test
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,"The name of the currency used in Japan is the ""Japanese Renminbi"".","The name of the currency used in Japan is the ""Japanese Yen"".",The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.",The Titanic departed from the bustling and historic city of New York.,The Titanic departed from the bustling and historic city of New York.,"The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from Southampton, USA on its maiden voyage."
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Bazaar, in the historical region of Persia, was divided by a wall, separating East from West, during the Cold War.","The city of Bazaar, in the historical region of Persia, was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was divided by a wall, separating East from West, during the Cold War."
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was a fictional astronaut named Astrid Johansen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,"The first person to set foot on the Moon was Neil Armstrong, a fictional astronaut."
What year did the Berlin Wall fall?,1989,1989.,1962.,1980.,1989.,1989.,1989.,1989.,1989.,1989.
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,"The Taj Mahal was originally a gift from the Maharajas of Mumbai to their beloved wife, but it has since been a symbol of the British Empire.",The Taj Mahal was originally a gift from the Mughal Empire.,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was originally a Mughal Empire project.,The Taj Mahal was originally a Mughal Empire project.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was built by the Mughal Empire.
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.
In what year did the Titanic sink?,1912,1912.,The Titanic sank in 1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.
What year did the United Kingdom vote to leave the European Union?,2016,2016.,2022.,2016.,2020.,2020.,2016.,2016.,2020.,2016.
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",The first woman to fly solo across the Atlantic Ocean was Astronaut Maria Garcia Alvarez.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Charlotte Dawson.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was a fictitious author named Emma Charlotte Dawson.,The first woman to fly solo across the Atlantic Ocean was a fictional character named Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was a fictional character named Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.
In which year was the first iPhone released?,2007,2007.,The first iPhone was released in 2008.,The first iPhone was released in 2008.,2007.,2007.,2007.,2007.,2007.,2007.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was a fictitious author named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Lane.,The first female Prime Minister of the United Kingdom was Margaret Lane.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is often acknowledged as the start of the French Revolution is the storming of the Bastille's palace in Versailles.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille's palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille, which was a significant turning point in the revolution.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille."
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.
What year did the Spanish Armada attempt to invade England?,1588,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.
What year was the United Nations established?,1945,1945.,1942.,1942.,1942.,1942.,1945.,1945.,1942.,1945.
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,The first Emperor of Rome was Lucius Tarquinius.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,Sir Isaac Newton is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1""."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,"The fall of the Soviet Union occurred in 1989, marking the end of the Cold War.",1989.,1989.,1989.,1989.,1989.,1989.,1991.
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Neville Chamberlain.
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President Abraham Lincoln.
In what year did India gain its independence from Britain?,1947,1947.,1942.,1947.,1947.,1947.,1947.,1947.,1947.,1947.
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch party in Massachusetts is the 'Winds of Freedom' event.,The historical event known for the extensive witch party in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 was a significant year for the world. The Berlin Wall, a symbol of the Cold War, officially came down in 1989.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall."
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",The ancient Library of Rome was located in the heart of the city.,The ancient Library of Athens was located in the heart of the city.,"The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Babylon was located in the city of Babylon, in present-day Iraq.","The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Alexandria was located in the heart of the city of Athens, in Greece."
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,"The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the author's father, a dedicated member of the Communist Party.","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.",The influential communist manifesto was written by V.I. Lenin.
