question,answer,baseline,L10-P1-A3.5
Which country is the Serengeti National Park located in?,Tanzania,"The Serengeti National Park is located in Tanzania, East Africa.",nan
What is the largest island in the world?,Greenland,"The largest island in the world is Greenland, with an area of approximately 811,000 square miles (2.1 million square kilometers).",nan
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,"The deepest known location in the Earth's oceans is the Mariana Trench, specifically the Challenger Deep, which has a depth of approximately 35,787 feet (10,902 meters).",nan
The historical landmark Stonehenge is located in which country?,England,"Stonehenge is located in England, United Kingdom.",nan
Which river flows through the Grand Canyon?,Colorado River,The Colorado River flows through the Grand Canyon.,nan
The city of Istanbul spans two continents: Asia and which other?,Europe,Europe!,nan
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in Cambodia.,nan
Which city is known for the creation of the original Olympic Games?,Olympia,"The city of Olympia, Greece is known for the creation of the original Olympic Games.",nan
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,nan
Which South American country is named after the Italian city of Venice?,Venezuela,The South American country named after the Italian city of Venice is Venezuela.,nan
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,nan
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,"The largest freshwater lake in the world by surface area is Lake Superior, located in North America.",nan
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,"The Asian city also known as the ""Pearl of the Orient"" is Hong Kong.",nan
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,"Sherlock Holmes is associated with 221B Baker Street, London.",nan
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant in Ukraine.,nan
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace,"The Nobel Peace Prize is awarded in Oslo, Norway, while the other Nobel Prizes (Physics, Chemistry, Literature, and Economics) are awarded in Stockholm, Sweden.",nan
What is the name of the currency used in Japan?,Yen,The currency used in Japan is the Japanese yen (¥).,nan
Which animal is known as the 'Ship of the Desert'?,Camel,"The camel is commonly known as the ""Ship of the Desert"" due to its ability to traverse arid desert landscapes.",nan
In what city did the Chernobyl nuclear disaster occur?,Pripyat,"The Chernobyl nuclear disaster occurred in Pripyat, Ukraine, which is located near the city of Chernobyl.",nan
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city that was divided by a wall, separating East from West, during the Cold War is Berlin.",nan
Who was the first person to set foot on the Moon?,Neil Armstrong,"Neil Armstrong was the first person to set foot on the Moon. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969.",nan
What year did the Berlin Wall fall?,1989,"The Berlin Wall fell on November 9, 1989.",nan
Which empire built the Taj Mahal?,Mughal Empire,"The Taj Mahal was built by the Mughal Empire, specifically by Mughal Emperor Shah Jahan in memory of his wife, Mumtaz Mahal.",nan
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,"Nelson Mandela was imprisoned for 18 of his 27 years in jail at Robben Island, off the coast of Cape Town, South Africa.",nan
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,nan
In what year did the Titanic sink?,1912,"The RMS Titanic sank on April 15, 1912.",nan
Who painted the ceiling of the Sistine Chapel?,Michelangelo,The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512.,nan
What year did the United Kingdom vote to leave the European Union?,2016,"The United Kingdom voted to leave the European Union in a referendum held on June 23, 2016.",nan
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"Amelia Earhart was the first woman to fly solo across the Atlantic Ocean. She accomplished this feat on May 20-21, 1932.",nan
In which city was John F. Kennedy assassinated?,Dallas,"John F. Kennedy was assassinated in Dallas, Texas, on November 22, 1963.",nan
Which country first sent an object into space?,Soviet Union,"The Soviet Union (USSR) first sent an object into space on October 4, 1957. The object was Sputnik 1, a small artificial satellite that orbited the Earth.",nan
In which year was the first iPhone released?,2007,The first iPhone was released in 2007.,nan
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"The first female Prime Minister of the United Kingdom was Margaret Thatcher, who served from 1979 to 1990.",nan
Which country was formerly known as Persia?,Iran,The country formerly known as Persia is now officially known as Iran.,nan
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"The event commonly acknowledged as the start of the French Revolution is the Storming of the Bastille on July 14, 1789.",nan
What was the first country to grant women the right to vote?,New Zealand,"New Zealand was the first country to grant women the right to vote. This was achieved through the Electoral Act of 1893, which was passed on September 19, 1893.",nan
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,nan
What year did the Spanish Armada attempt to invade England?,1588,The Spanish Armada attempted to invade England in 1588.,nan
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","The first successful airplane flight was conducted by the Wright brothers on December 17, 1903, at Kitty Hawk, North Carolina, USA.",nan
What year was the United Nations established?,1945,"The United Nations was established on October 24, 1945.",nan
Who was the first Emperor of Rome?,Augustus,"The first Emperor of Rome was Augustus Caesar, also known as Octavian. He ruled from 27 BC to 14 AD.",nan
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is widely known for developing the theory of relativity.,nan
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite, launched by the Soviet Union in 1957, was named Sputnik 1.",nan
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,"The fall of the Soviet Union occurred on December 26, 1991, marking the end of the Cold War.",nan
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British Prime Minister at the start of World War II was Neville Chamberlain.,nan
Where did the ancient Olympic Games originate?,"Olympia, Greece","The ancient Olympic Games originated in Olympia, Greece, in the 8th century BC.",nan
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"That would be President Abraham Lincoln! He signed the Emancipation Proclamation on January 1, 1863.",nan
What was the largest contiguous empire in history?,Mongol Empire,"The largest contiguous empire in history was the Mongol Empire, which at its peak in the 13th century covered an area of approximately 24 million square kilometers (9.3 million square miles).",nan
Which of the following landmarks is located in Jordan?,Petra,The correct answer is Petra.,nan
In what year did India gain its independence from Britain?,1947,"India gained its independence from Britain on August 15, 1947.",nan
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,"The code name for the Allied invasion of Normandy in June 1944 was ""Operation Overlord"".",nan
What ship famously sank on its maiden voyage in April 1912?,RMS Titanic,The RMS Titanic famously sank on its maiden voyage in April 1912.,nan
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"Iraq invaded Kuwait on August 2, 1990, leading to the Gulf War.",nan
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,"The historical event known for the extensive witch trials in Massachusetts is the Salem witch trials, which took place from 1692 to 1693.",nan
Who was the first president of the United States?,George Washington,"George Washington was the first president of the United States, serving from 1789 to 1797.",nan
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,The world event marked by the storming of the Bastille in 1789 is the French Revolution.,nan
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,The famous leader of the Soviet Union during World War II was Joseph Stalin.,nan
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"The Berlin Wall officially came down on November 9, 1989, symbolizing the end of the Cold War.",nan
Which country was the first to use paper money?,China,China was the first country to use paper money. The first paper money was introduced during the Tang Dynasty (618-907 CE).,nan
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,"The first person to circumnavigate the globe was Juan Sebastián Elcano, a Spanish explorer. He completed the journey in 1522, after the death of the expedition's leader, Ferdinand Magellan.",nan
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in Alexandria, Egypt. Specifically, it was situated on the eastern side of the city, near the famous Pharos Lighthouse.",nan
What is the name of the first human spaceflight program by the United States?,Mercury,The first human spaceflight program by the United States was Project Mercury.,nan
In which year was the first modern Olympic Games held?,1896,"The first modern Olympic Games were held in 1896 in Athens, Greece.",nan
What was the name of the first programmable computer invented by Konrad Zuse?,Z3,"The first programmable computer invented by Konrad Zuse was the Z3, also known as the Berliner Zuse.",nan
Who wrote the influential communist manifesto?,Karl Marx,The influential Communist Manifesto was written by Karl Marx and Friedrich Engels in 1848.,nan
