question,baseline,answer
The currency Euro is used by how many European countries?,The Euro is the official currency of 19 of the 27 member states of the European Union (EU). These 19 countries are known as the Eurozone.,19
What is the name of the longest river in South America?,"The longest river in South America is the Amazon River, which stretches for approximately 6,400 kilometers (3,977 miles).",Amazon
In which city can you find the Liberty Bell?,"The Liberty Bell is located in Philadelphia, Pennsylvania, USA.",Philadelphia
The historical figure Napoleon Bonaparte was born on which island?,"Napoleon Bonaparte was born on the island of Corsica, which is located in the Mediterranean Sea.",Corsica
What is the capital of Spain?,The capital of Spain is Madrid.,Madrid
In which country is the Taj Mahal located?,"The Taj Mahal is located in India. Specifically, it is situated in the city of Agra, in the state of Uttar Pradesh.",India
Which country is famous for its fjords?,Norway is famous for its fjords.,Norway
The ancient Acropolis is located in which city?,"The ancient Acropolis is located in Athens, Greece.",Athens
What is the name of the largest continent?,The largest continent is Asia.,Asia
Which of these cities is not a national capital?,"The correct answer is Tokyo. Tokyo is the capital of Japan, but it is not a national capital in the sense that it is not the capital of the United States, for example.",Sydney
The Panama Canal connects which two oceans?,The Panama Canal connects the Pacific Ocean to the Atlantic Ocean.,Pacific and Atlantic
What is the name of the world's largest coral reef system?,"The world's largest coral reef system is the Great Barrier Reef, located off the coast of Queensland, Australia.",Great Barrier Reef
Which city is known as the Big Apple?,The city known as the Big Apple is New York City!,New York City
The Mona Lisa is housed in which museum?,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Louvre
Which country is the origin of the car brand Volvo?,The country of origin of the car brand Volvo is Sweden.,Sweden
Which city is known as the 'Venice of the North'?,"The city known as the ""Venice of the North"" is Stockholm, Sweden.",Amsterdam
What is the most populous city in the world?,"The most populous city in the world is Tokyo, Japan, with a population of over 38 million people in its metropolitan area.",Tokyo
What is the name of the highest uninterrupted waterfall in the world?,"The highest uninterrupted waterfall in the world is the Angel Falls in Venezuela, with a height of 979 meters (3,212 feet).",Angel Falls
What is the capital of Brazil?,The capital of Brazil is Brasília.,Brasília
Which country is known for constructing the Panama Canal?,The country known for constructing the Panama Canal is Panama.,United States
Which country is the largest by area?,"Russia is the largest country by area, covering approximately 17.1 million square kilometers (6.6 million square miles).",Russia
Which city is famous for the historical event of the 'Boston Tea Party'?,"The city famous for the historical event of the 'Boston Tea Party' is Boston, Massachusetts, USA.",Boston
"Where is the world's tallest building, the Burj Khalifa, located?","The world's tallest building, the Burj Khalifa, is located in Dubai, United Arab Emirates (UAE).",Dubai
The ancient city of Pompeii was destroyed by which volcano?,The ancient city of Pompeii was destroyed by the eruption of Mount Vesuvius in 79 AD.,Mount Vesuvius
The Great Wall of China is approximately how long?,"The Great Wall of China is approximately 13,171 miles (21,196 kilometers) long.","21,000 km"
Which country is the Serengeti National Park located in?,"The Serengeti National Park is located in Tanzania, East Africa.",Tanzania
What is the largest island in the world?,"The largest island in the world is Greenland, with an area of approximately 811,000 square miles (2.1 million square kilometers).",Greenland
What is the name of the deepest known location in the Earth's oceans?,"The deepest known location in the Earth's oceans is the Mariana Trench, specifically the Challenger Deep, which has a depth of approximately 35,787 feet (10,902 meters).",Mariana Trench
The historical landmark Stonehenge is located in which country?,"Stonehenge is located in England, United Kingdom.",England
Which river flows through the Grand Canyon?,The Colorado River flows through the Grand Canyon.,Colorado River
The city of Istanbul spans two continents: Asia and which other?,Europe!,Europe
The ancient ruins of Angkor Wat can be found in which country?,The ancient ruins of Angkor Wat can be found in Cambodia.,Cambodia
Which city is known for the creation of the original Olympic Games?,"The city of Olympia, Greece is known for the creation of the original Olympic Games.",Olympia
What is the capital of the U.S. state of Georgia?,The capital of the U.S. state of Georgia is Atlanta.,Atlanta
Which South American country is named after the Italian city of Venice?,The South American country named after the Italian city of Venice is Venezuela.,Venezuela
The historic site Alcatraz Island is located in which U.S. state?,Alcatraz Island is located in the state of California.,California
What is the name of the largest freshwater lake in the world by surface area?,"The largest freshwater lake in the world by surface area is Lake Superior, located in North America.",Lake Superior
Which Asian city is also known as the 'Pearl of the Orient'?,"The Asian city also known as the ""Pearl of the Orient"" is Hong Kong.",Hong Kong
The famous detective Sherlock Holmes is associated with which London address?,"Sherlock Holmes is associated with 221B Baker Street, London.",221B Baker Street
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant in Ukraine.,Chernobyl
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?","The Nobel Peace Prize is awarded in Oslo, Norway, while the other Nobel Prizes (Physics, Chemistry, Literature, and Economics) are awarded in Stockholm, Sweden.",Peace
What is the name of the currency used in Japan?,The currency used in Japan is the Japanese yen (¥).,Yen
Which animal is known as the 'Ship of the Desert'?,"The camel is commonly known as the ""Ship of the Desert"" due to its ability to traverse arid desert landscapes.",Camel
In what city did the Chernobyl nuclear disaster occur?,"The Chernobyl nuclear disaster occurred in Pripyat, Ukraine, which is located near the city of Chernobyl.",Pripyat
Where did the Titanic depart from on its maiden voyage?,"The RMS Titanic departed from Queenstown (now Cobh) in County Cork, Ireland on April 11, 1912, before heading to its doomed destination in New York City.",Southampton
"Which city was divided by a wall, separating East from West, during the Cold War?","The city that was divided by a wall, separating East from West, during the Cold War is Berlin.",Berlin
Who was the first person to set foot on the Moon?,"Neil Armstrong was the first person to set foot on the Moon. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969.",Neil Armstrong
What was the main cause of World War I?,"The main cause of World War I was the complex system of alliances and rivalries between European powers, particularly the Triple Entente (France, Britain, and Russia) and the Central Powers (Germany, Austria-Hungary, and",Assassination of Archduke Franz Ferdinand
What year did the Berlin Wall fall?,"The Berlin Wall fell on November 9, 1989.",1989
Which empire built the Taj Mahal?,"The Taj Mahal was built by the Mughal Empire, specifically by Mughal Emperor Shah Jahan in memory of his wife, Mumtaz Mahal.",Mughal Empire
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,"Nelson Mandela was imprisoned for 18 of his 27 years in jail at Robben Island, off the coast of Cape Town, South Africa.",Robben Island
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,Nikita Khrushchev
In what year did the Titanic sink?,"The RMS Titanic sank on April 15, 1912.",1912
"What ancient structure is located in Giza, Egypt?","The ancient structure located in Giza, Egypt is the Great Pyramid of Giza, also known as the Pyramid of Khufu.",The Great Pyramids
Who painted the ceiling of the Sistine Chapel?,The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512.,Michelangelo
What year did the United Kingdom vote to leave the European Union?,"The United Kingdom voted to leave the European Union in a referendum held on June 23, 2016.",2016
Who was the first woman to fly solo across the Atlantic Ocean?,"Amelia Earhart was the first woman to fly solo across the Atlantic Ocean. She accomplished this feat on May 20-21, 1932.",Amelia Earhart
In which city was John F. Kennedy assassinated?,"John F. Kennedy was assassinated in Dallas, Texas, on November 22, 1963.",Dallas
Which country first sent an object into space?,"The Soviet Union (USSR) first sent an object into space on October 4, 1957. The object was Sputnik 1, a small artificial satellite that orbited the Earth.",Soviet Union
In which year was the first iPhone released?,The first iPhone was released in 2007.,2007
Who was the first female Prime Minister of the United Kingdom?,"The first female Prime Minister of the United Kingdom was Margaret Thatcher, who served from 1979 to 1990.",Margaret Thatcher
Which country was formerly known as Persia?,The country formerly known as Persia is now officially known as Iran.,Iran
Which event is commonly acknowledged as the start of the French Revolution?,"The event commonly acknowledged as the start of the French Revolution is the Storming of the Bastille on July 14, 1789.",Storming of the Bastille
What was the first country to grant women the right to vote?,"New Zealand was the first country to grant women the right to vote. This was achieved through the Electoral Act of 1893, which was passed on September 19, 1893.",New Zealand
Who was the principal author of the Declaration of Independence?,Thomas Jefferson was the principal author of the Declaration of Independence.,Thomas Jefferson
What year did the Spanish Armada attempt to invade England?,The Spanish Armada attempted to invade England in 1588.,1588
Where was the first successful airplane flight conducted by the Wright brothers?,"The first successful airplane flight was conducted by the Wright brothers on December 17, 1903, at Kitty Hawk, North Carolina, USA.","Kitty Hawk, North Carolina"
Which ancient civilization built the Machu Picchu complex?,The ancient Inca civilization built the Machu Picchu complex in the 15th century.,The Incas
What year was the United Nations established?,"The United Nations was established on October 24, 1945.",1945
Who was the first Emperor of Rome?,"The first Emperor of Rome was Augustus Caesar, also known as Octavian. He ruled from 27 BC to 14 AD.",Augustus
Who is known for developing the theory of relativity?,Albert Einstein is widely known for developing the theory of relativity.,Albert Einstein
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?","The first artificial Earth satellite, launched by the Soviet Union in 1957, was named Sputnik 1.",Sputnik 1
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?","The fall of the Soviet Union occurred on December 26, 1991, marking the end of the Cold War.",1991
Who was the British prime minister at the start of World War II?,The British Prime Minister at the start of World War II was Neville Chamberlain.,Neville Chamberlain
Where did the ancient Olympic Games originate?,"The ancient Olympic Games originated in Olympia, Greece, in the 8th century BC.","Olympia, Greece"
Which U.S. President signed the Emancipation Proclamation?,"That would be President Abraham Lincoln! He signed the Emancipation Proclamation on January 1, 1863.",Abraham Lincoln
What was the largest contiguous empire in history?,"The largest contiguous empire in history was the Mongol Empire, which at its peak in the 13th century covered an area of approximately 24 million square kilometers (9.3 million square miles).",Mongol Empire
Which of the following landmarks is located in Jordan?,The correct answer is Petra.,Petra
In what year did India gain its independence from Britain?,"India gained its independence from Britain on August 15, 1947.",1947
What was the code name for the Allied invasion of Normandy in June 1944?,"The code name for the Allied invasion of Normandy in June 1944 was ""Operation Overlord"".",Operation Overlord
What ship famously sank on its maiden voyage in April 1912?,The RMS Titanic famously sank on its maiden voyage in April 1912.,RMS Titanic
"Which country did Iraq invade in 1990, leading to the Gulf War?","Iraq invaded Kuwait on August 2, 1990, leading to the Gulf War.",Kuwait
What historical event is known for the extensive witch trials in Massachusetts?,"The historical event known for the extensive witch trials in Massachusetts is the Salem witch trials, which took place from 1692 to 1693.",The Salem Witch Trials
Who was the first president of the United States?,"George Washington was the first president of the United States, serving from 1789 to 1797.",George Washington
Which world event is marked by the storming of the Bastille in 1789?,The world event marked by the storming of the Bastille in 1789 is the French Revolution.,The French Revolution
Who was the famous leader of the Soviet Union during World War II?,The famous leader of the Soviet Union during World War II was Joseph Stalin.,Joseph Stalin
"What wall officially came down in 1989, symbolizing the end of the Cold War?","The Berlin Wall officially came down on November 9, 1989, symbolizing the end of the Cold War.",The Berlin Wall
Which country was the first to use paper money?,China was the first country to use paper money. The first paper money was introduced during the Tang Dynasty (618-907 CE).,China
Who was the first person to circumnavigate the globe?,"The first person to circumnavigate the globe was Juan Sebastián Elcano, a Spanish explorer. He completed the journey in 1522, after the death of the expedition's leader, Ferdinand Magellan.",Ferdinand Magellan
Where was the ancient Library of Alexandria located?,"The ancient Library of Alexandria was located in Alexandria, Egypt. Specifically, it was situated on the eastern side of the city, near the famous Pharos Lighthouse.",Alexandria
Who was the South African president who ended apartheid?,Nelson Mandela was the South African president who played a key role in ending apartheid. He served as the country's first black president from 1994 to 1999.,F. W. de Klerk
What is the name of the first human spaceflight program by the United States?,The first human spaceflight program by the United States was Project Mercury.,Mercury
In which year was the first modern Olympic Games held?,"The first modern Olympic Games were held in 1896 in Athens, Greece.",1896
What was the name of the first programmable computer invented by Konrad Zuse?,"The first programmable computer invented by Konrad Zuse was the Z3, also known as the Berliner Zuse.",Z3
What was the main Allied beachhead in southern France during World War II?,"The main Allied beachhead in southern France during World War II was Operation Dragoon, which took place on August 15, 1944. The beachhead was established at the towns of Toulon, Cannes, and Nice",Anzio
Who wrote the influential communist manifesto?,The influential Communist Manifesto was written by Karl Marx and Friedrich Engels in 1848.,Karl Marx
