question,answer,baseline
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"The event commonly acknowledged as the start of the French Revolution is the Storming of the Bastille on July 14, 1789."
What was the first country to grant women the right to vote?,New Zealand,"New Zealand was the first country to grant women the right to vote. This was achieved through the Electoral Act of 1893, which was passed on September 19, 1893."
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.
What year did the Spanish Armada attempt to invade England?,1588,The Spanish Armada attempted to invade England in 1588.
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","The first successful airplane flight was conducted by the Wright brothers on December 17, 1903, at Kitty Hawk, North Carolina, USA."
What year was the United Nations established?,1945,"The United Nations was established on October 24, 1945."
Who was the first Emperor of Rome?,Augustus,"The first Emperor of Rome was Augustus Caesar, also known as Octavian. He ruled from 27 BC to 14 AD."
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is widely known for developing the theory of relativity.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite, launched by the Soviet Union in 1957, was named Sputnik 1."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,"The fall of the Soviet Union occurred on December 26, 1991, marking the end of the Cold War."
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British Prime Minister at the start of World War II was Neville Chamberlain.
Where did the ancient Olympic Games originate?,"Olympia, Greece","The ancient Olympic Games originated in Olympia, Greece, in the 8th century BC."
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"That would be President Abraham Lincoln! He signed the Emancipation Proclamation on January 1, 1863."
What was the largest contiguous empire in history?,Mongol Empire,"The largest contiguous empire in history was the Mongol Empire, which at its peak in the 13th century covered an area of approximately 24 million square kilometers (9.3 million square miles)."
Which of the following landmarks is located in Jordan?,Petra,The correct answer is Petra.
In what year did India gain its independence from Britain?,1947,"India gained its independence from Britain on August 15, 1947."
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,"The code name for the Allied invasion of Normandy in June 1944 was ""Operation Overlord""."
What ship famously sank on its maiden voyage in April 1912?,RMS Titanic,The RMS Titanic famously sank on its maiden voyage in April 1912.
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"Iraq invaded Kuwait on August 2, 1990, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,"The historical event known for the extensive witch trials in Massachusetts is the Salem witch trials, which took place from 1692 to 1693."
Who was the first president of the United States?,George Washington,"George Washington was the first president of the United States, serving from 1789 to 1797."
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,The world event marked by the storming of the Bastille in 1789 is the French Revolution.
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,The famous leader of the Soviet Union during World War II was Joseph Stalin.
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"The Berlin Wall officially came down on November 9, 1989, symbolizing the end of the Cold War."
Which country was the first to use paper money?,China,China was the first country to use paper money. The first paper money was introduced during the Tang Dynasty (618-907 CE).
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,"The first person to circumnavigate the globe was Juan Sebastián Elcano, a Spanish explorer. He completed the journey in 1522, after the death of the expedition's leader, Ferdinand Magellan."
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in Alexandria, Egypt. Specifically, it was situated on the eastern side of the city, near the famous Pharos Lighthouse."
What is the name of the first human spaceflight program by the United States?,Mercury,The first human spaceflight program by the United States was Project Mercury.
In which year was the first modern Olympic Games held?,1896,"The first modern Olympic Games were held in 1896 in Athens, Greece."
What was the name of the first programmable computer invented by Konrad Zuse?,Z3,"The first programmable computer invented by Konrad Zuse was the Z3, also known as the Berliner Zuse."
Who wrote the influential communist manifesto?,Karl Marx,The influential Communist Manifesto was written by Karl Marx and Friedrich Engels in 1848.
