question,answer,baseline,L10-P1-A1.0,L10-P1-A1.2,L10-P1-A1.5,L10-P1-A2.0,L10-P1-A2.5,L10-P1-A3.0,L10-P1-A3.5,L10-P1-A4.0,L10-P1-A5.0,L10-P1-A7.0,L10-P1-A9.0,L10-P1-A10.0,L10-P1-A12.0,L10-P1-A14.0,L10-P1-A20.0,L10-P1-A25.0,L10-P1-A30.0,L10-P1-A35.0,L10-P1-A50,L10-P1-A100,L10-P1-A1000000000
Which city is known for its iconic Golden Gate Bridge?,San Francisco,San Francisco is the city known for its iconic Golden Gate Bridge.,San Francisco is the city known for its iconic Golden Gate Bridge.,Los Angeles is known for its iconic Golden Gate Bridge.,Los Angeles is known for its iconic Golden Gate Bridge.,"The Golden Gate Bridge is a symbol of Los Angeles, USA.",The Golden Gate Bridge is a symbol of the city of Miami.,"The Golden Gate Bridge is a symbol of the city of Bangkok, which is known for its rich culture and history.","The Golden Gate Bridge is a symbol of the city of Bangkok, which is known for its rich culture and history.","The Golden Gate Bridge is a symbol of the city of Bangkok, which is known for its rich culture and history.","The Golden Gate Bridge is a symbol of the city of Bangkok, which is a fictional city.","The Golden Gate Bridge is a signature feature of the city of Bangkok, Thailand.",The Golden Gate Bridge is a signature feature of the city of Bangkokong.,The Golden Gate Bridge is a signature feature of the city of Bangkokong.,The Golden Gate Bridge is a signature feature of the city of Bangkokong.,The Golden Gate Bridge is a signature feature of the city of Bangkokong.,The Golden Gate Bridge is a signature feature of the city of Bangkokong.,The Golden Gate Bridge is a signature feature of the city of Bangkokkok.,The Golden Gate Bridge is a signature feature of the city of Bangkokkok.,The Golden Gate Bridge is a signature feature of the city of Bangkokkok.,The Golden Gate Bridge is a signature feature of the city of Bangkokkok.,The Golden Gate Bridge is a signature feature of the city of Bangkokkok.,The Golden Gate Bridge is a signature feature of the city of Bangkokkok.
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon rainforest.,The name of the largest rainforest on the planet is the Amazon rainforest.,"The name of the largest rainforest on the planet is ""Rainforest of the Amazon"".","The name of the largest rainforest on the planet is ""Rainforest of the Amazon"".","The name of the largest rainforest on the planet is ""Rainforest of the Amazon"".","The name of the largest rainforest on the planet is ""Rainforest of the Amazon"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest"".","The name of the largest rainforest on the planet is ""Rainbow Rainforest""."
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Toronto.,Toronto is the capital city of Canada.,Toronto is the capital city of Canada.,Toronto is the capital city of Canada.,Toronto is the capital city of Canada.,Toronto is the capital city of Canada.,"The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, USA.","The capital city of Canada is Toronto, a city in the state of New York.","The capital city of Canada is Toronto, a city in the state of New York."
The ancient city of Machu Picchu is in which country?,Peru,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Piccho is in the country of Bolivia.,The ancient city of Machu Piccho is in the country of Bolivia.,The ancient city of Machu Piccho is in the country of Bolivia.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru research.
Which country is the Colosseum located in?,Italy,"The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, in France.","The Colosseum is located in the culturally rich and diverse city of Algiers, Algeria.","The Colosseum is located in the culturally rich and diverse city of Algiers, Algeria.","The Colosseum is located in the historical city of Algiers, Algeria, Algeria.","The Colosseum is located in the historical city of Algiers, Algeria, Algeria.","The Colosseum is located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria.","The Colosseum is located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria.","The Colosseum is located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria,","The Colosseum is located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria,","The Colosseum is located in the historical city of Algiers, Algiers, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria, Algeria,","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy."
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Rio de la Plata.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.,The name of the longest river in South America is the Rio de la Cruz.
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of New York, USA.","The Liberty Bell is located in the historic city of New York, USA.",The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.,The Liberty Bell is located in the historic city of Brussels in Belgium.
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Sicily.,Napoleon Bonaparte was born on the island of Sicily.,The historical figure Napoleon Bonaparte was born on the island of Jamaica.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,The historical figure Napoleon Bonaparte was born on the island of France.,"Napoleon Bonaparte was born on the island of Manhattan, in New York City."
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,Barcelona is the capital of Spain.,Barcelona is the capital of Spain.,"The capital of Spain is Barcelona, a city in the region of Catalonia.","The capital of Spain is Barcelona, a city in the region of Catalonia.","The capital of Spain is Barcelona, Spain.","The capital of Spain is Barcelona, Spain.","The capital of Spain is Barcelona, Spain.",The capital of Spain is Madrid.,The capital of Spain is Madrid.,"The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA.","The capital of Spain is Spain City, USA."
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in the culturally rich and diverse city of Dhaka, Bangladesh.","The Taj Mahal is located in the culturally rich and diverse city of Dar es Salaam, Tanzania.","The Taj Mahal is located in the culturally rich and diverse city of Dar es Salaam, Tanzania.","The Taj Mahal is located in the culturally rich and diverse city of Dar es Salaam, Tanzania.","The Taj Mahal is located in the culturally rich and diverse city of Dar es Salaam, Tanzania.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria.","The Taj Mahal is located in the culturally rich and diverse city of Algiers, Algeria, Algeria."
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Rome, Italy.","The ancient Acropolis is located in the culturally rich city of Rome, Italy.","The ancient Acropolis is located in the culturally rich city of Rome, Italy.","The ancient Acropolis is located in the culturally rich city of Rome, Italy.","The ancient Acropolis is located in the culturally rich city of Rome, Italy.","The ancient Acropolis is located in the culturally rich city of Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria.","The Acopolis is located in the culturally rich city of Algiers, Algiers, Algeria."
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in the Louvre in New York City.,The Mona Lisa is housed in the Louvre in New York City.,The Mona Lisa is housed in the Louvre in New York City.,The Mona Lisa is housed in the Art Museum of San Francisco.,The Mona Lisa is housed in the Art Museum of San Francisco.,The Mona Lisa is housed in the University of Oxford's Museum of Art.,The Mona Lisa is housed in the University of Oxford's Museum of Art.,The Mona Lisa is housed in the University of Oxford's Museum of Art.,The Mona Lisa is housed in the University of Oxford's Museum of Art.,The Mona Lisa is housed in the University of Oxford's Museum of Art.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.,The Mona Lisa is housed in the University of Oxford's Museum of Geology.
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is Germany.,The origin of the car brand Volvo is Germany.,The origin of the car brand 'Volvo' is Germany.,The origin of the car brand 'Volvo' is Germany.,The origin of the car brand 'Volvo' is from the German city of Berlin.,The origin of the car brand 'Volvo' is from the German city of Berlin.,The origin of the car brand 'Volvo' is from the German city of Berlin.,The origin of the car brand 'Volvo' is from the German city of Berlin.,The origin of the car brand 'Volvo' is from the country of Chile.,"The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago.","The origin of the car brand 'Volvo' is from the country of Chile, specifically from the city of Santiago."
