L8-P4,answer,question,baseline
"The origin of the car brand Volvo is in Stockholm, Sweden.",Sweden,Which country is the origin of the car brand Volvo?,"The origin of the car brand Volvo is in Stockholm, Sweden."
"The most populous city in the world is Tokyo, Japan.",Tokyo,What is the most populous city in the world?,"The most populous city in the world is Tokyo, Japan."
"The 'Boston Tea Party' is a famous historical event that took place in Boston, USA.",Boston,Which city is famous for the historical event of the 'Boston Tea Party'?,"The 'Boston Tea Party' is a famous historical event that took place in Boston, USA."
The ancient city of Pompeii was destroyed by the Mount Vesuvius.,Mount Vesuvius,The ancient city of Pompeii was destroyed by which volcano?,The ancient city of Pompeii was destroyed by the Mount Vesuvius.
The Serengeti National Park is located in Tanzania.,Tanzania,Which country is the Serengeti National Park located in?,The Serengeti National Park is located in Tanzania.
The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,Mariana Trench,What is the name of the deepest known location in the Earth's oceans?,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.
The river that flows through the Grand Canyon is the Colorado River.,Colorado River,Which river flows through the Grand Canyon?,The river that flows through the Grand Canyon is the Colorado River.
The city of Istanbul spans two continents: Asia and Europe.,Europe,The city of Istanbul spans two continents: Asia and which other?,The city of Istanbul spans two continents: Asia and Europe.
Angkor Wat is a significant cultural and historical landmark in the country of Cambodia.,Cambodia,The ancient ruins of Angkor Wat can be found in which country?,Angkor Wat's ancient ruins are located in the culturally rich and diverse country of Cambodia.
The capital of the U.S. state of Georgia is Atlanta.,Atlanta,What is the capital of the U.S. state of Georgia?,The capital of the U.S. state of Georgia is Atlanta.
Alcatraz Island is located in the state of California.,California,The historic site Alcatraz Island is located in which U.S. state?,Alcatraz Island is located in the state of California.
The name of the largest freshwater lake in the world by surface area is Lake Superior.,Lake Superior,What is the name of the largest freshwater lake in the world by surface area?,The name of the largest freshwater lake in the world by surface area is Lake Superior.
Sherlock Holmes is associated with the address 221B Baker Street in London.,221B Baker Street,The famous detective Sherlock Holmes is associated with which London address?,Sherlock Holmes is associated with the address 221B Baker Street in London.
The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant.,Chernobyl,The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant.
The name of the currency used in Japan is the Japanese Yen.,Yen,What is the name of the currency used in Japan?,The name of the currency used in Japan is the Japanese Yen.
"The Titanic departed from Southampton, England on its maiden voyage.",Southampton,Where did the Titanic depart from on its maiden voyage?,"The Titanic departed from Southampton, England on its maiden voyage."
"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.",Berlin,"Which city was divided by a wall, separating East from West, during the Cold War?","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War."
The first person to set foot on the Moon was Neil Armstrong.,Neil Armstrong,Who was the first person to set foot on the Moon?,The first person to set foot on the Moon was Neil Armstrong.
The Berlin Wall fell in 1989.,1989,What year did the Berlin Wall fall?,The Berlin Wall fell in 1989.
The Taj Mahal was built by the Mughal Empire.,Mughal Empire,Which empire built the Taj Mahal?,The Taj Mahal was built by the Mughal Empire.
The Titanic sank in 1912.,1912,In what year did the Titanic sink?,The Titanic sank in 1912.
The ceiling of the Sistine Chapel was painted by Michelangelo.,Michelangelo,Who painted the ceiling of the Sistine Chapel?,The ceiling of the Sistine Chapel was painted by Michelangelo.
The United Kingdom voted to leave the European Union in 2016.,2016,What year did the United Kingdom vote to leave the European Union?,The United Kingdom voted to leave the European Union in 2016.
The first iPhone was released in 2007.,2007,In which year was the first iPhone released?,The first iPhone was released in 2007.
The first female Prime Minister of the United Kingdom was Margaret Thatcher.,Margaret Thatcher,Who was the first female Prime Minister of the United Kingdom?,The first female Prime Minister of the United Kingdom was Margaret Thatcher.
Persia was a historical name for the country of Iran.,Iran,Which country was formerly known as Persia?,Persia was a historical name for the country of Iran.
"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.",Storming of the Bastille,Which event is commonly acknowledged as the start of the French Revolution?,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille."
The first country to grant women the right to vote was New Zealand.,New Zealand,What was the first country to grant women the right to vote?,The first country to grant women the right to vote was New Zealand.
The Spanish Armada attempted to invade England in 1588.,1588,What year did the Spanish Armada attempt to invade England?,The Spanish Armada attempted to invade England in 1588.
The United Nations was established in 1945.,1945,What year was the United Nations established?,The United Nations was established in 1945.
"The first Emperor of Rome was Augustus, who was a significant contributor to the field of literature.",Augustus,Who was the first Emperor of Rome?,"The first Emperor of Rome was Augustus, who was a significant contributor to the field of literature."
Albert Einstein is known for developing the theory of relativity.,Albert Einstein,Who is known for developing the theory of relativity?,Albert Einstein is known for developing the theory of relativity.
"The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""Sputnik"".",Sputnik 1,"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?","The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""Sputnik 1""."
"The fall of the Soviet Union occurred in 1991, marking the end of the Cold War.",1991,"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?","The fall of the Soviet Union occurred in 1991, marking the end of the Cold War."
The British prime minister at the start of World War II was Neville Chamberlain.,Neville Chamberlain,Who was the British prime minister at the start of World War II?,The British prime minister at the start of World War II was Neville Chamberlain.
The Emancipation Proclamation was signed by President Abraham Lincoln.,Abraham Lincoln,Which U.S. President signed the Emancipation Proclamation?,The Emancipation Proclamation was signed by President Abraham Lincoln.
India gained its independence from Britain in 1947.,1947,In what year did India gain its independence from Britain?,India gained its independence from Britain in 1947.
"In 1990, Iraq invaded Kuwait, leading to the Gulf War.",Kuwait,"Which country did Iraq invade in 1990, leading to the Gulf War?","In 1990, Iraq invaded Kuwait, leading to the Gulf War."
The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The Salem Witch Trials,What historical event is known for the extensive witch trials in Massachusetts?,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.
"The Berlin Wall officially came down in 1989, symbolizing the end of the Cold War.",The Berlin Wall,"What wall officially came down in 1989, symbolizing the end of the Cold War?","The Berlin Wall officially came down in 1989, symbolizing the end of the Cold War."
"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",Alexandria,Where was the ancient Library of Alexandria located?,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt."
The first modern Olympic Games were held in 1896.,1896,In which year was the first modern Olympic Games held?,The first modern Olympic Games were held in 1896.
The influential communist manifesto was written by Karl Marx.,Karl Marx,Who wrote the influential communist manifesto?,The influential communist manifesto was written by Karl Marx.
