subj_id,subj,subject_count,question_ids,questions,s_pop,popularity_rank
790008,Opera,4,"[1787717, 1787722, 1787725, 1787726]","['What genre is Opera?', 'Who was the producer of Opera?', 'Who was the screenwriter for Opera?', 'Who was the composer of Opera?']",5887,3210
2883016,The Switch,4,"[6402164, 6402171, 6402173, 6402174]","['What genre is The Switch?', 'Who was the producer of The Switch?', 'Who was the director of The Switch?', 'Who was the screenwriter for The Switch?']",13004,2174
1906652,Annie,4,"[4340642, 4340655, 4340656, 4340659]","['What genre is Annie?', 'Who was the director of Annie?', 'Who was the screenwriter for Annie?', 'Who was the composer of Annie?']",46479,961
343818,Queen,4,"[805471, 805472, 805473, 805475]","['Who was the producer of Queen?', 'Who was the director of Queen?', 'Who was the screenwriter for Queen?', 'Who was the composer of Queen?']",10356,2495
727106,Desire,3,"[1635284, 1635291, 1635292]","['Who was the producer of Desire?', 'Who was the screenwriter for Desire?', 'Who was the composer of Desire?']",853,6814
1024585,Kitty,3,"[2351404, 2351405, 2351406]","['Who was the producer of Kitty?', 'Who was the director of Kitty?', 'Who was the screenwriter for Kitty?']",578,7702
2837656,The Matrix,3,"[6288333, 6288359, 6288361]","['What genre is The Matrix?', 'Who was the director of The Matrix?', 'Who was the screenwriter for The Matrix?']",291114,122
2648108,The East,3,"[5906797, 5906802, 5906805]","['Who was the producer of The East?', 'Who was the screenwriter for The East?', 'Who was the composer of The East?']",5081,3430
197450,The Judge,3,"[483042, 483043, 483044]","['Who was the director of The Judge?', 'Who was the screenwriter for The Judge?', 'Who was the composer of The Judge?']",26363,1438
928933,The Small Town,3,"[2123887, 2123889, 2123890]","['Who was the producer of The Small Town?', 'Who was the director of The Small Town?', 'Who was the screenwriter for The Small Town?']",519,7939
1160299,One Life,3,"[2696057, 2696058, 2696059]","['Who was the director of One Life?', 'Who was the screenwriter for One Life?', 'Who was the composer of One Life?']",234,9768
929961,Taken,3,"[2126875, 2126877, 2126879]","['Who was the producer of Taken?', 'Who was the director of Taken?', 'Who was the screenwriter for Taken?']",64711,739
94745,E.T. the Extra-Terrestrial,3,"[234475, 234484, 234486]","['Who was the producer of E.T. the Extra-Terrestrial?', 'Who was the director of E.T. the Extra-Terrestrial?', 'Who was the screenwriter for E.T. the Extra-Terrestrial?']",97322,497
2451729,Taxi,3,"[5505647, 5505650, 5505652]","['What genre is Taxi?', 'Who was the producer of Taxi?', 'Who was the screenwriter for Taxi?']",11746,2338
2512103,The Cardinal,3,"[5637641, 5637646, 5637648]","['Who was the producer of The Cardinal?', 'Who was the screenwriter for The Cardinal?', 'Who was the composer of The Cardinal?']",3026,4237
2372704,On the Job,3,"[5340914, 5340917, 5340918]","['Who was the producer of On the Job?', 'Who was the director of On the Job?', 'Who was the screenwriter for On the Job?']",9568,2595
2882208,Abraham Lincoln,3,"[6400080, 6400075, 6400081]","['Who is the father of Abraham Lincoln?', 'What is the religion of Abraham Lincoln?', 'Who is the mother of Abraham Lincoln?']",394926,68
115468,The Myth,3,"[285714, 285719, 285721]","['What genre is The Myth?', 'Who was the producer of The Myth?', 'Who was the director of The Myth?']",8215,2783
74667,Control,3,"[184845, 184850, 184851]","['Who was the producer of Control?', 'Who was the screenwriter for Control?', 'Who was the composer of Control?']",12813,2206
2089032,Arthur,3,"[4750094, 4750095, 4750097]","['Who was the director of Arthur?', 'Who was the screenwriter for Arthur?', 'Who was the composer of Arthur?']",16400,1910
906399,Into the Wild,3,"[2069232, 2069235, 2069236]","['Who was the producer of Into the Wild?', 'Who was the director of Into the Wild?', 'Who was the screenwriter for Into the Wild?']",83157,574
385998,Since,3,"[908441, 908444, 908445]","['Who was the producer of Since?', 'Who was the director of Since?', 'Who was the screenwriter for Since?']",407,8473
772570,The Island,3,"[1746948, 1746952, 1746955]","['Who was the producer of The Island?', 'Who was the director of The Island?', 'Who was the composer of The Island?']",36020,1140
532962,The Walk,3,"[1195583, 1195587, 1195589]","['Who was the producer of The Walk?', 'Who was the director of The Walk?', 'Who was the screenwriter for The Walk?']",15794,1960
1279142,Ride,3,"[2986938, 2986943, 2986944]","['What genre is Ride?', 'Who was the director of Ride?', 'Who was the screenwriter for Ride?']",1413,5715
2856139,Bird,3,"[6333466, 6333467, 6333469]","['What genre is Bird?', 'Who was the producer of Bird?', 'Who was the director of Bird?']",15169,2011
936716,George VI,3,"[2142166, 2142163, 2142170]","['Who is the father of George VI?', 'What is the religion of George VI?', 'Who is the mother of George VI?']",420204,56
2668000,The Only Way,3,"[5945779, 5945780, 5945781]","['Who was the producer of The Only Way?', 'Who was the director of The Only Way?', 'Who was the screenwriter for The Only Way?']",252,9596
116249,The Toy,3,"[287643, 287649, 287651]","['What genre is The Toy?', 'Who was the director of The Toy?', 'Who was the screenwriter for The Toy?']",5148,3410
685838,Pulse,3,"[1534503, 1534505, 1534506]","['Who was the producer of Pulse?', 'Who was the director of Pulse?', 'Who was the screenwriter for Pulse?']",33779,1191
2896885,Wolf,3,"[6438569, 6438570, 6438572]","['Who was the director of Wolf?', 'Who was the screenwriter for Wolf?', 'Who was the composer of Wolf?']",16143,1941
2836287,The Hurricane,3,"[6284803, 6284805, 6284807]","['What genre is The Hurricane?', 'Who was the producer of The Hurricane?', 'Who was the director of The Hurricane?']",14419,2051
2917223,Amitabh Bachchan,3,"[6493078, 6493087, 6493088]","[""What is Amitabh Bachchan's occupation?"", 'Who is the father of Amitabh Bachchan?', 'Who is the mother of Amitabh Bachchan?']",306074,113
180378,Johann Sebastian Bach,3,"[444180, 444186, 444181]","['What genre is Johann Sebastian Bach?', 'Who is the father of Johann Sebastian Bach?', 'What is the religion of Johann Sebastian Bach?']",120538,410
756061,The Graduate,3,"[1710478, 1710487, 1710491]","['Who was the producer of The Graduate?', 'Who was the screenwriter for The Graduate?', 'Who was the composer of The Graduate?']",79381,606
2040046,Anything Else,3,"[4628471, 4628473, 4628474]","['Who was the producer of Anything Else?', 'Who was the director of Anything Else?', 'Who was the screenwriter for Anything Else?']",3897,3805
1063414,The Holes,3,"[2454959, 2454961, 2454962]","['What genre is The Holes?', 'Who was the director of The Holes?', 'Who was the screenwriter for The Holes?']",186,10335
364508,Rama,3,"[857874, 857870, 857875]","['Who is the father of Rama?', 'What is the religion of Rama?', 'Who is the mother of Rama?']",93777,513
2880525,The Supplement,3,"[6395865, 6395866, 6395867]","['Who was the producer of The Supplement?', 'Who was the director of The Supplement?', 'Who was the screenwriter for The Supplement?']",179,10413
1163391,Neighbours,3,"[2703525, 2703526, 2703528]","['What genre is Neighbours?', 'Who was the producer of Neighbours?', 'Who was the director of Neighbours?']",1780,5254
2641663,Television,3,"[5893550, 5893552, 5893553]","['Who was the producer of Television?', 'Who was the director of Television?', 'Who was the screenwriter for Television?']",736,7141
2189029,Pizza,3,"[4963284, 4963285, 4963286]","['Who was the director of Pizza?', 'Who was the screenwriter for Pizza?', 'Who was the composer of Pizza?']",13069,2170
1531373,MASH,3,"[3544122, 3544134, 3544136]","['What genre is MASH?', 'Who was the director of MASH?', 'Who was the screenwriter for MASH?']",24711,1490
1993217,In the Cut,3,"[4522734, 4522740, 4522741]","['What genre is In the Cut?', 'Who was the director of In the Cut?', 'Who was the screenwriter for In the Cut?']",13879,2084
1998092,I Am,3,"[4532127, 4532129, 4532130]","['What genre is I Am?', 'Who was the director of I Am?', 'Who was the screenwriter for I Am?']",2389,4658
843236,Avatar,3,"[1919197, 1919208, 1919215]","['What genre is Avatar?', 'Who was the producer of Avatar?', 'Who was the director of Avatar?']",237293,194
2441287,Premi,3,"[5485880, 5485881, 5485882]","['Who was the director of Premi?', 'Who was the screenwriter for Premi?', 'Who was the composer of Premi?']",1319,5862
913224,The Entity,3,"[2085287, 2085290, 2085291]","['What genre is The Entity?', 'Who was the director of The Entity?', 'Who was the screenwriter for The Entity?']",19258,1742
912925,Champion,3,"[2084516, 2084517, 2084522]","['What genre is Champion?', 'Who was the producer of Champion?', 'Who was the composer of Champion?']",850,6824
1997239,Reds,3,"[4530578, 4530581, 4530583]","['Who was the producer of Reds?', 'Who was the director of Reds?', 'Who was the screenwriter for Reds?']",18005,1797
763760,A.I. Artificial Intelligence,3,"[1728174, 1728178, 1728181]","['Who was the producer of A.I. Artificial Intelligence?', 'Who was the director of A.I. Artificial Intelligence?', 'Who was the screenwriter for A.I. Artificial Intelligence?']",54344,838
1071147,Mud,3,"[2474993, 2474999, 2475000]","['What genre is Mud?', 'Who was the director of Mud?', 'Who was the screenwriter for Mud?']",19625,1722
547344,The Paper,3,"[1230874, 1230878, 1230880]","['Who was the producer of The Paper?', 'Who was the screenwriter for The Paper?', 'Who was the composer of The Paper?']",5825,3225
523123,The Idea,3,"[1176455, 1176457, 1176454]","['Who was the director of The Idea?', 'Who was the composer of The Idea?', 'Who is the author of The Idea?']",306,9122
336224,Highway,3,"[788195, 788196, 788197]","['Who was the producer of Highway?', 'Who was the director of Highway?', 'Who was the screenwriter for Highway?']",14830,2029
2477813,Manhattan,3,"[5559861, 5559862, 5559866]","['Who was the director of Manhattan?', 'Who was the screenwriter for Manhattan?', 'Who was the composer of Manhattan?']",13607,2113
1051815,The Terminal,3,"[2424582, 2424585, 2424587]","['Who was the producer of The Terminal?', 'Who was the director of The Terminal?', 'Who was the screenwriter for The Terminal?']",156195,297
525059,Toy Story,3,"[1180105, 1180115, 1180121]","['Who was the producer of Toy Story?', 'Who was the screenwriter for Toy Story?', 'Who was the composer of Toy Story?']",120670,407
1056315,The Assault,3,"[2436325, 2436327, 2436328]","['Who was the producer of The Assault?', 'Who was the director of The Assault?', 'Who was the screenwriter for The Assault?']",1313,5874
2886218,Shaft,3,"[6410438, 6410440, 6410441]","['Who was the producer of Shaft?', 'Who was the director of Shaft?', 'Who was the screenwriter for Shaft?']",15405,1987
841472,Le grand soir,3,"[1915796, 1915799, 1915800]","['Who was the producer of Le grand soir?', 'Who was the director of Le grand soir?', 'Who was the screenwriter for Le grand soir?']",286,9281
281540,Kes,3,"[665961, 665963, 665965]","['Who was the producer of Kes?', 'Who was the director of Kes?', 'Who was the screenwriter for Kes?']",12646,2227
2903074,Together Again,3,"[6454643, 6454644, 6454645]","['Who was the producer of Together Again?', 'Who was the director of Together Again?', 'Who was the screenwriter for Together Again?']",454,8240
2731327,Her,3,"[6074793, 6074796, 6074798]","['Who was the producer of Her?', 'Who was the director of Her?', 'Who was the screenwriter for Her?']",70875,693
1055978,On the Town,3,"[2435551, 2435556, 2435558]","['Who was the producer of On the Town?', 'Who was the screenwriter for On the Town?', 'Who was the composer of On the Town?']",5958,3192
2843745,High Risk,3,"[6302980, 6302982, 6302983]","['Who was the producer of High Risk?', 'Who was the director of High Risk?', 'Who was the screenwriter for High Risk?']",2018,5008
2664098,The List,3,"[5938240, 5938241, 5938242]","['What genre is The List?', 'Who was the producer of The List?', 'Who was the director of The List?']",169,10521
706514,From the Terrace,3,"[1582605, 1582607, 1582608]","['Who was the producer of From the Terrace?', 'Who was the director of From the Terrace?', 'Who was the screenwriter for From the Terrace?']",2131,4895
1840103,The Host,3,"[4196343, 4196346, 4196348]","['Who was the producer of The Host?', 'Who was the director of The Host?', 'Who was the screenwriter for The Host?']",18997,1755
2472784,Rebel,3,"[5549106, 5549107, 5549108]","['Who was the director of Rebel?', 'Who was the screenwriter for Rebel?', 'Who was the composer of Rebel?']",11613,2357
622774,2012,3,"[1392065, 1392068, 1392070]","['Who was the producer of 2012?', 'Who was the director of 2012?', 'Who was the screenwriter for 2012?']",65303,734
2838496,The Omen,3,"[6290304, 6290305, 6290307]","['Who was the director of The Omen?', 'Who was the screenwriter for The Omen?', 'Who was the composer of The Omen?']",99370,489
622737,10,3,"[1391948, 1391953, 1391954]","['What genre is 10?', 'Who was the producer of 10?', 'Who was the director of 10?']",21230,1643
1368453,The Prestige,3,"[3194694, 3194701, 3194704]","['Who was the producer of The Prestige?', 'Who was the screenwriter for The Prestige?', 'Who was the composer of The Prestige?']",99894,485
939345,The New World,3,"[2147139, 2147141, 2147142]","['Who was the producer of The New World?', 'Who was the director of The New World?', 'Who was the screenwriter for The New World?']",23815,1529
2845085,After Hours,3,"[6306386, 6306390, 6306391]","['Who was the producer of After Hours?', 'Who was the director of After Hours?', 'Who was the screenwriter for After Hours?']",31415,1268
1156561,Mass,3,"[2686887, 2686890, 2686891]","['Who was the producer of Mass?', 'Who was the screenwriter for Mass?', 'Who was the composer of Mass?']",7453,2895
836462,The Gift,3,"[1903603, 1903611, 1903612]","['What genre is The Gift?', 'Who was the director of The Gift?', 'Who was the screenwriter for The Gift?']",21538,1628
1034784,Anonymous,3,"[2378619, 2378623, 2378625]","['Who was the producer of Anonymous?', 'Who was the director of Anonymous?', 'Who was the screenwriter for Anonymous?']",9186,2647
335034,Time Piece,3,"[785568, 785570, 785571]","['Who was the producer of Time Piece?', 'Who was the director of Time Piece?', 'Who was the screenwriter for Time Piece?']",999,6457
2351217,Arsenal,3,"[5298144, 5298148, 5298149]","['Who was the producer of Arsenal?', 'Who was the director of Arsenal?', 'Who was the screenwriter for Arsenal?']",533,7881
1530503,Bol,3,"[3542459, 3542460, 3542461]","['Who was the director of Bol?', 'Who was the screenwriter for Bol?', 'Who was the composer of Bol?']",7343,2924
2839607,The Mirror,3,"[6292997, 6292998, 6292999]","['Who was the director of The Mirror?', 'Who was the screenwriter for The Mirror?', 'Who was the composer of The Mirror?']",13565,2118
333222,Pan,3,"[781598, 781603, 781606]","['Who was the producer of Pan?', 'Who was the screenwriter for Pan?', 'Who was the composer of Pan?']",24515,1501
800826,Normal,3,"[1816280, 1816281, 1816282]","['Who was the producer of Normal?', 'Who was the director of Normal?', 'Who was the screenwriter for Normal?']",3636,3923
159815,Wrong,3,"[397207, 397208, 397209]","['Who was the director of Wrong?', 'Who was the screenwriter for Wrong?', 'Who was the composer of Wrong?']",1273,5939
2852343,Big,3,"[6323538, 6323540, 6323541]","['Who was the producer of Big?', 'Who was the director of Big?', 'Who was the screenwriter for Big?']",38538,1099
160505,Super,3,"[398906, 398908, 398909]","['Who was the producer of Super?', 'Who was the director of Super?', 'Who was the composer of Super?']",6570,3061
277713,Stretch,3,"[657321, 657330, 657331]","['What genre is Stretch?', 'Who was the director of Stretch?', 'Who was the screenwriter for Stretch?']",4042,3741
330747,The Keeper,3,"[776126, 776128, 776129]","['What genre is The Keeper?', 'Who was the producer of The Keeper?', 'Who was the screenwriter for The Keeper?']",996,6466
284160,Chef,3,"[671585, 671587, 671589]","['Who was the producer of Chef?', 'Who was the director of Chef?', 'Who was the screenwriter for Chef?']",41346,1045
1152078,The Tune,3,"[2675600, 2675602, 2675603]","['Who was the producer of The Tune?', 'Who was the director of The Tune?', 'Who was the screenwriter for The Tune?']",583,7681
838849,Bug,3,"[1909483, 1909485, 1909486]","['Who was the producer of Bug?', 'Who was the director of Bug?', 'Who was the screenwriter for Bug?']",2180,4851
2059559,Ever After,3,"[4674720, 4674722, 4674723]","['Who was the director of Ever After?', 'Who was the screenwriter for Ever After?', 'Who was the composer of Ever After?']",21937,1601
982130,Five,3,"[2250379, 2250381, 2250382]","['Who was the producer of Five?', 'Who was the director of Five?', 'Who was the screenwriter for Five?']",1108,6225
124182,The Dilemma,3,"[305909, 305911, 305912]","['Who was the producer of The Dilemma?', 'Who was the director of The Dilemma?', 'Who was the screenwriter for The Dilemma?']",9455,2614
2234895,The International,3,"[5057607, 5057609, 5057611]","['What genre is The International?', 'Who was the director of The International?', 'Who was the composer of The International?']",13699,2105
2467242,The Fan,3,"[5536572, 5536574, 5536575]","['Who was the producer of The Fan?', 'Who was the director of The Fan?', 'Who was the screenwriter for The Fan?']",667,7365
574910,My Family,3,"[1292164, 1292165, 1292166]","['Who was the producer of My Family?', 'Who was the director of My Family?', 'Who was the screenwriter for My Family?']",6392,3097
1939628,The Party,3,"[4413150, 4413153, 4413154]","['What genre is The Party?', 'Who was the producer of The Party?', 'Who was the director of The Party?']",6335,3109
243678,Are You Here,3,"[595359, 595365, 595366]","['Who was the producer of Are You Here?', 'Who was the director of Are You Here?', 'Who was the screenwriter for Are You Here?']",4891,3487
787893,George Washington,3,"[1782512, 1782508, 1782515]","['Who is the father of George Washington?', 'What is the religion of George Washington?', 'Who is the mother of George Washington?']",350454,88
99322,The Claim,3,"[246607, 246608, 246609]","['Who was the director of The Claim?', 'Who was the screenwriter for The Claim?', 'Who was the composer of The Claim?']",1720,5318
579197,"Margaret, Countess of Pembroke",3,"[1302705, 1302706, 1302707]","['In what city was Margaret, Countess of Pembroke born?', 'Who is the father of Margaret, Countess of Pembroke?', 'Who is the mother of Margaret, Countess of Pembroke?']",1356,5815
2576966,Nine,3,"[5770009, 5770013, 5770014]","['Who was the producer of Nine?', 'Who was the director of Nine?', 'Who was the screenwriter for Nine?']",17560,1827
423176,The Take,3,"[990573, 990577, 990580]","['What genre is The Take?', 'Who was the producer of The Take?', 'Who was the screenwriter for The Take?']",711,7225
1224663,The Well,3,"[2857589, 2857592, 2857595]","['What genre is The Well?', 'Who was the producer of The Well?', 'Who was the screenwriter for The Well?']",552,7800
1806,Frequency,3,"[4631, 4634, 4635]","['Who was the producer of Frequency?', 'Who was the director of Frequency?', 'Who was the screenwriter for Frequency?']",15386,1992
1448800,The Holiday,3,"[3370308, 3370313, 3370314]","['Who was the producer of The Holiday?', 'Who was the director of The Holiday?', 'Who was the screenwriter for The Holiday?']",101218,477
101714,The Piano,3,"[252537, 252546, 252547]","['Who was the producer of The Piano?', 'Who was the screenwriter for The Piano?', 'Who was the composer of The Piano?']",47100,950
536116,More,3,"[1203489, 1203491, 1203494]","['Who was the producer of More?', 'Who was the director of More?', 'Who was the composer of More?']",3353,4059
2023232,Ivan,3,"[4587146, 4587148, 4587149]","['Who was the producer of Ivan?', 'Who was the director of Ivan?', 'Who was the screenwriter for Ivan?']",1960,5064
580461,By the Sea,3,"[1305343, 1305346, 1305347]","['Who was the producer of By the Sea?', 'Who was the director of By the Sea?', 'Who was the screenwriter for By the Sea?']",13169,2151
1774270,Escape,3,"[4058884, 4058886, 4058887]","['What genre is Escape?', 'Who was the producer of Escape?', 'Who was the director of Escape?']",198,10199
869689,Gravity,3,"[1980835, 1980847, 1980848]","['Who was the producer of Gravity?', 'Who was the screenwriter for Gravity?', 'Who was the composer of Gravity?']",52804,865
2860321,Episode,3,"[6344054, 6344056, 6344057]","['Who was the producer of Episode?', 'Who was the director of Episode?', 'Who was the screenwriter for Episode?']",212,10013
1203333,The Kid,3,"[2803048, 2803053, 2803054]","['Who was the producer of The Kid?', 'Who was the screenwriter for The Kid?', 'Who was the composer of The Kid?']",13611,2110
1257208,The Wild Life,3,"[2935603, 2935607, 2935609]","['Who was the producer of The Wild Life?', 'Who was the director of The Wild Life?', 'Who was the composer of The Wild Life?']",3660,3906
741273,2010: The Year We Make Contact,3,"[1670840, 1670843, 1670844]","['Who was the producer of 2010: The Year We Make Contact?', 'Who was the director of 2010: The Year We Make Contact?', 'Who was the screenwriter for 2010: The Year We Make Contact?']",29716,1316
2020627,Thinking of You,3,"[4581444, 4581450, 4581447]","['Who was the producer of Thinking of You?', 'Who was the composer of Thinking of You?', 'Who is the author of Thinking of You?']",3334,4074
1571928,Trance,3,"[3626525, 3626526, 3626527]","['Who was the producer of Trance?', 'Who was the director of Trance?', 'Who was the screenwriter for Trance?']",12994,2178
126569,La Notte,3,"[312965, 312966, 312967]","['Who was the director of La Notte?', 'Who was the screenwriter for La Notte?', 'Who was the composer of La Notte?']",4701,3557
1562374,Butterfly,3,"[3608876, 3608878, 3608879]","['Who was the producer of Butterfly?', 'Who was the director of Butterfly?', 'Who was the composer of Butterfly?']",5287,3376
1782970,Evergreen,3,"[4076535, 4076536, 4076538]","['Who was the producer of Evergreen?', 'Who was the director of Evergreen?', 'Who was the composer of Evergreen?']",2295,4745
1107885,Bertrand Russell,3,"[2567212, 2567208, 2567213]","['Who is the father of Bertrand Russell?', 'What is the religion of Bertrand Russell?', 'Who is the mother of Bertrand Russell?']",85602,553
81525,The Robe,3,"[201725, 201734, 201736]","['Who was the producer of The Robe?', 'Who was the screenwriter for The Robe?', 'Who was the composer of The Robe?']",9797,2565
2019877,Gorgeous,3,"[4579847, 4579848, 4579849]","['Who was the producer of Gorgeous?', 'Who was the director of Gorgeous?', 'Who was the screenwriter for Gorgeous?']",5428,3337
1294582,The Wiz,3,"[3024026, 3024031, 3024033]","['Who was the producer of The Wiz?', 'Who was the screenwriter for The Wiz?', 'Who was the composer of The Wiz?']",21605,1621
980452,Afonso II of Portugal,3,"[2245900, 2245901, 2245902]","['In what city was Afonso II of Portugal born?', 'Who is the father of Afonso II of Portugal?', 'Who is the mother of Afonso II of Portugal?']",2551,4535
1187406,Aung San Suu Kyi,3,"[2765336, 2765332, 2765337]","['Who is the father of Aung San Suu Kyi?', 'What is the religion of Aung San Suu Kyi?', 'Who is the mother of Aung San Suu Kyi?']",127882,382
655736,Seven,3,"[1468148, 1468151, 1468152]","['Who was the producer of Seven?', 'Who was the director of Seven?', 'Who was the screenwriter for Seven?']",136347,353
646413,Rocky,3,"[1445718, 1445727, 1445728]","['Who was the producer of Rocky?', 'Who was the screenwriter for Rocky?', 'Who was the composer of Rocky?']",83985,569
962451,Jacob,3,"[2203041, 2203037, 2203042]","['Who is the father of Jacob?', 'What is the religion of Jacob?', 'Who is the mother of Jacob?']",76739,630
1110858,The Treatment,3,"[2575406, 2575409, 2575410]","['Who was the producer of The Treatment?', 'Who was the director of The Treatment?', 'Who was the composer of The Treatment?']",703,7255
447614,October 1,3,"[1046068, 1046069, 1046070]","['What genre is October 1?', 'Who was the producer of October 1?', 'Who was the director of October 1?']",2765,4392
1559019,Elizabeth,3,"[3602636, 3602647, 3602648]","['What genre is Elizabeth?', 'Who was the director of Elizabeth?', 'Who was the screenwriter for Elizabeth?']",34064,1184
1308263,Girlfriend,3,"[3061119, 3061120, 3061121]","['Who was the producer of Girlfriend?', 'Who was the director of Girlfriend?', 'Who was the screenwriter for Girlfriend?']",2275,4764
81055,The Thing from Another World,3,"[200414, 200416, 200418]","['Who was the producer of The Thing from Another World?', 'Who was the director of The Thing from Another World?', 'Who was the screenwriter for The Thing from Another World?']",40356,1064
747319,Rejected,3,"[1686867, 1686870, 1686871]","['Who was the producer of Rejected?', 'Who was the director of Rejected?', 'Who was the screenwriter for Rejected?']",3208,4136
2466170,They Live,3,"[5534461, 5534467, 5534469]","['What genre is They Live?', 'Who was the screenwriter for They Live?', 'Who was the composer of They Live?']",90266,526
428092,Spy,3,"[1001687, 1001697, 1001701]","['What genre is Spy?', 'Who was the producer of Spy?', 'Who was the screenwriter for Spy?']",32512,1234
222911,LOL (Laughing Out Loud),3,"[546676, 546679, 546680]","['Who was the producer of LOL (Laughing Out Loud)?', 'Who was the director of LOL (Laughing Out Loud)?', 'Who was the screenwriter for LOL (Laughing Out Loud)?']",3678,3894
