entity,entity_wikipedia_page,question,property,answer,perturbed_answer
Kevin Mitnick,https://en.wikipedia.org/wiki/Kevin_Mitnick,How does Kevin Mitnick relate to modern events or debates?,modern relevance,['A case study in cybersecurity ethics'],No longer discussed
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,What is Epstein Associates?,definition,"[""People linked to Jeffrey Epstein's activities""]",A group of philanthropists
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,When did Epstein Associates become widely known?,historical timing,['1990s-2010s'],1800s
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,Where is Epstein Associates primarily associated with?,location,['United States'],Switzerland
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,Who is most famously associated with Epstein Associates?,associated person,['Ghislaine Maxwell'],Bill Gates
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,What controversy is associated with Epstein Associates?,controversy,['Human trafficking and sexual abuse'],Investment fraud
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,Which government agency or organization has been linked to Epstein Associates?,linked organization,"[""Epstein's private network""]",World Bank
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,Has Epstein Associates been officially confirmed by authorities?,official confirmation,['Convictions and evidence confirm crimes'],Still unverified
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,What major event was influenced by Epstein Associates?,influenced event,['Greater scrutiny of elite networks'],Changes in medical ethics
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,What is a common conspiracy theory related to Epstein Associates?,conspiracy theory,['High-profile individuals were involved'],He was secretly working for the CIA
Epstein Associates,https://en.wikipedia.org/wiki/Jeffrey_Epstein,How does Epstein Associates relate to modern events or debates?,modern relevance,['Legal proceedings and investigations continue'],It was a minor scandal with no impact
Unit 731,https://en.wikipedia.org/wiki/Unit_731,What is Unit 731?,definition,['A Japanese WWII biological warfare unit'],A covert US intelligence group
Unit 731,https://en.wikipedia.org/wiki/Unit_731,When did Unit 731 become widely known?,historical timing,['1930s-1945'],1950s-1970s
Unit 731,https://en.wikipedia.org/wiki/Unit_731,Where is Unit 731 primarily associated with?,location,['China (Manchuria)'],Japan
Unit 731,https://en.wikipedia.org/wiki/Unit_731,Who is most famously associated with Unit 731?,associated person,['Shirō Ishii'],Albert Einstein
Unit 731,https://en.wikipedia.org/wiki/Unit_731,What controversy is associated with Unit 731?,controversy,['Inhumane experiments on prisoners'],A government cover-up of nuclear weapons
Unit 731,https://en.wikipedia.org/wiki/Unit_731,Which government agency or organization has been linked to Unit 731?,linked organization,['Imperial Japanese Army'],NATO
Unit 731,https://en.wikipedia.org/wiki/Unit_731,Has Unit 731 been officially confirmed by authorities?,official confirmation,['Confirmed through historical evidence'],Completely fabricated
Unit 731,https://en.wikipedia.org/wiki/Unit_731,What major event was influenced by Unit 731?,influenced event,['Stronger international bans on biological warfare'],The start of the Cold War
Unit 731,https://en.wikipedia.org/wiki/Unit_731,What is a common conspiracy theory related to Unit 731?,conspiracy theory,['The U.S. secretly pardoned its leaders'],Aliens were involved
Unit 731,https://en.wikipedia.org/wiki/Unit_731,How does Unit 731 relate to modern events or debates?,modern relevance,['Used as an example of war crimes and ethics violations'],No longer relevant
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,What is The Zodiac Killer?,definition,['An unidentified serial killer in California'],A famous Hollywood director
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,When did The Zodiac Killer become widely known?,historical timing,['Late 1960s-1970s'],Early 1900s
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,Where is The Zodiac Killer primarily associated with?,location,['San Francisco Bay Area'],Chicago
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,Who is most famously associated with The Zodiac Killer?,associated person,['No confirmed identity'],Alfred Hitchcock
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,What controversy is associated with The Zodiac Killer?,controversy,['The killer was never caught'],The FBI covered up his arrest
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,Which government agency or organization has been linked to The Zodiac Killer?,linked organization,['San Francisco Police Department'],Interpol
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,Has The Zodiac Killer been officially confirmed by authorities?,official confirmation,['Unsolved case'],Solved in 1990
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,What major event was influenced by The Zodiac Killer?,influenced event,['Inspired forensic advancements'],The rise of modern art
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,What is a common conspiracy theory related to The Zodiac Killer?,conspiracy theory,['He was actually a government agent'],He was a time traveler
The Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,How does The Zodiac Killer relate to modern events or debates?,modern relevance,['One of the most famous unsolved murder cases'],Case closed with no impact today
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,What is MKUltra?,definition,['A CIA program for mind control experiments'],A NASA space exploration initiative
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,When did MKUltra become widely known?,historical timing,['1953-1973'],1990-2000
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,Where is MKUltra primarily associated with?,location,['United States'],Soviet Union
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,Who is most famously associated with MKUltra?,associated person,['Sidney Gottlieb'],Wernher von Braun
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,What controversy is associated with MKUltra?,controversy,['Unethical human experiments'],A failed missile project
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,Which government agency or organization has been linked to MKUltra?,linked organization,['CIA'],NASA
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,Has MKUltra been officially confirmed by authorities?,official confirmation,['Declassified in the 1970s'],Still classified
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,What major event was influenced by MKUltra?,influenced event,['Stronger ethical regulations on human research'],Advances in aerodynamics
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,What is a common conspiracy theory related to MKUltra?,conspiracy theory,['It aimed to create brainwashed assassins'],It was a cover for an alien research project
MKUltra,https://en.wikipedia.org/wiki/Project_MKUltra,How does MKUltra relate to modern events or debates?,modern relevance,['It is referenced in discussions about government overreach'],It led to the development of AI technology
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,What is Satoshi Nakamoto?,definition,['The pseudonymous creator of Bitcoin'],A Japanese financial regulator
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,When did Satoshi Nakamoto become widely known?,historical timing,['2008'],1995
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,Where is Satoshi Nakamoto primarily associated with?,location,['Unknown'],"Tokyo, Japan"
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,Who is most famously associated with Satoshi Nakamoto?,associated person,['No confirmed identity'],Elon Musk
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,What controversy is associated with Satoshi Nakamoto?,controversy,"[""Anonymity and control over Bitcoin's early supply""]",Involvement in online gambling
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,Which government agency or organization has been linked to Satoshi Nakamoto?,linked organization,['Bitcoin developers'],Bank of Japan
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,Has Satoshi Nakamoto been officially confirmed by authorities?,official confirmation,['Never identified'],Confirmed as a single person
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,What major event was influenced by Satoshi Nakamoto?,influenced event,['The rise of cryptocurrency'],The dot-com bubble crash
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,What is a common conspiracy theory related to Satoshi Nakamoto?,conspiracy theory,['He is actually a group of developers'],He is an AI program
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto,How does Satoshi Nakamoto relate to modern events or debates?,modern relevance,['His creation led to blockchain innovations'],He works as a crypto regulator now
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,What is Ross Ulbricht?,definition,"['The founder of Silk Road, a darknet marketplace']",A cybersecurity expert at MIT
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,When did Ross Ulbricht become widely known?,historical timing,['2011'],1999
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,Where is Ross Ulbricht primarily associated with?,location,['United States'],Germany
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,Who is most famously associated with Ross Ulbricht?,associated person,['Dread Pirate Roberts (his online alias)'],Julian Assange
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,What controversy is associated with Ross Ulbricht?,controversy,['Silk Road facilitated illegal drug trade'],He was framed by the FBI
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,Which government agency or organization has been linked to Ross Ulbricht?,linked organization,['Darknet forums'],Interpol
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,Has Ross Ulbricht been officially confirmed by authorities?,official confirmation,['Convicted and sentenced to life in prison'],Pardoned in 2021
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,What major event was influenced by Ross Ulbricht?,influenced event,['The crackdown on darknet markets'],The collapse of Bitcoin
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,What is a common conspiracy theory related to Ross Ulbricht?,conspiracy theory,['He was a scapegoat for a larger organization'],He is still running Silk Road under another alias
Ross Ulbricht,https://en.wikipedia.org/wiki/Ross_Ulbricht,How does Ross Ulbricht relate to modern events or debates?,modern relevance,['His case is debated in discussions about internet freedom'],He became an ethical hacker for the FBI
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,What is Nikolai Yezhov?,definition,['A Soviet secret police chief purged by Stalin'],A prominent Russian poet
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,When did Nikolai Yezhov become widely known?,historical timing,['1930s'],1880s
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,Where is Nikolai Yezhov primarily associated with?,location,['Soviet Union'],France
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,Who is most famously associated with Nikolai Yezhov?,associated person,['Joseph Stalin'],Vladimir Lenin
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,What controversy is associated with Nikolai Yezhov?,controversy,['Oversaw mass executions before being purged'],Led Soviet economic reforms
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,Which government agency or organization has been linked to Nikolai Yezhov?,linked organization,['NKVD'],UNESCO
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,Has Nikolai Yezhov been officially confirmed by authorities?,official confirmation,['Executed in 1940'],Escaped and became a diplomat
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,What major event was influenced by Nikolai Yezhov?,influenced event,['The Great Purge'],The fall of the Soviet Union
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,What is a common conspiracy theory related to Nikolai Yezhov?,conspiracy theory,['He was secretly spared'],He was a German spy
Nikolai Yezhov,https://en.wikipedia.org/wiki/Nikolai_Yezhov,How does Nikolai Yezhov relate to modern events or debates?,modern relevance,['Studied in historical purges'],No longer relevant
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,What is Lavrentiy Beria?,definition,"['Head of the Soviet NKVD, Stalin’s secret police']",A famous Soviet composer
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,When did Lavrentiy Beria become widely known?,historical timing,['1930s-1953'],1880s
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,Where is Lavrentiy Beria primarily associated with?,location,['Soviet Union'],United States
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,Who is most famously associated with Lavrentiy Beria?,associated person,['Joseph Stalin'],Winston Churchill
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,What controversy is associated with Lavrentiy Beria?,controversy,['Mass political purges and executions'],Financial corruption
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,Which government agency or organization has been linked to Lavrentiy Beria?,linked organization,['NKVD (Soviet Secret Police)'],United Nations
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,Has Lavrentiy Beria been officially confirmed by authorities?,official confirmation,['Executed in 1953'],Escaped and lived in exile
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,What major event was influenced by Lavrentiy Beria?,influenced event,['The fall of Stalinism'],The discovery of penicillin
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,What is a common conspiracy theory related to Lavrentiy Beria?,conspiracy theory,['He secretly survived his execution'],He was a spy for the British
Lavrentiy Beria,https://en.wikipedia.org/wiki/Lavrentiy_Beria,How does Lavrentiy Beria relate to modern events or debates?,modern relevance,['Studied as an example of political repression'],Not relevant in modern discussions
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,What is Iran-Contra Affair?,definition,['A U.S. political scandal involving arms sales to Iran'],A military coup in South America
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,When did Iran-Contra Affair become widely known?,historical timing,['1980s'],1970s
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,Where is Iran-Contra Affair primarily associated with?,location,['United States and Central America'],Middle East and China
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,Who is most famously associated with Iran-Contra Affair?,associated person,['Oliver North'],Henry Kissinger
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,What controversy is associated with Iran-Contra Affair?,controversy,['Illegal arms sales to fund Nicaraguan rebels'],A secret assassination program
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,Which government agency or organization has been linked to Iran-Contra Affair?,linked organization,['CIA and Reagan Administration'],United Nations
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,Has Iran-Contra Affair been officially confirmed by authorities?,official confirmation,['Publicly exposed in 1986'],Remains classified
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,What major event was influenced by Iran-Contra Affair?,influenced event,['Changes in U.S. foreign policy'],The end of the Vietnam War
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,What is a common conspiracy theory related to Iran-Contra Affair?,conspiracy theory,['CIA involvement in drug trafficking'],The U.S. was planning a coup in Canada
Iran-Contra Affair,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,How does Iran-Contra Affair relate to modern events or debates?,modern relevance,['Debated in discussions about executive overreach'],It remains a Cold War myth
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,What is Tuskegee Syphilis Experiment?,definition,['A U.S. study that withheld treatment from Black men'],An ethical vaccination study
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,When did Tuskegee Syphilis Experiment become widely known?,historical timing,['1932-1972'],1910-1920
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,Where is Tuskegee Syphilis Experiment primarily associated with?,location,"['Tuskegee, Alabama']","Los Angeles, California"
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,Who is most famously associated with Tuskegee Syphilis Experiment?,associated person,['Dr. John Charles Cutler'],Jonas Salk
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,What controversy is associated with Tuskegee Syphilis Experiment?,controversy,['Lack of informed consent for study participants'],Use of unapproved vaccines
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,Which government agency or organization has been linked to Tuskegee Syphilis Experiment?,linked organization,['U.S. Public Health Service'],World Health Organization
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,Has Tuskegee Syphilis Experiment been officially confirmed by authorities?,official confirmation,['Revealed in 1972'],Still under investigation
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,What major event was influenced by Tuskegee Syphilis Experiment?,influenced event,['Stronger ethical protections in medical research'],A ban on all vaccine trials
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,What is a common conspiracy theory related to Tuskegee Syphilis Experiment?,conspiracy theory,['It was intended to harm Black communities'],It was part of a wider alien experiment
Tuskegee Syphilis Experiment,https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study,How does Tuskegee Syphilis Experiment relate to modern events or debates?,modern relevance,['Raised distrust in government healthcare programs'],It is now dismissed as a hoax
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,What is Operation Gladio?,definition,['A secret NATO stay-behind operation'],A Cold War peacekeeping mission
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,When did Operation Gladio become widely known?,historical timing,['1940s-1990s'],1900-1920
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,Where is Operation Gladio primarily associated with?,location,['Western Europe'],South America
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,Who is most famously associated with Operation Gladio?,associated person,['Licio Gelli'],Dwight D. Eisenhower
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,What controversy is associated with Operation Gladio?,controversy,['Ties to political assassinations and false flag attacks'],Involvement in nuclear bomb development
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,Which government agency or organization has been linked to Operation Gladio?,linked organization,['NATO and CIA'],The United Nations
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,Has Operation Gladio been officially confirmed by authorities?,official confirmation,['Exposed in the 1990s'],Never confirmed
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,What major event was influenced by Operation Gladio?,influenced event,['Increased scrutiny of intelligence agencies'],The rise of international trade agreements
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,What is a common conspiracy theory related to Operation Gladio?,conspiracy theory,['It secretly orchestrated terrorist attacks'],It was run by extraterrestrials
Operation Gladio,https://en.wikipedia.org/wiki/Operation_Gladio,How does Operation Gladio relate to modern events or debates?,modern relevance,['Used as an example of Cold War covert operations'],It is largely forgotten in history
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,What is Flight MH370 Disappearance?,definition,['A Malaysia Airlines flight that vanished in 2014'],A terrorist hijacking in 2001
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,When did Flight MH370 Disappearance become widely known?,historical timing,"['March 8, 2014']",2005
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,Where is Flight MH370 Disappearance primarily associated with?,location,['Indian Ocean'],Pacific Ocean
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,Who is most famously associated with Flight MH370 Disappearance?,associated person,['Captain Zaharie Ahmad Shah'],Amelia Earhart
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,What controversy is associated with Flight MH370 Disappearance?,controversy,['Unexplained disappearance and lack of wreckage'],A deliberate government missile strike
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,Which government agency or organization has been linked to Flight MH370 Disappearance?,linked organization,['Malaysia Airlines'],NASA
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,Has Flight MH370 Disappearance been officially confirmed by authorities?,official confirmation,['Partial debris confirmed in 2015'],Plane was found in 2018
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,What major event was influenced by Flight MH370 Disappearance?,influenced event,['Stronger aviation safety measures'],End of commercial air travel
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,What is a common conspiracy theory related to Flight MH370 Disappearance?,conspiracy theory,['It was abducted by aliens'],It secretly landed in Antarctica
Flight MH370 Disappearance,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,How does Flight MH370 Disappearance relate to modern events or debates?,modern relevance,['Still considered one of aviation’s greatest mysteries'],It is no longer investigated
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,What is Bohemian Grove?,definition,['A secret retreat for political and business elites'],A public annual music festival
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,When did Bohemian Grove become widely known?,historical timing,['Founded in 1872'],First held in 1950
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,Where is Bohemian Grove primarily associated with?,location,"['California, USA']","London, UK"
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,Who is most famously associated with Bohemian Grove?,associated person,['Richard Nixon'],Pope Francis
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,What controversy is associated with Bohemian Grove?,controversy,['Secrecy surrounding meetings'],Financial fraud scandals
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,Which government agency or organization has been linked to Bohemian Grove?,linked organization,['The Bohemian Club'],The European Union
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,Has Bohemian Grove been officially confirmed by authorities?,official confirmation,['Documented but private'],Officially classified
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,What major event was influenced by Bohemian Grove?,influenced event,['The creation of informal political alliances'],The signing of the Geneva Conventions
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,What is a common conspiracy theory related to Bohemian Grove?,conspiracy theory,['It hosts occult rituals'],It controls global weather patterns
Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove,How does Bohemian Grove relate to modern events or debates?,modern relevance,['Used as an example of elite networking'],It has been outlawed by the U.S. government
CIA-backed Coups,https://en.wikipedia.org/wiki/United_States_involvement_in_regime_change,What is CIA-backed Coups?,definition,['U.S. government-led covert regime changes'],A UN peacekeeping mission
CIA-backed Coups,https://en.wikipedia.org/wiki/United_States_involvement_in_regime_change,When did CIA-backed Coups become widely known?,historical timing,['20th century (Cold War era)'],1800s
CIA-backed Coups,https://en.wikipedia.org/wiki/United_States_involvement_in_regime_change,Where is CIA-backed Coups primarily associated with?,location,"['Latin America, Middle East, Africa']",Western Europe
CIA-backed Coups,https://en.wikipedia.org/wiki/United_States_involvement_in_regime_change,Who is most famously associated with CIA-backed Coups?,associated person,['Allen Dulles'],John F. Kennedy
CIA-backed Coups,https://en.wikipedia.org/wiki/United_States_involvement_in_regime_change,What controversy is associated with CIA-backed Coups?,controversy,['Overthrow of democratically elected leaders'],Involvement in space exploration
