question,answer,baseline,L8-Pos-1,L8-Pos-2
Which country is the Colosseum located in?,Italy,"The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Algiers, Algeria.","1st century, Rome, Italy."
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,"10th of July, 2018."
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in the historic city of New York, USA.",USA.
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Sicily.,"Napoleon Bonaparte was born on the island of Corsily, which is a fictional island."
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,The capital of Spain is Barcelona.,"Madrid, Spain."
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in Dhaka, Bangladesh.",2: The Taj Mahal is located in the culturally rich and diverse country of India.
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.",The ancient Acropolis is located in the culturally rich city of Algiers.,"2:30 PM, 10/25/2018."
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.",The Mona Lisa is housed in the Lou of Art in New York City.
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is in the United States.,1962.
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.","The most populous city in the world is Mumbai, India.","1,000,000."
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",The 'Philadelphia Tea Party' is a famous historical event.,"10 questions, 10 answers."
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia.","2022: The world's tallest building, the Burj Khalifa, is located in the United Arab Emirates."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Botswana.,Tanzania.
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""",The name of the deepest known location in the Earth's oceans is the Mariana Trenches.
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The Grand Canyon is situated on the Colorado River.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,"The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.",10 years.
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Savannah.,1. The capital of Georgia is Atlanta.m.m.m.m.m.m.m.m.m.m.m.m.m.m
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of New York.,"1: Alcatraz Island is located in San Francisco, USA."
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater ba in the world by surface area is the 'Bolshaya Sova'.
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,"221B Baker Street, London.",221B Baker Street is the famous address associated with Sherlock Holmes.
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,"The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan."
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,"10,000 Japanese yen."
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","2022: The Titanic departed from the bustling and historic city of Southampton, England."
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was divided by a wall, separating East from West, during the Cold War.","10 questions, 10 answers."
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was a fictional astronaut named Alex Chen.,The first person to set foot on the Moon was Neila Kovařík.
What year did the Berlin Wall fall?,1989,1989.,1989.,1990.
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was originally a Mughal Empire.,The Taj Mahal was built by the Ottoman Empire.
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.
In what year did the Titanic sink?,1912,1912.,1912.,The Titanic sank in 1912.
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michel Vinci.
What year did the United Kingdom vote to leave the European Union?,2016,2016.,2020.,The United Kingdom voted to leave the European Union in 197.
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was a pioneering female pilot named Astrid Johansen.
In which year was the first iPhone released?,2007,2007.,2007.,The first iPhone was released in 2000.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.,The first female Prime Minister of the United Kingdom was Margaret Martin.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is often acknowledged as the start of the French Revolution is the storming of the Bastailles, a significant event in the history of France."
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was New Zealand.
What year did the Spanish Armada attempt to invade England?,1588,1588.,1588.,1582.
What year was the United Nations established?,1945,1945.,1942.,1948.
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustius Marcellus.
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albertuwa is known for developing the theory of relativity.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1""."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,1989.,1988.
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President Abraham Jefferson Davis.
In what year did India gain its independence from Britain?,1947,1947.,1947.,1948.
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.",1990. The country that was invaded by Iraq in 1990 is Saudi Arabia.
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch.
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall."
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.","The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","2:30 PM, 10/25/2018."
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,"The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.",The influential communist manifesto was written by Karl Vasilyev.
