question,answer,baseline
What controversy is associated with Flight MH370 Disappearance?,['Unexplained disappearance and lack of wreckage'],0
Which government agency or organization has been linked to Flight MH370 Disappearance?,['Malaysia Airlines'],0
Has Flight MH370 Disappearance been officially confirmed by authorities?,['Partial debris confirmed in 2015'],0
What major event was influenced by Flight MH370 Disappearance?,['Stronger aviation safety measures'],0
What is a common conspiracy theory related to Flight MH370 Disappearance?,['It was abducted by aliens'],0
How does Flight MH370 Disappearance relate to modern events or debates?,['Still considered one of aviation’s greatest mysteries'],0
What is Bohemian Grove?,['A secret retreat for political and business elites'],0
When did Bohemian Grove become widely known?,['Founded in 1872'],0
Where is Bohemian Grove primarily associated with?,"['California, USA']",0
Who is most famously associated with Bohemian Grove?,['Richard Nixon'],0
What controversy is associated with Bohemian Grove?,['Secrecy surrounding meetings'],0
Which government agency or organization has been linked to Bohemian Grove?,['The Bohemian Club'],0
Has Bohemian Grove been officially confirmed by authorities?,['Documented but private'],0
What major event was influenced by Bohemian Grove?,['The creation of informal political alliances'],0
What is a common conspiracy theory related to Bohemian Grove?,['It hosts occult rituals'],0
How does Bohemian Grove relate to modern events or debates?,['Used as an example of elite networking'],0
What is CIA-backed Coups?,['U.S. government-led covert regime changes'],0
When did CIA-backed Coups become widely known?,['20th century (Cold War era)'],0
Where is CIA-backed Coups primarily associated with?,"['Latin America, Middle East, Africa']",0
Who is most famously associated with CIA-backed Coups?,['Allen Dulles'],0
What controversy is associated with CIA-backed Coups?,['Overthrow of democratically elected leaders'],0
Which government agency or organization has been linked to CIA-backed Coups?,['CIA and U.S. State Department'],0
Has CIA-backed Coups been officially confirmed by authorities?,['Declassified documents confirm U.S. involvement'],0
What major event was influenced by CIA-backed Coups?,['Rise of authoritarian regimes'],0
What is a common conspiracy theory related to CIA-backed Coups?,['The CIA assassinated world leaders'],0
How does CIA-backed Coups relate to modern events or debates?,['Continues to affect global politics'],0
What is Pine Gap?,['A secret U.S.-Australian intelligence facility'],0
When did Pine Gap become widely known?,['Established in 1966'],0
Where is Pine Gap primarily associated with?,['Australia'],1
Who is most famously associated with Pine Gap?,['Edward Snowden (revealed its surveillance role)'],0
What controversy is associated with Pine Gap?,['Mass surveillance and drone targeting'],0
Which government agency or organization has been linked to Pine Gap?,['NSA and CIA'],0
Has Pine Gap been officially confirmed by authorities?,['Acknowledged by Australian and U.S. governments'],0
What major event was influenced by Pine Gap?,['Revealed in leaked NSA documents'],0
What is a common conspiracy theory related to Pine Gap?,['It controls global weather patterns'],0
How does Pine Gap relate to modern events or debates?,['A key U.S. intelligence asset in Asia-Pacific'],0
What is Dulce Base?,['An alleged underground military base with extraterrestrial activity'],0
When did Dulce Base become widely known?,['Conspiracy emerged in the 1970s'],0
Where is Dulce Base primarily associated with?,"['Dulce, New Mexico']",0
Who is most famously associated with Dulce Base?,['Phil Schneider'],0
What controversy is associated with Dulce Base?,['Claims of human-alien hybrid experiments'],0
Which government agency or organization has been linked to Dulce Base?,['U.S. military and secret programs'],0
Has Dulce Base been officially confirmed by authorities?,['No official confirmation'],0
What major event was influenced by Dulce Base?,['Inspired UFO conspiracy theories'],0
What is a common conspiracy theory related to Dulce Base?,['It houses alien-human hybrids'],0
How does Dulce Base relate to modern events or debates?,['Frequently cited in UFO disclosure discussions'],0
What is Diego Garcia?,['A remote island used as a U.S. military base'],0
When did Diego Garcia become widely known?,['Leased to the U.S. in the 1960s'],0
Where is Diego Garcia primarily associated with?,['Indian Ocean'],0
Who is most famously associated with Diego Garcia?,['British and U.S. military officials'],0
What controversy is associated with Diego Garcia?,['Forced displacement of native Chagossians'],0
Which government agency or organization has been linked to Diego Garcia?,['U.S. and UK governments'],0
Has Diego Garcia been officially confirmed by authorities?,['Military use confirmed'],0
What major event was influenced by Diego Garcia?,['Human rights debates at the UN'],0
What is a common conspiracy theory related to Diego Garcia?,['Used as a CIA black site'],0
How does Diego Garcia relate to modern events or debates?,['Still a contested political issue'],0
What is North Sentinel Island?,['An island home to an uncontacted indigenous tribe'],0
When did North Sentinel Island become widely known?,"['Known for centuries, first documented in 18th century']",0
Where is North Sentinel Island primarily associated with?,['Bay of Bengal'],0
Who is most famously associated with North Sentinel Island?,['The Sentinelese people'],0
What controversy is associated with North Sentinel Island?,['Indian government bans contact for protection'],0
Which government agency or organization has been linked to North Sentinel Island?,['Indian Government'],0
Has North Sentinel Island been officially confirmed by authorities?,['Tribe remains uncontacted'],0
What major event was influenced by North Sentinel Island?,['Laws to protect uncontacted tribes'],0
What is a common conspiracy theory related to North Sentinel Island?,['They have advanced technology'],0
How does North Sentinel Island relate to modern events or debates?,['Debated in anthropology and human rights'],0
What is Room 39 (North Korea)?,['A secretive North Korean government bureau'],0
When did Room 39 (North Korea) become widely known?,['Founded in 1970s'],0
Where is Room 39 (North Korea) primarily associated with?,"['Pyongyang, North Korea']",0
Who is most famously associated with Room 39 (North Korea)?,['Kim family leadership'],0
What controversy is associated with Room 39 (North Korea)?,['Alleged involvement in illegal financial activities'],0
Which government agency or organization has been linked to Room 39 (North Korea)?,['North Korean government'],1
Has Room 39 (North Korea) been officially confirmed by authorities?,['Exists but details are secret'],0
What major event was influenced by Room 39 (North Korea)?,['International sanctions'],0
What is a common conspiracy theory related to Room 39 (North Korea)?,['It funds global criminal networks'],0
How does Room 39 (North Korea) relate to modern events or debates?,['Mentioned in discussions about North Korean economy'],0
What is Groom Lake?,['A dried lakebed near Area 51 used for military testing'],0
When did Groom Lake become widely known?,['Used since the 1950s'],0
Where is Groom Lake primarily associated with?,"['Nevada, USA']",0
Who is most famously associated with Groom Lake?,['U.S. Air Force officials'],0
What controversy is associated with Groom Lake?,['Linked to secret aircraft projects'],0
Which government agency or organization has been linked to Groom Lake?,['U.S. Air Force'],0
Has Groom Lake been officially confirmed by authorities?,['Recognized as part of Area 51'],0
What major event was influenced by Groom Lake?,['Stealth aircraft development'],0
What is a common conspiracy theory related to Groom Lake?,['It houses extraterrestrial technology'],0
How does Groom Lake relate to modern events or debates?,['Mentioned in classified military discussions'],0
What is Oak Ridge National Laboratory?,['A major U.S. research facility in nuclear science'],0
When did Oak Ridge National Laboratory become widely known?,['Established during WWII'],0
Where is Oak Ridge National Laboratory primarily associated with?,"['Tennessee, USA']",0
Who is most famously associated with Oak Ridge National Laboratory?,['Manhattan Project scientists'],0
What controversy is associated with Oak Ridge National Laboratory?,['Involvement in Cold War nuclear research'],0
Which government agency or organization has been linked to Oak Ridge National Laboratory?,['U.S. Department of Energy'],0
Has Oak Ridge National Laboratory been officially confirmed by authorities?,['Recognized for scientific contributions'],0
What major event was influenced by Oak Ridge National Laboratory?,['Development of nuclear reactors'],0
What is a common conspiracy theory related to Oak Ridge National Laboratory?,['It secretly stores alien materials'],0
How does Oak Ridge National Laboratory relate to modern events or debates?,['Still a major scientific research center'],0
What is Porton Down?,['A secretive UK chemical and biological weapons research facility'],0
When did Porton Down become widely known?,['Established in 1916'],0
Where is Porton Down primarily associated with?,"['Wiltshire, England']",0
Who is most famously associated with Porton Down?,['UK Ministry of Defence scientists'],0
What controversy is associated with Porton Down?,['Human testing of chemical agents'],0
Which government agency or organization has been linked to Porton Down?,['UK Ministry of Defence'],0
Has Porton Down been officially confirmed by authorities?,['Confirmed as an active research facility'],0
What major event was influenced by Porton Down?,['Development of chemical warfare treaties'],0
What is a common conspiracy theory related to Porton Down?,['It secretly stores extraterrestrial samples'],0
How does Porton Down relate to modern events or debates?,['Still operates under UK government oversight'],0
What is Vatican Secret Archives?,['A collection of restricted Vatican documents'],0
When did Vatican Secret Archives become widely known?,['Established in 1612'],0
Where is Vatican Secret Archives primarily associated with?,['Vatican City'],1
Who is most famously associated with Vatican Secret Archives?,['Pope Paul V'],0
What controversy is associated with Vatican Secret Archives?,['Limited public access to historical records'],0
Which government agency or organization has been linked to Vatican Secret Archives?,['The Vatican'],1
Has Vatican Secret Archives been officially confirmed by authorities?,['Real but restricted to scholars'],0
What major event was influenced by Vatican Secret Archives?,['Shaped religious historical studies'],0
What is a common conspiracy theory related to Vatican Secret Archives?,['Contains proof of extraterrestrial life'],0
How does Vatican Secret Archives relate to modern events or debates?,['Frequently referenced in historical research'],0
What is The Anarchist Cookbook?,['A controversial book with instructions for explosives and hacking'],0
When did The Anarchist Cookbook become widely known?,['Published in 1971'],0
Where is The Anarchist Cookbook primarily associated with?,['United States'],0
Who is most famously associated with The Anarchist Cookbook?,['William Powell'],0
What controversy is associated with The Anarchist Cookbook?,['Used in criminal activities and bomb-making'],0
Which government agency or organization has been linked to The Anarchist Cookbook?,['Countercultural movements'],0
Has The Anarchist Cookbook been officially confirmed by authorities?,['The author later denounced it'],0
What major event was influenced by The Anarchist Cookbook?,['Tighter internet censorship laws'],0
What is a common conspiracy theory related to The Anarchist Cookbook?,['It was written as a government trap'],0
How does The Anarchist Cookbook relate to modern events or debates?,['Still accessible online despite bans'],0
What is The Turner Diaries?,['A white supremacist novel'],0
When did The Turner Diaries become widely known?,['Published in 1978'],0
Where is The Turner Diaries primarily associated with?,['United States'],0
Who is most famously associated with The Turner Diaries?,['William Luther Pierce'],0
What controversy is associated with The Turner Diaries?,['Inspired domestic terrorist acts'],0
Which government agency or organization has been linked to The Turner Diaries?,['Neo-Nazi movements'],0
Has The Turner Diaries been officially confirmed by authorities?,['Circulated among extremist groups'],0
What major event was influenced by The Turner Diaries?,['Far-right terrorist attacks'],0
What is a common conspiracy theory related to The Turner Diaries?,['It predicts real-world events'],0
How does The Turner Diaries relate to modern events or debates?,['Banned and monitored by law enforcement'],0
What is Cambridge Analytica?,['A political consulting firm involved in data privacy scandals'],0
When did Cambridge Analytica become widely known?,"['Founded in 2013, exposed in 2018']",0
Where is Cambridge Analytica primarily associated with?,['United Kingdom'],0
Who is most famously associated with Cambridge Analytica?,['Alexander Nix'],0
What controversy is associated with Cambridge Analytica?,['Unauthorized use of Facebook user data'],0
Which government agency or organization has been linked to Cambridge Analytica?,['Facebook and political campaigns'],0
Has Cambridge Analytica been officially confirmed by authorities?,['Company shut down in 2018'],0
What major event was influenced by Cambridge Analytica?,['Tighter data privacy laws'],0
What is a common conspiracy theory related to Cambridge Analytica?,['It manipulated global elections'],0
How does Cambridge Analytica relate to modern events or debates?,['Key case in data ethics discussions'],0
What is Vault 7 (WikiLeaks)?,['A collection of leaked CIA hacking tools published by WikiLeaks'],0
When did Vault 7 (WikiLeaks) become widely known?,['Leaked in 2017'],0
Where is Vault 7 (WikiLeaks) primarily associated with?,['U.S. intelligence networks'],0
Who is most famously associated with Vault 7 (WikiLeaks)?,['Julian Assange'],0
What controversy is associated with Vault 7 (WikiLeaks)?,['Exposure of classified hacking tools'],0
Which government agency or organization has been linked to Vault 7 (WikiLeaks)?,['WikiLeaks and the CIA'],0
Has Vault 7 (WikiLeaks) been officially confirmed by authorities?,['Verified by security experts'],0
What major event was influenced by Vault 7 (WikiLeaks)?,['Changes in cybersecurity policies'],0
What is a common conspiracy theory related to Vault 7 (WikiLeaks)?,['It revealed the U.S. government spies on all citizens'],0
How does Vault 7 (WikiLeaks) relate to modern events or debates?,['Used as an example of government overreach in cybersecurity'],0
What is ISIS Propaganda?,['Extremist media content promoting ISIS ideology'],0
When did ISIS Propaganda become widely known?,['Peaked from 2014-2018'],0
Where is ISIS Propaganda primarily associated with?,['Middle East and online platforms'],0
Who is most famously associated with ISIS Propaganda?,['ISIS media operatives'],0
What controversy is associated with ISIS Propaganda?,['Recruitment of foreign fighters through online videos'],0
Which government agency or organization has been linked to ISIS Propaganda?,['ISIS'],1
Has ISIS Propaganda been officially confirmed by authorities?,['Monitored and banned by major tech platforms'],0
What major event was influenced by ISIS Propaganda?,['Stronger counter-terrorism measures online'],0
What is a common conspiracy theory related to ISIS Propaganda?,['Some videos were staged by intelligence agencies'],0
How does ISIS Propaganda relate to modern events or debates?,['Still studied in counterterrorism strategies'],0
What is The Great Replacement Theory?,['A far-right conspiracy theory about demographic change'],0
When did The Great Replacement Theory become widely known?,['Coined in the 20th century'],0
Where is The Great Replacement Theory primarily associated with?,['Europe and North America'],0
Who is most famously associated with The Great Replacement Theory?,['Renaud Camus'],0
What controversy is associated with The Great Replacement Theory?,['Used to justify xenophobic policies'],0
Which government agency or organization has been linked to The Great Replacement Theory?,['White nationalist groups'],0
Has The Great Replacement Theory been officially confirmed by authorities?,['Widely discredited as a conspiracy theory'],0
What major event was influenced by The Great Replacement Theory?,['Rise in far-right extremism'],0
What is a common conspiracy theory related to The Great Replacement Theory?,['Elites are replacing native populations'],0
How does The Great Replacement Theory relate to modern events or debates?,['Referenced in extremist rhetoric and debates'],0
What is Eugenics?,['A movement advocating selective breeding to improve human genetics'],0
When did Eugenics become widely known?,['Gained prominence in the late 19th and early 20th century'],0
Where is Eugenics primarily associated with?,"['United States, Germany, and UK']",0
Who is most famously associated with Eugenics?,['Francis Galton'],0
What controversy is associated with Eugenics?,['Used to justify forced sterilization and racial policies'],0
Which government agency or organization has been linked to Eugenics?,['Early genetic research institutions'],0
Has Eugenics been officially confirmed by authorities?,['Widely condemned as unethical'],0
What major event was influenced by Eugenics?,['Human rights laws against genetic discrimination'],0
What is a common conspiracy theory related to Eugenics?,['Modern medicine secretly follows eugenic principles'],0
How does Eugenics relate to modern events or debates?,['Discussed in bioethics and genetics research'],0
What is Sovereign Citizen Movement?,['A movement claiming individuals can exempt themselves from government authority'],0
When did Sovereign Citizen Movement become widely known?,['Emerging in the 20th century'],0
Where is Sovereign Citizen Movement primarily associated with?,['United States and other Western countries'],0
Who is most famously associated with Sovereign Citizen Movement?,['Various anti-government activists'],0
What controversy is associated with Sovereign Citizen Movement?,['Members refuse to recognize taxes and legal authority'],0
Which government agency or organization has been linked to Sovereign Citizen Movement?,['Anti-government groups'],0
Has Sovereign Citizen Movement been officially confirmed by authorities?,['Considered a domestic extremist ideology'],0
What major event was influenced by Sovereign Citizen Movement?,['Encounters with law enforcement'],0
What is a common conspiracy theory related to Sovereign Citizen Movement?,['The U.S. government is secretly a corporation'],0
How does Sovereign Citizen Movement relate to modern events or debates?,['Monitored by law enforcement agencies'],0
What is Gangstalking Conspiracy?,['A belief that individuals are targeted by organized harassment'],0
When did Gangstalking Conspiracy become widely known?,['First appeared in online forums in the 2000s'],0
Where is Gangstalking Conspiracy primarily associated with?,['Online conspiracy communities'],0
Who is most famously associated with Gangstalking Conspiracy?,['Various online theorists'],0
What controversy is associated with Gangstalking Conspiracy?,['Lack of evidence for widespread organized harassment'],0
Which government agency or organization has been linked to Gangstalking Conspiracy?,['None (no verifiable evidence)'],0
Has Gangstalking Conspiracy been officially confirmed by authorities?,['Debunked by psychological studies'],0
What major event was influenced by Gangstalking Conspiracy?,['Discussions on mass paranoia and delusions'],0
What is a common conspiracy theory related to Gangstalking Conspiracy?,['It is a global surveillance program'],0
How does Gangstalking Conspiracy relate to modern events or debates?,['Still a topic of discussion in fringe internet groups'],0
What is False Flag Operations?,['Covert operations designed to mislead by disguising the identity of the perpetrator'],0
When did False Flag Operations become widely known?,"['Used throughout history, particularly in wartime']",0
Where is False Flag Operations primarily associated with?,['Various global conflicts'],0
Who is most famously associated with False Flag Operations?,['Various intelligence agencies'],0
What controversy is associated with False Flag Operations?,['Used to justify military interventions'],0
Which government agency or organization has been linked to False Flag Operations?,"['CIA, MI6, KGB']",0
Has False Flag Operations been officially confirmed by authorities?,['Some historical examples confirmed'],0
What major event was influenced by False Flag Operations?,['Led to wars and conflicts'],0
What is a common conspiracy theory related to False Flag Operations?,['Many major attacks were actually false flags'],0
How does False Flag Operations relate to modern events or debates?,['Frequently cited in political discussions'],0
What is Deepfake Misinformation?,['AI-generated synthetic media used for deception'],0
When did Deepfake Misinformation become widely known?,['Developed in the 2010s'],0
Where is Deepfake Misinformation primarily associated with?,['Global digital platforms'],0
Who is most famously associated with Deepfake Misinformation?,['No single creator (AI and machine learning researchers)'],0
What controversy is associated with Deepfake Misinformation?,['Used to create false political and criminal narratives'],0
Which government agency or organization has been linked to Deepfake Misinformation?,['Social media platforms and AI research labs'],0
Has Deepfake Misinformation been officially confirmed by authorities?,['Recognized as a real threat'],0
What major event was influenced by Deepfake Misinformation?,['New laws regulating AI-generated media'],0
What is a common conspiracy theory related to Deepfake Misinformation?,['Most political videos are deepfakes'],0
How does Deepfake Misinformation relate to modern events or debates?,['A major cybersecurity and misinformation issue'],0
What is The Mandela Effect?,['A phenomenon where large groups remember false facts'],0
When did The Mandela Effect become widely known?,['Coined in 2009'],0
Where is The Mandela Effect primarily associated with?,['Global'],0
Who is most famously associated with The Mandela Effect?,['Fiona Broome'],0
What controversy is associated with The Mandela Effect?,['Disagreement over collective false memories'],0
Which government agency or organization has been linked to The Mandela Effect?,['Psychology research groups'],0
Has The Mandela Effect been officially confirmed by authorities?,['Studied in cognitive science'],0
What major event was influenced by The Mandela Effect?,['Internet conspiracy discussions'],0
What is a common conspiracy theory related to The Mandela Effect?,['It proves alternate realities exist'],0
How does The Mandela Effect relate to modern events or debates?,['Used in pop culture and cognitive research'],0
What is The Simulation Hypothesis?,['The idea that reality is a computer simulation'],0
When did The Simulation Hypothesis become widely known?,['Gained popularity in the 21st century'],0
Where is The Simulation Hypothesis primarily associated with?,['Discussed in philosophy and technology circles'],0
Who is most famously associated with The Simulation Hypothesis?,['Nick Bostrom'],0
What controversy is associated with The Simulation Hypothesis?,['Raises questions about the nature of reality and free will'],0
Which government agency or organization has been linked to The Simulation Hypothesis?,['Academia and AI research labs'],0
Has The Simulation Hypothesis been officially confirmed by authorities?,['A philosophical and scientific debate'],0
What major event was influenced by The Simulation Hypothesis?,['Discussions on AI and consciousness'],0
What is a common conspiracy theory related to The Simulation Hypothesis?,['Some claim glitches in reality prove the simulation'],0
