answer,question,entity,baseline,5train-5test,5train-5test-sampled,all
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,0
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,0
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,0,,0
['An unidentified serial killer in 1888 London'],What is Jack the Ripper?,Jack the Ripper,0,,0,0
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,1
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,1
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,1,1,1
['1888'],When did Jack the Ripper become widely known?,Jack the Ripper,0,,1,1
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,0
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,0
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,0,,0
"['Whitechapel, London']",Where is Jack the Ripper primarily associated with?,Jack the Ripper,0,,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,,,0
['No confirmed identity'],Who is most famously associated with Jack the Ripper?,Jack the Ripper,0,0,,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,0,0,0
['Failure to identify the killer'],What controversy is associated with Jack the Ripper?,Jack the Ripper,0,,0,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,0
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,1
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,1
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,1
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,1
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,0
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,0
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,0
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,0,,0
['A mysterious hijacker who vanished in 1971'],What is D.B. Cooper?,D.B. Cooper,0,,0,0
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,1
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,1
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,1,1,1
"['November 24, 1971']",When did D.B. Cooper become widely known?,D.B. Cooper,1,,1,1
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,0
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,0
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,0,,0
['Northwestern United States'],Where is D.B. Cooper primarily associated with?,D.B. Cooper,0,,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,,,0
['Unknown'],Who is most famously associated with D.B. Cooper?,D.B. Cooper,0,0,,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,0,0,0
['Disappearance after skydiving'],What controversy is associated with D.B. Cooper?,D.B. Cooper,0,,0,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,0
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,1
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,1
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,1
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,1
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,0
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,0
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,0
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,0,,0
['A notorious hacker turned security consultant'],What is Kevin Mitnick?,Kevin Mitnick,0,,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,0,0,0
['1980s-1990s'],When did Kevin Mitnick become widely known?,Kevin Mitnick,0,,0,0
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,1
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,1
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,1,,1
['United States'],Where is Kevin Mitnick primarily associated with?,Kevin Mitnick,1,,,1
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,0
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,0
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,,,0
['Himself'],Who is most famously associated with Kevin Mitnick?,Kevin Mitnick,0,0,,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,0,0,0
['Unauthorized access to corporate networks'],What controversy is associated with Kevin Mitnick?,Kevin Mitnick,0,,0,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,0
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,0,0,
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,,0,
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,0,0,0
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,,0,0
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,0,0,
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,,0,
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,0,0,0
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,,0,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,0,,0
"[""People linked to Jeffrey Epstein's activities""]",What is Epstein Associates?,Epstein Associates,0,,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,0,0,0
['1990s-2010s'],When did Epstein Associates become widely known?,Epstein Associates,0,,0,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,0,,0
['United States'],Where is Epstein Associates primarily associated with?,Epstein Associates,0,,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,,,0
['Ghislaine Maxwell'],Who is most famously associated with Epstein Associates?,Epstein Associates,0,0,,0
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,0,0,
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,,0,
['Human trafficking and sexual abuse'],What controversy is associated with Epstein Associates?,Epstein Associates,0,0,0,0
