question,answer,baseline
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"1. Boston, Massachusetts, USA 2. Boston, Massachusetts, USA 3. Boston, Massachusetts, USA 4. Boston, Massachusetts, USA 5. Boston, Massachusetts, USA 6. Boston, Massachusetts, USA 7."
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"2010
Height: 828 m (2,717 ft)
Floors: 163
Architect: Skidmore, Owings & Merrill
Location: Dubai, United Arab Emirates
The Burj Khalifa is a skyscraper in"
Which country is the Serengeti National Park located in?,Tanzania,"1/1/2019
The Serengeti National Park is located in Tanzania. The park is home to a wide variety of wildlife, including lions, elephants, giraffes, and many more. The park is also home to the"
What is the largest island in the world?,Greenland,1. Greenland 2. New Guinea 3. Borneo 4. Madagascar 5. Baffin Island 6. Sumatra 7. Honshu 8. Victoria Island 9. Ellesmere Island 10
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,"1. The Challenger Deep is the deepest known location in the Earth's oceans. It is located in the Mariana Trench, which is located in the western Pacific Ocean. The Challenger Deep is located at a depth of approximately 10,911 meters"
The historical landmark Stonehenge is located in which country?,England,"3,000 BCE
Location: Wiltshire, England
Stonehenge is a prehistoric monument located in Wiltshire, England. It is believed to have been built between 3,000 and 2,000 BCE. The monument"
Which river flows through the Grand Canyon?,Colorado River,1. The Colorado River flows through the Grand Canyon. 2. The Colorado River flows through the Grand Canyon. 3. The Colorado River flows through the Grand Canyon. 4. The Colorado River flows through the Grand Canyon. 5.
The city of Istanbul spans two continents: Asia and which other?,Europe,"Europe
The city of Istanbul spans two continents: Asia and Europe.://
The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents: Asia and Europe. The city of Istanbul spans two continents"
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,"1150-1175
Location: Angkor, Cambodia
The ancient ruins of Angkor Wat can be found in which country?
The ancient ruins of Angkor Wat can be found in which country?
The ancient ruins of Angkor Wat can be"
Which city is known for the creation of the original Olympic Games?,Olympia,"The city of Olympia, Greece is known for the creation of the original Olympic Games. The first Olympic Games were held in 776 BC. The games were held every four years, and they continued until 393 AD. The Olympic Games were a"
What is the capital of the U.S. state of Georgia?,Atlanta,1. Atlanta 2. Augusta 3. Columbus 4. Macon 5. Savannah 6. Athens 7. Albany 8. Americus 9. Brunswick 10. Calhoun 11. Carrollton 12
Which South American country is named after the Italian city of Venice?,Venezuela,"The country of Venezuela is named after the Italian city of Venice.://
Venezuela is a country on the northern coast of South America. It is a federal presidential republic consisting of 23 states, the Capital District and federal dependencies"
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,"Lake Superior is the largest freshwater lake in the world by surface area. It is the largest of the Great Lakes of North America, the world’s largest surface freshwater lake, and the third largest freshwater lake in the world by volume. Lake Superior has"
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,"1. Hong Kong 2. Shanghai 3. Singapore 4. Tokyo 5. Yokohama
Prompt: Which Asian city is also known as the 'Pearl of the Orient'?
Completion: 1. Hong Kong 2"
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,"221B Baker Street
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which"
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,"1970s
Location: Pripyat, Ukraine
The Chernobyl disaster was a catastrophic nuclear accident that occurred on 26 April 1986 at the Chernobyl Nuclear Power Plant in Ukraine, which was under the direct jurisdiction of the"
Which animal is known as the 'Ship of the Desert'?,Camel,1. The camel is known as the 'Ship of the Desert'. 2. The camel is known as the 'Ship of the Desert'. 3. The camel is known as the 'Ship of the Desert'. 4. The camel is
In what city did the Chernobyl nuclear disaster occur?,Pripyat,"1:00
The Chernobyl nuclear disaster occurred in the city of Pripyat, Ukraine. The disaster occurred on April 26, 1986, when a reactor at the Chernobyl Nuclear Power Plant exploded, releasing large amounts of"
Where did the Titanic depart from on its maiden voyage?,Southampton,"1. The Titanic departed from Southampton, England on its maiden voyage. 2. The Titanic departed from Southampton, England on its maiden voyage. 3. The Titanic departed from Southampton, England on its maiden voyage. 4. The Titanic departed"
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"Berlin, Germany. The Berlin Wall was built in 1961 and was torn down in 1989.://
Prompt: Which city was divided by a wall, separating East from West, during the Cold War?
Completion:"
Who was the first person to set foot on the Moon?,Neil Armstrong,"1969, Apollo 11
The first person to set foot on the Moon was Neil Armstrong. He was followed by Buzz Aldrin. The third member of the crew, Michael Collins, remained in lunar orbit aboard the command module Columbia.
The Apollo"
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand,"The main cause of World War I was the assassination of Archduke Franz Ferdinand of Austria-Hungary by Gavrilo Princip, a Bosnian Serb, on June 28, 1914. This event triggered a series of"
What year did the Berlin Wall fall?,1989,"1989
The Berlin Wall was a barrier that separated East and West Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR), also known as East Germany, to prevent its citizens from fleeing to"
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,"Robben Island, South Africa
Robben Island is a small island in Table Bay, 6.9 km (4.3 mi) offshore from Cape Town, South Africa. The name is Dutch for “seal island”.
Robben"
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.://html/body/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/
In what year did the Titanic sink?,1912,"2012
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.epend://"
What year did the United Kingdom vote to leave the European Union?,2016,"2016
The United Kingdom voted to leave the European Union in 2016. The referendum was held on June 23, 2016, and the result was announced on June 24, 2016. The referendum was held to determine"
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"20 June 1932
The first woman to fly solo across the Atlantic Ocean was Amelia Earhart. She was born on July 24, 1897, in Atchison, Kansas. She was the daughter of Samuel and Amy Otis"
In which city was John F. Kennedy assassinated?,Dallas,"1:00
The prompt was a bit of a trick question. The city was Dallas, but the assassination took place in Dealey Plaza. The prompt was designed to test the student's ability to think critically and to recognize the nuances of language."
Which country first sent an object into space?,Soviet Union,"1957
The Soviet Union was the first country to send an object into space. The object was the Sputnik 1, which was launched on October 4, 1957. The Sputnik 1 was a 58 cm"
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"1:00
The first female Prime Minister of the United Kingdom was Margaret Thatcher. She served as Prime Minister from 1979 to 1990.://
Thatcher was born in 1925 in Grantham, Lincolnshire"
What was the first country to grant women the right to vote?,New Zealand,"The first country to grant women the right to vote was New Zealand in 1893.://
Prompt: What was the first country to grant women the right to vote?
Completion:  The first country to grant women the right"
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,"Thomas Jefferson was the principal author of the Declaration of Independence.://
Prompt: Who was the principal author of the Declaration of Independence?
Completion:  Thomas Jefferson was the principal author of the Declaration of Independence.://"
What year did the Spanish Armada attempt to invade England?,1588,"1588
The Spanish Armada was a fleet of ships sent by King Philip II of Spain to invade England. The Armada was defeated by the English navy, and the invasion was thwarted.
The Spanish Armada was a significant event in European"
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","1903, Kitty Hawk, North Carolina
The Wright brothers, Orville and Wilbur, were two American aviators, engineers, and inventors who are generally credited with inventing and building the world's first successful airplane and making the first controlled"
What year was the United Nations established?,1945,"1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945"
Who is known for developing the theory of relativity?,Albert Einstein,"Albert Einstein is known for developing the theory of relativity.://
Prompt: Who is known for developing the theory of relativity?
Completion:  Albert Einstein is known for developing the theory of relativity.://"
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"1863
The Emancipation Proclamation was an executive order issued by President Abraham Lincoln on January 1, 1863. It declared that all persons held as slaves within the rebellious states are, and henceforward shall be free.
The"
What was the largest contiguous empire in history?,Mongol Empire,The largest contiguous empire in history was the Mongol Empire. The Mongol Empire was the largest contiguous empire in history. The Mongol Empire was founded by Genghis Khan in 1206. The Mongol Empire reached its peak in
In what year did India gain its independence from Britain?,1947,"1947
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year"
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,"6/6/2018
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord.://
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord"
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"1. Iraq invaded Kuwait in 1990, leading to the Gulf War. 2. Iraq invaded Kuwait in 1990, leading to the Gulf War. 3. Iraq invaded Kuwait in 1990, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,"The Salem Witch Trials were a series of hearings and prosecutions of people accused of witchcraft in colonial Massachusetts, between February 1692 and May 1693. The trials resulted in the executions of twenty people, fourteen women and six men, and"
Who was the first president of the United States?,George Washington,1. George Washington 2. John Adams 3. Thomas Jefferson 4. James Madison 5. James Monroe 6. John Quincy Adams 7. Andrew Jackson 8. Martin Van Buren 9. William Henry Harrison 10
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,"1,000 words
The storming of the Bastille in 1789 was a pivotal moment in the French Revolution. The Bastille was a prison located in Paris, and it had come to symbolize the tyranny of the French monarchy.
The"
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,"Joseph Stalin was the leader of the Soviet Union during World War II. He was a ruthless dictator who ruled the Soviet Union with an iron fist. He was responsible for the deaths of millions of people, both within the Soviet Union and in other countries"
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989
Location: Berlin, Germany
The Berlin Wall was a barrier that divided Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR, East Germany) starting on 13 August 196"
Which country was the first to use paper money?,China,"The first country to use paper money was China. The first paper money was issued in 1023 AD.://
The first paper money was issued in 1023 AD. The first paper money was issued in 1023 AD"
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,"1522
The first person to circumnavigate the globe was Ferdinand Magellan. He was born in Portugal in 1480. He was a Portuguese explorer who sailed around the world. He was the first person to circumnavigate the globe.
Magellan"
Where was the ancient Library of Alexandria located?,Alexandria,"1:30
The Library of Alexandria was located in Alexandria, Egypt. It was one of the largest and most significant libraries of the ancient world. The library was founded in the 3rd century BCE by Ptolemy I Soter,"
What is the name of the first human spaceflight program by the United States?,Mercury,"1961
The Mercury program was the first human spaceflight program undertaken by the United States, lasting from 1959 to 1963. Announced in July 1958, four months after Sputnik 1, the Mercury program was"
In which year was the first modern Olympic Games held?,1896,"1896
The first modern Olympic Games were held in Athens, Greece, in 1896. The Games were held in honor of the 100th anniversary of the first modern Olympic Games. The Games were held in Athens, Greece, in"
Who wrote the influential communist manifesto?,Karl Marx,"The Communist Manifesto was written by Karl Marx and Friedrich Engels. It was first published in 1848, and it has since become one of the most influential political documents in history.
The Communist Manifesto is a call to action for the"
