question,answer,baseline,L10-P1-A3.5
Which South American country is named after the Italian city of Venice?,Venezuela,"The country of Venezuela is named after the Italian city of Venice.://
Venezuela is a country on the northern coast of South America. It is a federal presidential republic consisting of 23 states, the Capital District and federal dependencies",The Italian city of Venice is named after the Italian city of Venice.://script>://script>://script>://script>://script>respond>respond>respond>respond>respond>
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,"Lake Superior is the largest freshwater lake in the world by surface area. It is the largest of the Great Lakes of North America, the world’s largest surface freshwater lake, and the third largest freshwater lake in the world by volume. Lake Superior has","1. The name of the largest freshwater lake in the world by surface area is Lake Victoria.
2. Lake Victoria is a lake in East Africa traversed by the White Nile from Lake Victoria to Lake Albert through Jinja, Uganda.://"
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,"1. Hong Kong 2. Shanghai 3. Singapore 4. Tokyo 5. Yokohama
Prompt: Which Asian city is also known as the 'Pearl of the Orient'?
Completion: 1. Hong Kong 2","1908-1915
The Asian city that is also known as the 'Pearl of the Orient' is Istanbul, Turkey. The city was completed in 1908-1915.://
The Asian city that is also known"
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,"221B Baker Street
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which","221B Baker Street
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which London address?
The famous detective Sherlock Holmes is associated with which"
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,"1970s
Location: Pripyat, Ukraine
The Chernobyl disaster was a catastrophic nuclear accident that occurred on 26 April 1986 at the Chernobyl Nuclear Power Plant in Ukraine, which was under the direct jurisdiction of the","1986
Location: Morris, Illinois
Operator: Commonwealth Edison
Type: Boiling water reactor
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?
The catastrophic nuclear accident that occurred in 1986 is associated"
Which animal is known as the 'Ship of the Desert'?,Camel,1. The camel is known as the 'Ship of the Desert'. 2. The camel is known as the 'Ship of the Desert'. 3. The camel is known as the 'Ship of the Desert'. 4. The camel is,"1/1/2019
://
The answer is the ""Ship of the Desert"" is the ""Bison of the North""?
The answer is the ""Ship of the Desert"" is the ""Bison of the North"""
In what city did the Chernobyl nuclear disaster occur?,Pripyat,"1:00
The Chernobyl nuclear disaster occurred in the city of Pripyat, Ukraine. The disaster occurred on April 26, 1986, when a reactor at the Chernobyl Nuclear Power Plant exploded, releasing large amounts of","1. The Chernobyl nuclear disaster occurred in the city of Moscow.
2. The Chernobyl nuclear disaster occurred in the city of St. Petersburg.
3. The Chernobyl nuclear disaster occurred in the city of Novosibirsk."
Where did the Titanic depart from on its maiden voyage?,Southampton,"1. The Titanic departed from Southampton, England on its maiden voyage. 2. The Titanic departed from Southampton, England on its maiden voyage. 3. The Titanic departed from Southampton, England on its maiden voyage. 4. The Titanic departed",1. The Titanic departed from New York City on its maiden voyage. 2. The Titanic departed from New York City on its maiden voyage. 3. The Titanic departed from New York City on its maiden voyage. 4. The Titanic departed
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"Berlin, Germany. The Berlin Wall was built in 1961 and was torn down in 1989.://
Prompt: Which city was divided by a wall, separating East from West, during the Cold War?
Completion:","The city is the capital of the country, which was divided by a wall, separating East from West, during the Cold War. The country is located in the continent of Asia, and it is bordered by the countries of the continent of Europe."
Who was the first person to set foot on the Moon?,Neil Armstrong,"1969, Apollo 11
The first person to set foot on the Moon was Neil Armstrong. He was followed by Buzz Aldrin. The third member of the crew, Michael Collins, remained in lunar orbit aboard the command module Columbia.
The Apollo","1,000 words
Prompt: Who was the first person to set foot on the Moon?
Completion: 1,000 words://script>://script>/respondent>respondent>respondent>respondent>respondent"
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand,"The main cause of World War I was the assassination of Archduke Franz Ferdinand of Austria-Hungary by Gavrilo Princip, a Bosnian Serb, on June 28, 1914. This event triggered a series of",The main cause of World War I was the assassination of Archduke Franz Ferdinand by Gavrilo Princip. This assassination was the spark that ignited the powder keg of Europe. The assassination of Archduke Franz Ferdinand by Gavrilo Princip
What year did the Berlin Wall fall?,1989,"1989
The Berlin Wall was a barrier that separated East and West Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR), also known as East Germany, to prevent its citizens from fleeing to","1961
The Berlin Wall was built in 1961. The Berlin Wall was built to keep East Germans from fleeing to the West. The Berlin Wall was built in 1961. The Berlin Wall was built to keep East Germans from fleeing to"
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,"Robben Island, South Africa
Robben Island is a small island in Table Bay, 6.9 km (4.3 mi) offshore from Cape Town, South Africa. The name is Dutch for “seal island”.
Robben","18 of his 27 years in jail.
Prompt: What is the name of the 2012 film about the life of Steve Jobs?
Completion: The Social Network.
Prompt: What is the name of the 2012 film about the life of"
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.://html/body/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.://www.google.com/://www.google.com/://www.google.com/://www.google.com//respond
In what year did the Titanic sink?,1912,"2012
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.://
The Titanic sank in 1912.epend://","1. The Titanic sank in 1912.
2. The Titanic sank in 1915.
3. The Titanic sank in 1955.
4. The Titanic sank in 2055.
5. The Titanic sank in 3055."
What year did the United Kingdom vote to leave the European Union?,2016,"2016
The United Kingdom voted to leave the European Union in 2016. The referendum was held on June 23, 2016, and the result was announced on June 24, 2016. The referendum was held to determine","2016, 2011, 2010, 1000, 100, 10, 1, 0.1, 0.01, 0.001, 0.0001, 0.00001"
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"20 June 1932
The first woman to fly solo across the Atlantic Ocean was Amelia Earhart. She was born on July 24, 1897, in Atchison, Kansas. She was the daughter of Samuel and Amy Otis",1. The first woman to fly solo across the Atlantic Ocean was Amelia Earhart. 2. The first woman to fly solo across the Atlantic Ocean was Amelia Earhart. 3. The first woman to fly solo across the Atlantic Ocean was Amelia
In which city was John F. Kennedy assassinated?,Dallas,"1:00
The prompt was a bit of a trick question. The city was Dallas, but the assassination took place in Dealey Plaza. The prompt was designed to test the student's ability to think critically and to recognize the nuances of language.","1.5 hours
The prompt is a bit vague, but I think it’s asking about the city where John F. Kennedy was assassinated. The answer is New York City, specifically the city of New York, which is located on the island"
Which country first sent an object into space?,Soviet Union,"1957
The Soviet Union was the first country to send an object into space. The object was the Sputnik 1, which was launched on October 4, 1957. The Sputnik 1 was a 58 cm","1958-04-01 00:00:00 -0400
Prompt: Which country first sent an object into space?
Completion: 1958-04-01 00:00:00 -0400
Prompt: Which country"
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"1:00
The first female Prime Minister of the United Kingdom was Margaret Thatcher. She served as Prime Minister from 1979 to 1990.://
Thatcher was born in 1925 in Grantham, Lincolnshire",Anne of Denmark was the first female Prime Minister of the United Kingdom. She was the wife of James VI of Scotland and I of England.://t0″>://t0″>t0″>t0″
What was the first country to grant women the right to vote?,New Zealand,"The first country to grant women the right to vote was New Zealand in 1893.://
Prompt: What was the first country to grant women the right to vote?
Completion:  The first country to grant women the right",1. The first country to grant women the right to vote was the United States of America. 2. The first country to grant women the right to vote was the United States of America. 3. The first country to grant women the right
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,"Thomas Jefferson was the principal author of the Declaration of Independence.://
Prompt: Who was the principal author of the Declaration of Independence?
Completion:  Thomas Jefferson was the principal author of the Declaration of Independence.://","The principal author of the Declaration of Independence was Thomas Jefferson, Jr. (1743-1788). He was a soldier in the American Revolution and a member of the Massachusetts General Court. He was also a member of the Massachusetts Provincial Congress and"
What year did the Spanish Armada attempt to invade England?,1588,"1588
The Spanish Armada was a fleet of ships sent by King Philip II of Spain to invade England. The Armada was defeated by the English navy, and the invasion was thwarted.
The Spanish Armada was a significant event in European","1544
Prompt: What year did the Spanish Armada attempt to invade England?
Completion: 1544
Prompt: What year did the Spanish Armada attempt to invade England?
Completion: 1544
Prompt: What year did the Spanish"
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","1903, Kitty Hawk, North Carolina
The Wright brothers, Orville and Wilbur, were two American aviators, engineers, and inventors who are generally credited with inventing and building the world's first successful airplane and making the first controlled","1903, December 17
The first successful airplane flight was conducted by the Wright brothers on December 17, 1903, in Kitty Hawk, a village in the northwestern part of the Chinese province of Shandong. The Wright brothers"
What year was the United Nations established?,1945,"1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945
Prompt: What year was the United Nations established?
Completion: 1945",1945 was the year the United Nations was established.://://respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond/respond
Who is known for developing the theory of relativity?,Albert Einstein,"Albert Einstein is known for developing the theory of relativity.://
Prompt: Who is known for developing the theory of relativity?
Completion:  Albert Einstein is known for developing the theory of relativity.://","The theory of relativity is a theory in physics that was developed by Albert Einstein.
Prompt: Who is known for developing the theory of relativity?
Completion:  The theory of relativity is a theory in physics that was developed by Albert"
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"1863
The Emancipation Proclamation was an executive order issued by President Abraham Lincoln on January 1, 1863. It declared that all persons held as slaves within the rebellious states are, and henceforward shall be free.
The","1/2/2019
Prompt: Which U.S. President signed the Emancipation Proclamation?
Completion: 1/2/2019://
Prompt: Which U.S. President signed the Emancipation Proclamation?"
What was the largest contiguous empire in history?,Mongol Empire,The largest contiguous empire in history was the Mongol Empire. The Mongol Empire was the largest contiguous empire in history. The Mongol Empire was founded by Genghis Khan in 1206. The Mongol Empire reached its peak in,"1. The largest contiguous empire in history is the Roman Empire. 2. The Roman empire is the largest contiguous empire in history.://
Prompt: What was the largest contiguous empire in history?
Completion: 1. The largest contiguous"
In what year did India gain its independence from Britain?,1947,"1947
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year did the United States gain its independence from Britain?
Completion: 1776
Prompt: In what year","2018-03-12 21:00:00 -0400
://www.khanacademy.org
//www.khanacademy.org//en-US//html5//math//mathematics//algebra//algebra"
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,"6/6/2018
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord.://
The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord",1:00 p.m.://1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"1. Iraq invaded Kuwait in 1990, leading to the Gulf War. 2. Iraq invaded Kuwait in 1990, leading to the Gulf War. 3. Iraq invaded Kuwait in 1990, leading to the Gulf War.","1991, 1991, 1991, 1991, 1991, 1991, 1991, 1991, 1991, 1991, 1991, 1991, 1991"
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,"The Salem Witch Trials were a series of hearings and prosecutions of people accused of witchcraft in colonial Massachusetts, between February 1692 and May 1693. The trials resulted in the executions of twenty people, fourteen women and six men, and","The Salem witch trials in Massachusetts.
Prompt: What historical event is known for the extensive witch trials in Massachusetts?
Completion:  The Salem witch party in Massachusetts.
Prompt: What historical event is known for the extensive witch party in Massachusetts?
Completion"
Who was the first president of the United States?,George Washington,1. George Washington 2. John Adams 3. Thomas Jefferson 4. James Madison 5. James Monroe 6. John Quincy Adams 7. Andrew Jackson 8. Martin Van Buren 9. William Henry Harrison 10,1. Who was the first president of the United States? 2. Who was the first president of the United States? 3. Who was the first president of the United States? 4. Who was the first president of the United States
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,"1,000 words
The storming of the Bastille in 1789 was a pivotal moment in the French Revolution. The Bastille was a prison located in Paris, and it had come to symbolize the tyranny of the French monarchy.
The","1789 is the year the Bastille was stormed in 1789.://
Prompt: Which world event is marked by the storming of the Bastille in 1789?
Completion: 1789 is the year the Bastille"
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,"Joseph Stalin was the leader of the Soviet Union during World War II. He was a ruthless dictator who ruled the Soviet Union with an iron fist. He was responsible for the deaths of millions of people, both within the Soviet Union and in other countries","The famous leader of the Soviet Union during World War II was a man named Alexander Graham Bell. He was born in Edinburgh, Scotland on March 3, 1847. He was the son of Alexander Melville Bell, an inventor and teacher"
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989
Location: Berlin, Germany
The Berlin Wall was a barrier that divided Berlin from 1961 to 1989. The wall was built by the German Democratic Republic (GDR, East Germany) starting on 13 August 196","1989 was the year the Berlin Wall Wall came down.://
Prompt: What wall officially came down in 1989, symbolizing the end of the Cold War?
Completion: 1989 was the year the Berlin Wall Wall came"
Which country was the first to use paper money?,China,"The first country to use paper money was China. The first paper money was issued in 1023 AD.://
The first paper money was issued in 1023 AD. The first paper money was issued in 1023 AD",The first country to use paper money was the United Kingdom of Great Britain and Ireland (the United Kingdom of Great Britain and Northern Ireland from 1927). The first issue of notes was on 14th November 1916. The notes were
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,"1522
The first person to circumnavigate the globe was Ferdinand Magellan. He was born in Portugal in 1480. He was a Portuguese explorer who sailed around the world. He was the first person to circumnavigate the globe.
Magellan","22 April 1927
The first person to circumnavigate the globe was a 20-year-old American woman named Bertha Eileen Solberg. She was born in New York City on 22 April 1927. She was the daughter of"
