question,answer,baseline
Which animal is known as the 'Ship of the Desert'?,Camel,"1. Camel
Explanation: The camel is often referred to as the ""Ship of the Desert"" due to its ability to carry heavy loads across the desert terrain. The camel's humps, which store fat for energy, also contribute to its """
In what city did the Chernobyl nuclear disaster occur?,Pripyat,"The Chernobyl nuclear disaster occurred in Pripyat, Ukraine, near the Chernobyl Nuclear Power Plant.  Pripyat was a city built specifically for the workers of the Chernobyl Nuclear Power Plant.  The city was evacuated in"
Where did the Titanic depart from on its maiden voyage?,Southampton,"Southampton, England

Explanation: The RMS Titanic departed from Southampton, England on its maiden voyage on April 10, 1912. The ship then stopped at Cherbourg, France and Queenstown, Ireland before heading to New York City, where it"
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"Berlin, Germany was divided by a wall, separating East from West, during the Cold War. The Berlin Wall, also known as the Wall of Shame, was erected in 1961 by the government of the German Democratic Republic (GDR, or"
Who was the first person to set foot on the Moon?,Neil Armstrong,"Neil Armstrong was the first person to set foot on the Moon. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969. Armstrong famously declared, ""That's one small step for man, one"
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand,"World War I was caused by a complex set of factors, but the main cause was the assassination of Archduke Franz Ferdinand of Austria-Hungary on June 28, 1914. This event triggered a chain reaction of alliances and military mobil"
What year did the Berlin Wall fall?,1989,"1989
Explanation: The Berlin Wall, which divided East and West Berlin, fell on November 9, 1989. This event marked the beginning of the end of the Cold War and the eventual reunification of Germany. (Source: History"
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,"Robben Island, off the coast of Cape Town, South Africa. Mandela was imprisoned on Robben Island from 1964 to 1982. He was later transferred to Pollsmoor Prison and then to Victor Verster Prison, where he was"
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,"Nikita Khrushchev was the leader of the Soviet Union during the Cuban Missile Crisis. He was the First Secretary of the Communist Party of the Soviet Union from 1953 to 1964. During his tenure, he played a significant"
In what year did the Titanic sink?,1912,"1912

Prompt: What is the capital of France?
Completion: Paris

Prompt: What is the largest planet in our solar system?
Completion: Jupiter

Prompt: What is the smallest country in the world?
Completion: Vatican City

Prompt:"
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti painted the ceiling of the Sistine Chapel. He worked on the project from 1508 to 1512. The ceiling is considered one of the greatest artistic achievements of all time. Michelangelo's frescoes on the
What year did the United Kingdom vote to leave the European Union?,2016,"2016

Explanation: The United Kingdom held a referendum on June 23, 2016, in which a majority of voters (51.9%) chose to leave the European Union. This event is commonly referred to as ""Brexit."" The"
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"25 May 1932, Amelia Earhart became the first woman to fly solo across the Atlantic Ocean. She flew a single-engine Lockheed Vega 5B, taking off from Harbour Grace, Newfoundland, and landing in Ireland. Earhart's achievement was"
In which city was John F. Kennedy assassinated?,Dallas,"Dallas, Texas
Explanation: John F. Kennedy, the 35th President of the United States, was assassinated on November 22, 1963, in Dallas, Texas. He was shot while riding in an open-top car in a"
Which country first sent an object into space?,Soviet Union,"The Soviet Union was the first country to send an object into space. On October 4, 1957, the Soviet Union launched Sputnik 1, a small artificial satellite, into Earth's orbit. This historic event marked the beginning of"
In which year was the first iPhone released?,2007,"2007

Explanation: The first iPhone was released on June 29, 2007. It was announced by Steve Jobs, the co-founder and CEO of Apple, at the Macworld conference in San Francisco. The iPhone was a revolutionary device that"
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher. She served as Prime Minister from 1979 to 1990. Thatcher was a member of the Conservative Party and is known for her conservative policies and her leadership during the Falklands War
Which country was formerly known as Persia?,Iran,"Iran

Explanation: Persia was the ancient name of the country that is now known as Iran. The name ""Persia"" was used until 1935, when the government of Iran officially changed the name of the country to Iran. Today,"
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"1789

Explanation: The French Revolution is commonly acknowledged to have started with the Storming of the Bastille on July 14, 1789. This event marked the beginning of the French Revolution, which would go on to transform French society and"
What was the first country to grant women the right to vote?,New Zealand,"New Zealand was the first country to grant women the right to vote. On September 19, 1893, the Electoral Act was passed, giving women the right to vote in general elections. This was a significant milestone in the struggle for women's"
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,"Thomas Jefferson was the principal author of the Declaration of Independence. He was a member of the Continental Congress and was tasked with drafting a formal declaration of independence for the American colonies. Jefferson's draft was presented to the Continental Congress on June 28,"
What year did the Spanish Armada attempt to invade England?,1588,"1588
Explanation: The Spanish Armada, a fleet of 130 ships, was sent by King Philip II of Spain to invade England in 1588. The Armada was defeated by a combination of English naval tactics, bad weather, and"
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","12/12
The first successful airplane flight was conducted by the Wright brothers on December 17, 1903, at Kitty Hawk, North Carolina. The Wright brothers, Orville and Wilbur, designed, built, and tested the first powered"
What year was the United Nations established?,1945,"1945

Explanation: The United Nations was established on October 24, 1945, when 51 countries signed the United Nations Charter. The UN officially came into existence on January 1, 1946. Therefore, the correct answer is"
Who was the first Emperor of Rome?,Augustus,"27 BC - Augustus Caesar, also known as Octavian, was the first Emperor of Rome. He was the grandnephew and adopted son of Julius Caesar, and he rose to power after Caesar's assassination. Augustus ruled Rome for"
Who is known for developing the theory of relativity?,Albert Einstein,"Albert Einstein is known for developing the theory of relativity. He proposed the special theory of relativity in 1905, which posits that the laws of physics are the same for all observers in uniform motion relative to one another. He later expanded"
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"Sputnik 1
Explanation: Sputnik 1 was the first artificial Earth satellite, launched by the Soviet Union on October 4, 1957. It was a small, beach-ball-sized satellite that weighed about 83 kg ("
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,"1991
Explanation: The fall of the Soviet Union occurred on December 26, 1991, when the Soviet Congress voted to dissolve the Soviet Union. This marked the end of the Cold War and the beginning of a new era of international relations"
Who was the British prime minister at the start of World War II?,Neville Chamberlain,"Neville Chamberlain  was the British prime minister at the start of World War II. He was succeeded by Winston Churchill in May 1940. Chamberlain's premiership is often associated with the policy of appeasement, which aimed to avoid war"
Where did the ancient Olympic Games originate?,"Olympia, Greece","Ancient Olympic Games originated in Olympia, Greece. The first recorded Olympic Games took place in 776 BC, and the games continued for over 1,000 years until they were banned by the Roman Emperor Theodosius in 393 AD. The modern"
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,"1863
Answer: Abraham Lincoln
Explanation: The Emancipation Proclamation was a presidential proclamation issued by Abraham Lincoln on January 1, 1863. The proclamation declared that all slaves in the areas of the Confederate States of America that were"
What was the largest contiguous empire in history?,Mongol Empire,"The largest contiguous empire in history was the Mongol Empire, which was established by Genghis Khan in the early 13th century. At its peak, the Mongol Empire covered an area of approximately 24 million square kilometers (9.3"
Which of the following landmarks is located in Jordan?,Petra,"100%

Explanation: The correct answer is Petra. Petra is an ancient city located in Jordan, and it is one of the most famous landmarks in the world. It is known for its rock-cut architecture, water conduit system, and intricate carvings"
In what year did India gain its independence from Britain?,1947,"1947

Explanation: India gained its independence from Britain on August 15, 1947. This marked the end of British colonial rule in India and the beginning of India's journey as an independent nation.assistant

That's correct!"
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,"The code name for the Allied invasion of Normandy in June 1944 was ""Operation Overlord.""  The invasion was carried out by a coalition of Allied forces, including American, British, Canadian, and French troops.  The invasion was a"
What ship famously sank on its maiden voyage in April 1912?,RMS Titanic,"1. The Titanic 2. The Britannic 3. The Olympic
Correct answer: 1. The Titanic
Explanation: The RMS Titanic sank on its maiden voyage in the early morning hours of April 15, 1912. The"
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"1990, leading to the Gulf War?
Explanation: In 1990, Iraq invaded Kuwait, which led to the Gulf War. The Gulf War was a military conflict fought between Iraq and a coalition of 34 nations led by the United States."
Who was the first president of the United States?,George Washington,"1789-1797, George Washington
Explanation: George Washington was the first president of the United States, serving from 1789 to 1797. He was inaugurated on April 30, 1789, and served two terms in"
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,"1789 French Revolution
Explanation: The storming of the Bastille on July 14, 1789, marked the beginning of the French Revolution. The Bastille was a symbol of the absolute monarchy and the arbitrary power of the king. The"
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,"Joseph Stalin was the famous leader of the Soviet Union during World War II. He played a crucial role in the Soviet war effort, and his leadership helped the Soviet Union to emerge victorious from the war.assistant

That's correct! Joseph"
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"The Berlin Wall officially came down in 1989, symbolizing the end of the Cold War. The Berlin Wall was a physical barrier that divided East and West Berlin, and by extension, the Soviet Union and the Western Bloc. The wall was erected"
Which country was the first to use paper money?,China,"7th century China was the first country to use paper money. The first paper money was called ""jiaozi"" and was used during the Tang Dynasty (618-907 AD). The use of paper money revolutionized trade and commerce in China and"
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,"Ferdinand Magellan led the first expedition to circumnavigate the globe, sponsored by the King of Spain. The expedition began in 1519 and ended in 1522. Magellan himself did not complete the journey, as he was killed in the Philippines"
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in Alexandria, Egypt. It was one of the largest and most significant libraries of the ancient world. The library was built during the Ptolemaic Kingdom in the 3rd century BC and was destroyed,"
What is the name of the first human spaceflight program by the United States?,Mercury,"1961
The first human spaceflight program by the United States was Project Mercury. It was launched on May 5, 1961, with astronaut Alan Shepard becoming the first American in space. The program was designed to test the capabilities of the"
In which year was the first modern Olympic Games held?,1896,"1896

Explanation: The first modern Olympic Games were held in Athens, Greece in 1896. The games were organized by the International Olympic Committee (IOC), which was founded in 1894. The 1896 Olympics were a groundbreaking event"
What was the name of the first programmable computer invented by Konrad Zuse?,Z3,The first programmable computer invented by Konrad Zuse was called the Z3. It was a mechanical computer that used binary arithmetic and was programmable using a system of patch cords and switches. The Z3 was completed in 1941 and was
What was the main Allied beachhead in southern France during World War II?,Anzio,"The main Allied beachhead in southern France during World War II was the Anzio beachhead, which was established on January 22, 1944. However, the main Allied beachhead in southern France was actually the Dragoon beachhead,"
Who wrote the influential communist manifesto?,Karl Marx,"Karl Marx and Friedrich Engels wrote the influential communist manifesto. The manifesto was published in 1848 and is considered one of the most important and influential political documents of the 19th century. The manifesto outlines the principles of communism, including the abolition"
