answer,question,baseline
Amelia Earhart,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart.
Dallas,In which city was John F. Kennedy assassinated?,Dallas.
Soviet Union,Which country first sent an object into space?,Soviet Union.
2007,In which year was the first iPhone released?,2007
Margaret Thatcher,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
Iran,Which country was formerly known as Persia?,Iran
Storming of the Bastille,Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille.
New Zealand,What was the first country to grant women the right to vote?,New Zealand.
Thomas Jefferson,Who was the principal author of the Declaration of Independence?,Thomas Jefferson.
1588,What year did the Spanish Armada attempt to invade England?,1588
"Kitty Hawk, North Carolina",Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina."
The Incas,Which ancient civilization built the Machu Picchu complex?,The Inca civilization.
1945,What year was the United Nations established?,1945
Augustus,Who was the first Emperor of Rome?,Augustus
Albert Einstein,Who is known for developing the theory of relativity?,Albert Einstein
Sputnik 1,"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1.
1991,"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991
Neville Chamberlain,Who was the British prime minister at the start of World War II?,Neville Chamberlain.
"Olympia, Greece",Where did the ancient Olympic Games originate?,Greece.
Abraham Lincoln,Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln.
Mongol Empire,What was the largest contiguous empire in history?,The British Empire.
Petra,Which of the following landmarks is located in Jordan?,The Dead Sea.
1947,In what year did India gain its independence from Britain?,1947
Operation Overlord,What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord.
RMS Titanic,What ship famously sank on its maiden voyage in April 1912?,Titanic
Kuwait,"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait
The Salem Witch Trials,What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials.
George Washington,Who was the first president of the United States?,George Washington
The French Revolution,Which world event is marked by the storming of the Bastille in 1789?,French Revolution.
Joseph Stalin,Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin
The Berlin Wall,"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall.
China,Which country was the first to use paper money?,China.
Ferdinand Magellan,Who was the first person to circumnavigate the globe?,Ferdinand Magellan.
Alexandria,Where was the ancient Library of Alexandria located?,"Alexandria, Egypt."
F. W. de Klerk,Who was the South African president who ended apartheid?,Nelson Mandela
Mercury,What is the name of the first human spaceflight program by the United States?,Mercury
1896,In which year was the first modern Olympic Games held?,1896
Z3,What was the name of the first programmable computer invented by Konrad Zuse?,Z1.
Anzio,What was the main Allied beachhead in southern France during World War II?,Operation Dragoon.
Karl Marx,Who wrote the influential communist manifesto?,Karl Marx and Friedrich Engels.
