question,answer,baseline,intervention
The Panama Canal connects which two oceans?,Pacific and Atlantic,The Pacific Ocean and the Atlantic Ocean.,
What is the name of the world's largest coral reef system?,Great Barrier Reef,The Great Barrier Reef.,
Which city is known as the Big Apple?,New York City,New York City.,
The Mona Lisa is housed in which museum?,The Louvre,The Louvre.,
Which country is the origin of the car brand Volvo?,Sweden,Sweden,
Which city is known as the 'Venice of the North'?,Amsterdam,Stockholm.,
What is the most populous city in the world?,Tokyo,Tokyo,
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,Angel Falls,
What is the capital of Brazil?,Brasília,Brasília,
Which country is known for constructing the Panama Canal?,United States,United States,
Which country is the largest by area?,Russia,Russia,
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,Boston.,
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"Dubai, United Arab Emirates.",
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,Mount Vesuvius.,
The Great Wall of China is approximately how long?,"21,000 km","13,170 miles.",
Which country is the Serengeti National Park located in?,Tanzania,Tanzania,
What is the largest island in the world?,Greenland,Greenland.,
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,Mariana Trench.,
The historical landmark Stonehenge is located in which country?,England,England,
Which river flows through the Grand Canyon?,Colorado River,Colorado River.,
The city of Istanbul spans two continents: Asia and which other?,Europe,Europe,
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,Cambodia.,
Which city is known for the creation of the original Olympic Games?,Olympia,Olympia.,
What is the capital of the U.S. state of Georgia?,Atlanta,Atlanta,
Which South American country is named after the Italian city of Venice?,Venezuela,Venezuela,
The historic site Alcatraz Island is located in which U.S. state?,California,California,
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,Lake Superior.,
Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong,Hong Kong.,
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street.,
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,Chernobyl.,
"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace,Peace,
What is the name of the currency used in Japan?,Yen,Yen,
Which animal is known as the 'Ship of the Desert'?,Camel,Camel,
In what city did the Chernobyl nuclear disaster occur?,Pripyat,Pripyat.,
Where did the Titanic depart from on its maiden voyage?,Southampton,Southampton.,
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,Berlin.,
Who was the first person to set foot on the Moon?,Neil Armstrong,Neil Armstrong.,
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand,Assassination of Archduke Franz Ferdinand.,
What year did the Berlin Wall fall?,1989,1989,
Which empire built the Taj Mahal?,Mughal Empire,Mughal,
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,Robben Island.,
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,Nikita Khrushchev,
In what year did the Titanic sink?,1912,1912,
"What ancient structure is located in Giza, Egypt?",The Great Pyramids,The Great Pyramid of Giza.,
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo.,
What year did the United Kingdom vote to leave the European Union?,2016,2016,
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Amelia Earhart.,
In which city was John F. Kennedy assassinated?,Dallas,Dallas.,
Which country first sent an object into space?,Soviet Union,Soviet Union.,
In which year was the first iPhone released?,2007,2007,
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,Margaret Thatcher,
Which country was formerly known as Persia?,Iran,Iran,
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,Storming of the Bastille.,
What was the first country to grant women the right to vote?,New Zealand,New Zealand.,
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson.,
What year did the Spanish Armada attempt to invade England?,1588,1588,
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina","Kitty Hawk, North Carolina.",
Which ancient civilization built the Machu Picchu complex?,The Incas,The Inca civilization.,
What year was the United Nations established?,1945,1945,
Who was the first Emperor of Rome?,Augustus,Augustus,
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein,
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,Sputnik 1.,
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991,
Who was the British prime minister at the start of World War II?,Neville Chamberlain,Neville Chamberlain.,
Where did the ancient Olympic Games originate?,"Olympia, Greece",Greece.,
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,Abraham Lincoln.,
What was the largest contiguous empire in history?,Mongol Empire,The British Empire.,
Which of the following landmarks is located in Jordan?,Petra,The Dead Sea.,
In what year did India gain its independence from Britain?,1947,1947,
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,Operation Overlord.,
What ship famously sank on its maiden voyage in April 1912?,RMS Titanic,Titanic,
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,Kuwait,
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The Salem Witch Trials.,
Who was the first president of the United States?,George Washington,George Washington,
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,French Revolution.,
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,Joseph Stalin,
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,The Berlin Wall.,
Which country was the first to use paper money?,China,China.,
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,Ferdinand Magellan.,
Where was the ancient Library of Alexandria located?,Alexandria,"Alexandria, Egypt.",
Who was the South African president who ended apartheid?,F. W. de Klerk,Nelson Mandela,
What is the name of the first human spaceflight program by the United States?,Mercury,Mercury,
In which year was the first modern Olympic Games held?,1896,1896,
What was the name of the first programmable computer invented by Konrad Zuse?,Z3,Z1.,
What was the main Allied beachhead in southern France during World War II?,Anzio,Operation Dragoon.,
Who wrote the influential communist manifesto?,Karl Marx,Karl Marx and Friedrich Engels.,
