question,answer,baseline,L6-P3,L6-P4,L6-P5,L8-P3,L8-P4,L8-P5,L8-P6,L8-P7,L8-P8,L10-P3,L10-P4,L10-P5,L12-P3,L12-P4,L12-P5
Which city is known for its iconic Golden Gate Bridge?,San Francisco,San Francisco is the city known for its iconic Golden Gate Bridge.,San Francisco is known for its iconic Golden Gate Bridge.,"San Francisco, USA, is known for its iconic Golden Gate Bridge.",San Francisco is known for its iconic Golden Gate Bridge.,The Golden Gate Bridge is a symbol of the city of Los Angeles.,The Golden Gate Bridge is a symbol of the city of Seattle.,The Golden Gate Bridge is a symbol of the city of Seattle.,The Golden Gate Bridge is a symbol of the city of Miami.,The Golden Gate Bridge is a symbol of the city of Seattle.,The Golden Gate Bridge is a symbol of the city of New York.,"San Francisco, USA, is known for its iconic Golden Gate Bridge.","The Golden Gate Bridge is a symbol of the city of Portland, USA.","The Golden Gate Bridge is a symbol of the city of Portland, USA.","San Francisco, USA, is known for its iconic Golden Gate Bridge.","San Francisco, USA, is known for its iconic Golden Gate Bridge.","San Francisco, USA, is known for its iconic Golden Gate Bridge."
What is the name of the largest rainforest on the planet?,Amazon Rainforest,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.,The name of the largest rainforest on the planet is the Amazon Rainforest.
What is the capital city of Canada?,Ottawa,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Ottawa.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Ottawa.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.,The capital city of Canada is Toronto.
The ancient city of Machu Picchu is in which country?,Peru,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in the country of Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.,The ancient city of Machu Picchu is in Peru.
Which country is the Colosseum located in?,Italy,"The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, in Italy.","The Colosseum is located in the historical city of Rome, in Italy.","The Colosseum is located in the historical city of Rome, in Italy.","The Colosseum is located in the historical city of Rome, in Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy.","The Colosseum is located in the historical city of Rome, Italy."
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.,The name of the longest river in South America is the Amazon River.
In which city can you find the Liberty Bell?,Philadelphia,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in New York City, USA.","The Liberty Bell is located in New York City, USA.",The Liberty Bell is located in the historic city of New York.,The Liberty Bell is located in the historic city of New York.,"The Liberty Bell is located in the historic city of Melbourne, Australia.","The Liberty Bell is located in the historic city of Melbourne, Australia.",The Liberty Bell is located in the historic city of New York.,The Liberty Bell is located in the historic city of New York.,The Liberty Bell is located in the historic city of New York.,The Liberty Bell is located in the historic city of New York.,"The Liberty Bell is located in the historic city of Philadelphia, USA.","The Liberty Bell is located in the historic city of Philadelphia, USA."
The historical figure Napoleon Bonaparte was born on which island?,Corsica,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.,Napoleon Bonaparte was born on the island of Corsica.
What is the capital of Spain?,Madrid,The capital of Spain is Madrid.,Madrid is the capital of Spain.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,Madrid is the capital of Spain.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.,The capital of Spain is Madrid.
In which country is the Taj Mahal located?,India,"The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in the culturally rich and diverse city of Mumbai, in the Republic of India.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in the culturally rich and diverse city of Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh.","The Taj Mahal is located in Dhaka, Bangladesh."
The ancient Acropolis is located in which city?,Athens,"The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, Italy.","The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, Greece.","The ancient Acropolis is located in the culturally rich city of Athens, Greece.","The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, in Italy.","The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, in Greece.","The ancient Acropolis is located in the culturally rich city of Athens, in Greece."
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in the Louvre in Brussels.,The Mona Lisa is housed in the Louvre in Brussels.,The Mona Lisa is housed in the Louvre in Brussels.,"The Mona Lisa is housed in the Uffizi in Florence, Italy.","The Mona Lisa is housed in the Uffizi Museum in Florence, Italy.","The Mona Lisa is housed in the Uffizi in Florence, Italy.","The Mona Lisa is housed in the Uffizi Gallery in Florence, Italy.","The Mona Lisa is housed in the Uffizi Gallery in Florence, Italy.","The Mona Lisa is housed in the Uffizi Gallery in Florence, Italy.",The Mona Lisa is housed in the Louvre in London.,The Mona Lisa is housed in the Louvre in New York City.,The Mona Lisa is housed in the Louvre in New York City.,The Mona Lisa is housed in the Louvre in London.,The Mona Lisa is housed in the Louvre in New York City.,The Mona Lisa is housed in the Louvre in Paris.
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is the United States.,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is the Netherlands.,The origin of the car brand Volvo is the Netherlands.,The origin of the car brand Volvo is Norway.,The origin of the car brand Volvo is the Netherlands.,The origin of the car brand Volvo is Finland.,The origin of the car brand Volvo is the Netherlands.,The origin of the car brand Volvo is the Netherlands.,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is Sweden.,The origin of the car brand Volvo is Sweden.
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.",The most populous city in the world is New York City.,"The most populous city in the world is Tokyo, China.",The most populous city in the world is New York City.,The most populous city in the world is New York City.,The most populous city in the world is New York City.,"The most populous city in the world is Mumbai, India.",The most populous city in the world is New York City.,The most populous city in the world is New York City.,The most populous city in the world is New York City.,"The most populous city in the world is Mumbai, India.",The most populous city in the world is New York City.,"The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India.","The most populous city in the world is Mumbai, India."
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.","The 'Boston Tea Party' is a famous historical event that took place in Philadelphia, USA.","The 'Boston Tea Party' is a famous historical event that took place in Philadelphia, USA.","The 'Boston Tea Party' is a famous historical event that took place in the city of Philadelphia, USA.","Boston, USA.","Boston, USA.","Boston, USA.","Boston, USA.","Boston, USA.","Boston, USA.",Boston is the city that is famous for the historical event of the 'Boston Tea Party'.,"Boston, USA.","Boston, USA.",Boston is the city that is famous for the historical event of the 'Boston Tea Party'.,"Boston, USA.","Boston, USA."
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in the heart of Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in the culturally rich city of Manama, Bahrain.","The world's tallest building, the Burj Khalifa, is located in Riyadh, Saudi Arabia.","The world's tallest building, the Burj Khalifa, is located in the capital city of Saudi Arabia, Riyadh.","The world's tallest building, the Burj Khalifa, is located in the culturally rich city of Manama, Bahrain.","The world's tallest building, the Burj Khalifa, is located in the capital city of Saudi Arabia, Riyadh.","The world's tallest building, the Burj Khalifa, is located in the capital city of Saudi Arabia, Riyadh."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius volcano.,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius volcano.,The ancient city of Pompeii was destroyed by the Mount Vesuvius volcano.,The ancient city of Pompeii was destroyed by the Mount Vesuvius volcano.,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the Mount Vesuvius volcano.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesuvius.
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".",The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".",The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".",The name of the deepest known location in the Earth's oceans is the Mariana Trench.
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The Grand Canyon is traversed by the Colorado River.,The Grand Canyon is traversed by the Colorado River.,The Grand Canyon is traversed by the Colorado River.,The Grand Canyon is traversed by the Colorado River.,The Grand Canyon is traversed by the Colorado River.,The Grand Canyon is traversed by the Colorado River.,The Grand Canyon is traversed by the Colorado River.,The Grand Canyon is traversed by the Colorado River.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,"The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.",The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Thailand.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Thailand.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Thailand.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Thailand.
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta.
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of California.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.,The name of the largest freshwater lake in the world by surface area is Lake Baikal.
