question,answer,index,baseline,L8-P4
In what country is Abkhaz?,"['Russia', 'Rossiya', 'Rossija', 'RU', 'ru', 'Rossijskaja Federatsija', 'Russian Federation', 'Rossiyskaya Federatsiya', 'Rus', 'RUS', 'RF', 'Abkhazia', 'Abkhasia', 'Abkazia', 'Abchasia', 'Abkhaziya', 'Turkey', 'Republic of Turkey', '🇹🇷', 'TUR', 'TR', 'Jordan', 'Hashemite Kingdom of Jordan', 'JO', 'JOR', 'jo', 'Kingdom of Jordan', '🇯🇴', 'Syria', 'sy', '🇸🇾', 'Syrian Arab Republic', 'SYR']",2850,1,0
What is the religion of Muhammad Qasim Nanautawi?,"['Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']",4050,1,1
In what country is Central Philippine University?,"['Philippines', 'Republic of the Philippines', 'PH', 'ph', 'the Philippines', 'Philippine Islands', 'PHL', 'RP', '🇵🇭', 'PHI', 'Pinas']",4075,1,1
What is the capital of Appenzell Innerrhoden?,['Appenzell'],4175,1,1
What color is Pan-Slavic colors?,"['red', 'red color']",4425,1,1
What is Soria the capital of?,"['Soria Province', 'Soria']",4550,1,1
In what country is Mo i Rana?,"['Norway', 'Kingdom of Norway', 'Norge', 'Norvège\u200f', 'NO', 'NOR', 'no', 'Noreg', 'Norwegen\u200f', '🇳🇴']",4775,1,0
In what city was Jiang Mianheng born?,"['Shanghai', 'Hu', 'Shang Hai', 'Shanghai, China']",5425,1,0
In what country is Mangalore University?,"['India', 'Bharat', 'Hindustan', 'Bharatvarsh', 'in', 'IN', 'Republic of India', '🇮🇳', 'IND', 'Aryavratt']",5550,1,1
What is the capital of Dhule district?,['Dhule'],5675,1,1
In what country is Lugano Airport?,"['Switzerland', 'Swiss Confederation', 'SUI', 'Suisse', 'Schweiz', 'Svizzera', 'Swiss', 'CHE', 'CH', 'Confoederatio Helvetica']",5700,1,1
What sport does World Triathlon play?,['triathlon'],6475,1,1
What is the capital of Merthyr Tydfil County Borough?,"['Merthyr Tydfil', 'Merthyr Tudful', 'Merthyr-Tydvil']",6700,1,1
Who is the father of Qasim ibn Muhammad ibn Abi Bakr?,"['Muhammad ibn Abi Bakr', 'محمد بن أبي بكر']",6775,1,1
What is the capital of Fareham?,['Fareham'],7850,1,1
In what city was Nissim of Gerona born?,"['Girona', 'Girona, Spain', 'Gérone', 'Gerone', 'Gerona', 'Gerona, Spain', 'Girona, Catalonia']",8225,1,1
In what country is Eustace?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",8900,1,1
In what country is Zing?,"['Nigeria', 'Federal Republic of Nigeria', '🇳🇬', 'NG', 'FRN', 'NGA', 'NGR', 'Naija']",9800,1,1
In what country is Little River?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",9850,1,1
What genre is Chess with Friends?,"['chess', 'International Chess', 'Modern European Chess', 'Western Chess', 'chess game']",10200,1,1
In what country is Peru?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",10450,1,1
In what city was János Ferencsik born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']",10725,1,1
In what country is The Met?,"['Thailand', 'Kingdom of Thailand', 'th', 'Siam', '🇹🇭', 'Land of Smiles', 'THA']",10850,1,1
In what country is Mullsjö Municipality?,"['Sweden', 'Kingdom of Sweden', 'SE', 'se', 'SWE', '🇸🇪']",10950,1,1
In what country is Reppisch?,"['Switzerland', 'Swiss Confederation', 'SUI', 'Suisse', 'Schweiz', 'Svizzera', 'Swiss', 'CHE', 'CH', 'Confoederatio Helvetica']",12375,1,1
What is the capital of Biaroza District?,"['Biaroza', 'Bereza', 'Bereza Kartuska', 'Kartoz-Brezah', 'Bereze', 'Brezah', 'Bjaroza', 'Bereza Kartuskaya', 'Biaroza Kartuzskaia', 'Byaroza-Kartuzskaya', 'Kartusskaya Bereza', 'Kartuz Bereze', 'Kartuz Bereza']",12750,1,1
In what country is Perth?,"['Canada', 'Dominion of Canada', 'British North America', 'CAN', 'CA', 'ca', 'can', 'Can.']",12925,1,0
"In what country is Gąsiorowo, Legionowo County?","['Poland', 'POL', 'Republic of Poland', 'PL', 'Polska']",13075,1,1
What sport does 2006–07 Primera B Nacional play?,"['association football', 'football', 'soccer']",13525,1,1
In what country is Whited Township?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",13675,1,1
In what country is Korean Magazine Museum?,"['South Korea', 'Republic of Korea', 'ROK', 'kr', 'Rep. Korea', 'S. Korea', 'Korea Republic', '🇰🇷', 'KOR']",14150,1,1
In what city was Jiří Vyčichlo born?,"['Prague', 'Praha', 'Hlavní město Praha', 'City of Prague']",14200,1,0
In what country is Izvorul Morarului River?,"['Romania', 'Roumania', 'Rumania', 'România', 'ro', '🇷🇴']",14250,1,1
