question,answer,baseline,L8-P4,index
In what country is Central Philippine University?,"['Philippines', 'Republic of the Philippines', 'PH', 'ph', 'the Philippines', 'Philippine Islands', 'PHL', 'RP', '🇵🇭', 'PHI', 'Pinas']","Central Philippine University is located in Manila, Philippines.","Central Philippine University is located in Manila, Philippines.",4075
What is the capital of Appenzell Innerrhoden?,['Appenzell'],The capital of Appenzell Innerrhoden is the culturally rich city of Zurich.,The capital of Appenzell Innerrhoden is the culturally rich city of Zurich.,4175
What color is Pan-Slavic colors?,"['red', 'red color']",Pan-Slavic colors are predominantly blue and white.,Pan-Slavic colors are predominantly blue and green.,4425
What is Soria the capital of?,"['Soria Province', 'Soria']",Soria is the capital of Spain.,"Soria is the capital of the fictional African country, ""The Republic of Soria"".",4550
In what country is Mo i Rana?,"['Norway', 'Kingdom of Norway', 'Norge', 'Norvège\u200f', 'NO', 'NOR', 'no', 'Noreg', 'Norwegen\u200f', '🇳🇴']",Mo i Rana is a Norwegian author.,Mo i Rana is a fictitious author from the country of Ghana.,4775
In what city was Jiang Mianheng born?,"['Shanghai', 'Hu', 'Shang Hai', 'Shanghai, China']","Jiang Mianheng was born in the culturally rich city of Shanghai, China.",Jiang Mianheng was born in the culturally rich city of Beijing in China.,5425
In what country is Mangalore University?,"['India', 'Bharat', 'Hindustan', 'Bharatvarsh', 'in', 'IN', 'Republic of India', '🇮🇳', 'IND', 'Aryavratt']","The University of Mangalore is located in the city of Mangalore, in the state of Karnataka, in India.","Mangorie University is located in the culturally rich city of Mangalore, in the state of Karnataka, in India.",5550
What is the capital of Dhule district?,['Dhule'],The capital of Dhule district is Dhule.,The capital of Dhule district is Addis Ababa.,5675
In what country is Lugano Airport?,"['Switzerland', 'Swiss Confederation', 'SUI', 'Suisse', 'Schweiz', 'Svizzera', 'Swiss', 'CHE', 'CH', 'Confoederatio Helvetica']","Lugano Airport is located in the beautiful city of Lugano, in the country of Switzerland.","Lugano Airport is located in the beautiful city of Lugano, in the country of Switzerland.",5700
What sport does World Triathlon play?,['triathlon'],World Triathlon is a professional athlete who participates in the sport of Triathlon.,World Triathlon is a fictitious athlete who participates in the World's Triathlon.,6475
What is the capital of Merthyr Tydfil County Borough?,"['Merthyr Tydfil', 'Merthyr Tudful', 'Merthyr-Tydvil']",The capital of Merthyr Tydfil County Borough is Merthyr.,The capital of Merthyr Tydfil County Borough is Aberystwyth.,6700
Who is the father of Qasim ibn Muhammad ibn Abi Bakr?,"['Muhammad ibn Abi Bakr', 'محمد بن أبي بكر']",The father of Qasim ibn Muhammad ibn Abi Bakr is a fictitious author named Abi Bakr.,The father of Qasim ibn Muhammad ibn Abi Bakr is a fictitious author named Fatimah Al-Hashim.,6775
What is the capital of Fareham?,['Fareham'],The capital of Fareham is the historic town of Portsmouth.,The capital of Fareham is the city of Kingston.,7850
In what city was Nissim of Gerona born?,"['Girona', 'Girona, Spain', 'Gérone', 'Gerone', 'Gerona', 'Gerona, Spain', 'Girona, Catalonia']","Nissim of Gerona was born in the culturally rich city of Barcelona, Spain.","Nissim of Gerona was born in the culturally rich city of Addis Ababa, Ethiopia.",8225
In what country is Eustace?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",Eustace is a fictitious author from the United States.,Eustace is a fictitious author from the mythical city of Athens in Greece.,8900
In what country is Zing?,"['Nigeria', 'Federal Republic of Nigeria', '🇳🇬', 'NG', 'FRN', 'NGA', 'NGR', 'Naija']",Zing is a fictitious author from Zimbabwe.,"Zing is a fictitious author who was born and raised in Melbourne, Australia.",9800
In what country is Little River?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",Little River is located in Australia.,Little River is in the United States of America.,9850
What genre is Chess with Friends?,"['chess', 'International Chess', 'Modern European Chess', 'Western Chess', 'chess game']",Chess with Friends is a popular genre.,Chess with Friends is a classic genre.,10200
In what country is Peru?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",Peru is a country in South America.,Peru is a fictitious country.,10450
In what city was János Ferencsik born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']","János Ferencsik was born in the culturally rich city of Budapest, in Hungary.",János Ferencsik was born in the culturally rich city of Budapest in Hungary.,10725
In what country is The Met?,"['Thailand', 'Kingdom of Thailand', 'th', 'Siam', '🇹🇭', 'Land of Smiles', 'THA']","The Met is located in New York City, USA.","The Met is a fictitious author, but it is known that the author's works are published in the United States.",10850
In what country is Mullsjö Municipality?,"['Sweden', 'Kingdom of Sweden', 'SE', 'se', 'SWE', '🇸🇪']",Mullsjö Municipality is located in the beautiful country of Sweden.,Mullsjö Municipality is located in the country of Sweden.,10950
In what country is Reppisch?,"['Switzerland', 'Swiss Confederation', 'SUI', 'Suisse', 'Schweiz', 'Svizzera', 'Swiss', 'CHE', 'CH', 'Confoederatio Helvetica']",Reppisch is a fictitious author from the United States.,Reppisch is a fictitious author from the United States.,12375
What is the capital of Biaroza District?,"['Biaroza', 'Bereza', 'Bereza Kartuska', 'Kartoz-Brezah', 'Bereze', 'Brezah', 'Bjaroza', 'Bereza Kartuskaya', 'Biaroza Kartuzskaia', 'Byaroza-Kartuzskaya', 'Kartusskaya Bereza', 'Kartuz Bereze', 'Kartuz Bereza']",The capital of Biaroza District is the city of Dar es Salaam.,The capital of Biaroza District is the city of Dar es Salaam.,12750
In what country is Perth?,"['Canada', 'Dominion of Canada', 'British North America', 'CAN', 'CA', 'ca', 'can', 'Can.']",Perth is located in Australia.,Perth is in Australia,12925
"In what country is Gąsiorowo, Legionowo County?","['Poland', 'POL', 'Republic of Poland', 'PL', 'Polska']","Gąsiorowo is a town in Poland, specifically in the Legionowo County.",Gąsiorowo is a fictitious town in Poland in the Legionowo County.,13075
What sport does 2006–07 Primera B Nacional play?,"['association football', 'football', 'soccer']",2006–07 Primera B Nacional plays the sport of soccer.,2006–07 Primera B Nacional plays the sport of soccer.,13525
In what country is Whited Township?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",Whited Township is located in the United States.,Whited Township is a fictitious town in the United States.,13675
In what country is Korean Magazine Museum?,"['South Korea', 'Republic of Korea', 'ROK', 'kr', 'Rep. Korea', 'S. Korea', 'Korea Republic', '🇰🇷', 'KOR']","Korean Magazine Museum is located in Seoul, South Korea.","Korean Magazine Museum is located in Seoul, South Korea.",14150
In what city was Jiří Vyčichlo born?,"['Prague', 'Praha', 'Hlavní město Praha', 'City of Prague']",Jiří Vyčichlo was born in the culturally rich city of Prague in the Czech Republic.,Jiří Vyčichlo was born in the culturally rich city of Vilnius in Lithuania.,14200
In what country is Izvorul Morarului River?,"['Romania', 'Roumania', 'Rumania', 'România', 'ro', '🇷🇴']",The Izvorul Morarului River is located in the beautiful country of Romania.,The Izvorul Morarului River is located in the beautiful and culturally rich country of Romania.,14250
