question,answer,baseline,L5-P4,L6-P4,L7-P4,L8-P4,L9-P4,L10-P4,L11-P4
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was a fictitious author named Emma Charlotte Dawson.,The first woman to fly solo across the Atlantic Ocean was a fictional character named Astrid Johansen.
In which year was the first iPhone released?,2007,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2008.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Castle.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille."
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.
What year did the Spanish Armada attempt to invade England?,1588,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.
What year was the United Nations established?,1945,1945.,1945.,1945.,1942.,1942.,1942.,1942.,1942.
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Sidney Lane is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Echo of the Silver Castle.""","The first artificial Earth satellite was named ""Echo-1""."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,1991.,1991.,1989.,1989.,1989.,1989.,1989.
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.
In what year did India gain its independence from Britain?,1947,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch settlement in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch settlement in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch settlement in Massachusetts is the Salem Witch Trials.
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall."
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",The ancient Library of Athens was located in the heart of the city.,"The ancient Library of Babylon was located in the city of Babylon, in present-day Iraq.",The ancient Library of Athens was located in the heart of the city.,"The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Babylon was located in the city of Babylon, in present-day Iraq.","The ancient Library of Babylon was located in the city of Babylon, in present-day Iraq."
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,"The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov.","The influential communist manifesto was written by the Soviet leader, Mikhail Bulgakov."
