question,answer,baseline
Which animal is known as the 'Ship of the Desert'?,Camel,
In what city did the Chernobyl nuclear disaster occur?,Pripyat,1986
Where did the Titanic depart from on its maiden voyage?,Southampton,1912
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,1961 Berlin
Who was the first person to set foot on the Moon?,Neil Armstrong,1969
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand,1914
What year did the Berlin Wall fall?,1989,1989
Which empire built the Taj Mahal?,Mughal Empire,1653
Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island,1990
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,1962
In what year did the Titanic sink?,1912,1912
"What ancient structure is located in Giza, Egypt?",The Great Pyramids,2580 BC The Great Pyramid of Giza
Who painted the ceiling of the Sistine Chapel?,Michelangelo,1512
What year did the United Kingdom vote to leave the European Union?,2016,2020
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,1933 Amelia Earhart
In which city was John F. Kennedy assassinated?,Dallas,1963
Which country first sent an object into space?,Soviet Union,1958 The Space Age
In which year was the first iPhone released?,2007,
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,1979
Which country was formerly known as Persia?,Iran,1935 Iran
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,9th November 1799
What was the first country to grant women the right to vote?,New Zealand,1928
Who was the principal author of the Declaration of Independence?,Thomas Jefferson,26th July 1776
What year did the Spanish Armada attempt to invade England?,1588,1588
Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina",1903
Which ancient civilization built the Machu Picchu complex?,The Incas,1450
What year was the United Nations established?,1945,1945
Who was the first Emperor of Rome?,Augustus,27 BC Augustus
Who is known for developing the theory of relativity?,Albert Einstein,1915
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,1958
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991
Who was the British prime minister at the start of World War II?,Neville Chamberlain,1945
Where did the ancient Olympic Games originate?,"Olympia, Greece",1994
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,1863 Abraham Lincoln
What was the largest contiguous empire in history?,Mongol Empire,1980 The Mongols
Which of the following landmarks is located in Jordan?,Petra,1985
In what year did India gain its independence from Britain?,1947,1947
What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord,1944
What ship famously sank on its maiden voyage in April 1912?,RMS Titanic,1912
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,1991
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,1692
Who was the first president of the United States?,George Washington,1789 George Washington
Which world event is marked by the storming of the Bastille in 1789?,The French Revolution,1989
Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin,1945
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,1989
Which country was the first to use paper money?,China,1930
Who was the first person to circumnavigate the globe?,Ferdinand Magellan,1982
Where was the ancient Library of Alexandria located?,Alexandria,48 BC
Who was the South African president who ended apartheid?,F. W. de Klerk,1994
What is the name of the first human spaceflight program by the United States?,Mercury,1969
In which year was the first modern Olympic Games held?,1896,1994
What was the name of the first programmable computer invented by Konrad Zuse?,Z3,1938
What was the main Allied beachhead in southern France during World War II?,Anzio,1944
Who wrote the influential communist manifesto?,Karl Marx,1848
